Team,Position,G,SOT,YC,RC,TKW,INT,BS,COS,KP,CLR,DIS,PKD,OG,AER
vsSHU,LW,0.18,0.91,0.18,0.0,1.0,0.18,0.64,1.64,2.27,0.0,1.09,0.0,0.0,0.91
vsSHU,RW,0.33,0.58,0.0,0.0,1.17,0.17,1.08,0.92,1.33,0.0,1.17,0.0,0.0,0.42
vsTOT,FW,0.24,0.71,0.35,0.06,0.88,0.41,0.94,0.41,0.82,0.53,1.12,0.0,0.0,1.53
vsTOT,LW,0.0,0.43,0.0,0.0,0.71,0.29,0.71,1.71,0.43,0.29,1.29,0.0,0.0,0.29
vsTOT,RW,0.2,0.2,0.2,0.0,2.8,0.6,0.6,0.4,1.0,0.0,1.2,0.0,0.0,0.2
vsWHU,FW,0.33,1.0,0.07,0.0,0.53,0.0,0.67,0.6,0.67,0.4,0.93,0.0,0.0,1.13
vsWHU,LW,0.22,0.33,0.11,0.0,0.56,0.44,0.78,1.11,0.89,0.33,0.89,0.0,0.0,0.33
vsWHU,RW,0.11,0.44,0.11,0.0,0.89,0.11,0.33,0.56,0.89,0.0,0.33,0.11,0.0,0.11
vsWOL,FW,0.27,0.87,0.07,0.0,0.27,0.07,0.67,0.67,0.53,0.07,1.27,0.0,0.0,0.67
vsWOL,LW,0.1,0.5,0.1,0.0,0.7,0.3,0.2,1.3,1.7,0.2,0.9,0.0,0.0,0.5
vsWOL,RW,0.25,0.75,0.0,0.0,1.88,0.75,0.12,0.5,1.62,0.62,1.0,0.0,0.0,0.88
