Player,ProjFPts,ProjGPts,Pos,Team,Opp,Ros%,ProjMins,ProjGS
Jarrod Bowen,9.9,6.2,M,WHU,NEW,100,88,1
Vitalii Mykolenko,9.8,8.6,D,EVE,BOU,12,86,0
Gabriel Jesus,9.8,6.8,F,ARS,MCI,100,84,1
Said Benrahma,9.8,6.6,M,WHU,NEW,70,79,0
Amadou Onana,9.7,8.1,M,EVE,BOU,28,85,1
Anthony Elanga,9.7,8.0,F,NOT,@CRY,44,75,0
Pape Sarr,9.7,7.3,M,TOT,@LUT,76,71,1
Lucas Paqueta,9.7,7.0,M,WHU,NEW,100,84,1
Bukayo Saka,9.7,5.8,M,ARS,MCI,100,87,1
Evan Ferguson,9.6,5.8,F,BHA,LIV,99,69,0
Konstantinos Tsimikas,9.5,9.3,D,LIV,@BHA,3,70,0
Casemiro,9.5,7.6,M,MUN,BRF,98,86,1
Jacob Ramsey,9.5,7.6,M,AVL,@WOL,64,84,1
Facundo Pellistri,9.5,7.2,M,MUN,BRF,17,60,0
Christian Eriksen,9.5,6.4,M,MUN,BRF,67,85,0
Antony,9.4,6.2,F,MUN,BRF,70,78,0
Willy Boly,9.3,10.2,D,NOT,@CRY,73,84,1
Tomas Soucek,9.3,7.8,M,WHU,NEW,85,83,1
David Brooks,9.3,7.6,M,BOU,@EVE,6,65,0
Emerson Royal,9.3,7.1,D,TOT,@LUT,18,83,0
Antonee Robinson,9.3,6.8,D,FUL,SHU,54,89,1
Conor Gallagher,9.3,6.7,M,CHE,@BUR,77,79,1
Odsonne Edouard,9.3,5.3,F,CRY,NOT,80,82,0
Alexander Isak,9.3,4.6,F,NEW,@WHU,100,77,1
Jarrad Branthwaite,9.2,8.6,D,EVE,BOU,15,86,1
Alex Moreno,9.2,7.9,D,AVL,@WOL,59,80,0
Josh Brownhill,9.2,7.3,M,BUR,CHE,57,89,1
Leandro Trossard,9.2,6.7,M,ARS,MCI,90,75,0
Armando Broja,9.2,5.0,F,CHE,@BUR,12,80,1
Pervis Estupinan,9.1,11.2,D,BHA,LIV,100,86,1
Phil Foden,9.1,6.2,M,MCI,@ARS,100,83,1
Dominic Solanke,9.1,5.1,F,BOU,@EVE,94,89,1
Keane Lewis-Potter,9.0,7.1,F,BRF,@MUN,2,75,1
Matheus Cunha,9.0,6.0,F,WOL,AVL,57,76,1
Ansu Fati,8.9,5.5,F,BHA,LIV,70,75,1
Lewis Hall,8.8,7.6,D,NEW,@WHU,18,78,0
Cristian Romero,8.8,7.2,D,TOT,@LUT,90,80,1
Dwight McNeil,8.8,5.3,M,EVE,BOU,81,85,1
Benoit Badiashile,8.7,7.5,D,CHE,@BUR,10,90,0
Matheus Nunes,8.7,7.3,M,MCI,@ARS,78,83,0
Sean Longstaff,8.7,7.2,M,NEW,@WHU,41,88,1
Jack Grealish,8.7,5.5,M,MCI,@ARS,99,86,0
Victor Lindelof,8.6,8.0,D,MUN,BRF,11,89,1
Matty Cash,8.6,7.3,D,AVL,@WOL,96,88,1
Sven Botman,8.6,7.3,D,NEW,@WHU,97,89,0
Raul Jimenez,8.6,3.9,F,FUL,SHU,33,76,1
Valentino Livramento,8.5,8.1,D,NEW,@WHU,5,78,0
Diego Carlos,8.5,8.1,D,AVL,@WOL,4,64,0
Eric Dier,8.5,7.1,D,TOT,@LUT,2,90,0
Pablo Fornals,8.5,7.1,M,WHU,NEW,2,82,0
Neal Maupay,8.5,5.2,F,BRF,@MUN,3,78,0
Ethan Pinnock,8.4,11.3,D,BRF,@MUN,97,89,1
Jefferson Lerma,8.4,7.9,M,CRY,NOT,46,89,0
Moises Caicedo,8.4,7.3,M,CHE,@BUR,69,87,1
Oliver Norwood,8.4,7.1,M,SHU,@FUL,14,85,0
Miguel Almiron,8.4,5.2,M,NEW,@WHU,95,81,1
Jonny Evans,8.3,9.6,D,MUN,BRF,5,78,0
Frank Onyeka,8.3,7.6,M,BRF,@MUN,0,54,0
Saman Ghoddos,8.3,6.5,F,BRF,@MUN,0,77,0
Rob Holding,8.3,5.8,D,CRY,NOT,1,84,0
Alexis Mac Allister,8.3,5.7,M,LIV,@BHA,95,83,1
Bobby De Cordova-Reid,8.3,5.2,F,FUL,SHU,17,78,0
Harry Maguire,8.2,7.7,D,MUN,BRF,4,90,0
Will Hughes,8.2,6.6,M,CRY,NOT,2,86,1
Scott McTominay,8.2,6.6,M,MUN,BRF,2,85,0
Danny Ings,8.2,4.9,F,WHU,NEW,8,80,0
Chris Wood,8.2,4.0,F,NOT,@CRY,2,78,0
Neco Williams,8.1,8.5,D,NOT,@CRY,8,86,0
Zanka,8.1,7.6,D,BRF,@MUN,0,85,0
Ben Doak,8.1,5.7,F,LIV,@BHA,1,75,0
Sandro Tonali,8.0,6.6,M,NEW,@WHU,88,73,0
Jordan Ayew,8.0,4.7,F,CRY,NOT,70,82,1
Matt Doherty,7.9,8.6,D,WOL,AVL,17,80,0
Cheikhou Kouyate,7.9,7.1,M,NOT,@CRY,0,71,0
Ryan Giles,7.9,6.7,M,LUT,TOT,12,85,0
Ashley Young,7.9,6.4,D,EVE,BOU,17,86,1
Chiedozie Ogbene,7.9,6.1,F,LUT,TOT,6,90,1
Anis Ben Slimane,7.8,7.3,M,SHU,@FUL,0,75,0
Thiago Silva,7.8,6.7,D,CHE,@BUR,91,89,1
Bruno Guimaraes,7.8,6.1,M,NEW,@WHU,98,87,1
Harvey Elliott,7.8,5.4,M,LIV,@BHA,7,71,0
Vinicius de Souza Costa,7.7,7.4,M,SHU,@FUL,3,82,1
Lesley Ugochukwu,7.7,6.8,F,CHE,@BUR,1,90,0
Levi Colwill,7.7,6.2,D,CHE,@BUR,89,88,1
Marc Cucurella,7.7,6.1,D,CHE,@BUR,30,82,1
Sasa Lukic,7.6,7.3,M,FUL,SHU,1,84,0
Nicolas Dominguez,7.6,6.3,M,NOT,@CRY,3,87,1
Jack Hinshelwood,7.6,6.0,M,BHA,LIV,1,85,0
Facundo Buonanotte,7.6,5.4,M,BHA,LIV,9,53,0
Jeffrey Schlupp,7.6,5.3,M,CRY,NOT,31,81,1
Lyle Foster,7.6,4.4,F,BUR,CHE,21,87,1
Tom Davies,7.5,6.7,M,SHU,@FUL,0,66,0
Idrissa Gueye,7.5,6.4,M,EVE,BOU,7,80,0
Andrey Santos,7.5,5.7,M,NOT,@CRY,2,73,0
Rhian Brewster,7.5,5.5,F,SHU,@FUL,1,80,0
Cauley Woodrow,7.5,5.2,F,LUT,TOT,0,70,0
Jean-Philippe Mateta,7.5,4.3,F,CRY,NOT,8,73,1
Mason Mount,7.5,3.8,M,MUN,BRF,96,78,1
Billy Gilmour,7.4,6.3,M,BHA,LIV,49,79,1
Cheick Doucoure,7.4,6.2,M,CRY,NOT,33,88,1
Jacob Brown,7.4,5.3,F,LUT,TOT,12,74,1
Oscar Bobb,7.4,5.2,M,MCI,@ARS,1,65,0
Matheus Franca,7.4,5.1,F,CRY,NOT,4,65,0
Mads Roerslev,7.3,9.4,D,BRF,@MUN,4,80,0
Benie Traore,7.3,5.8,F,SHU,@FUL,3,85,0
Ryan Christie,7.3,5.5,M,BOU,@EVE,34,72,1
Calvin Bassey,7.3,5.5,D,FUL,SHU,2,82,0
Tom Cairney,7.3,5.4,M,FUL,SHU,0,60,0
Nathan Patterson,7.2,6.3,D,EVE,BOU,5,78,1
Carlos Baleba,7.2,6.1,M,BHA,LIV,3,75,0
Wilson Odobert,7.2,5.4,F,BUR,CHE,0,75,1
Reiss Nelson,7.2,5.1,F,ARS,MCI,4,75,0
Gonzalo Montiel,7.1,7.2,D,NOT,@CRY,3,52,0
Sergio Reguilon,7.1,6.8,D,MUN,BRF,34,84,0
Kalvin Phillips,7.1,6.4,M,MCI,@ARS,2,90,1
Boubacar Kamara,7.1,6.2,M,AVL,@WOL,16,84,1
Christian Norgaard,7.1,6.1,M,BRF,@MUN,55,81,1
Marc Guehi,7.1,5.7,D,CRY,NOT,50,90,1
Ian Maatsen,7.1,5.5,D,CHE,@BUR,7,75,0
Tim Ream,7.1,5.3,D,FUL,SHU,30,86,1
Jairo Riedewald,7.1,5.2,M,CRY,NOT,0,75,1
Sergio Gomez,7.1,5.1,D,MCI,@ARS,1,77,0
Chris Mepham,7.0,9.2,D,BOU,@EVE,0,90,0
Alisson,7.0,7.0,G,LIV,@BHA,99,90,1
Ederson,7.0,7.0,G,MCI,@ARS,97,90,1
Nick Pope,7.0,7.0,G,NEW,@WHU,97,90,1
Bernd Leno,7.0,7.0,G,FUL,SHU,94,90,1
Andre Onana,7.0,7.0,G,MUN,BRF,92,90,1
Guglielmo Vicario,7.0,7.0,G,TOT,@LUT,88,90,1
Alphonse Areola,7.0,7.0,G,WHU,NEW,77,90,1
David Raya,7.0,7.0,G,ARS,MCI,76,90,1
Emiliano Martinez,7.0,7.0,G,AVL,@WOL,75,90,1
Jose Sa,7.0,7.0,G,WOL,AVL,64,90,1
Robert Sanchez,7.0,7.0,G,CHE,@BUR,54,90,1
Mark Flekken,7.0,7.0,G,BRF,@MUN,52,90,1
Jordan Pickford,7.0,7.0,G,EVE,BOU,39,90,1
Neto,7.0,7.0,G,BOU,@EVE,29,90,1
Matt Turner,7.0,7.0,G,NOT,@CRY,25,90,1
James Trafford,7.0,7.0,G,BUR,CHE,23,90,1
Wes Foderingham,7.0,7.0,G,SHU,@FUL,21,90,1
Jason Steele,7.0,7.0,G,BHA,LIV,18,90,1
Sam Johnstone,7.0,7.0,G,CRY,NOT,18,90,1
Thomas Kaminski,7.0,7.0,G,LUT,TOT,14,90,1
Aaron Ramsdale,7.0,7.0,G,ARS,MCI,51,90,0
Joao Virginia,7.0,7.0,G,EVE,BOU,12,90,0
Bart Verbruggen,7.0,7.0,G,BHA,LIV,10,90,0
Dean Henderson,7.0,7.0,G,CRY,NOT,5,90,0
Lukasz Fabianski,7.0,7.0,G,WHU,NEW,5,90,0
Stefan Ortega Moreno,7.0,7.0,G,MCI,@ARS,2,90,0
Robin Olsen,7.0,7.0,G,AVL,@WOL,2,90,0
Djordje Petrovic,7.0,7.0,G,CHE,@BUR,1,90,0
Arijanet Muric,7.0,7.0,G,BUR,CHE,1,90,0
Martin Dubravka,7.0,7.0,G,NEW,@WHU,1,90,0
Caoimhin Kelleher,7.0,7.0,G,LIV,@BHA,1,90,0
Fraser Forster,7.0,7.0,G,TOT,@LUT,1,90,0
Odysseas Vlachodimos,7.0,7.0,G,NOT,@CRY,1,90,0
Marek Rodak,7.0,7.0,G,FUL,SHU,0,90,0
Tim Krul,7.0,7.0,G,LUT,TOT,0,90,0
Daniel Bentley,7.0,7.0,G,WOL,AVL,0,90,0
Altay Bayindir,7.0,7.0,G,MUN,BRF,0,90,0
Adam Davies,7.0,7.0,G,SHU,@FUL,0,90,0
Thomas Strakosha,7.0,7.0,G,BRF,@MUN,0,90,0
Micky van de Ven,7.0,5.5,D,TOT,@LUT,61,90,1
Zeki Amdouni,7.0,4.4,F,BUR,CHE,35,66,1
Anthony Martial,7.0,3.7,F,MUN,BRF,13,60,0
Dara O'Shea,6.9,9.1,D,BUR,CHE,2,90,0
Raphael Varane,6.9,6.1,D,MUN,BRF,75,83,1
Joao Palhinha,6.9,5.2,M,FUL,SHU,47,89,1
Jacob Bruun Larsen,6.9,5.1,F,BUR,CHE,0,75,0
John Egan,6.8,9.1,D,SHU,@FUL,6,85,0
Antoine Semenyo,6.8,5.5,F,BOU,@EVE,14,71,0
Yves Bissouma,6.8,5.3,M,TOT,@LUT,81,86,1
Leander Dendoncker,6.8,5.3,M,AVL,@WOL,0,83,0
Luis Sinisterra,6.8,5.1,F,BOU,@EVE,6,60,1
Hugo Bueno,6.7,7.3,D,WOL,AVL,2,82,0
Axel Disasi,6.7,5.3,D,CHE,@BUR,79,90,1
Philip Billing,6.7,4.9,M,BOU,@EVE,72,83,1
Issa Diop,6.7,4.7,D,FUL,SHU,12,90,1
Rasmus Hojlund,6.7,2.4,F,MUN,BRF,87,75,1
Scott McKenna,6.6,7.5,D,NOT,@CRY,13,83,0
Trent Alexander-Arnold,6.6,6.7,D,LIV,@BHA,100,85,1
Lewis Dobbin,6.6,6.5,F,EVE,BOU,1,65,0
Serge Aurier,6.5,7.1,D,NOT,@CRY,60,84,1
Joao Gomes,6.5,5.8,M,WOL,AVL,10,82,0
Ryan Gravenberch,6.5,5.3,M,LIV,@BHA,37,76,1
Aaron Ramsey,6.5,4.7,M,BUR,CHE,17,71,0
Hwang Hee-Chan,6.5,4.2,F,WOL,AVL,28,64,1
Michail Antonio,6.5,3.6,F,WHU,NEW,79,75,1
Danny Welbeck,6.5,2.6,F,BHA,LIV,37,72,0
Thilo Kehrer,6.4,7.9,D,WHU,NEW,0,88,0
Andrew Robertson,6.4,6.9,D,LIV,@BHA,100,86,1
Fabian Schar,6.4,5.8,D,NEW,@WHU,93,89,1
Calum Chambers,6.4,5.4,D,AVL,@WOL,0,87,0
Eddie Nketiah,6.4,3.4,F,ARS,MCI,84,79,1
Ezri Konsa,6.3,6.0,D,AVL,@WOL,19,90,1
John McGinn,6.3,4.4,M,AVL,@WOL,64,84,1
Kristoffer Ajer,6.2,8.8,D,BRF,@MUN,2,83,1
Harry Toffolo,6.2,6.9,D,NOT,@CRY,0,86,0
Dan Burn,6.2,6.1,D,NEW,@WHU,95,89,1
Marvelous Nakamba,6.2,5.9,M,LUT,TOT,29,88,1
Tommy Doyle,6.2,5.3,M,WOL,AVL,1,74,0
Chris Richards,6.2,5.0,D,CRY,NOT,0,90,0
James Mcatee,6.2,4.6,M,SHU,@FUL,6,71,1
Bernardo Silva,6.2,3.6,M,MCI,@ARS,98,88,1
Gabriel Martinelli,6.2,3.2,M,ARS,MCI,100,77,0
Seamus Coleman,6.1,5.7,D,EVE,BOU,0,82,0
Ben Godfrey,6.1,5.1,D,EVE,BOU,0,80,0
Luca Koleosho,6.1,4.8,F,BUR,CHE,26,67,1
Justin Kluivert,6.1,4.1,M,BOU,@EVE,25,63,0
Taiwo Awoniyi,6.1,3.3,F,NOT,@CRY,95,76,1
Alejandro Garnacho,6.1,2.8,M,MUN,BRF,52,66,1
Mario Lemina,6.0,5.1,M,WOL,AVL,12,83,1
Clement Lenglet,5.9,5.7,D,AVL,@WOL,1,85,0
Vitaly Janelt,5.9,5.1,M,BRF,@MUN,10,82,1
Divock Origi,5.9,3.9,F,NOT,@CRY,4,75,0
Kai Havertz,5.9,2.8,F,ARS,MCI,82,81,1
Joe Worrall,5.8,6.8,D,NOT,@CRY,4,87,1
Jamaal Lascelles,5.8,5.7,D,NEW,@WHU,7,90,1
Pau Torres,5.7,5.2,D,AVL,@WOL,58,90,1
Sofyan Amrabat,5.7,4.6,M,MUN,BRF,38,90,1
Mike Tresor,5.7,4.4,F,BUR,CHE,2,75,0
Kieffer Moore,5.7,4.1,F,BOU,@EVE,0,86,0
Ibrahim Sangare,5.6,4.7,M,NOT,@CRY,10,77,1
Jay Rodriguez,5.6,4.5,F,BUR,CHE,1,81,0
Martin Odegaard,5.6,2.0,M,ARS,MCI,100,87,1
Virgil van Dijk,5.5,6.8,D,LIV,@BHA,100,85,1
Emerson,5.5,6.7,D,WHU,NEW,52,87,1
Joel Ward,5.5,4.0,D,CRY,NOT,10,89,1
Youri Tielemans,5.5,3.0,M,AVL,@WOL,34,85,0
Jan-Paul van Hecke,5.4,8.2,D,BHA,LIV,8,89,1
Tariq Lamptey,5.4,7.3,D,BHA,LIV,15,73,0
Toti,5.4,6.7,D,WOL,AVL,0,88,1
Lewis Cook,5.4,4.5,M,BOU,@EVE,2,87,1
Pierre-Emile Hojbjerg,5.4,3.6,M,TOT,@LUT,16,90,0
Tom Lockyer,5.3,8.7,D,LUT,TOT,19,88,1
Gabriel Magalhaes,5.3,6.1,D,ARS,MCI,87,89,1
Thomas Partey,5.3,4.9,M,ARS,MCI,33,84,0
Tyler Adams,5.3,4.7,M,BOU,@EVE,6,90,0
Elijah Adebayo,5.3,3.1,F,LUT,TOT,7,66,0
Mads Andersen,5.2,8.6,D,LUT,TOT,4,83,1
Ibrahima Konate,5.2,7.2,D,LIV,@BHA,68,90,0
Milos Kerkez,5.2,6.8,D,BOU,@EVE,27,87,1
Ola Aina,5.1,5.7,D,NOT,@CRY,2,79,0
Sander Berge,5.1,3.8,M,BUR,CHE,6,73,0
Max Kilman,5.0,6.5,D,WOL,AVL,23,90,1
Nayef Aguerd,5.0,6.3,D,WHU,NEW,32,86,1
Nathan Ake,4.9,5.3,D,MCI,@ARS,94,82,0
Matt Targett,4.9,4.8,D,NEW,@WHU,1,85,0
Benson Manuel,4.9,4.0,F,BUR,CHE,11,55,0
Josh Cullen,4.9,3.8,M,BUR,CHE,14,90,1
Mahmoud Dahoud,4.9,3.5,M,BHA,LIV,16,74,1
Anass Zaroury,4.9,3.2,F,BUR,CHE,18,75,0
Fabio Vieira,4.9,3.0,M,ARS,MCI,41,69,0
Vladimir Coufal,4.8,6.2,D,WHU,NEW,74,88,1
Rayan Ait-Nouri,4.8,5.8,D,WOL,AVL,3,77,1
Pelly Ruddock,4.8,3.9,M,LUT,TOT,1,87,1
Tahith Chong,4.8,3.9,M,LUT,TOT,4,81,0
Jack Cork,4.8,3.9,M,BUR,CHE,0,84,0
Declan Rice,4.8,3.8,M,ARS,MCI,98,88,1
Adam Lallana,4.8,3.4,M,BHA,LIV,1,57,0
Carney Chukwuemeka,4.8,3.1,M,CHE,@BUR,13,65,0
Joel Veltman,4.7,7.1,D,BHA,LIV,25,83,1
Chris Basham,4.7,7.0,D,SHU,@FUL,0,83,1
Jordan Beyer,4.7,6.7,D,BUR,CHE,11,79,1
Manuel Akanji,4.7,5.2,D,MCI,@ARS,97,85,1
Josko Gvardiol,4.7,5.2,D,MCI,@ARS,82,89,1
Jonny,4.6,5.8,D,WOL,AVL,0,86,0
Stefan Bajcetic,4.6,5.3,M,LIV,@BHA,1,78,0
Jarell Quansah,4.5,6.8,D,LIV,@BHA,2,82,0
Joseph Gomez,4.5,6.6,D,LIV,@BHA,34,89,0
Hannes Delcroix,4.5,6.4,D,BUR,CHE,1,90,0
Adam Smith,4.5,5.1,D,BOU,@EVE,0,81,0
Johann Gudmundsson,4.5,3.3,M,BUR,CHE,6,46,0
Ben Johnson,4.4,5.9,D,WHU,NEW,0,85,0
Takehiro Tomiyasu,4.4,5.0,D,ARS,MCI,5,71,0
Emile Smith Rowe,4.4,3.6,M,ARS,MCI,9,72,0
Nathaniel Clyne,4.4,3.2,D,CRY,NOT,0,86,0
Craig Dawson,4.3,5.7,D,WOL,AVL,14,86,1
John Stones,4.3,4.8,D,MCI,@ARS,82,85,0
Joe Rothwell,4.3,3.2,M,BOU,@EVE,1,73,0
Nelson Semedo,4.2,5.5,D,WOL,AVL,19,85,1
Nuno Tavares,4.2,4.5,D,NOT,@CRY,3,62,0
Boubacar Traore,4.2,3.0,M,WOL,AVL,0,81,1
Anel Ahmedhodzic,4.1,7.1,D,SHU,@FUL,12,90,1
Auston Trusty,4.1,6.3,D,SHU,@FUL,0,82,0
Marcos Senesi,4.1,5.7,D,BOU,@EVE,2,82,1
Ruben Dias,4.1,4.6,D,MCI,@ARS,96,88,1
Illia Zabarnyi,4.0,6.4,D,BOU,@EVE,7,90,1
Vitinho,4.0,5.7,D,BUR,CHE,1,90,0
Max Aarons,3.9,5.4,D,BOU,@EVE,7,87,1
Tyrick Mitchell,3.9,2.8,D,CRY,NOT,32,87,1
Jorginho,3.8,3.0,M,ARS,MCI,4,84,0
Ryan Yates,3.8,2.6,M,NOT,@CRY,1,86,0
Cameron Archer,3.8,1.0,F,SHU,@FUL,12,84,1
Reece Burke,3.7,6.8,D,LUT,TOT,3,81,0
Kurt Zouma,3.7,5.0,D,WHU,NEW,65,82,1
Mateo Kovacic,3.7,3.5,M,MCI,@ARS,74,82,1
Maxwel Cornet,3.7,3.4,M,WHU,NEW,1,73,0
Nathan Collins,3.6,6.3,D,BRF,@MUN,36,89,1
Jayden Bogle,3.6,5.0,D,SHU,@FUL,6,71,1
Jakub Kiwior,3.6,4.5,D,ARS,MCI,2,75,0
Luke Thomas,3.5,6.1,D,SHU,@FUL,1,89,1
Jack Robinson,3.5,5.9,D,SHU,@FUL,2,87,1
Yasser Larouci,3.5,5.3,D,SHU,@FUL,1,67,0
Konstantinos Mavropanos,3.5,4.8,D,WHU,NEW,2,80,0
Edson Alvarez,3.5,2.5,M,WHU,NEW,16,81,1
Amari'i Bell,3.4,6.9,D,LUT,TOT,13,90,1
Lloyd Kelly,3.3,5.4,D,BOU,@EVE,1,89,0
George Baldock,3.2,4.9,D,SHU,@FUL,2,84,0
Teden Mengi,3.1,6.5,D,LUT,TOT,0,81,0
Joel Matip,3.1,4.7,D,LIV,@BHA,22,87,1
Kyle Walker,3.1,3.6,D,MCI,@ARS,96,88,1
Oleksandr Zinchenko,3.1,3.6,D,ARS,MCI,95,81,1
Angelo Ogbonna,3.0,4.6,D,WHU,NEW,0,89,0
Ben White,3.0,3.8,D,ARS,MCI,98,87,1
Wataru Endo,2.7,1.6,M,LIV,@BHA,5,57,0
Charlie Taylor,2.6,4.7,D,BUR,CHE,4,90,1
William Saliba,2.6,3.6,D,ARS,MCI,98,90,1
Adam Webster,2.4,5.2,D,BHA,LIV,6,87,0
Ameen Al Dakhil,2.4,4.6,D,BUR,CHE,3,90,1
Murillo,2.3,2.1,M,NOT,@CRY,1,90,1
Orel Mangala,2.3,1.6,M,NOT,@CRY,1,77,1
Issa Kabore,2.2,4.9,D,LUT,TOT,39,75,1
Igor Julio dos Santos de Paulo,2.0,4.7,D,BHA,LIV,1,82,0
Lewis Dunk,1.7,4.4,D,BHA,LIV,49,90,1
Oliver Skipp,1.7,0.7,M,TOT,@LUT,1,81,0
Aaron Hickey,1.0,3.5,D,BRF,@MUN,10,80,1
Connor Roberts,0.7,2.1,D,BUR,CHE,8,90,1
Rico Lewis,0.6,1.6,D,MCI,@ARS,13,82,0
