Player,ROS Rank,+/-,Team,Pos
Ivan Toney,62,2,BRF,F
Solly March,63,-47,BHA,M
Dominic Calvert-Lewin,64,7,EVE,F
Tomas Soucek,65,0,WHU,M
Evan Ferguson,66,-4,BHA,F
Jack Harrison,67,-1,EVE,M
Cody Gakpo,68,0,LIV,F
Simon Adingra,69,39,BHA,F
Taiwo Awoniyi,70,-7,NOT,F
Konstantinos Tsimikas,71,72,LIV,D
Matty Cash,72,-3,AVL,D
Willian,73,-1,FUL,F
Alfie Doughty,74,1,LUT,M
Declan Rice,75,2,ARS,M
Miguel Almiron,76,-3,NEW,M
Willy Boly,77,13,NOT,D
Marcus Tavernier,78,2,BOU,M
Luke Shaw,79,-1,MUN,D
Casemiro,80,-6,MUN,M
Antony,81,0,MUN,F
Mason Mount,82,-6,MUN,M
Christopher Nkunku,83,3,CHE,F
Carlton Morris,84,-2,LUT,F
Cole Palmer,85,-1,CHE,M
Yves Bissouma,86,5,TOT,M
Vladimir Coufal,87,2,WHU,D
Dan Burn,88,-3,NEW,D
Andrew Robertson,89,-42,LIV,D
Mykhailo Mudryk,90,7,CHE,M
Andreas Pereira,91,-12,FUL,M
Ben White,92,3,ARS,D
James Garner,93,5,EVE,M
Alexis Mac Allister,94,0,LIV,M
Christian Norgaard,95,7,BRF,M
Odsonne Edouard,96,5,CRY,F
Bernardo Silva,97,-10,MCI,M
Joelinton,98,-2,NEW,M
Bruno Guimaraes,99,0,NEW,M
Leandro Trossard,100,4,ARS,M
Ansu Fati,101,5,BHA,F
Gustavo Hamer,102,-10,SHU,M
Bernd Leno,103,-3,FUL,G
Alex Iwobi,104,-21,FUL,M
Brennan Johnson,105,-2,TOT,F
Gabriel Magalhaes,106,1,ARS,D
Hwang Hee-Chan,107,28,WOL,F
Pape Sarr,108,-20,TOT,M
Oliver McBurnie,109,6,SHU,F
Lucas Digne,110,22,AVL,D
Alex Moreno,111,-18,AVL,D
Guglielmo Vicario,112,8,TOT,G
Kai Havertz,113,-8,ARS,F
William Saliba,114,-1,ARS,D
Lyle Foster,115,18,BUR,F
Sven Botman,116,-7,NEW,D
Matheus Cunha,117,9,WOL,F
Jordan Ayew,118,-6,CRY,F
Philip Billing,119,9,BOU,M
Conor Gallagher,120,3,CHE,M
Oleksandr Zinchenko,121,-4,ARS,D
Ibrahima Konate,122,-1,LIV,D
Ben Mee,123,-12,BRF,D
Ben Chilwell,124,-2,CHE,D
Enzo Fernandez,125,-6,CHE,M
Aaron Wan-Bissaka,126,15,MUN,D
Jose Sa,127,-13,WOL,G
Alisson,128,-10,LIV,G
Anthony Elanga,129,71,NOT,F
Levi Colwill,130,18,CHE,D
Thiago Silva,131,-15,CHE,D
John McGinn,132,8,AVL,M
Matheus Franca,133,13,CRY,F
Sean Longstaff,134,66,NEW,M
Luis Sinisterra,135,-11,BOU,F
Marc Guehi,136,0,CRY,D
Kurt Zouma,137,-3,WHU,D
Josh Brownhill,138,-11,BUR,M
Jefferson Lerma,139,61,CRY,M
Scott McTominay,140,60,MUN,M
Jacob Murphy,141,59,NEW,M
Julio Enciso,142,58,BHA,F
Beto,143,-13,EVE,F
Emerson,144,-7,WHU,D
Nayef Aguerd,145,55,WHU,D
Matt Doherty,146,54,WOL,D
Ryan Gravenberch,147,53,LIV,M
Jean-Ricner Bellegarde,148,-4,WOL,M
Nicolas Dominguez,149,0,NOT,M
Said Benrahma,150,-25,WHU,M
