Player,ROS Rank,+/-,Team,Pos
Ben Mee,107,-7,BRF,D
Said Benrahma,108,-20,WHU,M
Ben White,109,7,ARS,D
Ansu Fati,110,2,BHA,F
Enzo Fernandez,111,-17,CHE,M
Callum Hudson-Odoi,112,-5,NOT,F
Joelinton,113,-8,NEW,M
Oliver McBurnie,114,-4,SHU,F
Sven Botman,115,-12,NEW,D
Beto,116,-10,EVE,F
William Saliba,117,-9,ARS,D
Vladimir Coufal,118,19,WHU,D
Jordan Ayew,119,-2,CRY,F
Alisson,120,-7,LIV,G
Pape Sarr,121,-6,TOT,M
Jose Sa,122,4,WOL,G
Lucas Digne,123,-5,AVL,D
Matheus Cunha,124,7,WOL,F
Kai Havertz,125,-5,ARS,F
Gabriel Magalhaes,126,-5,ARS,D
Oleksandr Zinchenko,127,3,ARS,D
Ryan Christie,128,5,BOU,M
Luis Sinisterra,129,5,BOU,F
Ibrahima Konate,130,-8,LIV,D
Guglielmo Vicario,131,-4,TOT,G
Michail Antonio,132,-3,WHU,F
Philip Billing,133,6,BOU,M
Kurt Zouma,134,-2,WHU,D
Josh Brownhill,135,-11,BUR,M
Levi Colwill,136,,CHE,D
Zeki Amdouni,137,,BUR,F
Armando Broja,138,,CHE,F
Axel Disasi,139,-11,CHE,D
Nayef Aguerd,140,,WHU,D
Julio Enciso,141,1,BHA,F
Lyle Foster,142,6,BUR,F
Dango Ouattara,143,-24,BOU,F
Jeffrey Schlupp,144,-6,CRY,M
Timothy Castagne,145,-1,FUL,D
Conor Gallagher,146,4,CHE,M
Anthony Elanga,147,-12,NOT,F
Alphonse Areola,148,,WHU,G
Sandro Tonali,149,,NEW,M
Cameron Archer,150,-5,SHU,F
