Player,ROS Rank,+/-,Team,Pos,gw
Eddie Nketiah,90,,ARS,F,11
Casemiro,91,-11.0,MUN,M,11
Solly March,92,-29.0,BHA,M,11
Mason Mount,93,-11.0,MUN,M,11
Bernardo Silva,94,3.0,MCI,M,11
Hwang Hee-Chan,95,12.0,WOL,F,11
Andrew Robertson,96,-7.0,LIV,D,11
Mykhailo Mudryk,97,-7.0,CHE,M,11
Christian Norgaard,98,-3.0,BRF,M,11
Ansu Fati,99,2.0,BHA,F,11
James Garner,100,-7.0,EVE,M,11
Dan Burn,101,-13.0,NEW,D,11
Andreas Pereira,102,-11.0,FUL,M,11
John McGinn,103,29.0,AVL,M,11
Guglielmo Vicario,104,8.0,TOT,G,11
Alex Iwobi,105,-1.0,FUL,M,11
Philip Billing,106,13.0,BOU,M,11
Leandro Trossard,107,-7.0,ARS,M,11
Alisson,108,20.0,LIV,G,11
Brennan Johnson,109,-4.0,TOT,F,11
Alexis Mac Allister,110,-16.0,LIV,M,11
Gustavo Hamer,111,-9.0,SHU,M,11
Vitalii Mykolenko,112,,EVE,D,11
Lucas Digne,113,-3.0,AVL,D,11
Oliver McBurnie,114,-5.0,SHU,F,11
Pape Sarr,115,-7.0,TOT,M,11
Gabriel Magalhaes,116,-10.0,ARS,D,11
Bernd Leno,117,-14.0,FUL,G,11
Jordan Ayew,118,0.0,CRY,F,11
Conor Gallagher,119,1.0,CHE,M,11
Lyle Foster,120,-5.0,BUR,F,11
Alex Moreno,121,-10.0,AVL,D,11
Aaron Wan-Bissaka,122,4.0,MUN,D,11
William Saliba,123,-9.0,ARS,D,11
Ibrahima Konate,124,-2.0,LIV,D,11
John Stones,125,,MCI,D,11
Ben Chilwell,126,-2.0,CHE,D,11
Joao Palhinha,127,,FUL,M,11
Anthony Elanga,128,1.0,NOT,F,11
Sven Botman,129,-13.0,NEW,D,11
Antonee Robinson,130,,FUL,D,11
Jose Sa,131,-4.0,WOL,G,11
Scott McTominay,132,8.0,MUN,M,11
Levi Colwill,133,-3.0,CHE,D,11
Oleksandr Zinchenko,134,-13.0,ARS,D,11
Kai Havertz,135,-22.0,ARS,F,11
Julio Enciso,136,6.0,BHA,F,11
Enzo Fernandez,137,-12.0,CHE,M,11
Murillo,138,,NOT,M,11
Marc Guehi,139,-3.0,CRY,D,11
Jefferson Lerma,140,-1.0,CRY,M,11
Josh Brownhill,141,-3.0,BUR,M,11
Rodrigo Bentancur,142,,TOT,M,11
Jean-Ricner Bellegarde,143,5.0,WOL,M,11
Alex Scott,144,,BOU,M,11
Nathan Collins,145,,BRF,D,11
Thiago Silva,146,-15.0,CHE,D,11
Josko Gvardiol,147,,MCI,D,11
Jarrad Branthwaite,148,,EVE,D,11
Nicolas Dominguez,149,0.0,NOT,M,11
Ryan Gravenberch,150,-3.0,LIV,M,11
