,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (sum),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (sum),gp (max)
35,vsLUT,RW,8,9.44,0.5,0.75,0.0,1.0,0.12,1.38,0.0,0.0,0.25,0.0,0.25,1.25,0.0,0.25,0.0,0.0,0.0,0.38,4,0.5,0.5,1.0,0.0,4.56,-0.69,4,1
36,vsMCI,FW,18,2.28,0.0,0.67,0.11,0.11,0.17,0.94,0.17,0.06,0.06,0.0,0.33,0.72,0.06,0.5,0.0,0.0,0.0,1.0,1,0.11,1.39,0.28,0.0,1.61,-1.19,12,1
37,vsMCI,LW,9,4.39,0.22,0.22,0.11,0.56,0.33,0.56,0.56,0.0,0.0,0.33,0.33,0.78,0.0,0.22,0.0,0.0,0.0,1.33,0,0.22,2.56,0.0,0.0,1.72,-1.39,5,1
38,vsMCI,RW,8,2.0,0.0,0.25,0.12,0.0,0.75,1.25,0.25,0.0,0.0,0.5,0.25,0.5,0.0,0.25,0.0,0.0,0.0,1.5,1,0.0,2.0,0.12,0.0,1.25,-1.12,4,1
39,vsMUN,FW,17,7.85,0.24,1.35,0.06,0.53,0.41,1.06,0.12,0.0,0.0,0.71,0.47,0.71,0.18,0.65,0.0,0.0,0.0,0.65,5,0.29,1.12,0.18,0.0,5.32,-0.76,5,1
40,vsMUN,LW,9,4.67,0.0,0.89,0.11,0.11,0.22,0.56,0.0,0.0,0.33,0.33,0.56,1.22,0.0,0.11,0.0,0.0,0.0,0.44,2,0.11,0.33,0.11,0.0,3.89,-0.28,5,1
41,vsMUN,RW,10,6.22,0.0,0.8,0.2,0.5,0.6,1.0,0.1,0.0,0.3,0.4,0.4,1.5,0.0,0.4,0.0,0.0,0.0,0.3,2,0.2,1.1,0.2,0.0,4.92,-0.7,6,1
42,vsNEW,FW,16,7.62,0.31,0.56,0.12,0.75,0.38,0.88,0.31,0.0,0.06,0.19,0.25,1.19,0.19,1.0,0.0,0.0,0.0,1.75,2,0.44,2.12,0.31,0.0,4.06,-1.06,6,1
43,vsNEW,LW,8,3.88,0.0,0.62,0.12,0.25,0.38,1.25,0.12,0.0,0.12,0.25,0.5,0.88,0.12,0.75,0.0,0.0,0.0,1.12,1,0.12,1.38,0.25,0.0,3.0,-0.88,4,1
44,vsNEW,RW,8,4.62,0.0,1.0,0.12,0.25,0.25,1.12,0.12,0.0,0.12,0.5,0.12,1.0,0.0,0.62,0.0,0.0,0.0,1.0,2,0.12,1.0,0.62,0.0,3.62,-1.06,4,1
45,vsNOT,FW,12,3.96,0.17,0.42,0.08,0.5,0.17,1.25,0.08,0.08,0.0,0.17,0.5,0.58,0.0,1.17,0.0,0.0,0.0,0.58,4,0.25,0.92,0.33,0.0,1.96,-1.38,7,1
46,vsNOT,LW,7,6.71,0.0,1.14,0.43,0.14,0.29,2.0,0.14,0.0,0.14,0.14,0.43,1.86,0.0,0.29,0.0,0.14,0.0,0.71,0,0.29,1.29,0.29,0.0,4.14,-1.29,4,1
47,vsNOT,RW,6,11.58,0.33,2.0,0.0,0.83,1.17,0.67,0.0,0.0,0.33,0.33,0.5,1.17,0.0,0.17,0.0,0.0,0.0,0.83,1,0.33,0.5,0.0,0.0,8.42,-0.33,3,1
48,vsSHU,FW,13,12.62,0.62,1.15,0.15,1.54,0.23,1.31,0.15,0.0,0.0,0.08,0.31,1.08,0.0,1.31,0.08,0.0,0.0,0.62,3,0.77,1.08,0.62,0.0,6.15,-1.27,7,1
49,vsSHU,LW,11,12.09,0.18,2.27,0.27,0.91,0.36,1.09,0.18,0.0,0.45,0.18,0.0,1.64,0.0,0.91,0.0,0.0,0.0,0.36,3,0.45,1.0,0.09,0.0,8.55,-0.91,7,1
50,vsSHU,RW,11,9.96,0.33,1.33,0.17,0.58,0.58,1.17,0.0,0.0,0.67,0.17,0.0,0.92,0.0,0.42,0.0,0.0,0.0,0.33,3,0.5,0.67,0.33,0.0,5.79,-0.58,8,1
51,vsTOT,FW,17,6.15,0.24,0.82,0.0,0.76,0.41,1.12,0.24,0.06,0.06,0.41,0.53,0.41,0.24,1.53,0.0,0.0,0.0,1.53,0,0.24,2.18,0.59,0.06,4.03,-1.44,11,1
52,vsTOT,LW,7,3.64,0.0,0.43,0.0,0.43,0.29,1.29,0.0,0.0,0.14,0.29,0.29,1.71,0.0,0.29,0.0,0.0,0.0,0.86,0,0.0,1.0,0.29,0.0,3.64,-0.64,5,1
53,vsTOT,RW,5,7.5,0.2,1.0,0.2,0.4,1.4,1.2,0.2,0.0,0.2,0.6,0.0,0.4,0.0,0.2,0.0,0.0,0.0,1.0,0,0.2,2.4,0.0,0.2,4.5,-1.0,3,1
54,vsWHU,FW,15,8.03,0.33,0.67,0.07,1.13,0.4,0.93,0.07,0.0,0.0,0.0,0.4,0.6,0.07,1.13,0.0,0.0,0.0,1.33,0,0.4,0.73,0.13,0.0,4.63,-0.6,7,1
55,vsWHU,LW,9,5.94,0.22,0.89,0.0,0.33,0.33,0.89,0.11,0.0,0.11,0.44,0.22,1.11,0.0,0.33,0.0,0.0,0.0,0.89,0,0.22,1.44,0.11,0.0,3.94,-0.67,5,1
56,vsWHU,RW,9,5.78,0.11,0.89,0.11,0.56,0.67,0.33,0.11,0.0,0.0,0.11,0.0,0.56,0.0,0.11,0.0,0.11,0.0,0.89,0,0.11,1.11,0.11,0.11,4.11,-0.39,5,1
57,vsWOL,FW,15,7.17,0.27,0.53,0.2,0.93,0.13,1.27,0.07,0.0,0.07,0.07,0.07,0.67,0.13,0.67,0.0,0.0,0.0,0.67,1,0.47,0.93,0.2,0.07,3.57,-0.77,8,1
58,vsWOL,LW,10,7.5,0.1,1.7,0.1,0.5,0.3,0.9,0.1,0.0,0.1,0.3,0.2,1.3,0.0,0.5,0.0,0.0,0.0,0.6,0,0.2,0.8,0.2,0.0,6.0,-0.65,3,1
59,vsWOL,RW,8,11.44,0.25,1.62,0.25,1.0,0.75,1.0,0.0,0.0,0.5,0.75,0.62,0.5,0.0,0.88,0.0,0.0,0.0,0.88,0,0.5,0.75,0.25,0.0,7.69,-0.5,3,1
