,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
59,vsLUT,RM,5,8.87,0.22,0.7,0.22,0.57,0.65,0.43,0.0,0.0,0.22,0.48,1.3,0.91,0.0,1.22,0.0,0.0,0.0,0.57,0.43,0.43,0.57,0.22,0.0,5.39,-0.22,0.43,1.0,31.5
29,vsBUR,RM,4,8.7,0.0,1.2,0.2,0.6,1.2,1.6,0.2,0.0,0.4,1.4,0.4,0.6,0.4,0.6,0.0,0.0,0.0,0.2,0.8,0.2,1.6,0.0,0.0,7.9,-1.2,0.4,1.0,25.0
7,vsAVL,DM,7,8.57,0.0,1.29,0.14,0.14,1.14,0.29,0.14,0.0,0.0,1.71,1.71,1.43,0.57,0.86,0.0,0.0,0.0,2.86,0.0,0.14,2.0,0.0,0.0,8.14,-0.43,0.29,1.0,22.4
81,vsSHU,CM,9,8.44,0.12,0.85,0.22,0.2,1.62,0.6,0.2,0.0,0.0,1.3,0.8,0.38,0.12,1.68,0.0,0.0,0.0,1.02,0.3,0.35,1.58,0.08,0.0,6.36,-0.7,0.48,1.0,20.57
39,vsCRY,RM,8,8.18,0.26,1.41,0.0,0.38,1.08,1.46,0.13,0.0,0.41,0.33,0.56,0.49,0.26,0.59,0.0,0.0,0.0,0.36,0.64,0.26,1.15,0.38,0.13,6.53,-1.29,0.49,1.0,18.84
94,vsWHU,RM,5,8.11,0.0,1.82,0.55,0.32,0.55,1.23,0.23,0.0,0.0,0.59,0.95,0.14,0.0,0.36,0.0,0.0,0.0,1.18,0.18,0.55,1.95,0.73,0.0,5.73,-1.07,0.59,1.0,31.0
91,vsWHU,CM,15,8.09,0.14,1.58,0.07,0.35,1.2,1.03,0.21,0.0,0.27,0.77,1.06,0.76,0.14,1.01,0.07,0.0,0.0,1.49,0.11,0.21,2.25,0.0,0.07,7.51,-1.22,0.46,1.0,22.46
98,vsWOL,LM,7,7.94,0.0,1.97,0.0,0.41,0.59,0.82,0.29,0.0,0.88,1.12,0.41,0.97,0.12,0.71,0.0,0.0,0.0,0.97,0.29,0.0,2.03,0.0,0.0,8.79,-1.0,0.59,1.0,18.4
38,vsCRY,LM,8,7.69,0.0,0.87,0.26,0.59,1.23,0.59,0.13,0.0,0.51,0.79,1.13,0.28,0.15,1.15,0.0,0.0,0.0,0.74,0.51,0.26,1.67,0.21,0.0,6.63,-0.86,0.49,1.0,21.41
58,vsLUT,LM,6,7.65,0.15,1.78,0.0,0.3,0.56,1.41,0.19,0.0,0.37,0.19,0.93,0.67,0.19,1.59,0.0,0.0,0.0,0.7,0.48,0.15,1.41,0.0,0.0,6.91,-1.07,0.7,1.0,24.2
