Player,Team,Position,GW,FPTS,Ghost Points,Overperformance,HeatStreak,Negative Fpts,Ros Rank,LiveRkOv,LiveRkOvByPos,Ros RankByPos,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,ROS %,MIN
Bruno Fernandes,MUN,M,8,11.5,11.5,-1,45.0,0.0,1,10,2,1,1,1,0,1,0,2,1,0,0,0,1,2,0,1,0,1,0,0,0,1,0,100%,90
Darwin Nunez,LIV,F,8,11.5,5.5,-10,28.5,-1.0,23,60,18,8,1,1,0,2,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,100%,90
Gabriel Magalhaes,ARS,D,8,11.0,5.0,-15,22.75,0.0,112,153,35,20,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,1,85%,90
John McGinn,AVL,M,8,11.0,11.0,14,30.0,-2.0,116,77,27,41,1,1,0,4,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,0,74%,90
Lyle Foster,BUR,F,8,10.5,4.5,8,31.5,0.0,104,81,24,32,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,39%,90
Declan Rice,ARS,M,8,10.5,9.5,0,18.5,-0.5,68,64,23,23,1,1,0,2,0,0,2,1,0,0,0,3,2,0,1,0,0,0,0,0,1,99%,90
Oleksandr Zinchenko,ARS,D,8,10.0,4.0,-16,27.75,0.0,139,167,42,26,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,96%,74
Phil Foden,MCI,M,8,10.0,10.0,-4,38.5,-1.0,13,19,9,5,1,1,0,2,0,0,2,2,0,0,0,0,2,4,0,2,0,0,0,1,0,100%,90
Ollie Watkins,AVL,F,8,10.0,4.0,6,82.5,-0.5,19,4,1,7,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,100%,90
Ashley Young,EVE,D,8,9.75,3.75,-25,8.5,-2.5,200,217,54,29,1,1,0,0,0,0,1,1,1,0,0,1,1,2,0,2,0,0,0,0,1,12%,90
Andreas Pereira,FUL,M,8,9.5,3.5,-3,18.0,-1.5,80,105,31,28,1,1,0,1,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,88%,70
Ethan Pinnock,BRF,D,8,9.25,9.25,-7,23.25,-4.0,39,53,11,4,1,1,0,0,0,0,1,0,0,0,0,3,17,0,3,2,0,0,0,2,0,96%,90
Alfie Doughty,LUT,M,8,9.0,9.0,4,47.0,0.0,56,44,16,20,1,1,0,2,0,0,3,0,0,0,1,0,2,0,0,2,0,0,0,1,0,64%,90
Marcus Tavernier,BOU,M,8,9.0,9.0,-25,22.0,-3.0,60,142,46,21,1,1,0,1,0,1,0,6,0,0,1,0,1,7,0,0,0,0,0,3,0,53%,90
William Saliba,ARS,D,8,8.5,2.5,0,16.75,0.0,130,107,24,24,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,97%,90
Martin Odegaard,ARS,M,8,8.0,7.0,-5,46.5,-1.0,11,18,8,3,1,1,0,2,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,1,100%,90
Alexis Mac Allister,LIV,M,8,8.0,8.0,-16,20.0,-1.0,119,175,58,42,1,1,0,0,0,0,2,2,0,0,0,6,1,1,0,0,0,0,0,2,0,92%,90
Carlos Vinicius,FUL,F,8,8.0,8.0,-7,12.5,-1.5,200,230,49,42,1,1,0,3,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,16%,77
Pelly Ruddock,LUT,M,8,8.0,8.0,-27,11.5,-0.5,200,255,78,51,1,1,0,2,0,0,1,1,0,0,1,1,2,0,1,1,0,0,0,1,0,1%,66
Nathaniel Clyne,CRY,D,8,7.75,1.75,-50,0.0,0.0,200,324,79,29,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1%,90
Kai Havertz,ARS,F,8,7.5,1.5,-10,18.5,-0.5,103,192,41,31,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81%,14
Alejandro Garnacho,MUN,M,8,7.5,7.5,-26,10.0,-0.5,200,254,77,51,0,1,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,49%,26
Oliver Norwood,SHU,M,8,7.5,7.5,2,13.5,-2.5,200,150,49,51,1,1,0,2,0,0,3,1,1,0,0,1,1,0,0,4,0,0,0,3,0,13%,90
Bryan Mbeumo,BRF,F,8,7.5,7.5,4,26.0,0.0,31,23,9,13,1,1,0,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,2,0,100%,90
Dejan Kulusevski,TOT,M,8,7.5,6.5,2,28.0,-2.5,22,20,10,12,1,1,0,1,0,1,0,5,0,0,2,0,0,3,0,0,0,0,0,0,1,100%,88
Vladimir Coufal,WHU,D,8,7.25,0.25,9,45.0,-4.0,92,39,8,17,1,1,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,80%,90
