,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (sum),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (max),gp (max)
35,WOL,LM,3,30.42,1.67,1.67,0.0,1.67,4.67,5.0,1.33,0.0,0.67,2.67,4.0,6.33,2.33,2.33,0.0,0.0,0.0,5.0,0,1.67,8.67,0.67,0.0,15.42,-11.17,4,8
21,FUL,LM,4,29.25,0.5,5.5,1.0,2.25,0.5,6.0,0.75,0.0,0.5,1.0,1.75,3.25,0.25,3.0,0.0,0.0,0.0,5.5,5,0.75,5.75,0.0,0.0,18.0,-4.5,4,8
17,EVE,CM,3,26.67,0.0,3.67,0.0,1.33,7.67,3.0,0.33,0.0,0.33,3.0,3.33,2.67,0.33,9.0,0.0,0.0,0.0,7.33,1,0.0,7.67,0.33,0.0,26.33,-2.17,5,8
16,CRY,RM,2,25.5,0.0,5.0,0.0,1.5,3.5,6.0,0.0,0.0,0.0,1.5,3.5,5.0,0.5,6.0,0.0,0.0,0.0,3.5,4,0.0,4.0,0.0,0.0,23.5,-3.0,4,8
14,CRY,CM,2,25.25,0.0,2.0,0.0,0.5,6.0,4.0,1.0,0.0,0.0,9.0,4.0,5.0,1.0,2.5,0.0,0.0,0.0,3.0,4,0.0,7.5,0.0,0.0,23.25,-4.0,3,7
9,BOU,DM,2,24.0,0.0,2.5,0.0,1.5,3.0,2.0,0.0,0.0,0.0,7.0,1.0,4.0,1.5,2.0,0.0,0.0,0.0,7.0,1,0.0,3.5,0.0,0.0,23.5,-1.0,3,6
20,FUL,CM,2,22.25,0.5,1.0,0.0,1.0,7.0,5.0,2.0,0.0,0.0,6.5,6.0,2.0,0.5,5.5,0.0,0.0,0.0,5.0,3,0.5,11.5,0.5,0.0,16.25,-6.5,4,6
34,WOL,CM,4,18.12,0.0,1.75,0.25,0.5,7.75,4.25,1.75,0.25,0.5,5.25,6.25,2.75,1.0,3.5,0.0,0.0,0.0,7.75,2,0.0,16.0,0.0,0.0,16.12,-7.38,4,8
28,NOT,LM,2,18.12,0.5,0.5,0.0,1.0,4.5,2.0,0.0,0.0,0.5,4.0,3.5,0.5,0.5,3.0,0.0,0.0,0.0,2.0,1,0.5,1.0,0.0,0.0,13.12,-2.0,1,3
31,WHU,CM,1,15.0,0.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,1.0,0.0,0.0,15.0,-1.0,2,6
27,NOT,CM,4,14.38,0.0,1.25,0.0,0.0,5.25,3.25,2.0,0.0,0.0,5.5,5.5,1.5,2.25,4.0,0.0,0.0,0.0,4.25,4,0.0,12.75,0.5,0.0,13.38,-5.62,3,7
8,BOU,CM,1,14.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,0,0.0,4.0,0.0,0.0,14.0,-1.0,3,5
13,CRY,AM,2,12.5,0.0,1.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,2.5,5.0,2.5,2.5,0.0,0.0,0.0,0.0,3.0,3,0.0,7.0,0.0,0.0,11.0,-4.5,3,5
26,NOT,AM,2,8.5,0.0,1.5,0.0,0.5,0.5,2.5,0.5,0.0,0.5,3.0,1.5,1.5,0.0,2.5,0.0,0.0,0.0,3.0,0,0.0,2.5,0.0,0.0,8.5,-2.25,2,4
4,BHA,CM,1,7.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0,0.0,7.0,0.0,0.0,7.0,-2.5,2,3
11,BRF,LM,1,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,2.5,0.0,2,3
1,AVL,CM,2,1.75,0.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.5,0,0.0,0.5,0.0,0.0,1.75,-0.75,3,8
12,BRF,RM,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
33,WOL,AM,1,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,8.0,0.0,0.0,0.0,-7.5,1,2
