Player,Team,Position,GS:GP,FPTS,FPts/90,Ghost Points,Ghosts/90,GPR,Negative Fpts,Ros Rank,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,MIN,FPTS/GS,Attacking Stats,Defensive Stats,Duel Stats,Liability Stats
Lucas Paqueta,WHU,M,0.91,80.5,8.24,87.5,8.96,1.09,-24.0,49,10,10,1,12,1,3,21,28,5,0,2,9,9,17,0,17,0,0,0,15,2,879,8.05,19,41,34,48
Diogo Jota,LIV,F,0.55,80.5,14.69,55.0,10.04,0.68,-13.5,42,6,10,3,9,2,7,5,9,1,1,0,2,3,10,1,10,0,0,0,3,2,493,13.42,27,13,20,14
Tomas Soucek,WHU,M,0.82,79.5,10.03,60.0,7.57,0.75,-5.5,71,9,10,2,6,1,4,9,3,2,0,1,9,24,0,9,24,0,0,0,14,1,714,8.83,16,52,24,19
Andrew Robertson,LIV,D,0.73,79.25,9.91,83.75,10.47,1.06,-20.5,96,8,8,1,19,0,2,11,1,1,0,6,8,19,1,3,8,0,0,0,9,1,720,9.91,28,42,9,11
Levi Colwill,CHE,D,1.00,79.25,7.63,81.75,7.88,1.03,-27.5,133,11,11,0,4,1,2,14,3,1,0,0,12,27,4,5,28,0,0,0,12,3,934,7.2,7,61,32,16
Luis Diaz,LIV,F,0.73,79.0,11.29,53.0,7.57,0.67,-7.0,28,8,10,3,7,1,5,9,14,0,0,1,1,0,15,0,6,0,0,0,7,2,630,9.88,23,12,21,21
Evan Ferguson,BHA,F,0.64,79.0,12.4,43.0,6.75,0.54,-9.0,65,7,11,5,4,0,13,2,18,0,0,0,1,3,3,1,4,0,0,0,13,1,573,11.29,42,8,7,31
Dan Burn,NEW,D,1.00,79.0,7.52,73.5,7.0,0.93,-28.5,101,11,11,1,3,0,3,9,5,2,0,2,10,26,1,8,25,0,0,0,11,4,945,7.18,9,57,26,18
Anthony Elanga,NOT,F,0.45,77.5,12.56,52.5,8.51,0.68,-2.0,128,5,11,1,7,3,8,2,4,0,0,4,3,3,10,1,5,0,0,0,6,1,555,15.5,23,10,15,10
Fabian Schar,NEW,D,1.00,77.25,7.02,67.25,6.11,0.87,-27.0,58,11,11,0,1,1,1,11,2,2,0,0,10,37,3,8,20,0,1,0,11,5,990,7.02,3,71,23,15
