Player,Team,Position,GS:GP,FPTS,FPts/90,Ghost Points,Ghosts/90,GPR,Negative Fpts,Ros Rank,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,MIN,FPTS/GS,Attacking Stats,Defensive Stats,Duel Stats,Liability Stats
Reece James,CHE,D,0.18,16.75,8.46,25.75,13.01,1.54,-9.0,41,2,4,0,5,0,0,2,2,0,0,4,1,3,3,1,4,0,0,0,4,0,178,8.38,9,7,7,6
Tom Cairney,FUL,M,0.18,16.5,9.32,13.0,7.34,0.79,-2.5,200,2,9,0,3,1,1,0,5,0,0,0,1,1,2,1,2,0,0,0,3,0,159,8.25,5,3,4,8
Joe Worrall,NOT,D,0.45,16.5,3.42,33.5,6.94,2.03,-23.0,200,5,6,0,2,0,0,5,0,0,1,0,3,26,0,4,11,0,0,0,8,1,435,3.3,2,39,11,9
Danilo,NOT,M,0.36,16.5,5.12,19.5,6.06,1.18,-3.0,200,4,5,0,2,0,1,1,2,1,0,0,7,3,3,0,5,0,0,0,6,0,290,4.12,3,11,8,9
Facundo Pellistri,MUN,M,0.09,16.0,13.56,11.0,9.32,0.69,-1.0,200,1,5,0,1,1,1,2,2,0,0,0,1,3,3,0,2,0,0,0,1,0,106,16.0,3,6,5,3
Saman Ghoddos,BRF,F,0.00,16.0,27.12,13.0,22.03,0.81,-6.0,200,0,6,1,3,0,1,3,0,3,0,1,0,1,0,1,0,0,0,0,2,0,53,inf,6,5,0,5
Teden Mengi,LUT,D,0.36,15.75,3.35,31.75,6.76,2.02,-16.0,200,4,6,0,0,0,0,1,0,0,0,0,13,19,0,5,8,0,0,0,8,0,423,3.94,0,38,8,8
Jordan Beyer,BUR,D,0.64,15.75,2.42,48.25,7.4,3.06,-32.5,200,7,7,0,0,0,0,12,1,3,0,0,9,29,2,6,12,0,0,0,13,0,587,2.25,0,56,14,17
Sasa Lukic,FUL,M,0.36,15.5,4.01,18.5,4.78,1.19,-4.0,200,4,7,0,2,0,1,4,4,1,0,0,3,5,3,2,1,0,0,0,7,1,348,3.88,3,15,4,12
Anthony Martial,MUN,F,0.18,15.5,6.25,17.5,7.06,1.13,-2.0,200,2,9,0,5,0,2,1,4,0,0,0,0,0,1,0,3,0,0,0,4,0,223,7.75,7,1,4,8
Jacob Ramsey,AVL,M,0.00,15.5,30.39,7.5,14.71,0.48,-1.0,200,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,46,inf,3,3,1,2
Chris Basham,SHU,D,0.27,15.25,4.41,30.25,8.74,1.98,-15.0,200,3,8,0,2,0,0,2,2,1,0,0,5,17,3,4,8,0,0,0,6,0,311,5.08,2,28,11,9
Jesurun Rak-Sakyi,CRY,M,0.00,15.0,10.56,15.5,10.92,1.03,-1.5,200,0,6,0,2,0,1,1,3,0,0,0,3,1,4,0,3,0,0,0,3,1,128,inf,3,6,7,6
Ben Davies,TOT,D,0.09,14.5,15.59,8.0,8.6,0.55,-0.5,200,1,5,0,0,1,0,4,1,0,0,0,0,4,1,2,0,0,0,0,0,0,84,14.5,1,10,1,1
Jean-Ricner Bellegarde,WOL,M,0.18,14.0,8.86,13.0,8.23,0.93,-8.0,143,2,3,1,2,0,1,2,2,0,1,0,1,2,2,1,2,0,0,0,3,0,142,7.0,4,6,4,6
Benie Traore,SHU,F,0.27,14.0,3.92,17.0,4.76,1.21,-3.0,200,3,6,0,3,0,1,2,6,0,0,0,1,0,5,1,0,0,0,0,9,0,321,4.67,4,4,5,15
Sofyan Amrabat,MUN,M,0.36,14.0,4.03,20.0,5.76,1.43,-6.0,200,4,5,0,3,0,0,7,4,2,0,0,3,4,0,2,4,0,0,0,4,0,312,3.5,3,16,4,10
Charlie Taylor,BUR,D,0.73,13.75,1.72,43.75,5.47,3.18,-40.0,200,8,8,1,3,0,1,5,4,3,0,2,4,19,4,4,12,0,0,0,16,0,720,1.72,7,32,16,23
Armando Broja,CHE,F,0.18,13.5,10.23,5.5,4.17,0.41,-1.0,200,2,3,1,0,0,1,0,2,0,0,0,0,1,3,0,1,0,0,0,1,1,119,6.75,2,2,4,3
Tariq Lamptey,BHA,D,0.09,13.5,9.0,14.0,9.33,1.04,-14.5,200,1,4,0,2,2,0,3,1,2,0,0,2,0,5,0,0,0,0,0,5,0,135,13.5,4,5,5,8
Neco Williams,NOT,D,0.09,13.25,10.19,21.25,16.35,1.6,-8.0,200,1,5,0,2,0,0,4,8,0,0,2,7,1,1,1,2,0,0,0,2,0,117,13.25,4,13,3,10
Youri Tielemans,AVL,M,0.00,12.5,6.19,9.0,4.46,0.72,-2.5,200,0,11,0,2,1,0,1,5,0,0,0,1,1,2,0,2,0,0,0,4,0,182,inf,3,3,4,9
Boubacar Traore,WOL,M,0.18,12.5,4.53,17.5,6.34,1.4,-5.0,200,2,8,0,1,0,0,10,6,1,0,1,1,3,1,1,3,0,0,0,9,0,248,6.25,2,15,4,16
Sergio Gomez,MCI,D,0.00,12.0,75.0,5.0,31.25,0.42,0.0,200,0,2,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,14,inf,2,1,2,0
Max Aarons,BOU,D,0.91,11.75,1.2,51.75,5.29,4.4,-53.0,200,10,11,0,6,1,0,12,6,1,0,3,4,15,8,5,4,0,0,0,24,1,881,1.18,10,37,12,31
Adam Lallana,BHA,M,0.27,11.5,4.94,13.5,5.79,1.17,-3.0,200,3,6,0,5,0,0,0,2,1,0,1,1,0,1,0,1,0,0,0,3,1,210,3.83,6,2,2,6
Lewis Dobbin,EVE,F,0.09,11.5,8.91,12.5,9.69,1.09,-1.0,200,1,3,0,1,0,1,2,2,0,0,0,1,0,5,0,1,0,0,0,2,1,116,11.5,2,4,6,4
Pierre-Emile Hojbjerg,TOT,M,0.09,11.0,3.53,16.5,5.29,1.5,-6.5,200,1,10,0,0,0,2,1,1,3,0,0,3,7,4,4,1,0,0,0,5,1,281,11.0,2,16,5,9
Rico Lewis,MCI,D,0.18,11.0,6.01,2.0,1.09,0.18,-3.0,200,2,5,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,2,165,5.5,0,3,1,3
Jack Robinson,SHU,D,0.91,11.0,1.05,68.0,6.49,6.18,-64.0,200,10,11,0,3,1,0,11,0,2,0,0,11,44,2,12,15,0,0,0,30,0,943,1.1,4,78,17,32
Lloyd Kelly,BOU,D,0.55,10.75,1.77,35.25,5.82,3.28,-30.5,200,6,7,0,3,0,0,7,1,1,0,0,4,17,1,7,6,0,0,0,14,1,545,1.79,3,36,7,16
George Baldock,SHU,D,0.36,10.75,2.7,25.75,6.47,2.4,-22.0,200,4,5,0,2,1,0,3,8,2,0,1,2,7,5,2,5,0,1,0,7,0,358,2.69,4,14,10,17
Jay Rodriguez,BUR,F,0.09,10.5,4.75,11.0,4.98,1.05,-0.5,200,1,6,0,1,0,1,2,1,0,0,0,1,1,2,1,2,0,0,0,5,0,199,10.5,2,5,4,6
Aaron Ramsey,BUR,M,0.18,10.5,4.71,13.0,5.83,1.24,-2.5,200,2,5,0,1,0,1,6,5,0,0,0,0,3,2,0,2,0,0,0,5,0,201,5.25,2,9,4,10
Hamed Traore,BOU,M,0.00,10.0,21.74,10.5,22.83,1.05,-0.5,200,0,3,0,1,0,2,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,41,inf,3,0,5,2
Alex Scott,BOU,M,0.27,10.0,4.76,12.0,5.71,1.2,-2.0,144,3,3,0,1,0,0,1,0,1,0,0,2,1,5,1,2,0,0,0,5,0,189,3.33,1,5,7,6
Carney Chukwuemeka,CHE,M,0.18,10.0,7.19,6.0,4.32,0.6,-5.0,200,2,2,1,1,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,2,0,125,5.0,3,1,1,6
Lesley Ugochukwu,CHE,F,0.09,10.0,6.54,13.0,8.5,1.3,-3.0,200,1,7,0,1,0,0,5,2,1,0,0,0,2,3,1,4,0,0,0,2,1,138,10.0,1,9,7,5
Mike Tresor,BUR,F,0.18,10.0,4.13,11.0,4.55,1.1,-1.0,200,2,6,0,4,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,6,0,218,5.0,4,3,1,8
Jakub Kiwior,ARS,D,0.18,9.75,4.85,7.75,3.86,0.79,-4.0,200,2,3,0,0,0,1,2,0,0,0,0,0,7,0,1,1,0,0,0,2,1,181,4.88,1,11,1,2
Amari'i Bell,LUT,D,0.64,9.5,1.53,34.0,5.47,3.58,-24.5,200,7,7,0,1,0,1,13,1,0,0,0,5,16,3,2,3,0,0,0,12,0,560,1.36,2,36,6,13
Keane Lewis-Potter,BRF,F,0.18,9.5,3.99,11.5,4.83,1.21,-2.0,200,2,6,0,1,0,1,0,4,0,0,1,1,2,5,0,1,0,0,0,5,0,214,4.75,3,3,6,9
Adam Webster,BHA,D,0.45,8.75,1.75,34.75,6.95,3.97,-26.0,200,5,5,0,1,0,1,7,0,1,0,0,5,19,0,3,11,0,0,0,12,0,450,1.75,2,34,11,13
Jorginho,ARS,M,0.27,8.5,2.66,11.0,3.44,1.29,-3.5,200,3,8,0,2,0,0,2,3,1,0,1,1,1,1,1,2,0,0,0,5,1,288,2.83,3,6,3,9
John Egan,SHU,D,0.55,8.25,1.54,46.75,8.72,5.67,-38.5,200,6,6,0,0,0,1,4,1,2,0,0,13,39,0,4,14,0,0,0,17,0,482,1.38,1,60,14,20
Matheus Franca,CRY,F,0.00,8.0,25.0,8.0,25.0,1.0,0.0,200,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,inf,4,0,0,0
Max Lowe,SHU,D,0.18,8.0,5.8,12.0,8.7,1.5,-4.0,200,2,2,0,1,0,0,5,0,0,0,0,1,4,0,2,1,0,0,0,2,0,124,4.0,1,12,1,2
Rodrigo Muniz,FUL,F,0.09,8.0,5.63,14.0,9.86,1.75,-6.0,200,1,5,0,3,0,1,0,8,1,0,0,1,2,0,0,10,0,0,0,2,1,128,8.0,4,4,10,11
Cheikhou Kouyate,NOT,M,0.00,8.0,10.96,10.5,14.38,1.31,-2.5,200,0,7,0,1,0,0,2,1,1,0,0,1,8,1,1,7,0,0,0,3,0,66,inf,1,12,8,5
Nathan Redmond,BUR,M,0.00,8.0,8.7,8.5,9.24,1.06,-0.5,200,0,6,0,2,0,0,1,1,0,0,1,0,1,2,0,1,0,0,0,4,0,83,inf,3,2,3,5
Nathaniel Clyne,CRY,D,0.09,8.0,5.63,2.0,1.41,0.25,0.0,200,1,3,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,128,8.0,0,6,0,0
Jarell Quansah,LIV,D,0.09,7.5,6.05,9.5,7.66,1.27,-2.0,200,1,3,0,0,0,0,3,0,0,0,0,2,6,1,0,2,0,0,0,1,0,112,7.5,0,11,3,1
Mohamed Elneny,ARS,M,0.00,7.5,750.0,1.5,150.0,0.2,0.0,200,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,inf,1,1,1,0
Jack Hinshelwood,BHA,M,0.09,7.0,7.45,7.0,7.45,1.0,0.0,200,1,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,85,7.0,2,3,0,5
Moussa Niakhate,NOT,D,0.36,7.0,1.76,20.0,5.03,2.86,-19.0,200,4,6,0,0,0,0,8,0,0,1,0,3,12,0,2,4,0,0,0,6,1,358,1.75,0,26,4,7
Hugo Bueno,WOL,D,0.09,6.75,4.5,12.75,8.5,1.89,-12.0,200,1,6,0,2,0,0,1,2,0,0,3,1,3,1,1,1,0,0,1,3,1,135,6.75,5,7,2,6
Anel Ahmedhodzic,SHU,D,0.73,6.75,0.84,59.75,7.47,8.85,-53.0,200,8,8,0,0,0,1,12,6,3,0,0,11,27,4,11,13,0,0,0,22,0,720,0.84,1,61,17,31
Noni Madueke,CHE,F,0.09,6.5,5.16,8.0,6.35,1.23,-1.5,200,1,5,0,2,0,1,0,3,0,0,1,0,1,1,0,0,0,0,0,3,0,113,6.5,4,1,1,6
Benson Manuel,BUR,F,0.09,6.5,9.29,7.0,10.0,1.08,-0.5,200,1,3,0,0,0,1,2,1,0,0,0,0,0,3,0,0,0,0,0,3,0,63,6.5,1,2,3,4
Philippe Coutinho,AVL,M,0.00,6.0,25.0,6.0,25.0,1.0,0.0,200,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,22,inf,1,0,4,1
Aleksandar Mitrovic,FUL,F,0.00,6.0,17.65,6.0,17.65,1.0,0.0,200,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,31,inf,1,0,5,0
Kalvin Phillips,MCI,M,0.00,6.0,6.38,7.0,7.45,1.17,-1.0,200,0,4,0,0,0,0,3,2,0,0,1,2,2,1,0,0,0,0,0,2,0,85,inf,1,7,1,4
Ian Maatsen,CHE,D,0.00,5.75,5.13,11.75,10.49,2.04,-6.0,200,0,7,0,2,0,0,2,4,1,0,1,2,3,0,0,2,0,0,0,1,0,101,inf,3,7,2,6
Diego Carlos,AVL,D,0.27,5.5,1.84,17.5,5.85,3.18,-12.0,200,3,7,0,0,0,1,4,0,0,0,0,3,10,1,1,4,0,0,0,6,0,269,1.83,1,18,5,6
Facundo Buonanotte,BHA,M,0.09,5.5,6.79,7.0,8.64,1.27,-1.5,200,1,3,0,1,0,1,1,3,0,0,0,2,0,0,0,0,0,0,0,1,0,73,5.5,2,3,0,4
Rhian Brewster,SHU,F,0.18,5.5,3.09,6.0,3.37,1.09,-0.5,200,2,5,0,1,0,1,1,1,0,0,0,0,1,0,0,2,0,0,0,5,0,160,2.75,2,2,2,6
Kieffer Moore,BOU,F,0.00,5.5,6.32,6.0,6.9,1.09,-0.5,200,0,5,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,78,inf,2,0,4,2
Reiss Nelson,ARS,F,0.00,5.5,10.19,6.0,11.11,1.09,-0.5,200,0,4,0,2,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,49,inf,3,3,0,1
Auston Trusty,SHU,D,0.36,5.5,1.33,34.0,8.21,6.18,-28.5,200,4,6,0,1,0,0,8,1,1,0,1,5,24,0,4,8,0,0,0,13,0,373,1.38,2,41,8,15
Michael Keane,EVE,D,0.18,5.25,2.09,21.75,8.67,4.14,-16.5,200,2,4,0,0,0,2,2,1,1,0,0,4,7,0,2,8,0,0,0,7,0,226,2.62,2,15,8,9
Gonzalo Montiel,NOT,D,0.09,5.25,2.88,11.25,6.18,2.14,-6.0,200,1,4,0,2,0,0,2,0,2,0,0,2,5,0,0,2,0,0,0,1,0,164,5.25,2,9,2,3
Tommy Doyle,WOL,M,0.09,5.0,2.78,7.0,3.89,1.4,-3.0,200,1,5,0,1,0,0,2,2,1,0,1,1,6,0,1,0,0,0,0,2,1,162,5.0,2,11,0,5
Naouirou Ahamada,CRY,M,0.00,5.0,6.25,5.5,6.88,1.1,-0.5,200,0,5,0,0,0,0,2,1,0,0,0,1,0,2,0,1,0,0,0,2,0,72,inf,0,3,3,3
Jairo Riedewald,CRY,M,0.09,5.0,5.32,4.5,4.79,0.9,-0.5,200,1,2,0,0,0,0,1,1,0,0,0,2,0,1,0,1,0,0,0,0,1,85,5.0,0,4,2,1
Calvin Bassey,FUL,D,0.36,5.0,1.14,27.0,6.18,5.4,-22.0,200,4,7,0,0,0,1,6,2,0,1,0,6,16,2,3,4,0,0,0,7,0,393,1.25,1,31,6,10
Jadon Sancho,MUN,M,0.00,5.0,6.17,6.0,7.41,1.2,-1.0,200,0,3,0,1,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,1,0,73,inf,1,1,3,3
Marcos Senesi,BOU,D,0.45,4.75,0.88,34.25,6.38,7.21,-36.5,200,5,9,0,2,1,0,8,1,1,0,0,4,25,4,5,3,0,0,0,17,0,483,0.95,3,42,7,19
Angelo Ogbonna,WHU,D,0.09,4.75,3.89,6.75,5.53,1.42,-2.0,200,1,2,0,0,0,0,0,0,0,0,0,1,7,0,3,1,0,0,0,1,0,110,4.75,0,11,1,1
Milos Kerkez,BOU,D,0.91,4.75,0.5,57.25,6.05,12.05,-58.5,200,10,11,0,2,0,0,11,7,1,0,6,9,29,7,2,11,0,0,1,24,1,851,0.48,8,52,18,33
Ben Mee,BRF,D,0.18,4.5,2.66,12.5,7.4,2.78,-8.0,200,2,3,0,1,0,0,5,4,0,0,0,1,6,0,1,2,0,0,0,3,0,152,2.25,1,13,2,7
Oliver Skipp,TOT,M,0.09,4.0,2.15,6.5,3.49,1.62,-2.5,200,1,7,0,1,0,0,4,1,1,0,0,0,0,0,0,1,0,0,0,6,0,167,4.0,1,4,1,8
Ehor Yarmolyuk,BRF,M,0.00,4.0,9.76,5.0,12.2,1.25,-1.0,200,0,3,0,0,0,1,1,2,0,0,0,1,2,1,0,0,0,0,0,0,0,37,inf,1,4,1,2
Kevin De Bruyne,MCI,M,0.09,4.0,16.67,4.0,16.67,1.0,0.0,43,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,22,4.0,3,0,0,0
Aaron Hickey,BRF,D,0.82,4.0,0.51,28.5,3.6,7.12,-36.5,200,9,9,0,1,0,1,9,5,5,0,0,3,10,5,3,2,0,0,0,12,2,713,0.44,2,27,7,22
Zanka,BRF,D,0.00,4.0,66.67,4.0,66.67,1.0,0.0,200,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,inf,2,1,0,0
Valentino Livramento,NEW,D,0.00,3.5,3.57,6.5,6.63,1.86,-3.0,200,0,5,0,0,0,0,2,2,1,0,0,3,2,0,1,0,0,0,0,0,0,88,inf,0,8,0,3
Jaidon Anthony,BOU,F,0.18,3.5,2.1,6.5,3.89,1.86,-3.0,200,2,3,0,0,0,1,1,2,1,0,0,1,2,2,0,1,0,0,0,5,0,150,1.75,1,4,3,8
Albert Sambi Lokonga,LUT,M,0.18,3.5,2.45,4.0,2.8,1.14,-0.5,200,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,129,1.75,2,0,0,3
Tom Davies,SHU,M,0.00,3.5,5.83,7.0,11.67,2.0,-3.5,200,0,3,0,1,0,0,2,3,1,0,0,2,2,1,0,0,0,0,0,5,0,54,inf,1,6,1,9
Joe Willock,NEW,M,0.00,3.5,7.14,4.0,8.16,1.14,-0.5,200,0,2,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,44,inf,2,1,1,1
Aaron Cresswell,WHU,D,0.09,3.5,3.76,5.5,5.91,1.57,-2.0,200,1,1,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,1,0,84,3.5,3,2,1,1
Aymeric Laporte,MCI,D,0.00,3.25,29.55,3.25,29.55,1.0,0.0,200,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10,inf,1,2,0,0
Sergio Reguilon,MUN,D,0.18,3.25,1.64,7.75,3.91,2.38,-10.5,200,2,3,0,2,0,0,0,1,1,0,0,1,3,2,0,0,0,0,0,4,1,178,1.62,2,5,2,6
Luke Harris,FUL,M,0.00,3.0,3.7,3.0,3.7,1.0,0.0,200,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,73,inf,1,1,0,5
Chris Richards,CRY,D,0.09,3.0,2.5,9.0,7.5,3.0,-6.0,200,1,4,0,0,0,0,0,0,0,0,0,2,8,0,2,3,0,0,0,3,0,108,3.0,0,12,3,3
Mikkel Damsgaard,BRF,M,0.00,3.0,5.36,3.0,5.36,1.0,0.0,200,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,50,inf,1,2,0,0
Giovani Lo Celso,TOT,M,0.00,3.0,12.5,3.0,12.5,1.0,0.0,200,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,inf,1,1,0,0
Chris Mepham,BOU,D,0.18,3.0,1.63,15.0,8.15,5.0,-12.0,200,2,4,0,1,0,1,2,0,1,0,0,3,8,0,2,2,0,0,0,5,0,166,1.5,2,15,2,6
Matt Ritchie,NEW,D,0.00,2.75,25.0,2.75,25.0,1.0,0.0,200,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,10,inf,0,5,0,0
Igor Julio dos Santos de Paulo,BHA,D,0.27,2.5,0.93,14.5,5.37,5.8,-12.0,200,3,4,0,2,0,0,2,0,1,0,0,3,6,0,1,3,0,0,0,5,0,243,0.83,2,12,3,6
Lisandro Martinez,MUN,D,0.45,2.5,0.6,21.5,5.16,8.6,-26.0,200,5,5,0,3,1,0,6,2,2,0,0,2,10,2,2,1,0,0,1,8,0,375,0.5,4,20,3,13
Adama Traore,FUL,F,0.00,2.5,7.81,3.0,9.38,1.2,-0.5,200,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,3,0,29,inf,1,1,2,4
Wataru Endo,LIV,M,0.09,2.5,2.03,3.5,2.85,1.4,-1.0,200,1,6,0,0,0,0,2,2,0,0,0,1,4,0,0,1,0,0,0,2,0,111,2.5,0,7,1,4
Ben Osborn,SHU,M,0.27,2.5,0.96,8.0,3.08,3.2,-5.5,200,3,6,0,2,0,0,1,3,2,0,2,0,6,0,0,2,0,0,0,5,0,234,0.83,4,7,2,10
Michael Olakigbe,BRF,F,0.00,2.5,22.73,2.5,22.73,1.0,0.0,200,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,inf,1,0,1,0
Donny van de Beek,MUN,M,0.00,2.0,200.0,2.0,200.0,1.0,0.0,200,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,inf,1,0,0,0
Tosin Adarabioyo,FUL,D,0.00,2.0,200.0,2.0,200.0,1.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,inf,0,5,0,0
Andre Brooks,SHU,M,0.00,1.5,7.89,1.5,7.89,1.0,0.0,200,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,17,inf,0,1,1,1
Leander Dendoncker,AVL,M,0.00,1.5,21.43,2.0,28.57,1.33,-0.5,200,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,inf,0,2,0,1
Curtis Jones,LIV,M,0.36,1.0,0.32,12.5,4.06,12.5,-12.5,200,4,5,0,0,0,1,4,7,1,1,0,2,3,4,0,1,0,0,0,2,1,277,0.25,1,10,5,11
Jonny,WOL,D,0.00,1.0,33.33,1.0,33.33,1.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,inf,0,1,0,0
Gabriel Osho,LUT,D,0.18,1.0,0.62,8.0,4.94,8.0,-7.0,200,2,2,0,0,0,0,2,2,0,0,0,2,8,1,1,0,0,0,0,3,0,146,0.5,0,13,1,5
David Ozoh,CRY,M,0.00,0.5,25.0,0.5,25.0,1.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,inf,0,0,1,0
Bertrand Traore,AVL,M,0.00,0.5,5.0,1.0,10.0,2.0,-0.5,200,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,inf,0,1,0,1
Davinson Sanchez,TOT,D,0.00,0.5,0.6,6.5,7.83,13.0,-6.0,200,0,1,0,0,0,0,0,0,1,0,0,1,2,0,2,3,0,0,0,2,0,75,inf,0,5,3,3
Anis Ben Slimane,SHU,M,0.09,0.5,0.45,5.0,4.5,10.0,-4.5,200,1,4,0,0,0,1,1,1,2,0,0,1,0,0,0,2,0,0,0,6,0,100,0.5,1,2,2,9
James Hill,BOU,D,0.00,0.5,3.12,1.0,6.25,2.0,-0.5,200,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,14,inf,0,0,1,1
Deivid Washington de Souza Eugenio,CHE,F,0.00,0.5,5.56,1.0,11.11,2.0,-0.5,200,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,inf,0,1,0,2
Jurrien Timber,ARS,D,0.09,0.25,0.46,2.25,4.17,9.0,-2.0,200,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,49,0.25,0,2,1,1
Tyrone Mings,AVL,D,0.09,0.25,0.76,4.25,12.88,17.0,-4.0,200,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,30,0.25,1,2,1,2
Mason Burstow,CHE,F,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0.0,0,0,0,1
Bryan Gil,TOT,F,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,1
Maxwel Cornet,WHU,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0
Ben Godfrey,EVE,D,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0
Tyler Onyango,EVE,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0
Yasser Larouci,SHU,D,0.09,0.0,0.0,14.5,6.04,inf,-14.5,200,1,5,0,0,0,1,1,1,0,0,0,5,10,3,1,0,0,0,0,7,0,216,0.0,1,17,3,8
Ben Doak,LIV,F,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0,0,0,0
Luke Berry,LUT,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0.0,0,0,0,1
Antwoine Hackford,SHU,F,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0.0,0,0,0,1
Jack Cork,BUR,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0,0,0,0
Josh Dasilva,BRF,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0,0,0,0
Shandon Baptiste,BRF,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0.0,0,1,0,0
Rodrigo Bentancur,TOT,M,0.00,0.0,0.0,0.5,1.56,inf,-0.5,142,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,29,0.0,0,0,1,5
Jaden Philogene-Bidace,AVL,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,0,0,0,1
James Tomkins,CRY,D,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0
Andrey Santos,NOT,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0,0,0,0
