,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
37,vs LIV,CB,28,3.95,0.07,0.46,0.0,0.14,0.86,0.18,0.11,0.0,0.07,1.5,4.36,0.46,0.93,1.54,0.0,0.0,0.0,2.14,0.0,0.07,0.86,0.04,0.0,7.61,-4.38,0.5,1,15.79
55,vs NEW,RB,12,3.77,0.0,0.58,0.08,0.17,1.25,0.42,0.25,0.0,0.25,0.83,1.92,1.08,0.25,0.42,0.0,0.0,0.0,1.58,0.17,0.08,2.0,0.08,0.0,6.06,-3.88,0.42,1,15.48
59,vs NOT,WB,3,3.0,0.0,0.67,0.0,0.0,1.0,1.33,0.67,0.0,1.0,0.33,1.33,1.0,0.0,2.0,0.0,0.0,0.0,1.33,0.0,0.0,3.0,0.0,0.0,6.33,-3.33,0.67,1,29.88
8,vs BHA,LB,10,2.98,0.1,0.9,0.0,0.3,1.6,0.9,0.3,0.0,0.5,1.3,2.1,0.9,0.1,0.2,0.0,0.0,0.1,2.0,0.0,0.1,1.6,0.1,0.0,7.52,-5.55,0.5,1,24.5
54,vs NEW,LB,11,2.86,0.0,0.82,0.18,0.0,0.91,0.18,0.36,0.0,0.09,1.09,2.0,0.64,0.45,0.73,0.0,0.0,0.0,2.36,0.18,0.18,1.64,0.09,0.0,6.05,-5.55,0.55,1,14.36
70,vs WHU,WB,4,2.62,0.0,0.75,0.0,0.0,0.75,0.75,0.0,0.0,1.5,0.25,1.0,1.0,0.75,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.75,0.5,0.0,7.0,-4.38,0.0,1,0.62
74,vs WOL,WB,2,2.5,0.0,0.5,0.0,0.0,2.0,1.0,0.0,0.0,0.5,0.5,2.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,-2.5,1.0,1,-3.25
63,vs TOT,CB,27,2.4,0.0,0.15,0.11,0.07,1.07,0.22,0.3,0.0,0.0,0.93,3.96,0.44,1.11,1.63,0.0,0.0,0.07,1.96,0.0,0.11,1.56,0.07,0.0,6.62,-5.0,0.59,1,11.93
65,vs TOT,RB,10,2.2,0.0,0.8,0.1,0.1,1.2,0.6,0.2,0.0,0.3,1.2,2.0,0.8,0.4,0.3,0.0,0.0,0.1,1.9,0.0,0.0,2.2,0.1,0.0,6.5,-5.0,0.6,1,10.59
24,vs CHE,RB,10,2.2,0.0,0.5,0.0,0.3,0.7,0.7,0.2,0.0,0.6,0.7,2.2,0.5,0.3,0.4,0.0,0.0,0.0,1.8,0.2,0.0,2.0,0.0,0.0,5.35,-4.35,0.5,1,16.28
1,vs ARS,LB,11,2.16,0.0,0.36,0.0,0.09,1.64,1.09,0.18,0.0,0.27,1.0,3.18,0.09,0.64,1.36,0.0,0.0,0.0,2.09,0.09,0.0,2.45,0.0,0.0,6.7,-5.09,0.45,1,10.72
0,vs ARS,CB,25,1.65,0.0,0.12,0.0,0.04,0.84,0.12,0.2,0.04,0.04,0.8,3.96,0.2,1.12,1.8,0.0,0.0,0.04,2.0,0.08,0.0,1.64,0.04,0.0,6.11,-4.94,0.4,1,11.42
