Player,Team,Position,GS:GP,FPTS,FPts/90,Ghost Points,Ghosts/90,GPR,Negative Fpts,Ros Rank,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,MIN,FPTS/GS,90s,Attacking Stats,Defensive Stats,Duel Stats,Liability Stats,deadball agg,position
Elijah Adebayo,LUT,F,0.45,99.0,11.09,64.5,7.22,0.65,-10.5,200,9,19,5,11,0,7,0,17,1,0,0,4,15,9,1,29,0,0,0,20,1,804,11.0,8.93,43,21,38,38,0.0,
Konstantinos Tsimikas,LIV,D,0.40,98.25,13.4,69.25,9.45,0.7,-16.0,73,8,10,0,15,3,0,13,4,0,0,9,6,9,4,1,4,0,0,0,7,4,660,12.28,7.33,27,33,8,11,107.0,LB
Joseph Gomez,LIV,D,0.40,98.25,9.64,94.25,9.25,0.96,-20.0,200,8,17,0,11,0,1,16,4,2,0,3,12,25,10,3,20,0,0,0,7,4,917,12.28,10.19,15,60,30,13,56.0,CB
James Mcatee,SHU,M,0.55,97.0,8.73,82.5,7.43,0.85,-14.5,200,11,16,1,14,3,4,16,21,2,0,1,7,8,18,0,9,0,0,0,32,2,1000,8.82,11.11,23,33,27,55,0.0,
Jack Grealish,MCI,M,0.35,96.5,12.8,79.5,10.54,0.82,-18.0,27,7,12,3,19,1,5,8,16,5,0,2,4,3,14,2,3,0,0,0,9,2,679,13.79,7.54,36,19,17,30,0.0,
Jeffrey Schlupp,CRY,M,0.75,96.5,8.05,85.5,7.13,0.89,-8.0,200,15,17,1,14,1,6,17,16,0,0,0,7,16,12,2,15,0,0,0,15,4,1079,6.43,11.99,22,46,27,31,0.0,
Chiedozie Ogbene,LUT,F,0.50,96.0,8.64,86.0,7.74,0.9,-5.0,200,10,18,1,15,1,3,8,10,0,0,6,4,14,26,1,10,0,0,0,19,1,1000,9.6,11.11,26,28,36,29,30.0,AM
Matty Cash,AVL,D,0.75,95.0,6.79,104.0,7.43,1.09,-54.0,80,15,17,2,7,1,10,20,6,5,0,6,14,28,7,6,10,0,0,1,18,3,1260,6.33,14.0,28,71,17,30,76.0,RB
Tyrick Mitchell,CRY,D,0.95,94.25,5.21,105.25,5.82,1.12,-65.0,200,19,19,1,11,2,1,24,10,4,0,8,15,53,6,7,8,0,0,0,26,5,1627,4.96,18.08,23,104,14,40,142.0,LB
Amadou Onana,EVE,M,0.75,94.0,6.44,88.5,6.07,0.94,-6.5,200,15,16,1,9,0,4,25,5,2,0,1,9,15,7,2,37,0,0,0,22,3,1313,6.27,14.59,15,54,44,29,0.0,
Solly March,BHA,M,0.35,93.0,15.15,65.0,10.59,0.7,-7.0,92,7,7,3,7,1,6,14,10,1,0,3,11,8,8,0,6,0,0,0,11,2,553,13.29,6.14,26,35,14,22,57.0,RW
Oliver Norwood,SHU,M,0.70,93.0,6.61,97.5,6.92,1.05,-13.5,200,14,18,1,15,0,6,21,3,6,0,4,18,34,0,6,13,0,0,0,37,0,1267,6.64,14.08,26,79,13,46,159.0,CM
Ibrahima Konate,LIV,D,0.45,91.75,9.45,94.25,9.71,1.03,-26.5,124,9,14,0,5,0,2,14,5,2,0,0,9,25,3,8,40,0,0,0,10,4,874,10.19,9.71,7,60,43,17,9.0,CB
Harry Toffolo,NOT,D,0.50,91.0,8.94,93.5,9.18,1.03,-45.5,200,10,13,1,14,3,5,6,3,2,0,8,11,26,1,9,14,0,0,0,20,2,916,9.1,10.18,31,54,15,25,83.0,LB
Nathan Ake,MCI,D,0.55,90.75,8.15,69.25,6.22,0.76,-24.5,200,11,15,2,6,2,3,8,1,0,0,0,7,29,3,0,26,0,0,0,12,2,1003,8.25,11.14,15,46,29,13,45.0,CB
Pervis Estupinan,BHA,D,0.35,90.5,12.93,78.0,11.14,0.86,-34.5,30,7,8,2,15,3,5,6,3,2,0,7,11,8,3,2,7,0,0,1,12,1,630,12.93,7.0,34,28,10,18,38.0,LB
Vinicius de Souza Costa,SHU,M,0.90,90.5,5.42,100.0,5.99,1.1,-10.5,200,18,19,0,1,0,2,38,13,2,0,1,20,38,11,4,40,0,0,0,40,1,1502,5.03,16.69,4,101,51,55,0.0,
Thiago Silva,CHE,D,0.90,90.5,4.93,117.0,6.38,1.29,-60.5,146,18,19,1,6,0,2,10,1,2,0,0,17,80,2,17,35,0,0,0,28,4,1651,5.03,18.34,9,128,37,31,52.0,CB
Sander Berge,BUR,M,0.85,90.5,5.55,95.5,5.86,1.06,-22.0,200,17,20,1,11,1,2,19,14,4,1,1,11,27,9,10,39,0,0,0,33,2,1467,5.32,16.3,16,69,48,52,0.0,
Leandro Trossard,ARS,M,0.30,90.0,12.52,62.0,8.62,0.69,-7.0,107,6,16,3,13,1,7,6,14,0,0,4,6,1,4,0,4,0,0,0,6,2,647,15.0,7.19,34,15,8,20,25.0,LW
Harry Maguire,MUN,D,0.45,90.0,9.71,84.5,9.12,0.94,-26.5,200,9,11,0,2,2,1,6,1,1,0,1,13,38,0,13,36,0,0,0,12,3,834,10.0,9.27,6,73,36,14,18.0,CB
Luca Koleosho,BUR,F,0.65,90.0,8.35,76.0,7.05,0.84,-7.0,200,13,15,1,11,2,5,4,14,0,0,2,2,0,33,0,2,0,1,0,23,3,970,6.92,10.78,21,9,35,37,0.0,
Boubacar Kamara,AVL,M,0.80,89.5,6.0,102.5,6.87,1.15,-24.0,200,16,16,0,19,1,1,24,10,6,1,0,18,12,9,5,13,0,0,0,18,5,1342,5.59,14.91,21,64,22,35,32.0,DM
Josko Gvardiol,MCI,D,0.65,89.5,6.72,102.0,7.66,1.14,-36.5,147,13,15,0,9,0,7,16,9,2,0,3,16,12,8,8,16,0,0,0,14,4,1198,6.88,13.31,19,56,24,25,78.0,LB
Sean Longstaff,NEW,M,0.60,89.5,6.89,67.5,5.2,0.75,-20.0,200,12,17,2,12,3,6,12,20,5,0,3,6,12,4,4,5,0,0,0,19,6,1169,7.46,12.99,28,40,9,44,16.0,RM
Jamaal Lascelles,NEW,D,0.60,88.5,7.65,88.5,7.65,1.0,-40.0,200,12,14,1,2,0,1,8,4,4,0,0,4,42,1,12,47,0,0,0,15,5,1041,7.38,11.57,4,71,48,23,0.0,
Nathan Collins,BRF,D,0.65,88.25,6.67,106.75,8.07,1.21,-53.5,145,13,15,1,3,1,1,8,3,2,0,0,20,63,7,9,39,0,0,0,24,3,1191,6.79,13.23,6,103,46,29,47.0,CB
Johann Gudmundsson,BUR,M,0.45,87.5,10.53,82.5,9.93,0.94,-8.0,200,9,13,0,24,2,2,4,8,2,0,9,11,8,2,0,9,0,0,0,14,1,748,9.72,8.31,37,24,11,24,77.0,RW
Pau Torres,AVL,D,0.80,86.5,5.14,87.5,5.2,1.01,-45.0,200,16,18,2,7,0,4,10,6,1,0,3,8,38,13,6,16,0,0,0,20,4,1515,5.41,16.83,18,66,29,27,64.0,CB
Taiwo Awoniyi,NOT,F,0.40,86.0,11.68,44.5,6.05,0.52,-6.5,62,8,10,4,9,2,5,3,9,1,0,0,0,8,6,0,15,0,0,0,11,2,662,10.75,7.36,32,13,21,21,0.0,
Dara O'Shea,BUR,D,0.75,86.0,5.58,134.5,8.73,1.56,-81.5,200,15,16,0,7,3,2,8,1,3,0,1,18,74,1,16,54,0,0,1,35,2,1387,5.73,15.41,13,118,55,40,20.0,CB
Marc Guehi,CRY,D,0.95,85.5,4.5,103.5,5.45,1.21,-55.0,139,19,19,0,4,1,0,15,2,1,0,0,15,82,6,15,24,0,0,0,26,5,1708,4.5,18.98,5,132,30,29,44.0,CB
Wilson Odobert,BUR,F,0.35,85.5,13.66,59.0,9.42,0.69,-6.5,200,7,11,3,10,1,5,9,5,2,0,1,2,4,16,1,0,0,0,0,14,1,563,12.21,6.26,26,17,16,21,0.0,
Illia Zabarnyi,BOU,D,0.95,84.75,4.46,131.25,6.91,1.55,-76.5,200,19,19,0,2,0,1,19,1,3,0,0,20,73,7,20,41,0,0,0,35,5,1710,4.46,19.0,3,137,48,39,0.0,
Billy Gilmour,BHA,M,0.70,84.5,5.98,74.0,5.24,0.88,-10.5,200,14,19,0,18,3,5,9,5,4,0,2,5,10,2,6,8,0,0,0,23,3,1271,6.04,14.12,28,33,10,32,74.0,DM
Bobby De Cordova-Reid,FUL,F,0.50,84.5,9.17,49.0,5.32,0.58,-6.5,200,10,18,4,6,1,5,10,5,2,0,2,3,7,6,2,8,0,0,0,22,1,829,8.45,9.21,30,23,14,29,0.0,
Neal Maupay,BRF,F,0.35,84.5,9.64,62.0,7.07,0.73,-13.5,200,7,16,2,10,3,12,5,15,3,0,2,1,4,6,0,8,0,0,0,18,2,789,12.07,8.77,31,12,14,36,10.0,FW
Joao Gomes,WOL,M,0.85,83.5,5.44,94.5,6.15,1.13,-20.0,200,17,18,0,9,1,2,33,20,5,0,6,12,12,12,3,13,0,0,0,24,3,1382,4.91,15.36,18,63,25,49,32.0,CM
Luis Sinisterra,BOU,F,0.10,83.0,21.45,60.5,15.63,0.73,-1.5,200,2,12,2,10,1,5,6,3,0,0,0,5,2,15,0,9,0,0,0,8,1,348,41.5,3.87,20,14,24,11,0.0,
Oliver McBurnie,SHU,F,0.40,83.0,11.08,71.5,9.55,0.86,-21.5,114,8,11,3,6,1,9,2,11,1,2,1,3,15,4,1,61,0,0,0,20,0,674,10.38,7.49,26,21,65,34,0.0,
Jacob Brown,LUT,F,0.60,82.5,7.45,78.0,7.04,0.95,-19.5,200,12,18,2,8,1,7,12,23,4,0,3,8,16,4,1,40,0,0,0,26,1,997,6.88,11.08,23,38,44,53,0.0,
Andros Townsend,LUT,M,0.40,81.5,11.97,56.0,8.22,0.69,-4.5,200,8,11,1,9,3,5,9,9,0,0,6,4,2,9,0,0,0,0,0,13,3,613,10.19,6.81,24,18,9,22,0.0,
Nelson Semedo,WOL,D,0.95,80.25,4.42,131.25,7.22,1.64,-76.0,200,19,19,0,10,1,2,26,16,4,0,7,19,45,25,6,13,0,0,0,30,3,1635,4.22,18.17,20,99,38,50,137.0,RB
Timothy Castagne,FUL,D,0.70,80.0,5.64,100.0,7.05,1.25,-44.0,200,14,17,0,10,0,2,10,4,1,0,5,24,24,11,3,17,0,0,0,20,4,1276,5.71,14.18,17,65,28,25,111.0,LB
Andrew Robertson,LIV,D,0.40,79.25,9.91,83.75,10.47,1.06,-20.5,96,8,8,1,19,0,2,11,1,1,0,6,8,19,1,3,8,0,0,0,9,1,720,9.91,8.0,28,42,9,11,162.0,LB
Axel Disasi,CHE,D,0.90,77.5,4.37,102.5,5.78,1.32,-59.0,200,18,18,1,2,0,2,12,10,3,0,0,10,54,6,10,43,0,0,0,24,4,1596,4.31,17.73,5,90,49,37,38.0,CB
Ezri Konsa,AVL,D,1.00,77.0,3.94,113.5,5.81,1.47,-67.5,200,20,20,0,5,1,2,20,7,5,0,2,21,42,14,11,19,0,1,0,27,4,1758,3.85,19.53,10,98,33,39,66.0,CB
Giovani Lo Celso,TOT,M,0.20,76.5,17.15,51.0,11.43,0.67,-5.5,200,4,10,2,11,2,4,8,7,1,0,1,4,2,7,1,0,0,0,0,10,1,401,19.12,4.46,22,16,7,18,13.0,DM
Justin Kluivert,BOU,M,0.55,76.0,8.55,65.5,7.37,0.86,-12.5,200,11,15,2,12,0,6,8,17,2,0,2,4,5,12,0,7,0,0,0,10,5,800,6.91,8.89,24,22,19,29,0.0,
Toti,WOL,D,0.70,74.25,5.22,86.75,6.1,1.17,-38.5,200,14,17,0,2,2,2,18,1,1,0,1,11,35,6,11,23,0,0,0,18,2,1280,5.3,14.22,7,77,29,20,53.0,CB
Moises Caicedo,CHE,M,0.75,74.0,4.9,84.5,5.6,1.14,-13.5,200,15,17,0,9,0,1,21,11,4,0,0,14,15,12,9,17,0,0,0,22,3,1358,4.93,15.09,10,62,29,37,0.0,
Antony,MUN,F,0.55,73.0,7.35,86.0,8.66,1.18,-13.0,85,11,16,0,16,0,6,14,14,3,0,3,7,2,15,1,0,0,1,0,10,3,894,6.64,9.93,25,27,15,27,0.0,
Murillo,NOT,M,0.70,72.5,5.3,73.5,5.37,1.01,-9.0,138,14,14,0,4,1,3,13,10,2,0,1,12,82,15,9,19,0,0,0,25,2,1232,5.18,13.69,9,118,34,37,14.0,CB
Michail Antonio,WHU,F,0.55,72.5,8.06,53.5,5.94,0.74,-11.0,200,11,12,2,6,2,4,4,14,2,0,1,1,1,17,3,15,0,0,0,13,4,810,6.59,9.0,17,13,32,29,0.0,
Kurt Zouma,WHU,D,0.80,71.5,4.55,98.0,6.24,1.37,-54.5,200,16,16,1,1,0,4,7,1,2,0,0,19,80,0,10,32,0,0,0,25,3,1413,4.47,15.7,6,119,32,28,21.0,CB
Yves Bissouma,TOT,M,0.75,71.0,5.29,101.5,7.57,1.43,-36.5,87,15,15,0,6,0,4,31,25,5,2,0,20,26,24,4,5,0,0,0,17,6,1207,4.73,13.41,10,87,29,49,31.0,DM
Cheick Doucoure,CRY,M,0.55,70.5,6.91,75.5,7.4,1.07,-8.0,200,11,11,0,10,0,2,17,8,2,0,0,20,9,10,2,5,0,0,0,12,3,918,6.41,10.2,12,51,15,22,0.0,
Sven Botman,NEW,D,0.35,70.25,9.42,53.75,7.21,0.77,-22.5,129,7,9,2,3,1,2,7,1,1,0,0,5,27,0,8,17,0,0,0,10,2,671,10.04,7.46,10,49,17,12,13.0,CB
James Milner,BHA,M,0.45,69.5,9.27,63.0,8.4,0.91,-8.5,200,9,13,0,15,2,1,12,5,3,0,6,7,13,3,0,6,0,0,0,10,3,675,7.72,7.5,24,35,9,18,38.0,RB
Alexis Mac Allister,LIV,M,0.70,68.5,5.61,75.0,6.14,1.09,-24.5,110,14,15,1,8,1,3,18,15,5,1,0,17,8,9,4,10,0,0,0,13,3,1100,4.89,12.22,13,50,19,34,9.0,CM
Manuel Akanji,MCI,D,0.70,68.5,4.9,69.0,4.93,1.01,-44.5,200,14,15,2,5,0,3,10,3,2,1,0,11,36,1,7,15,0,0,0,16,4,1259,4.89,13.99,12,68,16,22,22.0,CB
Tom Lockyer,LUT,D,0.70,68.5,5.28,111.5,8.59,1.63,-60.0,200,14,14,1,3,1,1,16,2,4,0,0,23,66,4,13,31,0,0,1,23,0,1168,4.89,12.98,6,118,35,30,20.0,CB
Keane Lewis-Potter,BRF,F,0.30,68.0,10.79,47.0,7.46,0.69,-3.0,200,6,13,2,5,1,7,3,6,0,0,3,2,5,12,1,4,0,0,0,14,1,567,11.33,6.3,20,12,16,20,0.0,
Jordan Beyer,BUR,D,0.75,67.5,4.93,107.0,7.81,1.59,-58.5,200,15,15,0,3,1,0,20,1,6,0,0,16,68,4,15,29,0,0,0,23,2,1233,4.5,13.7,4,121,33,30,0.0,
Edson Alvarez,WHU,M,0.80,67.5,4.55,76.0,5.12,1.13,-19.5,200,16,17,0,3,1,1,20,11,7,0,0,19,46,10,11,16,0,0,0,18,5,1336,4.22,14.84,5,101,26,36,8.0,DM
Ben Davies,TOT,D,0.50,66.5,6.7,79.0,7.96,1.19,-35.5,200,10,14,1,1,1,1,15,3,1,0,1,9,32,2,14,26,0,0,0,16,1,894,6.65,9.93,5,71,28,20,0.0,
Jan-Paul van Hecke,BHA,D,0.65,66.5,5.0,99.0,7.44,1.49,-38.5,200,13,15,0,3,0,3,9,1,2,0,1,17,44,1,16,32,0,0,0,17,1,1197,5.12,13.3,7,87,33,20,18.0,CB
Christian Eriksen,MUN,M,0.40,66.0,7.6,57.0,6.57,0.86,-7.0,200,8,14,1,12,1,4,10,10,1,0,3,3,7,3,5,2,0,0,0,16,1,781,8.25,8.68,21,26,5,27,36.0,DM
Rayan Ait-Nouri,WOL,D,0.75,64.75,5.09,110.75,8.71,1.71,-58.0,200,15,17,0,12,0,0,22,24,5,0,1,11,19,30,5,13,0,0,0,18,2,1144,4.32,12.71,13,59,43,47,65.0,LB
Jay Rodriguez,BUR,F,0.35,64.5,8.41,42.5,5.54,0.66,-2.0,200,7,13,2,3,1,7,8,4,0,0,0,1,6,4,1,17,0,0,0,14,1,690,9.21,7.67,15,17,21,18,0.0,
Serge Aurier,NOT,D,0.50,64.0,6.95,82.0,8.9,1.28,-38.0,200,10,12,0,4,2,1,14,8,2,0,5,9,32,3,3,30,0,0,0,15,1,829,6.4,9.21,12,59,33,25,35.0,RM
Victor Lindelof,MUN,D,0.50,64.0,6.42,52.5,5.27,0.82,-23.5,200,10,12,1,6,1,1,6,3,1,0,0,8,22,1,8,10,0,0,0,10,3,897,6.4,9.97,9,47,11,14,49.0,CB
Frank Onyeka,BRF,M,0.30,64.0,7.97,71.0,8.84,1.11,-14.0,200,6,16,0,8,1,4,15,8,5,0,3,14,13,7,4,8,0,0,0,17,1,723,10.67,8.03,16,47,15,30,0.0,
Joel Ward,CRY,D,0.80,63.0,4.26,92.0,6.22,1.46,-60.0,200,16,16,0,3,1,0,20,2,4,0,3,8,48,6,6,31,0,0,1,23,4,1332,3.94,14.8,7,86,37,30,133.0,RB
Nicolas Dominguez,NOT,M,0.50,63.0,7.7,46.0,5.62,0.73,-4.0,149,10,11,2,2,0,5,19,4,1,0,1,6,14,1,0,10,0,0,0,12,3,736,6.3,8.18,12,42,11,17,0.0,
Nayef Aguerd,WHU,D,0.80,63.0,4.01,108.5,6.9,1.72,-67.5,200,16,16,1,3,0,3,8,1,1,1,0,16,66,2,17,37,0,0,0,29,2,1416,3.94,15.73,7,109,39,32,49.0,CB
Takehiro Tomiyasu,ARS,D,0.25,63.0,9.12,46.5,6.73,0.74,-18.5,200,5,13,1,2,1,2,5,3,0,1,1,10,18,4,1,13,0,0,0,5,3,622,12.6,6.91,7,37,17,9,31.0,LB
Orel Mangala,NOT,M,0.85,62.5,4.02,68.5,4.4,1.1,-18.0,200,17,18,1,5,0,1,12,16,5,0,1,22,24,13,6,5,0,0,0,27,3,1400,3.68,15.56,8,67,18,48,0.0,
Micky van de Ven,TOT,D,0.55,62.0,5.92,51.0,4.87,0.82,-23.0,200,11,11,1,0,0,1,12,2,1,0,0,4,32,6,5,14,0,0,0,10,4,943,5.64,10.48,2,57,20,13,35.0,CB
Jack Hinshelwood,BHA,M,0.30,62.0,9.1,45.5,6.68,0.73,-2.5,200,6,9,2,5,0,7,4,1,1,0,0,12,14,0,2,7,0,0,0,14,1,613,10.33,6.81,16,33,7,16,0.0,
Harvey Elliott,LIV,M,0.10,61.5,14.4,43.5,10.19,0.71,-4.0,200,2,16,1,9,2,5,5,4,1,0,3,2,2,3,0,5,0,0,0,2,1,384,30.75,4.27,20,10,8,7,0.0,
Jean-Ricner Bellegarde,WOL,M,0.30,61.0,10.74,47.5,8.36,0.78,-10.5,143,6,11,2,6,1,3,5,7,0,1,1,5,6,14,2,5,0,0,0,11,0,511,10.17,5.68,15,18,19,19,29.0,AM
Idrissa Gueye,EVE,M,0.65,60.5,5.39,68.5,6.1,1.13,-19.0,200,13,14,1,9,0,3,20,14,6,0,1,11,10,7,3,5,0,0,0,17,2,1011,4.65,11.23,14,46,12,37,0.0,
Aaron Wan-Bissaka,MUN,D,0.45,60.25,6.87,73.25,8.35,1.22,-32.0,122,9,11,0,5,1,1,17,4,2,0,1,15,25,8,7,7,0,0,0,13,2,789,6.69,8.77,8,66,15,19,34.0,RB
Casemiro,MUN,M,0.40,60.0,8.33,55.5,7.71,0.92,-6.5,91,8,8,1,7,0,4,12,9,1,0,2,5,16,3,5,13,0,0,0,11,2,648,7.5,7.2,14,40,16,21,0.0,
Adam Smith,BOU,D,0.40,59.75,7.3,52.25,6.38,0.87,-24.5,200,8,11,0,7,2,0,4,1,0,0,9,8,17,2,6,5,0,0,0,12,3,737,7.47,8.19,18,38,7,13,54.0,RB
Danny Welbeck,BHA,F,0.45,59.0,8.93,42.0,6.35,0.71,-7.0,200,9,12,2,7,1,7,4,10,1,0,0,3,7,3,0,4,0,1,0,8,4,595,6.56,6.61,19,18,7,19,0.0,
Said Benrahma,WHU,M,0.25,58.5,8.72,60.5,9.02,1.03,-10.0,200,5,13,0,11,1,6,4,8,1,0,3,5,5,14,0,1,1,0,0,8,2,604,11.7,6.71,21,16,15,18,0.0,
Luke Shaw,MUN,D,0.40,57.0,7.4,67.0,8.7,1.18,-28.0,75,8,8,0,11,0,0,6,4,4,0,2,5,32,4,9,11,0,0,0,9,3,693,7.12,7.7,13,55,15,17,71.0,LB
Ashley Young,EVE,D,0.75,57.0,4.25,95.0,7.08,1.67,-56.0,200,15,15,0,14,0,1,17,4,4,1,11,13,24,4,4,10,0,0,1,17,3,1207,3.8,13.41,26,61,14,27,254.0,LB
Charlie Taylor,BUR,D,0.80,56.75,3.55,99.25,6.2,1.75,-71.5,200,16,16,1,7,1,1,14,7,6,0,5,15,45,6,7,25,0,0,0,28,2,1440,3.55,16.0,15,83,31,41,106.0,LB
Jacob Bruun Larsen,BUR,F,0.20,56.5,11.67,41.5,8.57,0.73,-3.0,200,4,16,2,11,0,3,2,6,0,0,0,2,5,7,0,5,0,0,0,9,1,436,14.12,4.84,18,10,12,15,0.0,
Teden Mengi,LUT,D,0.60,55.75,4.45,90.75,7.24,1.63,-51.0,200,12,14,1,1,0,3,9,2,2,0,0,27,55,4,10,19,0,0,0,23,1,1128,4.65,12.53,5,102,23,27,0.0,
Rasmus Hojlund,MUN,F,0.60,55.5,4.88,57.0,5.01,1.03,-10.5,59,12,15,1,12,0,8,3,17,1,0,1,0,10,9,0,8,0,0,0,14,4,1023,4.62,11.37,22,17,17,32,0.0,
Will Hughes,CRY,M,0.55,55.5,5.19,67.0,6.27,1.21,-15.5,200,11,15,0,12,0,2,15,19,3,0,3,6,14,5,8,4,0,0,0,19,4,962,5.05,10.69,17,47,9,41,63.0,DM
Neco Williams,NOT,D,0.20,55.5,11.83,73.5,15.67,1.32,-25.0,200,4,11,0,7,1,0,21,10,1,0,8,11,14,3,4,9,0,0,0,9,0,422,13.88,4.69,16,50,12,20,13.0,LM
Jonny Evans,MUN,D,0.45,55.25,6.08,60.75,6.69,1.1,-30.5,200,9,12,0,3,1,0,3,1,2,0,0,9,39,2,7,24,0,0,0,13,3,817,6.14,9.08,4,61,26,16,21.0,CB
Callum Hudson-Odoi,NOT,F,0.25,55.0,10.44,43.5,8.25,0.79,-3.5,200,5,11,1,8,1,3,1,7,0,0,3,2,5,13,0,1,0,1,0,10,1,474,11.0,5.27,16,9,14,17,0.0,
Ryan Yates,NOT,M,0.40,55.0,5.57,62.0,6.28,1.13,-8.0,200,8,17,0,3,0,2,20,4,3,0,1,10,20,3,7,22,0,0,0,19,1,888,6.88,9.87,6,58,25,26,0.0,
Malo Gusto,CHE,D,0.45,54.75,6.2,56.75,6.43,1.04,-35.0,200,9,13,0,8,3,0,12,4,3,1,3,6,15,8,2,6,0,0,0,10,2,795,6.08,8.83,14,37,14,18,38.0,WB
Saman Ghoddos,BRF,F,0.35,54.0,7.11,57.0,7.5,1.06,-12.0,200,7,14,1,9,0,2,17,4,5,0,6,5,8,3,2,4,0,0,0,17,0,684,7.71,7.6,18,32,7,26,63.0,RB
Issa Kabore,LUT,D,0.65,53.25,4.59,95.75,8.25,1.8,-56.5,200,13,15,0,10,2,1,18,5,4,0,10,12,27,10,5,12,0,0,0,23,0,1044,4.1,11.6,23,62,22,32,83.0,WB
Konstantinos Mavropanos,WHU,D,0.25,53.0,9.62,44.0,7.99,0.83,-19.0,200,5,7,1,1,0,1,5,0,1,0,0,10,28,1,2,15,0,0,1,6,3,496,10.6,5.51,3,48,16,8,0.0,
Raphael Varane,MUN,D,0.35,52.5,7.79,51.5,7.64,0.98,-21.0,200,7,11,1,1,0,2,5,2,1,0,0,8,42,1,6,15,0,0,0,9,2,607,7.5,6.74,4,63,16,12,0.0,
Joel Matip,LIV,D,0.45,52.25,6.03,69.25,8.0,1.33,-29.0,200,9,10,0,2,0,0,6,4,2,0,0,9,41,0,12,28,0,0,1,9,2,779,5.81,8.66,2,70,28,16,0.0,
Lewis Miley,NEW,M,0.40,52.0,7.15,41.0,5.64,0.79,-5.0,200,8,9,1,6,1,3,9,6,1,0,1,4,6,5,2,4,0,0,0,13,1,654,6.5,7.27,12,22,9,20,0.0,
Manor Solomon,TOT,F,0.10,52.0,24.3,43.0,20.09,0.83,-3.0,200,2,5,0,12,2,1,3,2,1,0,1,3,1,10,0,0,0,0,0,2,0,193,26.0,2.14,16,7,10,5,0.0,
Ruben Dias,MCI,D,0.70,52.0,3.61,77.0,5.35,1.48,-43.0,200,14,16,0,3,0,4,9,4,0,0,2,15,44,0,7,19,0,0,1,18,3,1295,3.71,14.39,9,78,19,23,26.0,CB
Tosin Adarabioyo,FUL,D,0.30,51.75,8.6,49.25,8.18,0.95,-19.5,200,6,8,1,1,0,1,4,3,0,0,0,9,29,1,6,18,0,0,0,9,2,542,8.62,6.02,3,50,19,12,0.0,
Ryan Gravenberch,LIV,M,0.35,51.5,7.54,52.5,7.69,1.02,-4.0,150,7,15,0,9,0,5,4,8,0,0,0,9,6,8,1,5,0,0,0,7,3,615,7.36,6.83,14,23,13,15,0.0,
Kristoffer Ajer,BRF,D,0.40,51.5,6.43,69.0,8.61,1.34,-36.5,200,8,11,0,7,1,1,9,5,4,0,2,5,24,6,1,24,0,0,0,13,2,721,6.44,8.01,11,41,30,22,45.0,CB
Ben Mee,BRF,D,0.40,51.0,6.83,59.5,7.97,1.17,-31.5,200,8,9,1,5,1,1,9,5,0,1,2,7,26,2,5,16,0,0,0,11,1,672,6.38,7.47,10,48,18,17,24.0,CB
Nathan Patterson,EVE,D,0.45,50.75,4.87,73.75,7.07,1.45,-49.0,200,9,18,0,8,2,0,21,6,4,0,6,9,27,6,3,6,0,0,0,19,2,939,5.64,10.43,16,62,12,29,57.0,RB
Beto,EVE,F,0.25,49.5,8.98,49.5,8.98,1.0,-9.0,200,5,15,1,6,0,4,5,14,1,0,0,0,8,9,0,31,0,0,0,7,2,496,9.9,5.51,11,15,40,22,0.0,
Noni Madueke,CHE,F,0.10,49.0,19.84,35.0,14.17,0.71,-4.0,200,2,9,2,6,0,3,4,4,1,0,2,1,3,8,0,0,0,1,0,5,0,222,24.5,2.47,15,8,8,10,0.0,
Marvelous Nakamba,LUT,M,0.65,49.0,3.9,61.0,4.85,1.24,-12.0,200,13,13,0,7,0,0,24,4,5,0,1,11,11,3,6,4,0,0,0,24,0,1131,3.77,12.57,8,52,7,33,18.0,CM
Harrison Reed,FUL,M,0.45,48.5,5.6,46.5,5.37,0.96,-7.0,200,9,17,0,9,1,0,9,6,2,0,2,7,13,4,4,5,0,0,0,18,3,779,5.39,8.66,12,36,9,26,27.0,RM
Youri Tielemans,AVL,M,0.20,48.5,7.99,35.5,5.85,0.73,-6.0,200,4,16,0,6,3,1,6,12,0,0,1,7,3,5,0,5,0,0,0,7,1,546,12.12,6.07,11,17,10,19,0.0,
Dango Ouattara,BOU,F,0.25,47.0,9.53,53.0,10.75,1.13,-6.0,200,5,13,0,6,0,2,11,4,2,0,3,6,11,8,2,14,0,0,0,8,2,444,9.4,4.93,11,32,22,14,0.0,
Elliot Anderson,NEW,M,0.20,46.0,10.31,42.0,9.42,0.91,-5.0,200,4,9,0,6,1,3,6,10,0,0,2,2,6,8,3,6,0,0,0,5,3,401,11.5,4.46,12,20,14,15,0.0,
Jayden Bogle,SHU,D,0.70,45.75,3.39,84.25,6.25,1.84,-74.5,200,14,16,1,3,2,3,13,9,6,0,6,17,41,7,4,15,0,0,0,29,2,1213,3.27,13.48,15,77,22,44,61.0,WB
Alex Scott,BOU,M,0.20,45.0,11.94,33.5,8.89,0.74,-4.5,144,4,6,1,5,1,1,4,1,2,0,1,6,8,7,2,3,0,0,0,8,1,339,11.25,3.77,9,21,10,11,29.0,DM
