Player,Team,Position,GS:GP,FPTS,FPts/90,Ghost Points,Ghosts/90,GPR,Negative Fpts,Ros Rank,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,MIN,FPTS/GS,90s,Attacking Stats,Defensive Stats,Duel Stats,Liability Stats,deadball agg,position
Chris Wood,NOT,F,0.35,140.5,17.61,74.5,9.34,0.53,-3.0,200,7,18,7,12,1,11,2,6,0,0,0,1,16,4,3,37,0,0,0,14,1,718,20.07,7.98,73,23,41,20,0.0,
Josh Brownhill,BUR,M,0.80,138.0,8.3,117.0,7.04,0.85,-8.0,141,16,19,3,17,0,7,26,8,2,0,1,24,21,3,3,24,0,0,0,31,2,1496,8.62,16.62,34,76,27,41,108.0,LM
Alex Iwobi,FUL,M,0.70,138.0,10.03,115.5,8.39,0.84,-13.5,105,14,18,3,21,1,12,9,19,2,0,5,12,5,22,0,3,0,0,0,21,3,1238,9.86,13.76,48,29,25,42,12.0,LM
Odsonne Edouard,CRY,F,0.75,136.5,9.91,98.0,7.12,0.72,-15.5,86,15,15,6,13,0,15,10,19,3,0,2,5,15,13,1,22,0,0,0,16,4,1239,9.1,13.77,66,35,35,38,0.0,
Luis Diaz,LIV,F,0.70,136.5,10.73,116.0,9.12,0.85,-18.5,28,14,19,3,22,2,11,10,29,2,0,3,2,2,26,0,14,0,1,0,13,4,1145,9.75,12.72,47,18,40,44,10.0,LW
Vitalii Mykolenko,EVE,D,0.75,135.25,9.03,122.25,8.17,0.9,-44.0,112,15,15,2,5,1,5,30,8,1,0,6,27,45,11,6,11,0,0,0,19,5,1347,9.02,14.97,21,113,22,28,109.0,LB
Mathias Jensen,BRF,M,0.65,135.0,12.3,93.5,8.52,0.69,-8.5,44,13,14,3,20,3,5,15,9,2,0,8,8,11,7,2,3,0,1,0,17,5,988,10.38,10.98,45,41,10,28,153.0,CM
Pape Sarr,TOT,M,0.80,134.5,10.42,109.0,8.44,0.81,-11.5,115,16,18,2,15,2,11,17,7,4,0,1,12,18,15,4,16,0,0,0,10,7,1162,8.41,12.91,33,58,31,21,0.0,
Ben White,ARS,D,0.85,134.0,8.18,123.0,7.51,0.92,-49.0,82,17,19,1,16,2,5,13,6,4,0,8,17,32,4,13,18,0,0,0,19,6,1474,7.88,16.38,32,81,22,29,108.0,CB
Richarlison,TOT,F,0.60,134.0,13.31,81.5,8.09,0.61,-19.5,64,12,17,6,9,3,14,8,27,3,0,1,7,12,7,5,15,0,0,0,8,7,906,11.17,10.07,63,39,22,38,0.0,
Diogo Dalot,MUN,D,0.85,134.0,7.78,154.0,8.94,1.15,-67.0,51,17,18,1,20,1,2,23,8,4,1,17,18,56,13,4,21,0,0,0,24,5,1551,7.88,17.23,41,106,34,37,124.0,LB
Cristian Romero,TOT,D,0.75,132.25,10.17,112.75,8.67,0.85,-40.5,57,15,15,3,5,0,4,22,1,4,1,0,17,51,2,10,31,0,0,1,10,5,1170,8.82,13.0,18,105,33,17,43.0,CB
Marcus Rashford,MUN,F,0.75,132.0,9.03,102.0,6.98,0.77,-15.0,26,15,19,3,15,3,12,6,22,2,0,2,2,9,29,1,12,0,1,0,23,4,1315,8.8,14.61,41,22,41,47,0.0,
Diogo Jota,LIV,F,0.40,132.0,18.03,77.5,10.59,0.59,-14.5,42,8,14,5,14,4,9,7,11,1,1,0,3,4,12,1,13,0,1,0,5,3,659,16.5,7.32,52,18,25,18,0.0,
Philip Billing,BOU,M,0.60,131.5,10.25,107.5,8.38,0.82,-13.0,106,12,18,2,18,3,5,13,14,3,0,5,16,23,10,5,25,0,0,0,30,1,1155,10.96,12.83,35,58,35,47,0.0,
Oleksandr Zinchenko,ARS,D,0.70,131.25,9.88,109.75,8.26,0.84,-31.5,134,14,18,1,19,1,2,23,11,2,0,3,13,11,5,2,19,0,0,0,11,6,1195,9.38,13.28,26,55,24,24,84.0,LB
Gustavo Hamer,SHU,M,0.85,131.0,8.23,114.5,7.2,0.87,-15.5,111,17,18,2,27,2,7,14,11,5,0,4,14,20,10,3,3,0,0,0,35,2,1432,7.71,15.91,44,53,13,51,113.0,AM
Willian,FUL,F,0.65,130.5,10.97,92.0,7.73,0.7,-9.5,72,13,16,4,22,2,12,1,15,1,0,2,6,6,12,0,6,0,0,0,16,4,1071,10.04,11.9,54,17,18,32,26.0,LW
Zeki Amdouni,BUR,F,0.95,128.5,8.44,107.5,7.06,0.84,-12.0,200,19,19,3,11,1,16,13,20,1,0,1,5,7,22,7,11,0,0,0,25,4,1370,6.76,15.22,38,36,33,46,21.0,FW
Scott McTominay,MUN,M,0.60,127.5,10.37,82.0,6.67,0.64,-4.5,132,12,17,5,4,0,14,13,9,0,0,0,10,30,7,6,20,0,0,0,16,5,1106,10.62,12.29,43,64,27,25,0.0,
Carlton Morris,LUT,F,0.70,127.0,9.21,92.5,6.71,0.73,-16.5,84,14,19,3,9,4,10,4,29,1,0,0,1,18,15,1,67,0,0,0,25,2,1241,9.07,13.79,32,26,82,55,0.0,
Pablo Sarabia,WOL,M,0.40,126.5,17.14,90.5,12.26,0.72,-7.0,200,8,13,1,28,5,5,7,10,1,0,7,3,2,5,1,3,0,0,0,6,4,664,15.81,7.38,46,17,8,17,36.0,FW
Mario Lemina,WOL,M,0.85,126.0,7.72,114.5,7.02,0.91,-26.5,200,17,17,4,4,0,11,32,11,7,1,1,26,27,11,4,21,0,0,0,26,2,1469,7.41,16.32,32,91,32,45,0.0,
Brennan Johnson,TOT,F,0.70,123.0,10.41,91.0,7.7,0.74,-7.0,109,14,17,1,19,5,10,6,10,1,0,7,5,7,12,1,4,0,0,0,19,3,1064,8.79,11.82,42,22,16,30,9.0,FW
Antoine Semenyo,BOU,F,0.55,123.0,13.21,97.0,10.42,0.79,-19.0,200,11,16,3,11,3,16,8,26,3,0,3,2,6,18,1,18,0,1,0,15,4,838,11.18,9.31,42,21,36,44,0.0,
Willy Boly,NOT,D,0.65,122.75,11.14,134.25,12.18,1.09,-39.5,76,13,15,1,5,0,5,18,1,1,1,0,20,65,2,14,44,0,0,0,15,3,992,9.44,11.02,11,120,46,18,53.0,CB
Miguel Almiron,NEW,M,0.85,122.5,8.28,95.5,6.46,0.78,-11.0,77,17,20,3,15,1,9,18,18,1,0,2,8,8,17,1,3,0,0,0,21,5,1331,7.21,14.79,36,40,20,40,0.0,
Gabriel Jesus,ARS,F,0.55,122.0,11.8,105.0,10.15,0.86,-22.0,40,11,15,3,17,2,14,12,28,4,0,0,7,6,18,1,10,0,0,0,11,5,931,11.09,10.34,42,31,28,43,0.0,
Alejandro Garnacho,MUN,M,0.60,121.5,10.41,95.5,8.18,0.79,-18.0,200,12,18,3,18,2,9,6,24,3,0,2,7,7,22,1,7,0,0,0,15,5,1050,10.12,11.67,40,26,29,42,0.0,
Joelinton,NEW,M,0.70,121.0,9.63,116.5,9.28,0.96,-22.5,79,14,16,2,18,1,7,22,25,5,0,0,17,10,16,5,13,0,0,0,19,3,1130,8.64,12.56,30,57,29,49,21.0,LM
Joao Palhinha,FUL,M,0.80,120.5,7.71,116.0,7.43,0.96,-23.5,127,16,17,2,5,1,7,44,15,8,0,1,28,28,4,4,22,0,0,0,25,4,1406,7.53,15.62,18,108,26,48,25.0,CM
Christian Norgaard,BRF,M,0.90,120.0,6.98,120.5,7.01,1.0,-18.5,98,18,18,1,15,1,4,35,9,7,0,4,21,38,6,2,29,0,0,0,29,3,1546,6.67,17.18,25,99,35,45,28.0,CM
Vitaly Janelt,BRF,M,0.95,119.5,6.98,112.5,6.57,0.94,-9.0,200,19,19,0,23,2,4,19,6,3,0,10,12,28,3,3,19,0,1,0,24,4,1542,6.29,17.13,39,66,22,33,33.0,CM
Ross Barkley,LUT,M,0.60,119.0,10.0,103.5,8.7,0.87,-15.5,200,12,14,2,14,2,6,7,19,3,0,0,12,19,29,6,19,0,0,0,25,1,1071,9.92,11.9,26,45,48,47,74.0,CM
Callum Wilson,NEW,F,0.35,118.5,14.96,64.5,8.14,0.54,-15.0,45,7,14,7,5,1,18,3,26,1,0,0,1,1,11,0,7,0,0,0,10,5,713,16.93,7.92,73,10,18,37,0.0,
Levi Colwill,CHE,D,0.85,116.5,6.97,127.5,7.63,1.09,-52.0,133,17,19,1,6,1,3,24,4,2,0,0,22,42,7,7,39,0,0,0,23,4,1505,6.85,16.72,11,99,46,29,76.0,CB
Jack Harrison,EVE,M,0.65,115.5,9.31,83.0,6.69,0.72,-9.5,70,13,14,2,16,3,6,8,19,0,0,9,5,14,14,0,6,0,0,0,13,6,1116,8.88,12.4,38,33,20,32,0.0,
Dan Burn,NEW,D,0.75,115.25,8.32,106.75,7.7,0.93,-41.5,101,15,15,2,3,0,5,13,7,2,0,2,17,39,1,9,39,0,0,0,17,5,1247,7.68,13.86,14,83,40,26,88.0,LB
Emerson,WHU,D,0.90,113.5,6.14,140.0,7.57,1.23,-70.5,200,18,19,0,14,2,1,37,9,7,0,6,22,48,13,5,11,0,2,0,26,5,1665,6.31,18.5,23,117,24,42,111.0,LB
Eddie Nketiah,ARS,F,0.50,113.5,10.75,64.0,6.06,0.56,-13.5,90,10,19,5,7,3,10,5,15,3,0,0,4,3,8,0,18,0,2,0,8,6,950,11.35,10.56,45,18,26,26,0.0,
Mykhailo Mudryk,CHE,M,0.45,112.5,12.77,75.0,8.51,0.67,-11.5,97,9,17,3,14,3,4,9,11,3,0,3,4,2,19,1,2,0,1,0,11,4,793,12.5,8.81,33,20,21,25,0.0,
Max Kilman,WOL,D,1.00,112.5,5.62,158.0,7.9,1.4,-73.5,200,20,20,1,10,0,4,12,7,4,0,1,20,92,7,14,53,0,0,0,31,3,1800,5.62,20.0,16,141,60,42,29.0,CB
Dominic Calvert-Lewin,EVE,F,0.65,112.0,9.43,88.5,7.45,0.79,-9.5,61,13,16,3,10,1,14,2,15,1,0,0,1,13,5,2,61,0,0,0,17,6,1069,8.62,11.88,34,24,66,33,0.0,
Craig Dawson,WOL,D,0.90,111.75,6.37,140.75,8.02,1.26,-63.0,200,18,18,1,5,0,4,17,2,5,0,0,12,83,2,25,46,0,0,0,26,4,1579,6.21,17.54,10,141,48,33,27.0,CB
Gabriel Magalhaes,ARS,D,0.80,111.25,6.85,107.75,6.63,0.97,-36.5,116,16,18,1,3,0,2,10,1,1,0,1,17,39,1,19,40,0,0,0,17,5,1462,6.95,16.24,7,90,41,19,40.0,CB
Enzo Fernandez,CHE,M,0.75,111.0,7.94,102.0,7.3,0.92,-19.0,137,15,17,2,14,1,12,13,14,4,0,3,9,12,12,5,12,1,1,0,22,4,1258,7.4,13.98,34,43,24,41,88.0,CM
Evan Ferguson,BHA,F,0.55,111.0,10.51,64.5,6.11,0.58,-13.5,65,11,18,6,5,1,16,6,23,1,0,0,2,5,5,3,9,0,1,0,22,1,950,10.09,10.56,58,17,14,46,18.0,FW
Harry Wilson,FUL,M,0.50,111.0,9.74,74.0,6.49,0.67,-8.0,200,10,20,2,11,4,8,8,8,2,0,5,7,4,10,3,2,0,1,0,19,3,1026,11.1,11.4,32,25,12,29,0.0,
Kai Havertz,ARS,F,0.65,110.5,8.55,86.0,6.66,0.78,-17.5,135,13,19,4,16,1,4,10,15,5,0,0,11,4,7,1,34,0,0,0,14,4,1163,8.5,12.92,37,30,41,34,0.0,
Jean-Philippe Mateta,CRY,F,0.35,110.0,12.54,87.0,9.92,0.79,-19.0,200,7,17,2,18,4,7,7,30,2,0,0,1,6,14,0,22,0,2,0,18,2,789,15.71,8.77,33,16,36,50,0.0,
Lewis Cook,BOU,M,0.65,109.5,9.06,114.5,9.47,1.05,-15.0,200,13,14,0,19,1,1,18,12,1,1,1,32,15,10,5,17,0,0,0,20,4,1088,8.42,12.09,22,74,27,34,105.0,DM
Cameron Archer,SHU,F,0.75,108.0,7.4,89.0,6.1,0.82,-20.0,200,15,18,3,18,2,8,9,32,2,0,0,1,6,21,3,6,0,0,0,34,2,1314,7.2,14.6,37,21,27,68,7.0,FW
