,team,position,player,fpts,g,kp,at,sot,tkw,dis,yc,rc,acnc,int,clr,cos,bs,aer,pkm,pkd,og,gao,cs,pts,dpt,off,pkg,ghost points,negative fpts,home,gp
51,MCI,CM,5,0.75,0.0,0.17,0.0,0.0,0.83,0.83,0.33,0.0,0.0,0.17,0.33,0.17,0.33,0.0,0.0,0.0,0.0,0.33,2,0.0,1.5,0.0,0.0,0.42,-1.42,2,6
52,MCI,DM,8,6.65,0.15,0.85,0.2,0.45,0.75,0.4,0.2,0.05,0.25,0.2,0.65,0.8,0.05,0.4,0.0,0.0,0.0,0.5,4,0.3,2.05,0.1,0.0,3.9,-0.95,8,20
53,MCI,LM,4,5.62,0.0,1.5,0.25,0.25,0.75,1.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,2,0.25,1.75,0.0,0.0,3.88,-1.0,0,4
54,MCI,RM,2,6.75,0.0,1.0,0.0,0.5,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,3.25,-0.75,0,2
55,MUN,AM,4,9.89,0.22,2.11,0.11,0.89,1.0,0.89,0.44,0.0,0.33,0.22,0.78,0.56,0.11,0.44,0.0,0.0,0.0,1.44,1,0.33,2.67,0.44,0.11,7.11,-1.33,6,9
56,MUN,CM,3,4.33,0.0,1.0,0.0,0.0,0.67,0.67,0.0,0.0,0.33,0.67,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,2,0.0,0.67,0.0,0.0,3.67,-0.33,3,3
57,MUN,DM,5,7.11,0.11,1.11,0.06,0.39,1.33,1.0,0.11,0.0,0.17,0.56,1.22,0.33,0.5,0.89,0.0,0.0,0.0,1.17,3,0.17,1.44,0.11,0.0,5.61,-0.72,11,18
58,MUN,LM,3,2.67,0.0,0.33,0.0,0.0,0.67,0.67,0.0,0.0,0.0,0.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,2.33,-0.33,3,3
59,MUN,RM,3,4.5,0.0,1.0,0.0,0.33,0.33,0.67,0.0,0.0,0.0,0.33,0.67,1.33,0.0,0.33,0.0,0.0,0.0,1.0,1,0.0,0.33,0.0,0.0,4.5,-0.33,3,3
60,NEW,CM,3,7.3,0.1,1.5,0.1,0.3,1.1,1.1,0.4,0.0,0.2,0.4,0.3,1.0,0.3,0.5,0.0,0.0,0.0,0.9,3,0.2,2.5,0.0,0.0,5.5,-1.35,5,10
61,NEW,LM,3,5.69,0.0,0.92,0.08,0.38,1.15,0.62,0.08,0.0,0.15,0.31,0.54,0.69,0.31,0.46,0.0,0.0,0.0,0.69,3,0.08,1.54,0.0,0.0,5.0,-0.46,7,13
62,NEW,RM,3,6.17,0.17,0.67,0.17,0.42,0.75,0.83,0.25,0.0,0.42,0.25,0.58,0.33,0.25,0.17,0.0,0.0,0.0,0.75,4,0.25,1.5,0.08,0.0,3.33,-0.92,6,12
63,NOT,AM,6,6.94,0.11,0.78,0.22,0.44,0.56,0.89,0.33,0.0,0.22,0.56,0.11,1.33,0.22,0.56,0.0,0.0,0.0,0.78,1,0.22,1.22,0.22,0.0,4.5,-1.11,2,9
64,NOT,CM,6,3.09,0.0,0.31,0.0,0.06,0.75,0.56,0.25,0.0,0.0,1.38,1.0,0.19,0.31,0.62,0.0,0.0,0.0,1.06,3,0.0,1.94,0.06,0.0,2.91,-0.78,3,16
65,NOT,DM,4,2.9,0.0,0.2,0.0,0.0,1.0,0.2,0.2,0.0,0.0,1.0,0.8,0.2,0.4,0.8,0.0,0.0,0.0,0.4,0,0.0,2.2,0.2,0.0,2.9,-0.5,5,5
66,NOT,LM,4,5.61,0.14,0.29,0.0,0.29,1.71,0.71,0.14,0.0,0.14,1.14,1.43,0.29,0.29,1.29,0.0,0.0,0.0,0.86,1,0.14,1.0,0.0,0.0,4.18,-1.5,3,7
67,NOT,RM,5,4.36,0.0,0.43,0.29,0.0,0.86,0.86,0.57,0.0,0.29,0.43,1.43,0.43,0.29,1.57,0.0,0.0,0.0,0.86,1,0.29,2.0,0.0,0.0,2.21,-2.43,3,7
