Player,Team,Position,RkOv_gw1,RkOv_gw2,RkOv_gw3,RkOv_gw4,RkOv_gw5,RkOv_gw6,RkOv_gw7,RkOv_gw8,RkOv_gw9,RkOv_gw10,RkOv_gw11,RkOv_gw12,RkOv_gw13
Cristian Romero,TOT,D,43.5,51.5,33.5,32.0,120.5,625.5,69.5,10.0,46.5,157.0,642.5,423.5,421.0
Craig Dawson,WOL,D,43.5,631.0,65.0,169.5,636.0,191.0,121.5,157.5,28.0,176.0,177.0,634.0,421.0
Yves Bissouma,TOT,M,45.5,72.0,43.0,95.0,62.5,198.0,195.0,639.5,418.5,148.0,116.0,178.5,421.0
Jacob Murphy,NEW,M,45.5,413.5,418.5,416.0,426.0,420.5,415.0,180.0,4.0,419.0,419.0,423.5,421.0
Lucas Paqueta,WHU,M,48.5,23.0,56.5,42.5,201.0,57.0,154.5,164.5,113.0,113.5,419.0,17.0,43.0
Declan Rice,ARS,M,48.5,91.0,111.0,33.5,73.0,210.5,96.5,51.5,31.5,71.0,100.0,149.0,112.0
Ben Chilwell,CHE,D,48.5,114.0,29.5,100.5,426.0,198.0,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Jordan Ayew,CRY,F,48.5,130.0,17.5,76.0,201.0,182.0,61.5,197.5,99.0,27.0,46.5,178.5,172.5
Issa Diop,FUL,D,51.0,628.5,207.5,637.5,116.5,47.5,415.0,75.5,418.5,419.0,419.0,423.5,421.0
Bruno Fernandes,MUN,M,54.0,39.0,6.5,71.5,100.5,10.5,57.5,47.5,15.0,107.5,9.5,61.0,21.0
Sven Botman,NEW,D,54.0,157.5,106.5,416.0,36.0,10.5,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Taiwo Awoniyi,NOT,F,54.0,17.0,38.0,63.0,46.0,167.5,126.0,413.0,418.5,419.0,419.0,40.0,421.0
Luke Shaw,MUN,D,54.0,44.5,418.5,416.0,426.0,420.5,415.0,413.0,418.5,419.0,419.0,423.5,61.0
Simon Adingra,BHA,F,54.0,413.5,120.0,416.0,23.0,69.5,210.0,10.0,133.0,101.0,162.0,22.5,158.0
Emerson Royal,TOT,D,57.0,617.0,418.5,611.5,426.0,420.5,415.0,189.0,143.5,144.0,198.0,630.5,637.5
Anthony Gordon,NEW,M,59.5,628.5,9.0,163.0,59.0,4.0,44.5,413.0,41.5,198.5,39.5,104.5,13.5
Jeffrey Schlupp,CRY,M,59.5,83.5,85.5,95.0,156.5,127.5,415.0,208.0,418.5,120.5,34.5,104.5,98.5
Max Kilman,WOL,D,59.5,637.0,43.0,629.5,638.0,27.0,188.0,103.5,77.0,131.0,85.5,423.5,629.5
Jan-Paul van Hecke,BHA,D,59.5,413.5,418.5,128.0,195.0,420.5,415.0,152.0,418.5,419.0,162.0,149.0,146.5
Antonee Robinson,FUL,D,62.5,633.5,168.0,639.0,426.0,14.5,79.5,80.0,117.0,94.5,177.0,71.5,46.5
Tim Ream,FUL,D,62.5,640.0,418.5,79.0,56.0,99.5,188.0,103.5,206.0,98.0,110.5,649.0,651.0
Anthony Elanga,NOT,F,65.5,194.5,183.0,21.0,120.5,99.5,179.0,413.0,8.0,138.0,139.5,42.0,43.0
Cheick Doucoure,CRY,M,65.5,206.0,135.0,71.5,53.0,138.5,103.0,413.0,66.0,82.5,202.5,423.5,105.5
Joao Gomes,WOL,M,65.5,171.0,195.0,214.0,49.0,127.5,165.0,620.5,193.0,187.5,419.0,80.5,129.5
Joel Ward,CRY,D,65.5,171.0,90.0,628.0,639.0,95.0,36.0,413.0,620.5,639.0,63.5,80.5,49.5
Tyrick Mitchell,CRY,D,68.0,119.5,168.0,115.5,635.0,92.0,46.0,19.0,639.0,419.0,8.0,634.0,421.0
Antony,MUN,F,70.0,138.0,46.0,121.0,426.0,420.5,415.0,413.0,143.5,631.5,149.0,178.5,421.0
Matheus Cunha,WOL,F,70.0,39.0,418.5,48.0,111.0,182.0,34.0,180.0,9.0,30.0,149.0,33.5,53.0
Amadou Onana,EVE,M,70.0,157.5,75.5,121.0,201.0,108.5,51.0,75.5,193.0,82.5,419.0,646.0,421.0
Kieran Trippier,NEW,D,72.5,61.0,56.5,186.5,13.5,1.0,4.0,12.0,24.0,168.5,39.5,649.0,121.5
Kyle Walker,MCI,D,72.5,61.0,70.0,225.0,84.0,22.0,415.0,164.5,200.5,13.0,218.0,653.0,86.0
Oliver Norwood,SHU,M,74.0,157.5,102.5,103.5,147.5,182.0,415.0,69.0,69.5,157.0,20.5,100.0,105.5
Nelson Semedo,WOL,D,75.0,639.0,72.0,205.0,116.5,420.5,118.0,164.5,418.5,74.5,632.5,115.5,637.5
Casemiro,MUN,M,79.0,67.5,23.5,149.5,156.5,69.5,154.5,93.5,418.5,419.0,419.0,423.5,421.0
Mathias Jensen,BRF,M,79.0,12.0,80.0,31.0,40.5,41.0,61.5,14.0,94.0,198.5,51.5,85.5,421.0
Miguel Almiron,NEW,M,79.0,157.5,142.5,176.5,225.5,33.5,24.5,627.5,154.5,187.5,80.0,204.0,37.5
Abdoulaye Doucoure,EVE,M,79.0,119.5,68.0,15.0,73.0,32.0,24.5,6.0,74.0,101.0,192.5,26.5,158.0
Thomas Partey,ARS,M,79.0,42.0,102.5,416.0,426.0,420.5,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Jacob Brown,LUT,F,79.0,413.5,629.5,416.0,53.0,127.5,218.0,620.5,154.5,176.0,177.0,423.5,43.0
Ryan Giles,LUT,M,79.0,413.5,120.0,87.0,426.0,210.5,415.0,413.0,418.5,419.0,419.0,423.5,421.0
William Saliba,ARS,D,84.0,35.5,190.5,115.5,66.5,229.0,86.5,61.0,612.0,113.5,192.5,29.0,46.5
Emerson,WHU,D,84.0,27.0,115.5,616.5,633.0,612.5,32.0,80.0,643.0,419.0,207.5,149.0,134.0
John Egan,SHU,D,84.0,91.0,622.0,95.0,426.0,638.0,629.0,413.0,418.5,419.0,419.0,423.5,421.0
Marcus Rashford,MUN,F,89.0,110.0,29.5,25.5,62.5,85.0,126.0,85.0,154.5,113.5,419.0,119.0,15.0
Mohamed Salah,LIV,F,89.0,30.5,33.5,12.0,1.5,12.0,165.0,2.0,6.0,39.0,74.0,7.5,29.5
Dominik Szoboszlai,LIV,M,89.0,21.0,85.5,19.5,111.0,65.0,64.5,20.5,66.0,3.5,177.0,80.5,185.0
Morgan Gibbs-White,NOT,M,89.0,19.5,13.0,139.5,46.0,617.5,134.0,36.0,25.5,157.0,192.5,48.5,2.0
Reece James,CHE,D,89.0,413.5,418.5,416.0,426.0,420.5,415.0,413.0,616.0,176.0,80.0,56.0,641.0
Harry Wilson,FUL,M,89.0,83.5,418.5,416.0,134.5,138.5,415.0,180.0,133.0,53.0,126.5,161.5,66.5
Max Lowe,SHU,D,89.0,413.5,418.5,416.0,426.0,420.5,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Phil Foden,MCI,M,96.0,5.0,49.5,63.0,100.5,16.0,79.5,54.0,88.0,22.5,55.5,30.5,86.0
Thiago Silva,CHE,D,96.0,130.0,43.0,71.5,87.0,82.0,64.5,612.0,418.5,213.5,212.0,96.5,637.5
Vladimir Coufal,WHU,D,96.0,181.5,142.5,95.0,34.0,59.0,5.5,72.0,623.0,107.5,144.0,136.5,101.5
Willy Boly,NOT,D,96.0,130.0,17.5,13.0,426.0,74.5,93.0,23.0,41.5,77.0,419.0,140.0,421.0
Philip Billing,BOU,M,96.0,110.0,63.0,71.5,100.5,182.0,165.0,115.5,15.0,24.0,192.5,423.5,158.0
Rico Lewis,MCI,D,96.0,413.5,418.5,607.0,426.0,420.5,415.0,93.5,418.5,419.0,636.5,423.5,421.0
Fabio Silva,WOL,F,96.0,99.5,153.0,163.0,187.5,420.5,625.0,413.0,418.5,419.0,636.5,423.5,421.0
Milos Kerkez,BOU,D,100.0,104.0,224.0,132.5,78.0,636.0,633.0,625.0,616.0,198.5,648.0,423.5,134.0
Enzo Fernandez,CHE,M,104.5,64.0,153.0,68.0,134.5,167.5,73.5,125.5,88.0,419.0,60.0,193.0,112.0
Levi Colwill,CHE,D,104.5,626.0,56.5,107.0,43.5,88.5,8.0,180.0,88.0,101.0,624.0,423.5,653.0
Kai Havertz,ARS,F,104.5,148.0,128.5,139.5,225.5,182.0,73.5,69.0,193.0,120.5,162.0,149.0,55.0
Said Benrahma,WHU,M,104.5,157.5,25.5,128.0,213.5,420.5,154.5,413.0,418.5,113.5,126.5,423.5,185.0
James Garner,EVE,M,104.5,106.0,85.5,139.5,225.5,17.5,61.5,29.0,124.0,107.5,90.5,178.5,70.0
Mahmoud Dahoud,BHA,M,104.5,171.0,418.5,623.5,175.0,69.5,415.0,413.0,418.5,58.0,620.5,637.0,421.0
Pablo Sarabia,WOL,M,104.5,30.5,183.0,128.0,426.0,420.5,415.0,413.0,219.5,419.0,419.0,12.5,421.0
Neal Maupay,BRF,F,104.5,181.5,418.5,416.0,225.5,420.5,179.0,612.0,52.5,64.5,25.5,423.5,172.5
Michael Keane,EVE,D,109.0,637.0,220.0,416.0,426.0,420.5,415.0,413.0,178.5,419.0,419.0,423.5,421.0
Andreas Pereira,FUL,M,110.5,138.0,40.0,616.5,73.0,116.5,143.0,57.0,133.0,148.0,25.5,80.5,129.5
Antoine Semenyo,BOU,F,110.5,19.5,418.5,163.0,426.0,127.5,415.0,413.0,418.5,10.5,620.5,80.5,29.5
Nayef Aguerd,WHU,D,112.0,95.0,418.5,118.0,124.5,229.0,13.0,633.5,641.0,71.0,186.0,161.5,185.0
Dejan Kulusevski,TOT,M,116.0,72.0,17.5,82.0,3.0,85.0,41.5,69.0,124.0,138.0,17.5,204.0,21.0
Conor Gallagher,CHE,M,116.0,91.0,63.0,163.0,84.0,65.0,86.5,40.0,22.0,64.5,9.5,9.5,158.0
Ivan Perisic,TOT,M,116.0,130.0,183.0,115.5,91.0,420.5,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Aleksandar Mitrovic,FUL,F,116.0,413.5,418.5,416.0,426.0,420.5,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Jordan Beyer,BUR,D,116.0,413.5,418.5,631.5,220.0,222.0,604.0,413.0,418.5,419.0,207.5,100.0,651.0
Hugo Bueno,WOL,D,116.0,413.5,60.5,623.5,640.0,222.0,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Cauley Woodrow,LUT,F,116.0,413.5,418.5,186.5,426.0,198.0,143.0,134.5,219.5,419.0,419.0,423.5,421.0
Andrew Robertson,LIV,D,121.0,48.0,176.0,48.0,8.0,37.0,90.5,89.0,418.5,419.0,419.0,423.5,421.0
James Tarkowski,EVE,D,121.0,631.0,95.0,176.5,94.5,2.0,83.5,10.0,124.0,53.0,80.0,64.5,126.0
Ibrahima Konate,LIV,D,121.0,119.5,418.5,416.0,140.5,420.5,616.0,627.5,68.0,50.5,90.5,423.5,421.0
Virgil van Dijk,LIV,D,126.5,33.5,639.0,416.0,426.0,6.0,38.0,197.5,12.0,10.5,94.0,20.5,166.5
Ethan Pinnock,BRF,D,126.5,8.0,111.0,107.0,106.5,108.5,79.5,58.0,46.5,3.5,85.5,64.5,72.5
Richarlison,TOT,F,126.5,157.5,207.5,198.0,17.0,182.0,18.0,93.5,81.0,138.0,419.0,423.5,421.0
Joelinton,NEW,M,126.5,110.0,53.0,139.5,426.0,420.5,415.0,413.0,133.0,43.0,12.5,193.0,49.5
Mateo Kovacic,MCI,M,126.5,130.0,75.5,139.5,426.0,420.5,195.0,620.5,418.5,213.5,95.5,149.0,421.0
Ryan Christie,BOU,M,126.5,138.0,75.5,76.0,36.0,92.0,90.5,413.0,166.0,138.0,126.5,26.5,139.5
David Brooks,BOU,M,126.5,119.5,207.5,55.0,187.5,210.5,415.0,180.0,94.0,419.0,419.0,423.5,421.0
Joe Rothwell,BOU,M,126.5,130.0,153.0,416.0,426.0,420.5,415.0,197.5,154.5,419.0,149.0,423.5,421.0
Micky van de Ven,TOT,D,131.0,57.0,52.0,198.0,180.5,420.5,223.5,7.0,83.5,198.5,218.0,423.5,421.0
Raheem Sterling,CHE,F,136.5,55.5,2.5,139.5,100.5,127.5,616.0,1.0,105.5,88.5,20.5,26.5,37.5
Alexis Mac Allister,LIV,M,136.5,633.5,95.0,121.0,426.0,41.0,608.0,63.5,55.5,138.0,192.5,423.5,172.5
Zeki Amdouni,BUR,F,136.5,413.5,153.0,111.0,29.5,116.5,179.0,413.0,113.0,176.0,126.5,127.5,112.0
Boubacar Kamara,AVL,M,136.5,138.0,71.0,176.5,201.0,24.5,113.0,164.5,49.5,120.5,162.0,214.0,146.5
Vitaly Janelt,BRF,M,136.5,110.0,195.0,176.5,84.0,47.5,134.0,93.5,119.5,138.0,95.5,127.5,79.5
Harrison Reed,FUL,M,136.5,77.5,75.5,198.0,213.5,61.0,195.0,215.5,206.0,176.0,419.0,642.0,121.5
Idrissa Gueye,EVE,M,136.5,626.0,120.0,128.0,91.0,99.5,143.0,413.0,418.5,419.0,627.0,26.5,98.5
Illia Zabarnyi,BOU,D,136.5,125.0,106.5,191.0,78.0,612.5,629.0,85.0,620.5,148.0,646.0,56.0,112.0
Pablo Fornals,WHU,M,136.5,99.5,207.5,416.0,426.0,158.0,415.0,413.0,178.5,419.0,149.0,423.5,421.0
Sasa Lukic,FUL,M,136.5,91.0,614.5,416.0,426.0,420.5,165.0,413.0,418.5,176.0,419.0,423.5,202.5
Ashley Young,EVE,D,142.0,624.0,111.0,63.0,633.0,621.5,223.5,56.0,634.5,419.0,641.0,161.5,150.0
Nicolas Jackson,CHE,F,144.5,119.5,10.5,149.5,225.5,147.5,415.0,20.5,178.5,127.5,2.0,48.5,202.5
Marvelous Nakamba,LUT,M,144.5,413.5,135.0,103.5,78.0,92.0,67.0,125.5,178.5,213.5,630.0,204.0,421.0
Benie Traore,SHU,F,144.5,138.0,220.0,214.0,426.0,116.5,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Chris Basham,SHU,D,144.5,171.0,625.0,156.5,213.5,182.0,170.0,164.5,418.5,419.0,419.0,423.5,421.0
Joe Worrall,NOT,D,147.0,48.0,640.0,57.0,195.0,420.5,415.0,413.0,637.0,419.0,419.0,423.5,421.0
Iyenoma Destiny Udogie,TOT,D,151.5,48.0,21.0,52.0,169.0,621.5,100.0,44.0,212.0,419.0,645.0,423.5,196.0
Kevin De Bruyne,MCI,M,151.5,413.5,418.5,416.0,426.0,420.5,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Leandro Trossard,ARS,M,151.5,413.5,80.0,416.0,8.0,420.5,415.0,197.5,61.0,419.0,212.0,7.5,158.0
Josko Gvardiol,MCI,D,151.5,58.0,142.5,416.0,124.5,45.0,415.0,103.5,113.0,32.5,419.0,646.0,421.0
Lyle Foster,BUR,F,151.5,413.5,68.0,28.5,120.5,420.5,415.0,51.5,119.5,419.0,419.0,423.5,421.0
Elijah Adebayo,LUT,F,151.5,413.5,168.0,154.5,164.0,222.0,415.0,134.5,37.0,213.5,419.0,423.5,215.0
Harvey Elliott,LIV,M,151.5,413.5,418.5,416.0,100.5,420.5,415.0,208.0,154.5,198.5,51.5,178.5,215.0
Zanka,BRF,D,151.5,413.5,418.5,416.0,426.0,420.5,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Takehiro Tomiyasu,ARS,D,156.0,206.0,418.5,198.0,206.5,420.5,223.5,413.0,200.5,32.5,162.0,133.0,49.5
Douglas Luiz,AVL,M,160.5,27.0,85.5,149.5,11.5,147.5,47.5,103.5,1.5,18.0,126.5,110.5,26.0
Cody Gakpo,LIV,F,160.5,99.5,128.5,416.0,49.0,158.0,21.5,413.0,418.5,164.5,419.0,110.5,194.0
Pape Sarr,TOT,M,160.5,13.5,41.0,139.5,66.5,210.5,96.5,29.0,133.0,138.0,55.5,193.0,421.0
Kurt Zouma,WHU,D,160.5,201.0,66.0,11.0,187.5,633.0,41.5,134.5,637.0,120.5,419.0,423.5,166.5
Arnaut Danjuma Groeneveld,EVE,F,160.5,148.0,111.0,23.0,147.5,222.0,608.0,413.0,178.5,419.0,419.0,423.5,139.5
Luca Koleosho,BUR,F,160.5,413.5,95.0,48.0,100.5,158.0,143.0,85.0,119.5,164.5,90.5,178.5,63.0
Rayan Ait-Nouri,WOL,D,160.5,206.0,207.5,225.0,134.5,133.0,202.5,164.5,166.0,125.0,116.0,52.0,645.0
James Milner,BHA,M,160.5,148.0,183.0,614.0,426.0,420.5,415.0,413.0,178.5,419.0,74.0,423.5,421.0
Aymeric Laporte,MCI,D,165.0,413.5,418.5,416.0,426.0,420.5,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Son Heung-Min,TOT,F,170.0,35.5,56.5,3.0,175.0,7.0,34.0,103.5,5.0,35.0,105.5,161.5,79.5
John McGinn,AVL,M,170.0,23.0,85.5,139.5,213.5,147.5,28.5,49.5,55.5,30.0,90.5,11.0,75.0
Billy Gilmour,BHA,M,170.0,157.5,102.5,15.0,201.0,24.5,103.0,413.0,178.5,198.5,636.5,149.0,158.0
Jadon Sancho,MUN,M,170.0,148.0,617.5,416.0,426.0,420.5,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Hwang Hee-Chan,WOL,F,170.0,46.0,418.5,38.0,53.0,210.5,41.5,15.5,28.0,18.0,17.5,149.0,37.5
Anel Ahmedhodzic,SHU,D,170.0,77.5,220.0,139.5,187.5,639.0,188.0,211.5,418.5,419.0,419.0,423.5,421.0
Danilo,NOT,M,170.0,91.0,102.5,176.5,426.0,420.5,415.0,413.0,418.5,419.0,627.0,204.0,202.5
Mikkel Damsgaard,BRF,M,170.0,413.5,418.5,416.0,426.0,420.5,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Pelly Ruddock,LUT,M,170.0,413.5,207.5,416.0,213.5,167.5,210.0,63.5,166.0,419.0,419.0,423.5,202.5
Martin Odegaard,ARS,M,178.0,17.0,95.0,38.0,59.0,127.5,2.0,63.5,105.5,419.0,419.0,423.5,121.5
Diogo Jota,LIV,F,178.0,3.0,73.0,186.5,156.5,57.0,638.0,413.0,74.0,18.0,85.5,20.5,172.5
Michail Antonio,WHU,F,178.0,51.5,21.0,163.0,164.0,167.5,73.5,215.5,124.0,138.0,31.0,423.5,421.0
Christian Norgaard,BRF,M,178.0,83.5,46.0,55.0,201.0,80.5,15.0,152.0,69.5,148.0,116.0,85.5,105.5
Alejandro Garnacho,MUN,M,178.0,91.0,418.5,607.0,623.0,420.5,154.5,69.0,166.0,626.5,60.0,69.0,43.0
Danny Welbeck,BHA,F,178.0,181.5,128.5,416.0,20.0,158.0,621.0,413.0,418.5,419.0,419.0,423.5,421.0
Sasa Kalajdzic,WOL,F,178.0,413.5,56.5,198.0,426.0,420.5,415.0,208.0,52.5,198.5,162.0,214.0,172.5
Dan Burn,NEW,D,183.5,171.0,153.0,633.0,26.5,8.0,31.0,130.0,61.0,205.5,97.0,423.5,421.0
Fabian Schar,NEW,D,183.5,194.5,636.0,205.0,20.0,55.0,61.5,171.5,34.0,39.0,69.0,193.0,116.5
Marcos Senesi,BOU,D,183.5,148.0,418.5,95.0,201.0,222.0,635.0,623.5,627.0,419.0,639.0,71.5,56.5
Yasser Larouci,SHU,D,183.5,187.0,619.5,176.5,426.0,420.5,415.0,638.0,418.5,419.0,419.0,423.5,421.0
Mason Mount,MUN,M,193.0,99.5,418.5,416.0,426.0,420.5,96.5,197.5,418.5,157.0,192.5,100.0,421.0
Mykhailo Mudryk,CHE,M,193.0,83.5,418.5,416.0,120.5,85.0,57.5,612.0,19.5,419.0,139.5,178.5,202.5
Issa Kabore,LUT,D,193.0,413.5,619.5,614.0,32.5,92.0,130.0,413.0,178.5,641.0,22.0,119.0,421.0
Nathan Collins,BRF,D,193.0,54.0,135.0,66.0,160.0,174.0,83.5,125.5,45.0,25.0,29.0,149.0,421.0
Youri Tielemans,AVL,M,193.0,413.5,418.5,214.0,225.5,612.5,415.0,413.0,74.0,213.5,212.0,80.5,66.5
Scott McKenna,NOT,D,193.0,67.5,199.5,35.0,69.5,420.5,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Mario Lemina,WOL,M,193.0,99.5,142.5,42.5,100.5,158.0,616.0,152.0,418.5,14.0,126.5,15.5,146.5
Neco Williams,NOT,D,193.0,63.0,418.5,416.0,426.0,420.5,415.0,413.0,623.0,187.5,177.0,423.5,121.5
Max Aarons,BOU,D,193.0,171.0,147.0,225.0,43.5,629.5,638.0,413.0,632.0,131.0,419.0,48.5,421.0
Sander Berge,BUR,M,193.0,413.5,617.5,111.0,147.5,198.0,96.5,612.0,219.5,120.5,100.0,91.5,92.5
Scott McTominay,MUN,M,193.0,413.5,168.0,416.0,175.0,92.0,415.0,8.0,37.0,58.0,126.5,110.5,172.5
Kristoffer Ajer,BRF,D,193.0,67.5,418.5,176.5,426.0,420.5,121.5,142.0,34.0,22.5,632.5,218.0,185.0
Jack Robinson,SHU,D,193.0,125.0,622.0,191.0,64.0,640.0,86.5,623.5,219.5,636.0,126.5,168.0,645.0
Jaidon Anthony,BOU,F,193.0,619.5,168.0,416.0,426.0,420.5,415.0,413.0,418.5,419.0,419.0,423.5,421.0
Chris Mepham,BOU,D,193.0,413.5,418.5,607.0,426.0,420.5,415.0,413.0,418.5,120.5,640.0,423.5,421.0
Nathan Patterson,EVE,D,201.0,637.0,115.5,52.0,147.5,420.5,195.0,413.0,627.0,27.0,218.0,210.0,637.5
Darwin Nunez,LIV,F,203.0,194.5,15.0,28.5,175.0,30.0,415.0,47.5,55.5,8.0,66.5,18.5,185.0
Facundo Pellistri,MUN,M,203.0,413.5,418.5,416.0,187.5,420.5,179.0,413.0,418.5,419.0,60.0,423.5,158.0
