Player,Team,Position,FPts_Total_gw1,FPts_Total_gw2,FPts_Total_gw3,FPts_Total_gw4,FPts_Total_gw5,FPts_Total_gw6,FPts_Total_gw7,FPts_Total_gw8,FPts_Total_gw9,FPts_Total_gw10,FPts_Total_gw11,FPts_Total_gw12,FPts_Total_gw13
Matheus Nunes,MCI,M,16.5,17.0,17.0,17.0,17.0,29.0,30.0,31.5,31.5,31.5,31.0,31.0,31.0
Marc Guehi,CRY,D,16.5,17.5,19.0,19.25,19.25,31.75,45.75,60.0,57.25,58.75,68.25,71.5,71.5
Dominic Solanke,BOU,F,16.0,26.5,30.5,44.5,49.0,61.5,67.5,70.0,80.5,84.5,85.5,118.0,120.0
Tomas Soucek,WHU,M,16.0,31.0,34.0,34.0,40.0,50.0,67.0,80.5,80.5,80.5,79.5,99.0,113.5
Luis Diaz,LIV,F,15.5,33.0,35.5,36.0,43.0,48.0,50.0,55.0,67.0,67.0,79.0,78.5,78.0
Callum Wilson,NEW,F,15.5,18.5,18.5,31.0,40.0,58.0,58.0,58.0,70.0,94.0,95.5,95.5,95.5
Ollie Watkins,AVL,F,15.0,27.0,42.0,43.0,55.5,68.5,128.0,138.0,160.5,170.5,173.0,185.0,197.0
Gabriel Martinelli,ARS,M,14.5,19.0,26.0,40.0,39.5,39.5,39.5,55.5,61.5,74.5,92.5,105.5,108.5
Alex Iwobi,FUL,M,14.5,17.5,17.5,17.5,18.5,20.0,22.5,28.0,31.0,40.0,48.0,51.0,69.5
Rico Henry,BRF,D,14.5,22.5,30.25,32.25,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75
Nathan Ake,MCI,D,14.25,14.25,17.0,33.25,33.25,37.25,36.25,36.75,36.75,36.75,52.75,52.75,66.0
Axel Disasi,CHE,D,13.75,10.0,27.5,35.0,44.0,47.25,56.5,58.5,58.5,57.5,57.0,52.25,52.25
Bryan Mbeumo,BRF,F,13.5,40.0,46.0,64.5,67.0,74.0,85.5,93.0,124.5,150.0,160.5,168.0,175.0
Evan Ferguson,BHA,F,13.0,15.5,22.5,59.5,60.5,64.0,63.5,65.5,65.5,77.0,79.0,79.0,91.0
Bobby De Cordova-Reid,FUL,F,13.0,13.5,16.0,24.0,26.5,29.0,29.0,44.0,47.0,47.5,47.5,47.5,47.5
Manuel Akanji,MCI,D,12.5,24.25,24.25,25.75,31.5,37.25,43.75,43.75,36.25,36.25,48.25,57.25,61.5
Eddie Nketiah,ARS,F,12.5,25.0,37.0,45.5,45.0,48.0,62.5,63.0,63.0,97.0,99.0,99.0,101.0
Kenny Tete,FUL,D,12.5,17.25,15.25,9.75,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
Jefferson Lerma,CRY,M,12.5,20.0,30.5,38.5,38.5,38.5,38.5,38.5,44.0,45.0,46.0,69.0,75.0
Cristian Romero,TOT,D,12.25,23.25,38.75,53.5,59.0,56.5,65.75,86.75,99.25,102.25,97.5,97.5,97.5
Craig Dawson,WOL,D,12.25,9.5,19.75,22.0,19.75,21.5,26.25,29.0,44.5,46.5,48.5,47.75,47.75
Yves Bissouma,TOT,M,12.0,20.0,33.0,40.5,50.5,52.0,53.5,48.5,48.5,52.0,56.5,58.5,58.5
Jacob Murphy,NEW,M,12.0,12.0,12.0,12.0,12.0,12.0,12.0,14.0,44.5,44.5,44.5,44.5,44.5
Lucas Paqueta,WHU,M,11.5,27.5,38.5,52.0,53.5,64.0,67.0,69.5,75.0,80.5,80.5,99.5,112.5
Declan Rice,ARS,M,11.5,18.0,23.5,38.0,47.0,48.0,55.0,65.5,80.0,89.0,94.5,97.5,103.0
Ben Chilwell,CHE,D,11.5,16.25,32.25,39.25,39.25,40.75,40.75,40.75,40.75,40.75,40.75,40.75,40.75
Jordan Ayew,CRY,F,11.5,15.5,34.5,43.5,45.0,47.0,57.5,59.0,65.5,80.5,92.5,94.5,97.0
Issa Diop,FUL,D,11.25,8.75,9.75,2.75,8.5,20.5,20.5,27.5,27.5,27.5,27.5,27.5,27.5
Bruno Fernandes,MUN,M,11.0,23.5,51.0,60.5,67.0,89.5,100.5,112.0,130.5,136.5,157.5,167.5,184.5
Sven Botman,NEW,D,11.0,13.5,19.25,19.25,32.25,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75
Taiwo Awoniyi,NOT,F,11.0,28.5,43.0,53.5,65.5,68.0,72.5,72.5,72.5,72.5,72.5,86.0,86.0
Luke Shaw,MUN,D,11.0,22.75,22.75,22.75,22.75,22.75,22.75,22.75,22.75,22.75,22.75,22.75,33.5
Simon Adingra,BHA,F,11.0,11.0,16.0,16.0,31.5,40.5,41.5,62.5,66.5,73.0,75.5,93.0,96.0
Emerson Royal,TOT,D,10.75,10.25,10.25,9.5,9.5,9.5,9.5,11.25,14.75,18.5,19.75,19.25,17.75
Anthony Gordon,NEW,M,10.5,8.0,32.5,35.0,45.5,78.0,91.0,91.0,104.0,105.0,118.0,123.5,143.0
Jeffrey Schlupp,CRY,M,10.5,17.5,24.5,32.0,35.5,40.0,40.0,41.0,41.0,46.0,60.0,65.5,72.0
Max Kilman,WOL,D,10.5,6.5,19.5,17.0,13.5,29.0,30.75,36.25,45.0,49.25,56.25,56.25,55.5
Jan-Paul van Hecke,BHA,D,10.5,10.5,10.5,15.0,16.75,16.75,16.75,19.75,19.75,19.75,22.25,25.25,28.75
Antonee Robinson,FUL,D,10.25,7.25,9.75,1.75,1.75,22.25,30.75,37.5,42.75,49.75,51.75,60.0,72.75
Tim Ream,FUL,D,10.25,4.0,4.0,12.75,23.5,29.5,31.25,36.75,37.75,44.5,49.25,46.25,43.5
Anthony Elanga,NOT,F,10.0,11.0,13.0,30.5,36.0,42.0,44.0,44.0,70.0,74.0,77.5,90.5,103.5
Cheick Doucoure,CRY,M,10.0,10.5,14.5,24.0,35.0,39.0,45.5,45.5,55.5,63.5,64.5,64.5,70.5
Joao Gomes,WOL,M,10.0,12.0,13.5,14.0,25.5,30.0,32.5,31.5,33.0,34.5,34.5,42.0,46.5
Joel Ward,CRY,D,10.0,12.0,18.75,16.5,12.0,18.25,32.5,32.5,31.25,26.5,36.5,44.0,56.5
Tyrick Mitchell,CRY,D,9.75,14.25,16.75,22.25,20.25,26.75,39.5,57.25,53.5,53.5,74.75,74.0,74.0
Antony,MUN,F,9.5,13.0,25.5,30.5,30.5,30.5,30.5,30.5,34.0,32.0,35.0,37.0,37.0
Matheus Cunha,WOL,F,9.5,22.0,22.0,34.5,40.5,42.5,57.0,59.0,82.0,96.5,99.5,114.0,126.0
Amadou Onana,EVE,M,9.5,12.0,20.0,25.0,26.5,32.0,44.0,51.0,52.5,60.5,60.5,58.0,58.0
Kieran Trippier,NEW,D,9.25,18.75,29.75,31.25,50.25,94.75,123.75,143.75,160.25,162.5,175.5,172.5,177.5
Kyle Walker,MCI,D,9.25,18.75,28.0,28.25,35.75,52.25,52.25,54.75,56.0,74.25,74.5,71.0,78.5
Oliver Norwood,SHU,M,9.0,11.5,17.5,24.0,28.0,30.0,30.0,37.5,47.0,50.0,65.5,71.5,77.5
Nelson Semedo,WOL,D,8.75,4.0,12.75,13.5,19.25,19.25,24.25,26.75,26.75,35.5,33.75,38.5,37.0
Casemiro,MUN,M,8.5,17.0,35.0,38.5,42.0,51.0,54.0,60.0,60.0,60.0,60.0,60.0,60.0
Mathias Jensen,BRF,M,8.5,28.5,36.0,51.0,63.5,76.0,86.5,105.5,112.5,113.5,125.0,132.0,132.0
Miguel Almiron,NEW,M,8.5,11.0,14.5,16.5,17.0,30.5,46.5,44.5,47.5,49.0,56.5,57.5,71.5
Abdoulaye Doucoure,EVE,M,8.5,13.0,22.5,41.5,50.5,64.5,80.5,103.5,112.5,119.0,120.5,136.5,139.5
Thomas Partey,ARS,M,8.5,20.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5
Jacob Brown,LUT,F,8.5,8.5,6.5,6.5,17.5,22.0,22.5,21.5,24.5,26.5,28.5,28.5,41.5
Ryan Giles,LUT,M,8.5,8.5,13.5,21.5,21.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
William Saliba,ARS,D,8.25,21.25,23.0,28.5,38.0,38.25,46.25,54.75,54.25,59.75,61.25,77.0,89.75
Emerson,WHU,D,8.25,23.25,28.5,27.0,25.25,24.75,39.75,46.5,39.0,39.0,39.75,42.75,47.0
John Egan,SHU,D,8.25,14.75,13.25,20.75,20.75,10.5,8.25,8.25,8.25,8.25,8.25,8.25,8.25
Marcus Rashford,MUN,F,8.0,13.0,29.0,45.0,55.0,62.0,66.5,73.0,76.0,81.5,81.5,86.0,105.0
Mohamed Salah,LIV,F,8.0,22.5,38.0,58.0,84.5,106.5,109.0,136.0,163.5,176.5,184.5,208.0,223.5
Dominik Szoboszlai,LIV,M,8.0,24.5,31.5,49.5,55.5,65.0,75.0,92.5,102.5,131.0,133.0,140.5,142.5
Morgan Gibbs-White,NOT,M,8.0,25.0,46.0,50.0,62.0,61.0,65.0,79.0,95.0,98.0,99.5,111.5,146.5
Reece James,CHE,D,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.25,9.25,16.75,27.5,25.75
Harry Wilson,FUL,M,8.0,15.0,15.0,15.0,19.5,23.5,23.5,25.5,29.5,40.0,44.0,46.5,56.5
Max Lowe,SHU,D,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Phil Foden,MCI,M,7.5,33.0,45.0,55.5,62.0,82.0,90.5,100.5,108.0,124.0,135.0,150.5,158.0
Thiago Silva,CHE,D,7.5,11.5,24.5,34.0,41.25,48.5,58.5,58.0,58.0,58.5,59.0,65.25,63.75
Vladimir Coufal,WHU,D,7.5,9.0,12.5,20.0,33.25,43.5,71.0,78.25,76.75,82.75,86.0,89.5,95.75
Willy Boly,NOT,D,7.5,11.5,30.5,50.25,50.25,58.75,66.0,83.0,96.0,104.5,104.5,107.75,107.75
Philip Billing,BOU,M,7.5,12.5,23.0,32.5,39.0,41.0,43.5,48.5,67.0,82.5,84.0,84.0,87.0
Rico Lewis,MCI,D,7.5,7.5,7.5,7.0,7.0,7.0,7.0,13.0,13.0,13.0,11.0,11.0,11.0
Fabio Silva,WOL,F,7.5,13.5,16.5,19.0,21.0,21.0,19.0,19.0,19.0,19.0,17.0,17.0,17.0
Milos Kerkez,BOU,D,7.25,13.0,13.25,17.5,26.0,18.5,15.5,13.75,13.0,14.0,4.75,4.75,9.0
Enzo Fernandez,CHE,M,7.0,16.0,19.0,29.0,33.5,36.0,45.0,49.5,57.0,57.0,67.5,69.0,74.5
Levi Colwill,CHE,D,7.0,5.0,16.0,22.25,34.5,41.25,64.0,66.0,73.5,80.0,79.25,79.25,75.75
Kai Havertz,ARS,F,7.0,10.0,14.5,18.5,19.0,21.0,30.0,37.5,39.0,44.0,46.5,49.5,61.0
Said Benrahma,WHU,M,7.0,9.5,27.0,31.5,32.5,32.5,35.5,35.5,35.5,41.0,45.0,45.0,47.0
James Garner,EVE,M,7.0,12.5,19.5,23.5,24.0,43.0,53.5,68.5,73.0,79.0,85.5,87.5,97.0
Mahmoud Dahoud,BHA,M,7.0,9.0,9.0,7.0,9.5,18.5,18.5,18.5,18.5,28.5,28.0,27.0,27.0
Pablo Sarabia,WOL,M,7.0,21.5,23.5,28.0,28.0,28.0,28.0,28.0,28.5,28.5,28.5,49.0,49.0
Neal Maupay,BRF,F,7.0,8.5,8.5,8.5,9.0,9.0,11.0,10.5,22.0,31.5,46.5,46.5,49.0
Michael Keane,EVE,D,6.75,2.75,3.25,3.25,3.25,3.25,3.25,3.25,5.25,5.25,5.25,5.25,5.25
Andreas Pereira,FUL,M,6.5,10.0,24.0,22.5,31.5,36.5,40.0,49.5,53.5,57.0,72.0,79.5,84.0
Antoine Semenyo,BOU,F,6.5,23.5,23.5,26.0,26.0,30.5,30.5,30.5,30.5,50.5,50.0,57.5,73.0
Nayef Aguerd,WHU,D,6.25,12.5,12.5,17.75,22.75,23.0,43.75,40.75,34.75,43.75,45.5,48.0,50.0
Dejan Kulusevski,TOT,M,6.0,14.0,33.0,41.5,67.0,74.0,87.5,95.0,99.5,103.5,119.5,120.5,137.5
Conor Gallagher,CHE,M,6.0,12.5,23.0,25.5,33.0,42.5,50.5,63.5,81.0,90.5,111.5,134.5,137.5
Ivan Perisic,TOT,M,6.0,10.0,12.0,17.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
Aleksandar Mitrovic,FUL,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Jordan Beyer,BUR,D,6.0,6.0,6.0,3.0,3.75,4.25,4.0,4.0,4.0,4.0,4.75,10.75,8.0
Hugo Bueno,WOL,D,6.0,6.0,16.75,14.75,6.25,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75
Cauley Woodrow,LUT,F,6.0,6.0,6.0,7.5,7.5,9.0,12.5,16.5,17.0,17.0,17.0,17.0,17.0
Andrew Robertson,LIV,D,5.75,17.0,19.25,31.75,52.75,65.5,73.0,79.25,79.25,79.25,79.25,79.25,79.25
James Tarkowski,EVE,D,5.75,3.0,9.5,11.5,18.25,52.25,60.5,81.5,86.0,96.5,104.0,113.5,118.25
Ibrahima Konate,LIV,D,5.75,10.25,10.25,10.25,14.5,14.5,13.5,11.5,21.25,32.25,38.75,38.75,38.75
Virgil van Dijk,LIV,D,5.5,18.75,10.0,10.0,10.0,37.25,51.25,52.75,73.0,93.0,99.25,117.25,120.0
Ethan Pinnock,BRF,D,5.5,28.0,33.5,39.75,46.0,51.5,60.0,69.25,81.75,110.25,117.25,126.75,135.75
Richarlison,TOT,F,5.5,8.0,9.0,10.0,28.0,30.0,47.5,53.5,61.5,65.5,65.5,65.5,65.5
Joelinton,NEW,M,5.5,10.5,22.0,26.0,26.0,26.0,26.0,26.0,30.0,42.5,60.5,62.0,74.5
Mateo Kovacic,MCI,M,5.5,9.5,17.5,21.5,21.5,21.5,23.0,22.0,22.0,22.5,28.5,31.5,31.5
Ryan Christie,BOU,M,5.5,9.0,17.0,26.0,39.0,45.5,53.0,53.0,55.5,59.5,63.5,79.5,83.5
David Brooks,BOU,M,5.5,10.0,11.0,23.0,25.0,26.0,26.0,28.0,35.0,35.0,35.0,35.0,35.0
Joe Rothwell,BOU,M,5.5,9.5,12.5,12.5,12.5,12.5,12.5,14.0,17.0,17.0,20.0,20.0,20.0
Micky van de Ven,TOT,D,5.25,15.5,27.25,28.25,30.5,30.5,30.75,53.0,60.75,61.75,62.0,62.0,62.0
Raheem Sterling,CHE,F,5.0,15.5,48.5,52.5,59.0,63.5,62.5,94.5,100.5,108.0,123.5,139.5,153.5
Alexis Mac Allister,LIV,M,5.0,2.0,8.5,13.5,13.5,26.0,25.5,33.5,44.5,48.5,50.0,50.0,52.5
Zeki Amdouni,BUR,F,5.0,5.0,8.0,14.0,28.0,33.0,35.0,35.0,40.5,42.5,46.5,50.5,56.0
Boubacar Kamara,AVL,M,5.0,8.5,17.5,19.5,21.0,37.0,42.5,45.0,57.0,62.0,64.5,65.0,68.5
Vitaly Janelt,BRF,M,5.0,10.0,11.5,13.5,21.0,33.0,37.0,43.0,48.0,52.0,58.0,62.0,70.0
Harrison Reed,FUL,M,5.0,12.5,20.5,21.5,22.5,32.5,34.0,34.5,35.5,37.5,37.5,35.5,40.5
Idrissa Gueye,EVE,M,5.0,3.0,8.0,12.5,19.5,25.5,29.0,29.0,29.0,29.0,28.0,44.0,50.5
Illia Zabarnyi,BOU,D,5.0,9.25,15.0,16.25,24.75,24.25,22.0,28.5,27.25,30.75,22.25,33.0,38.5
Pablo Fornals,WHU,M,5.0,11.0,12.0,12.0,12.0,15.0,15.0,15.0,17.0,17.0,20.0,20.0,20.0
Sasa Lukic,FUL,M,5.0,11.5,11.0,11.0,11.0,11.0,13.5,13.5,13.5,15.5,15.5,15.5,16.5
Ashley Young,EVE,D,4.75,3.0,8.5,19.0,17.25,15.75,16.0,25.75,22.75,22.75,18.5,21.0,24.25
Nicolas Jackson,CHE,F,4.5,9.0,31.0,34.5,35.0,38.5,38.5,56.0,58.0,62.5,99.0,111.0,112.0
Marvelous Nakamba,LUT,M,4.5,4.5,8.5,15.0,23.5,30.0,39.5,44.0,46.0,46.5,45.0,46.0,46.0
Benie Traore,SHU,F,4.5,8.0,8.5,9.0,9.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
Chris Basham,SHU,D,4.5,6.5,4.75,7.5,8.5,10.5,12.75,15.25,15.25,15.25,15.25,15.25,15.25
Joe Worrall,NOT,D,4.25,15.5,6.25,18.0,19.75,19.75,19.75,19.75,16.5,16.5,16.5,16.5,16.5
Iyenoma Destiny Udogie,TOT,D,4.0,15.25,33.75,46.0,48.75,47.25,54.0,66.0,66.75,66.75,61.0,61.0,62.25
Kevin De Bruyne,MCI,M,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Leandro Trossard,ARS,M,4.0,4.0,11.5,11.5,32.5,32.5,32.5,34.0,44.5,44.5,45.0,68.5,71.5
Josko Gvardiol,MCI,D,4.0,14.0,17.5,17.5,22.5,34.75,34.75,40.25,45.75,60.0,60.0,57.5,57.5
Lyle Foster,BUR,F,4.0,4.0,13.5,29.0,34.5,34.5,34.5,45.0,50.0,50.0,50.0,50.0,50.0
Elijah Adebayo,LUT,F,4.0,4.0,6.5,9.5,12.5,13.0,13.0,17.0,30.5,31.0,31.0,31.0,31.5
Harvey Elliott,LIV,M,4.0,4.0,4.0,4.0,10.5,10.5,10.5,11.5,14.5,15.5,27.0,29.0,29.5
Zanka,BRF,D,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Takehiro Tomiyasu,ARS,D,3.75,4.25,4.25,5.25,6.5,6.5,6.75,6.75,8.0,22.25,24.75,28.5,41.0
Douglas Luiz,AVL,M,3.5,18.5,25.5,29.0,48.5,52.0,64.5,70.0,102.0,118.5,122.5,127.5,143.5
Cody Gakpo,LIV,F,3.5,9.5,14.0,14.0,25.5,28.5,45.0,45.0,45.0,47.5,47.5,52.5,54.0
Pape Sarr,TOT,M,3.5,22.0,35.5,39.5,49.0,50.0,57.0,72.0,76.0,80.0,91.0,92.5,92.5
Kurt Zouma,WHU,D,3.5,4.25,14.25,39.0,41.0,35.5,49.0,53.0,49.75,54.75,54.75,54.75,57.5
Arnaut Danjuma Groeneveld,EVE,F,3.5,6.5,12.0,28.5,32.5,33.0,32.5,32.5,34.5,34.5,34.5,34.5,38.5
Luca Koleosho,BUR,F,3.5,3.5,10.0,22.5,29.0,32.0,35.5,42.0,47.0,49.5,56.0,58.0,68.5
Rayan Ait-Nouri,WOL,D,3.5,4.0,5.0,5.25,9.75,14.0,15.25,17.75,20.25,25.0,29.5,41.25,39.25
James Milner,BHA,M,3.5,6.5,8.5,7.5,7.5,7.5,7.5,7.5,9.5,9.5,17.5,17.5,17.5
Aymeric Laporte,MCI,D,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
Son Heung-Min,TOT,F,3.0,16.0,27.0,63.0,65.5,91.5,106.0,111.5,141.0,155.0,160.0,162.5,170.5
John McGinn,AVL,M,3.0,19.0,26.0,30.0,31.0,34.5,50.0,61.0,72.0,86.5,93.0,114.5,123.0
Billy Gilmour,BHA,M,3.0,5.5,11.5,30.5,32.0,48.0,54.5,54.5,56.5,57.5,55.5,58.5,61.5
Jadon Sancho,MUN,M,3.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Hwang Hee-Chan,WOL,F,3.0,14.5,14.5,28.5,39.5,40.5,54.0,72.5,88.0,104.5,120.5,123.5,137.5
Anel Ahmedhodzic,SHU,D,3.0,10.5,11.0,15.0,17.0,4.25,6.0,6.75,6.75,6.75,6.75,6.75,6.75
Danilo,NOT,M,3.0,9.5,15.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.5,17.5,18.5
Mikkel Damsgaard,BRF,M,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Pelly Ruddock,LUT,M,3.0,3.0,4.0,4.0,5.0,7.5,8.5,16.5,19.0,19.0,19.0,19.0,20.0
Martin Odegaard,ARS,M,2.5,20.0,26.5,40.5,51.0,55.5,89.5,97.5,103.5,103.5,103.5,103.5,108.5
Diogo Jota,LIV,F,2.5,29.5,38.0,39.5,43.0,53.5,48.0,48.0,57.0,73.5,80.5,98.5,101.0
Michail Antonio,WHU,F,2.5,13.5,32.0,34.5,37.5,40.0,49.0,49.5,54.0,58.0,72.5,72.5,72.5
Christian Norgaard,BRF,M,2.5,9.5,22.0,34.0,35.5,43.0,62.0,65.0,74.5,78.0,82.5,89.5,95.5
Alejandro Garnacho,MUN,M,2.5,9.0,9.0,8.5,8.0,8.0,11.0,18.5,21.0,19.5,30.0,38.5,51.5
Danny Welbeck,BHA,F,2.5,4.0,8.5,8.5,24.5,27.5,26.0,26.0,26.0,26.0,26.0,26.0,26.0
Sasa Kalajdzic,WOL,F,2.5,2.5,13.5,14.5,14.5,14.5,14.5,15.5,27.0,28.0,30.5,31.0,33.5
Dan Burn,NEW,D,2.25,4.25,7.25,2.5,17.0,42.5,57.75,62.0,72.5,73.25,79.0,79.0,79.0
Fabian Schar,NEW,D,2.25,3.25,0.25,1.0,17.0,28.0,38.5,40.75,55.0,68.0,77.25,78.75,84.0
Marcos Senesi,BOU,D,2.25,5.25,5.25,12.75,14.25,14.75,11.0,9.75,7.75,7.75,4.75,13.0,24.25
Yasser Larouci,SHU,D,2.25,3.5,2.25,4.25,4.25,4.25,4.25,0.0,0.0,0.0,0.0,0.0,0.0
Mason Mount,MUN,M,2.0,8.0,8.0,8.0,8.0,8.0,15.0,16.5,16.5,19.5,21.0,27.0,27.0
Mykhailo Mudryk,CHE,M,2.0,9.0,9.0,9.0,14.5,21.5,32.5,32.0,50.0,50.0,53.5,55.5,56.5
Issa Kabore,LUT,D,2.0,2.0,0.75,-0.25,13.25,19.75,24.0,24.0,26.0,20.5,35.75,40.25,40.25
Nathan Collins,BRF,D,2.0,12.75,16.75,27.0,30.25,32.5,40.75,45.25,58.0,73.25,88.0,91.0,91.0
Youri Tielemans,AVL,M,2.0,2.0,2.0,2.5,3.0,2.5,2.5,2.5,11.5,12.0,12.5,20.0,30.0
Scott McKenna,NOT,D,2.0,10.5,11.75,26.0,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25
Mario Lemina,WOL,M,2.0,8.0,11.5,25.0,31.5,34.5,33.5,36.5,36.5,54.0,58.0,77.5,81.0
Neco Williams,NOT,D,2.0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,9.75,11.25,13.25,13.25,18.25
Max Aarons,BOU,D,2.0,4.0,7.25,7.5,19.75,15.5,10.0,10.0,7.5,11.75,11.75,23.75,23.75
Sander Berge,BUR,M,2.0,2.0,1.0,7.0,11.0,12.5,19.5,19.0,19.5,24.5,30.0,36.5,43.5
Scott McTominay,MUN,M,2.0,2.0,4.5,4.5,7.0,13.5,13.5,35.5,49.0,59.0,63.0,68.0,70.5
Kristoffer Ajer,BRF,D,2.0,10.5,10.5,12.5,12.5,12.5,17.25,20.75,35.0,51.0,49.25,49.5,51.5
Jack Robinson,SHU,D,2.0,6.25,4.75,6.0,15.75,2.75,10.75,9.5,10.0,7.0,11.0,13.25,11.25
Jaidon Anthony,BOU,F,2.0,1.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Chris Mepham,BOU,D,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,6.5,3.0,3.0,3.0
Nathan Patterson,EVE,D,1.75,-2.25,3.0,15.25,19.25,19.25,20.75,20.75,18.75,33.75,34.0,34.75,33.25
Darwin Nunez,LIV,F,1.5,2.5,22.0,37.5,40.0,54.5,54.5,66.0,77.0,99.5,109.0,127.5,129.5
Facundo Pellistri,MUN,M,1.5,1.5,1.5,1.5,3.5,3.5,5.5,5.5,5.5,5.5,16.0,16.0,19.0
Ryan Yates,NOT,M,1.5,4.0,8.5,16.0,16.0,16.0,16.0,14.0,15.5,19.0,19.0,19.0,22.5
