,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
23,BHA,CM,3,4.5,0.0,1.5,0.0,0.25,0.75,1.0,0.25,0.0,0.0,0.25,0.5,0.5,0.25,0.5,0.0,0.0,0.0,2.25,0.0,0.0,1.0,0.0,0.0,5.5,-1.0,0.5,1,15.62
10,AVL,CB,3,4.48,0.06,0.21,0.03,0.15,0.79,0.18,0.12,0.0,0.03,0.67,2.64,0.58,0.55,0.85,0.0,0.03,0.0,1.18,0.24,0.06,0.97,0.06,0.0,4.9,-2.7,0.48,1,13.01
101,WHU,LB,3,4.39,0.06,0.81,0.12,0.06,1.56,0.38,0.44,0.0,0.44,0.94,2.31,0.75,0.19,0.62,0.0,0.06,0.0,1.69,0.06,0.12,2.38,0.06,0.0,6.95,-4.44,0.44,1,10.17
94,TOT,RM,1,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1,9.5
97,WHU,CB,4,3.46,0.06,0.12,0.0,0.22,0.53,0.06,0.09,0.03,0.0,1.06,4.59,0.06,0.88,2.38,0.0,0.0,0.03,1.84,0.06,0.06,1.03,0.0,0.0,6.74,-4.28,0.44,1,11.72
29,BHA,RB,4,3.44,0.08,0.38,0.0,0.08,1.69,0.38,0.15,0.0,0.15,1.08,2.46,0.08,0.38,1.15,0.0,0.0,0.0,1.69,0.08,0.08,1.31,0.0,0.0,5.79,-3.12,0.54,1,10.89
48,LIV,LM,6,3.39,0.0,0.36,0.0,0.36,0.71,1.29,0.07,0.0,0.0,0.43,0.43,1.14,0.0,0.5,0.0,0.0,0.0,0.64,0.29,0.0,1.07,0.14,0.0,3.96,-0.79,0.5,1,13.05
87,TOT,CM,1,3.25,0.0,0.0,0.0,0.0,1.5,1.5,0.5,0.0,0.0,1.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,4.0,0.0,0.0,4.5,-1.75,0.5,1,6.5
22,BHA,CB,4,2.64,0.03,0.3,0.0,0.21,0.73,0.06,0.27,0.03,0.06,0.88,2.58,0.18,0.97,2.18,0.0,0.0,0.03,1.7,0.0,0.03,1.61,0.03,0.0,6.67,-4.33,0.58,1,7.29
71,MUN,LM,2,2.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.0,1.5,0.0,0.0,2.5,-0.5,1.0,1,32.0
91,TOT,LM,1,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.5,0.0,1,16.5
107,WHU,WB,1,-4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.5,-10.5,0.0,1,11.5
