Player,Team,Position
Enzo Fernandez,CHE,M
Levi Colwill,CHE,D
Kai Havertz,ARS,F
Said Benrahma,WHU,M
James Garner,EVE,M
Mahmoud Dahoud,BHA,M
Pablo Sarabia,WOL,M
Neal Maupay,BRF,F
Michael Keane,EVE,D
Andreas Pereira,FUL,M
Antoine Semenyo,BOU,F
Nayef Aguerd,WHU,D
Dejan Kulusevski,TOT,M
Conor Gallagher,CHE,M
Ivan Perisic,TOT,M
Aleksandar Mitrovic,FUL,F
Jordan Beyer,BUR,D
Hugo Bueno,WOL,D
Cauley Woodrow,LUT,F
Andrew Robertson,LIV,D
James Tarkowski,EVE,D
Ibrahima Konate,LIV,D
Virgil van Dijk,LIV,D
Ethan Pinnock,BRF,D
Richarlison,TOT,F
Joelinton,NEW,M
Mateo Kovacic,MCI,M
Ryan Christie,BOU,M
David Brooks,BOU,M
Joe Rothwell,BOU,M
Micky van de Ven,TOT,D
Raheem Sterling,CHE,F
Alexis Mac Allister,LIV,M
Zeki Amdouni,BUR,F
Boubacar Kamara,AVL,M
Vitaly Janelt,BRF,M
Harrison Reed,FUL,M
Idrissa Gueye,EVE,M
Illia Zabarnyi,BOU,D
Pablo Fornals,WHU,M
Sasa Lukic,FUL,M
Ashley Young,EVE,D
Nicolas Jackson,CHE,F
Marvelous Nakamba,LUT,M
Benie Traore,SHU,F
Chris Basham,SHU,D
Joe Worrall,NOT,D
Iyenoma Destiny Udogie,TOT,D
Kevin De Bruyne,MCI,M
Leandro Trossard,ARS,M
Josko Gvardiol,MCI,D
Lyle Foster,BUR,F
Elijah Adebayo,LUT,F
Harvey Elliott,LIV,M
Zanka,BRF,D
Takehiro Tomiyasu,ARS,D
Douglas Luiz,AVL,M
Cody Gakpo,LIV,F
Pape Sarr,TOT,M
Kurt Zouma,WHU,D
Arnaut Danjuma Groeneveld,EVE,F
Luca Koleosho,BUR,F
Rayan Ait-Nouri,WOL,D
James Milner,BHA,M
Aymeric Laporte,MCI,D
Son Heung-Min,TOT,F
John McGinn,AVL,M
Billy Gilmour,BHA,M
Jadon Sancho,MUN,M
Hwang Hee-Chan,WOL,F
Anel Ahmedhodzic,SHU,D
Danilo,NOT,M
Mikkel Damsgaard,BRF,M
Pelly Ruddock,LUT,M
Martin Odegaard,ARS,M
Diogo Jota,LIV,F
Michail Antonio,WHU,F
Christian Norgaard,BRF,M
Alejandro Garnacho,MUN,M
Danny Welbeck,BHA,F
Sasa Kalajdzic,WOL,F
Dan Burn,NEW,D
Fabian Schar,NEW,D
Marcos Senesi,BOU,D
Yasser Larouci,SHU,D
Mason Mount,MUN,M
Mykhailo Mudryk,CHE,M
Issa Kabore,LUT,D
Nathan Collins,BRF,D
Youri Tielemans,AVL,M
Scott McKenna,NOT,D
Mario Lemina,WOL,M
Neco Williams,NOT,D
Max Aarons,BOU,D
Sander Berge,BUR,M
Scott McTominay,MUN,M
Kristoffer Ajer,BRF,D
Jack Robinson,SHU,D
Jaidon Anthony,BOU,F
Chris Mepham,BOU,D
Nathan Patterson,EVE,D
Darwin Nunez,LIV,F
Facundo Pellistri,MUN,M
Ryan Yates,NOT,M
Diego Carlos,AVL,D
Bruno Guimaraes,NEW,M
Bernardo Silva,MCI,M
Willian,FUL,F
Curtis Jones,LIV,M
Josh Cullen,BUR,M
Victor Lindelof,MUN,D
Danny Ings,WHU,F
Mads Roerslev,BRF,D
Philippe Coutinho,AVL,M
Lesley Ugochukwu,CHE,F
Lewis Dobbin,EVE,F
Thilo Kehrer,WHU,D
Jacob Bruun Larsen,BUR,F
Cheikhou Kouyate,NOT,M
Serge Aurier,NOT,D
Alfie Doughty,LUT,M
Kevin Schade,BRF,M
Justin Kluivert,BOU,M
Ian Maatsen,CHE,D
George Baldock,SHU,D
Orel Mangala,NOT,M
Davinson Sanchez,TOT,D
Kieffer Moore,BOU,F
Tom Cairney,FUL,M
James Hill,BOU,D
Gabriel Magalhaes,ARS,D
Jurrien Timber,ARS,D
Tyrone Mings,AVL,D
Gabriel Jesus,ARS,F
Jack Grealish,MCI,M
Pedro Porro,TOT,D
Ruben Dias,MCI,D
Oleksandr Zinchenko,ARS,D
Michael Olise,CRY,M
Rasmus Hojlund,MUN,F
James Ward-Prowse,WHU,M
Christopher Nkunku,CHE,F
Diogo Dalot,MUN,D
Jeremy Doku,MCI,F
John Stones,MCI,D
Dwight McNeil,EVE,M
Dominic Calvert-Lewin,EVE,F
Ansu Fati,BHA,F
Moises Caicedo,CHE,M
Mohammed Kudus,WHU,M
Christian Eriksen,MUN,M
Jacob Ramsey,AVL,M
Manor Solomon,TOT,F
Alex Moreno,AVL,D
Ben Mee,BRF,D
Ivan Toney,BRF,F
Josh Brownhill,BUR,M
Gustavo Hamer,SHU,M
Malo Gusto,CHE,D
Marcus Tavernier,BOU,M
Joao Palhinha,FUL,M
Julio Enciso,BHA,F
Cole Palmer,CHE,M
Callum Hudson-Odoi,NOT,F
Timothy Castagne,FUL,D
Sean Longstaff,NEW,M
Fabio Vieira,ARS,M
Beto,EVE,F
Nicolo Zaniolo,AVL,M
Sofyan Amrabat,MUN,M
Ryan Gravenberch,LIV,M
Sergio Reguilon,MUN,D
Joseph Gomez,LIV,D
Jack Harrison,EVE,M
Noni Madueke,CHE,F
Elliot Anderson,NEW,M
Marc Cucurella,CHE,D
Dango Ouattara,BOU,F
Joe Willock,NEW,M
Hamed Traore,BOU,M
Emiliano Buendia,AVL,M
Joel Matip,LIV,D
Oliver McBurnie,SHU,F
Rodrigo Bentancur,TOT,M
Joao Cancelo,MCI,D
Felipe,NOT,D
Lewis Hall,NEW,D
Matt Doherty,WOL,D
Aaron Ramsey,BUR,M
Edson Alvarez,WHU,M
Pierre-Emile Hojbjerg,TOT,M
Tariq Lamptey,BHA,D
Jarrad Branthwaite,EVE,D
Anthony Martial,MUN,F
Demarai Gray,EVE,M
Cameron Archer,SHU,F
Vitalii Mykolenko,EVE,D
Benson Manuel,BUR,F
Hannibal Mejbri,MUN,M
Benoit Badiashile,CHE,D
Ibrahim Sangare,NOT,M
Carlos Vinicius,FUL,F
Facundo Buonanotte,BHA,M
Emile Smith Rowe,ARS,M
Aaron Cresswell,WHU,D
Ben Davies,TOT,D
Jean-Philippe Mateta,CRY,F
Armando Broja,CHE,F
Romeo Lavia,CHE,M
Ross Barkley,LUT,M
Jamaal Lascelles,NEW,D
James Mcatee,SHU,M
Jayden Bogle,SHU,D
Chiedozie Ogbene,LUT,F
Tyler Adams,BOU,M
Luis Sinisterra,BOU,F
Giovani Lo Celso,TOT,M
Johann Gudmundsson,BUR,M
Adam Webster,BHA,D
Jean-Ricner Bellegarde,WOL,M
Jhon Duran,AVL,F
Jonny Evans,MUN,D
Wataru Endo,LIV,M
Valentino Livramento,NEW,D
Adama Traore,FUL,F
Matheus Franca,CRY,F
Thiago Alcantara,LIV,M
Harry Maguire,MUN,D
Reiss Nelson,ARS,F
Tahith Chong,LUT,M
Charlie Taylor,BUR,D
Divock Origi,NOT,F
Jorginho,ARS,M
Reece Burke,LUT,D
Wesley Fofana,CHE,D
Nuno Tavares,NOT,D
Gonzalo Montiel,NOT,D
Nicolas Dominguez,NOT,M
Vinicius de Souza Costa,SHU,M
Carlos Baleba,BHA,M
Konstantinos Tsimikas,LIV,D
Romelu Lukaku,CHE,F
Lewis Cook,BOU,M
Folarin Balogun,ARS,F
Will Hughes,CRY,M
Jakub Kiwior,ARS,D
Kalvin Phillips,MCI,M
Mike Tresor,BUR,F
Kieran Tierney,ARS,D
Eric Dier,TOT,D
Keane Lewis-Potter,BRF,F
Andrey Santos,NOT,M
Daniel Podence,WOL,F
Mason Greenwood,MUN,F
Chris Wood,NOT,F
Jarell Quansah,LIV,D
Calvin Bassey,FUL,D
Konstantinos Mavropanos,WHU,D
Alex Scott,BOU,M
Dele Alli,EVE,M
Clement Lenglet,AVL,D
Kobbie Mainoo,MUN,M
Amad Diallo,MUN,F
Stefan Bajcetic,LIV,M
Divin Mubama,WHU,F
Jack Hinshelwood,BHA,M
Sergio Gomez,MCI,D
Matt Targett,NEW,D
Luke Thomas,SHU,D
Ben Doak,LIV,F
Tyrell Malacia,MUN,D
Tanguy Ndombele,TOT,M
Tosin Adarabioyo,FUL,D
Nathan Redmond,BUR,M
Albert Sambi Lokonga,LUT,M
Adam Lallana,BHA,M
Moussa Niakhate,NOT,D
Fred,MUN,M
Trevoh Chalobah,CHE,D
Jordan Clark,LUT,M
Maxwel Cornet,WHU,M
Murillo,NOT,M
Ryan Sessegnon,TOT,D
Lloyd Kelly,BOU,D
Maximo Perrone,MCI,M
Igor Julio dos Santos de Paulo,BHA,D
Rhian Brewster,SHU,F
Alejo Veliz,TOT,F
Conor Bradley,LIV,D
Jay Rodriguez,BUR,F
Hakim Ziyech,CHE,M
Hannes Delcroix,BUR,D
Tommy Doyle,WOL,M
Marquinhos,ARS,F
Naouirou Ahamada,CRY,M
Oscar Bobb,MCI,M
Rob Holding,CRY,D
Djed Spence,TOT,D
Josh Dasilva,BRF,M
Emmanuel Dennis,NOT,F
Toti,WOL,D
Shola Shoretire,MUN,F
Luke Harris,FUL,M
Boubacar Traore,WOL,M
Auston Trusty,SHU,D
Yasin Ayari,BHA,M
Charlie Patino,ARS,M
Nicolas Pepe,ARS,F
Jesurun Rak-Sakyi,CRY,M
Chris Richards,CRY,D
Scott Twine,BUR,M
Leander Dendoncker,AVL,M
Bryan Gil,TOT,F
Joe Hugill,MUN,F
Ben Osborn,SHU,M
Youssef Ramalho Chermiti,EVE,F
Enock Agyei,BUR,F
Keinan Davis,AVL,F
Lewis Miley,NEW,M
Dane Scarlett,TOT,F
Donny van de Beek,MUN,M
Cedric Soares,ARS,D
Shandon Baptiste,BRF,M
Jonny,WOL,D
Calum Chambers,AVL,D
Seamus Coleman,EVE,D
Ismaila Coulibaly,SHU,M
Ben Godfrey,EVE,D
Enso Gonzalez,WOL,F
Kortney Hause,AVL,D
Joseph Hodge,WOL,M
Frank Onyeka,BRF,M
Jaden Philogene-Bidace,AVL,M
Matt Ritchie,NEW,D
Mason Burstow,CHE,F
Nathaniel Clyne,CRY,D
Malcolm Ebiowei,CRY,M
Alvaro Fernandez,MUN,D
Daniel Gore,MUN,M
Ben Johnson,WHU,D
Andre Gomes,EVE,M
Bobby Clark,LIV,M
Allan Campbell,LUT,M
Sergi Canos,BRF,F
Jack Cork,BUR,M
Conor Coventry,WHU,M
Flynn Downes,WHU,M
Mohamed Elneny,ARS,M
Tyrese Francois,FUL,M
Goncalo Guedes,WOL,F
Mason Holgate,EVE,D
Hwang Ui-Jo,NOT,F
Tim Iroegbunam,AVL,M
Kevin Mbabu,FUL,D
Charlie McNeill,MUN,F
Rodrigo Muniz,FUL,F
Angelo Ogbonna,WHU,D
Michael Olakigbe,BRF,F
Andrew Omobamidele,NOT,D
Daniel Potts,LUT,D
Jonjo Shelvey,NOT,M
Adam Smith,BOU,D
Bertrand Traore,AVL,M
Diego Moreira,CHE,F
Deivid Washington de Souza Eugenio,CHE,F
Fode Ballo-Toure,FUL,D
Luke Berry,LUT,M
Tom Davies,SHU,M
Hjalmar Ekdal,BUR,D
Ryan Fraser,NEW,M
Luke Freeman,LUT,M
Isak Hansen-Aaroen,MUN,M
Omari Kellyman,AVL,M
Javier Manquillo,NEW,D
Alex Mighten,NOT,F
Jakub Moder,BHA,M
Nathaniel Phillips,LIV,D
Malang Sarr,CHE,D
Jay Stansfield,FUL,F
Japhet Tanganga,TOT,D
James Tomkins,CRY,D
Harvey White,TOT,M
Brandon Williams,MUN,D
Ehor Yarmolyuk,BRF,M
Steven Alzate,BHA,M
Eric Bailly,MUN,D
Mads Bech Sorensen,BRF,D
Andre Brooks,SHU,M
Amario Cozier-Duberry,ARS,M
Ryan Fredericks,BOU,D
Remo Freuler,NOT,M
Antwoine Hackford,SHU,F
Daniel Jebbison,SHU,F
Anthony Knockaert,FUL,M
Loic Mbe Soh,NOT,D
Admiral Muskwe,LUT,F
Rhys Norrington-Davies,SHU,D
Michael Obafemi,BUR,F
Ashley Phillips,TOT,D
Omar Richards,NOT,D
Jairo Riedewald,CRY,M
Harry Toffolo,NOT,D
Rhys Bennett,MUN,D
Thomas Cannon,EVE,F
Darko Churlinov,BUR,F
Amadou Diallo,NEW,F
Nathan Ferguson,CRY,D
John Fleck,SHU,M
Gustavo Scarpa,NOT,M
Jean-Philippe Gbamin,EVE,M
Charlie Goode,BRF,D
John McAtee,LUT,F
James McConnell,LIV,M
Teden Mengi,LUT,D
Lewis O'Brien,NOT,M
Wilson Odobert,BUR,F
David Ozoh,CRY,M
Myles Peart-Harris,BRF,M
Harry Arter,NOT,M
Santiago Bueno,WOL,D
Emiliano Marcondes Camargo Hansen,BOU,M
Daniel Chesters,WHU,M
Dara Costelloe,BUR,F
Luc De Fougerolles,FUL,D
Matthew Dibley-Dias,FUL,M
Mohamed Drager,NOT,D
CJ Egan-Riley,BUR,D
Noam Emeran,MUN,F
Omari Forson,MUN,M
Saman Ghoddos,BRF,F
Alfie Gilchrist,CHE,D
Isaac Hayden,NEW,M
Jeff Hendrick,NEW,M
Ji-Soo Kim,BRF,D
Emil Krafth,NEW,D
Alex Matos,CHE,F
Andy Moran,BHA,M
Tyler Onyango,EVE,M
Gabriel Osho,LUT,D
Sebastian Revan,AVL,D
Charles Sagoe Junior,ARS,F
Giulian Biancone,NOT,D
Ethan Brierley,BRF,M
Bruno Jordao,WOL,M
Toby Collyer,MUN,M
Owen Dodgson,BUR,D
Paul Dummett,NEW,D
John-Kymani Gordon,CRY,F
Marc Jurado Gomez,MUN,D
Willy Kambwala,MUN,D
Terence Kongolo,FUL,D
Jamal Lowe,BOU,F
Han-Noah Massengo,BUR,M
Idris Odutayo,FUL,D
Maximillian Oyedele,MUN,M
Ben Parkinson,NEW,F
Josh Powell,NOT,M
Glen Rea,LUT,D
Ronnie Stutter,CHE,F
Louie Watson,LUT,M
Jack Wells-Morrison,CRY,M
Andi Zeqiri,BHA,F
Brandon Aguilera,NOT,M
Josh Brooking,CHE,D
Nathan Carlyon,NEW,M
Luke Chambers,LIV,D
Jamie Donley,TOT,F
Josh Feeney,AVL,M
Aidan Francis-Clarke,LUT,D
Sean Grehan,CRY,D
Harvey Griffiths,WOL,M
Bashir Humphreys,CHE,D
Callum Marshall,WHU,F
Delano McCoy-Splatt,FUL,M
Jose Mateo Mejia Piedrahita,MUN,F
Jamie Miley,NEW,M
Michael Ndiweni,NEW,F
Jonathan Panzo,NOT,D
Aribim Pepple,LUT,F
Dion Pereira,LUT,M
Logan Pye,MUN,D
Ishe Samuels-Smith,CHE,D
Lino Sousa,ARS,D
Reuell Walters,ARS,D
Kadan Young,AVL,M
Valintino Adedokun,BRF,D
Sonny Aljofree,MUN,D
Samuel Amissah,FUL,D
Emilio Ballard-Matthews,WOL,F
Samuel Bastien,BUR,M
Jake Burger,LUT,M
Jili Buyabu,SHU,D
Kaelan Casey,WHU,D
Nathan Fraser,WOL,F
Ben Greenwood,BOU,D
Jordan Hackett-Valton,NEW,D
Micah Hamilton,MCI,M
Mackenzie Hunt,EVE,M
James Huntley,NEW,M
Joseph Johnson,LUT,D
Gavin Kilkenny,BOU,M
Jayden Luker,LUT,M
Louie Marsh,SHU,F
Charlie McArthur,NEW,D
Alex Murphy,NEW,D
Tommi O'Reilly,AVL,M
Ademola Ola-Adebomi,CRY,F
Travis Patterson,AVL,M
Alfie Pond,WOL,D
Remi Savage,NEW,D
Femi Seriki,SHU,D
James Sweet,ARS,D
Jay Turner-Cooke,NEW,M
Jensen Weir,BHA,M
Pau Torres,AVL,D
Brennan Johnson,TOT,F
Leon Bailey,AVL,F
Lisandro Martinez,MUN,D
Raul Jimenez,FUL,F
Tom Lockyer,LUT,D
Ameen Al Dakhil,BUR,D
William Osula,SHU,F
Trent Alexander-Arnold,LIV,D
Lewis Dunk,BHA,D
Dara O'Shea,BUR,D
Ben White,ARS,D
Aaron Hickey,BRF,D
Ola Aina,NOT,D
Anis Ben Slimane,SHU,M
Lucas Digne,AVL,D
Mads Andersen,LUT,D
Oliver Skipp,TOT,M
Joel Veltman,BHA,D
Vitinho,BUR,D
Carney Chukwuemeka,CHE,M
Amari'i Bell,LUT,D
Connor Roberts,BUR,D
Ezri Konsa,AVL,D
Anass Zaroury,BUR,F
Matty Cash,AVL,D
Jadan Raymond,,
Andros Townsend,,
Callum Scanlon,,
Ryan One,,
Joshua Duffus,,
Devan Tanton,,
Leo Castledine,,
Zack Nelson,,
Kaide Gordon,,
Bradley Ibrahim,,
Benicio Baker-Boaitey,,
Lucas De Bolle,,
Alfie Dorrington,,
Treymaurice Nyoni,,
Mark O'Mahony,,
Ben Jackson,,
