,player,position,ghost points,negative fpts,fpts,gp,g,kp,at,sot,tkw,dis,yc,rc,acnc,int,clr,cos,bs,aer,pkm,pkd,og,gao,cs,pts,dpt,off,pkg,home,opponent,team
913,Jacob Bruun Larsen,RW,2.0,0.0,11.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False,vsLUT,BUR
914,Jacob Bruun Larsen,RW,0.5,-0.5,0.5,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,False,vsNEW,BUR
916,Jacob Bruun Larsen,LW,1.5,-0.5,1.5,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,True,vsCHE,BUR
917,Jacob Bruun Larsen,RW,4.0,0.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,True,vsMUN,BUR
1002,Jay Rodriguez,FW,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,vsAVL,BUR
1003,Jay Rodriguez,FW,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False,vsLUT,BUR
1004,Jay Rodriguez,FW,1.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,False,vsNEW,BUR
1005,Jay Rodriguez,FW,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,True,vsMUN,BUR
1113,Johann Gudmundsson,RW,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,vsMUN,BUR
1115,Johann Gudmundsson,RW,2.0,0.0,2.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,False,vsNOT,BUR
1327,Luca Koleosho,LW,6.5,-1.5,6.5,1,0,2,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,1,0,False,vsNOT,BUR
1328,Luca Koleosho,RW,3.5,-0.5,3.5,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,False,vsNEW,BUR
1331,Luca Koleosho,RW,3.0,-1.0,3.0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,True,vsMUN,BUR
1332,Luca Koleosho,RW,5.0,0.0,5.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,False,vsLUT,BUR
1333,Luca Koleosho,RW,6.5,-0.5,6.5,1,0,1,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,0,True,vsCHE,BUR
1371,Lyle Foster,FW,-0.5,-7.5,5.5,1,0,1,1,1,0,1,0,1,0,0,4,1,0,4,0,0,0,1,0,1,7,0,0,False,vsNOT,BUR
1372,Lyle Foster,FW,0.5,-2.0,9.5,1,1,0,0,1,0,4,0,0,0,0,1,0,0,1,0,0,0,3,0,1,2,1,0,True,vsAVL,BUR
1373,Lyle Foster,FW,4.0,-1.5,13.0,1,1,0,0,1,0,3,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,False,vsLUT,BUR
1375,Lyle Foster,FW,6.5,0.0,15.5,1,1,1,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,5,0,1,3,1,0,True,vsTOT,BUR
1376,Lyle Foster,FW,4.5,0.0,10.5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,1,0,3,0,True,vsCHE,BUR
1562,Mike Tresor,LW,2.5,-0.5,2.5,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,True,vsMUN,BUR
1563,Mike Tresor,LW,2.0,0.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,vsNOT,BUR
1564,Mike Tresor,RW,1.5,-0.5,1.5,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,True,vsCHE,BUR
1715,Oliver McBurnie,FW,5.5,-3.0,5.5,1,0,0,0,2,0,2,1,0,0,1,1,1,0,5,0,0,0,3,0,0,5,0,0,False,vsFUL,SHU
1716,Oliver McBurnie,FW,2.0,-8.5,2.0,1,0,0,0,1,1,3,0,1,0,0,3,0,1,13,0,0,0,2,0,0,9,1,0,False,vsTOT,SHU
1717,Oliver McBurnie,FW,3.0,-0.5,3.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,1,0,False,vsWHU,SHU
1718,Oliver McBurnie,FW,11.0,0.0,17.0,1,0,1,1,2,0,0,0,0,0,1,1,1,0,6,0,0,0,2,0,1,0,1,0,True,vsEVE,SHU
1719,Oliver McBurnie,FW,3.0,0.0,3.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,True,vsMCI,SHU
1880,Rhian Brewster,FW,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,vsFUL,SHU
1881,Rhian Brewster,FW,2.0,0.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,vsWHU,SHU
2190,William Osula,FW,-0.5,-3.0,-0.5,1,0,0,0,0,0,2,1,0,1,0,0,0,1,1,0,0,0,1,0,0,6,2,0,True,vsCRY,SHU
2191,William Osula,FW,-2.5,-3.0,-2.5,1,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,5,1,0,True,vsMCI,SHU
2192,William Osula,FW,1.5,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,False,vsNOT,SHU
2215,Wilson Odobert,LW,9.0,-2.0,18.0,1,1,1,0,2,2,0,1,0,0,0,0,3,0,0,0,0,0,4,0,1,4,0,0,True,vsCHE,BUR
2216,Wilson Odobert,LW,4.0,0.0,4.0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,False,vsNEW,BUR
2250,Zeki Amdouni,FW,2.0,-2.0,2.0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,6,0,0,False,vsNEW,BUR
2252,Zeki Amdouni,FW,5.0,0.0,5.0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,True,vsMUN,BUR
2253,Zeki Amdouni,LW,8.5,-1.5,8.5,1,0,2,0,1,1,3,0,0,0,0,2,2,0,2,0,0,0,0,1,0,0,1,0,False,vsLUT,BUR
2254,Zeki Amdouni,FW,3.0,-0.5,3.0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,3,0,0,3,0,0,True,vsAVL,BUR
2255,Zeki Amdouni,FW,6.0,0.0,6.0,1,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,True,vsTOT,BUR
2256,Zeki Amdouni,FW,5.0,-0.5,5.0,1,0,0,0,1,1,1,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0,True,vsMCI,BUR
