,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (sum),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (max),gp (max)
63,NEW,CM,1,67.0,1.0,13.0,1.0,3.0,10.0,11.0,4.0,0.0,1.0,4.0,3.0,10.0,3.0,5.0,0.0,0.0,0.0,9.0,3,2.0,25.0,0.0,0.0,49.0,-13.5,4,8
43,CRY,RW,1,59.0,0.0,8.0,2.0,5.0,8.0,24.0,2.0,0.0,2.0,5.0,1.0,15.0,0.0,14.0,0.0,0.0,0.0,4.0,4,2.0,19.0,2.0,0.0,47.0,-16.0,4,8
3,AVL,DM,2,57.5,1.5,8.0,0.0,2.0,13.5,5.0,3.0,0.0,1.5,6.0,4.5,5.5,2.0,4.0,0.0,0.0,0.0,12.0,4,1.5,20.5,0.0,1.0,42.0,-8.5,3,8
38,CRY,LB,1,57.25,0.0,5.0,1.0,0.0,8.0,6.0,1.0,0.0,6.0,5.0,21.0,4.0,4.0,3.0,0.0,0.0,0.0,7.0,4,1.0,8.0,0.0,0.0,26.25,-19.0,4,8
16,BHA,RW,4,55.38,2.25,3.25,0.5,5.5,5.25,6.25,0.0,0.0,1.5,4.5,2.75,4.5,0.25,2.5,0.0,0.0,0.0,7.25,3,2.75,7.25,3.5,0.0,31.62,-3.12,5,8
14,BHA,LM,2,55.25,1.5,8.5,1.5,2.5,3.5,3.5,2.5,0.0,1.5,3.5,4.0,7.5,0.0,2.0,0.0,0.0,0.0,9.5,1,3.0,14.5,2.0,0.0,32.25,-6.75,5,8
28,BRF,FW,4,54.75,1.75,5.5,0.75,5.5,2.75,5.75,0.75,0.0,2.75,2.0,3.25,3.5,0.5,9.25,0.0,0.25,0.0,7.0,5,2.0,9.25,2.0,0.5,34.25,-4.38,4,8
37,CRY,FW,2,53.75,2.0,5.5,1.5,5.5,2.5,13.0,0.0,0.0,0.0,1.5,4.5,3.5,0.0,7.5,0.0,0.0,0.0,4.0,5,3.5,5.5,2.5,0.0,26.75,-6.5,4,7
70,NEW,RW,3,49.83,1.33,4.67,1.67,3.67,4.67,5.33,2.0,0.0,1.0,2.0,1.67,6.0,0.0,1.67,0.0,0.67,0.0,4.0,6,2.33,10.67,0.67,0.0,25.83,-6.67,4,8
0,AVL,AM,2,47.75,1.0,6.0,2.0,4.5,0.5,5.5,0.0,0.0,1.5,0.5,0.5,6.0,0.0,0.0,0.0,0.0,0.0,6.0,2,2.5,0.5,1.0,0.0,26.75,-2.75,3,8
35,CRY,CB,4,47.0,0.5,2.75,0.0,1.0,3.75,0.5,0.0,0.0,1.25,3.25,22.0,2.5,4.5,9.0,0.0,0.0,0.0,3.5,8,0.5,3.0,0.0,0.0,30.0,-7.25,4,8
74,NOT,FW,2,46.25,2.0,6.5,1.0,2.0,1.5,6.0,0.5,0.0,0.0,0.5,4.0,3.0,0.0,8.5,0.0,0.0,0.0,4.0,2,3.0,5.5,3.0,0.0,22.25,-4.0,3,8
7,AVL,WB,3,45.33,0.67,5.67,1.33,3.0,6.0,3.33,2.0,0.0,4.0,7.0,9.33,1.67,1.33,4.33,0.0,0.0,0.33,7.67,4,1.67,13.33,0.0,0.0,21.33,-22.67,3,8
58,FUL,LW,1,44.0,2.0,3.0,1.0,3.0,6.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,9.0,1,2.0,7.0,0.0,0.0,20.0,-4.0,3,7
80,WHU,AM,3,43.83,1.0,5.33,1.0,2.33,3.67,1.33,0.33,0.0,1.33,4.33,3.67,3.0,1.33,1.67,0.0,0.0,0.0,5.0,1,2.0,2.67,0.33,0.0,28.5,-1.33,4,7
69,NEW,RM,2,43.0,1.0,6.0,1.0,2.5,6.0,5.0,1.5,0.0,3.0,1.5,3.5,2.0,1.5,1.0,0.0,0.0,0.0,5.5,4,1.5,11.0,0.5,0.0,26.0,-5.5,4,8
83,WHU,DM,4,42.25,0.75,4.0,0.5,2.0,9.25,6.75,2.5,0.0,0.5,5.25,14.5,3.75,3.5,12.0,0.0,0.0,0.0,7.25,4,1.25,17.0,0.75,0.25,31.5,-8.88,4,8
46,EVE,FW,4,41.38,1.25,5.0,0.25,3.5,3.0,5.0,0.25,0.0,0.25,1.0,1.75,4.75,0.25,10.25,0.0,0.0,0.0,5.0,3,1.25,5.75,1.25,0.0,28.38,-3.0,5,8
11,BHA,DM,4,40.25,0.5,8.75,1.0,2.25,2.5,2.0,0.75,0.0,1.5,2.0,2.5,2.0,1.0,1.0,0.0,0.0,0.0,6.75,3,1.0,5.5,0.0,0.0,29.0,-2.5,4,7
48,EVE,LM,1,39.5,0.0,9.0,1.0,2.0,2.0,11.0,0.0,0.0,4.0,3.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,1,1.0,3.0,1.0,0.0,32.5,-5.5,3,5
39,CRY,LM,1,38.5,0.0,6.0,0.0,2.0,6.0,4.0,0.0,0.0,0.0,7.0,10.0,2.0,1.0,15.0,0.0,0.0,0.0,4.0,1,0.0,4.0,0.0,0.0,37.5,-2.0,2,4
13,BHA,LB,2,38.12,0.5,7.5,2.5,2.0,3.0,1.5,2.0,0.0,3.0,5.0,3.5,3.5,0.5,3.0,0.0,0.0,0.5,7.5,0,3.0,12.0,0.5,0.0,15.62,-22.25,4,6
56,FUL,LB,1,37.5,0.0,5.0,0.0,0.0,10.0,5.0,1.0,0.0,4.0,13.0,16.0,6.0,0.0,14.0,0.0,0.0,1.0,13.0,2,0.0,12.0,0.0,0.0,25.5,-35.5,3,7
92,WOL,FW,2,37.25,1.0,4.0,0.5,2.5,3.5,8.5,0.5,0.0,0.0,1.0,2.0,10.0,1.0,4.0,0.0,0.0,0.0,6.5,1,1.5,5.0,1.0,0.0,25.25,-5.25,4,8
62,NEW,CB,3,36.92,0.33,1.0,0.33,0.67,4.0,0.67,0.67,0.0,0.0,3.33,15.67,1.0,3.33,11.33,0.0,0.0,0.0,4.67,6,0.67,7.33,0.33,0.0,19.25,-11.0,4,8
51,EVE,RM,3,36.83,0.67,5.33,0.67,2.0,4.0,2.0,0.33,0.0,1.67,1.67,1.33,3.67,0.67,3.0,0.0,0.0,0.0,4.33,3,1.33,4.0,0.33,0.0,26.17,-1.67,5,8
77,NOT,LW,2,36.5,1.0,4.0,0.5,4.0,0.5,2.5,0.0,0.0,0.5,0.5,2.0,8.0,0.0,0.5,0.0,0.0,0.0,2.0,1,1.5,2.5,3.0,0.0,24.5,-1.25,3,8
66,NEW,LM,2,36.25,0.0,5.5,0.5,2.5,6.5,5.0,0.5,0.0,1.0,2.5,4.0,5.5,2.0,3.5,0.0,0.0,0.0,4.5,3,0.5,9.0,0.0,0.0,31.75,-3.5,4,8
17,BOU,AM,3,35.67,0.0,5.67,0.33,2.0,4.33,6.67,0.0,0.0,2.0,5.33,7.67,4.33,1.33,7.33,0.0,0.0,0.0,10.33,2,0.33,6.33,0.33,0.0,33.0,-3.33,4,8
86,WHU,LW,1,35.5,0.0,7.0,1.0,3.0,1.0,5.0,0.0,0.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,1,1.0,3.0,1.0,0.0,28.5,-2.5,4,7
27,BRF,CM,7,35.14,0.57,5.43,0.57,1.57,5.86,2.14,0.86,0.0,1.57,3.43,4.29,0.86,0.86,3.29,0.0,0.14,0.0,5.14,6,1.0,7.43,0.43,0.0,25.71,-2.79,4,8
47,EVE,LB,1,33.0,0.0,3.0,0.0,1.0,12.0,2.0,0.0,0.0,1.0,3.0,12.0,4.0,1.0,4.0,0.0,0.0,0.0,4.0,1,0.0,5.0,0.0,0.0,27.0,-9.0,3,4
52,EVE,RW,1,32.5,1.0,3.0,0.0,6.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,7.0,0,1.0,2.0,2.0,0.0,23.5,-3.0,4,7
72,NOT,CB,6,31.67,0.17,2.0,0.33,1.33,5.0,1.17,0.5,0.33,0.5,3.83,20.67,1.0,3.83,12.17,0.0,0.0,0.0,5.67,6,0.5,7.5,0.17,0.0,22.5,-14.92,2,7
60,FUL,RM,2,31.25,0.0,8.0,0.5,1.0,4.0,4.0,0.5,0.0,2.0,1.5,2.5,1.5,1.5,2.5,0.0,0.0,0.0,7.0,3,0.5,4.5,1.5,0.0,26.75,-3.0,4,8
5,AVL,LW,3,31.17,0.67,5.33,0.33,2.0,2.33,6.33,1.0,0.0,1.67,2.0,1.33,6.0,0.0,1.33,0.0,0.0,0.0,4.0,3,1.0,10.67,0.0,0.0,22.17,-5.17,3,8
8,BHA,AM,4,30.88,0.75,5.5,0.75,1.75,2.0,5.25,1.0,0.0,0.25,1.5,3.25,4.25,0.0,2.0,0.0,0.25,0.0,4.5,4,1.5,5.25,1.25,0.25,19.38,-4.62,5,8
26,BRF,CB,4,30.62,0.0,1.75,0.25,0.25,3.75,1.25,0.5,0.0,0.25,7.0,23.0,1.75,2.75,14.75,0.0,0.0,0.0,6.25,2,0.25,2.5,0.0,0.0,25.88,-14.12,4,8
44,EVE,CB,4,30.56,0.25,2.0,0.25,1.0,3.75,1.25,1.0,0.0,0.5,6.5,14.75,0.75,4.5,12.25,0.0,0.0,0.0,6.0,2,0.5,8.25,0.25,0.0,23.31,-14.62,5,8
94,WOL,LM,3,30.42,1.67,1.67,0.0,1.67,4.67,5.0,1.33,0.0,0.67,2.67,4.0,6.33,2.33,2.33,0.0,0.0,0.0,5.0,0,1.67,8.67,0.67,0.0,15.42,-11.17,4,8
57,FUL,LM,4,29.25,0.5,5.5,1.0,2.25,0.5,6.0,0.75,0.0,0.5,1.0,1.75,3.25,0.25,3.0,0.0,0.0,0.0,5.5,5,0.75,5.75,0.0,0.0,18.0,-4.5,4,8
96,WOL,RB,1,26.75,0.0,2.0,0.0,1.0,12.0,6.0,4.0,0.0,4.0,11.0,23.0,13.0,4.0,4.0,0.0,0.0,0.0,14.0,1,0.0,27.0,0.0,0.0,20.75,-39.0,4,8
45,EVE,CM,3,26.67,0.0,3.67,0.0,1.33,7.67,3.0,0.33,0.0,0.33,3.0,3.33,2.67,0.33,9.0,0.0,0.0,0.0,7.33,1,0.0,7.67,0.33,0.0,26.33,-2.17,5,8
29,BRF,LB,2,26.25,0.0,5.0,0.5,0.0,5.0,4.5,0.5,0.0,3.5,3.0,6.0,4.5,1.5,3.0,0.0,0.0,0.0,4.5,1,0.5,4.0,1.0,0.0,19.75,-12.25,3,6
84,WHU,FW,2,25.5,1.0,2.0,0.5,1.5,0.5,6.0,1.0,0.0,0.0,0.5,1.0,6.5,2.0,4.0,0.0,0.0,0.0,4.0,4,1.5,8.5,3.0,0.0,13.5,-5.0,4,8
61,FUL,RW,1,25.5,0.0,4.0,0.0,3.0,3.0,5.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,2,0.0,5.0,0.0,0.0,23.5,-2.5,4,8
42,CRY,RM,2,25.5,0.0,5.0,0.0,1.5,3.5,6.0,0.0,0.0,0.0,1.5,3.5,5.0,0.5,6.0,0.0,0.0,0.0,3.5,4,0.0,4.0,0.0,0.0,23.5,-3.0,4,8
36,CRY,CM,2,25.25,0.0,2.0,0.0,0.5,6.0,4.0,1.0,0.0,0.0,9.0,4.0,5.0,1.0,2.5,0.0,0.0,0.0,3.0,4,0.0,7.5,0.0,0.0,23.25,-4.0,3,7
81,WHU,CB,4,24.62,0.5,0.5,0.0,1.0,1.5,0.25,0.25,0.25,0.0,6.0,22.0,0.25,5.5,9.25,0.0,0.0,0.0,6.0,2,0.5,4.75,0.0,0.0,16.62,-14.38,4,8
67,NEW,LW,1,24.5,1.0,2.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1,2.0,4.0,0.0,0.0,8.5,-4.0,3,6
20,BOU,DM,2,24.0,0.0,2.5,0.0,1.5,3.0,2.0,0.0,0.0,0.0,7.0,1.0,4.0,1.5,2.0,0.0,0.0,0.0,7.0,1,0.0,3.5,0.0,0.0,23.5,-1.0,3,6
50,EVE,RB,2,23.25,0.0,7.0,0.5,0.5,10.0,3.0,2.0,0.0,3.5,5.0,9.0,2.5,1.0,3.0,0.0,0.0,0.0,10.0,1,0.5,11.0,0.0,0.0,16.75,-25.5,5,8
90,WOL,CB,3,23.17,0.0,2.33,0.0,1.0,3.67,1.67,1.33,0.0,0.0,4.67,26.67,1.33,7.33,13.0,0.0,0.0,0.0,10.33,2,0.0,9.67,0.67,0.0,19.17,-24.17,4,8
54,FUL,CM,2,22.25,0.5,1.0,0.0,1.0,7.0,5.0,2.0,0.0,0.0,6.5,6.0,2.0,0.5,5.5,0.0,0.0,0.0,5.0,3,0.5,11.5,0.5,0.0,16.25,-6.5,4,6
6,AVL,RW,2,21.75,1.0,2.0,0.5,1.0,0.0,2.5,0.5,0.0,1.5,1.0,0.5,3.0,0.0,1.0,0.0,0.0,0.0,2.5,1,1.5,3.5,0.0,0.0,9.75,-2.25,2,6
23,BOU,LW,4,21.5,0.25,2.25,0.5,2.0,1.5,5.5,0.5,0.0,0.5,1.0,1.0,7.25,0.25,1.5,0.0,0.0,0.0,6.0,1,0.5,5.75,0.5,0.0,16.0,-3.75,3,6
25,BOU,RW,3,20.83,0.33,3.67,0.0,1.67,2.0,3.0,0.33,0.0,1.0,2.0,2.33,3.67,0.0,1.33,0.0,0.0,0.0,4.33,1,0.33,6.33,1.33,0.0,17.83,-2.17,4,7
41,CRY,RB,2,20.12,0.0,0.0,0.0,0.0,5.0,0.5,1.5,0.0,0.0,2.0,11.5,1.0,1.5,6.0,0.0,0.0,0.0,3.5,4,0.0,8.5,0.0,0.0,8.12,-10.25,3,7
95,WOL,LW,1,19.0,0.0,4.0,0.0,3.0,4.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,1,0.0,8.0,4.0,0.0,19.0,-4.0,4,7
59,FUL,RB,3,18.5,0.0,1.33,0.0,0.67,3.33,2.0,1.0,0.0,2.0,3.67,7.67,3.0,1.0,3.0,0.0,0.0,0.0,5.0,4,0.0,6.67,0.0,0.0,10.5,-11.0,3,5
1,AVL,CB,4,18.44,0.25,1.25,0.0,1.0,4.25,0.0,0.25,0.0,0.0,3.0,12.75,2.5,3.0,4.5,0.0,0.0,0.0,7.25,4,0.25,3.75,0.5,0.0,9.94,-15.0,3,8
76,NOT,LM,2,18.12,0.5,0.5,0.0,1.0,4.5,2.0,0.0,0.0,0.5,4.0,3.5,0.5,0.5,3.0,0.0,0.0,0.0,2.0,1,0.5,1.0,0.0,0.0,13.12,-2.0,1,3
91,WOL,CM,4,18.12,0.0,1.75,0.25,0.5,7.75,4.25,1.75,0.25,0.5,5.25,6.25,2.75,1.0,3.5,0.0,0.0,0.0,7.75,2,0.0,16.0,0.0,0.0,16.12,-7.38,4,8
15,BHA,RB,1,18.0,0.0,2.0,1.0,1.0,16.0,2.0,1.0,0.0,0.0,5.0,16.0,1.0,5.0,3.0,0.0,0.0,0.0,13.0,0,1.0,11.0,0.0,0.0,11.0,-29.0,5,8
65,NEW,LB,3,17.83,0.33,1.33,0.0,0.67,2.33,1.67,0.67,0.0,0.67,2.33,6.67,0.33,1.67,6.33,0.0,0.0,0.0,4.33,3,0.33,4.0,0.33,0.0,8.5,-10.83,4,8
12,BHA,FW,1,15.5,1.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0,1.0,7.0,0.0,0.0,6.5,-3.0,2,4
82,WHU,CM,1,15.0,0.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,1.0,0.0,0.0,15.0,-1.0,2,6
53,FUL,CB,4,14.81,0.25,0.0,0.0,0.5,4.0,1.5,0.75,0.5,0.0,3.75,17.25,0.5,1.25,6.75,0.0,0.0,0.0,6.25,6,0.25,8.75,0.0,0.0,3.31,-18.25,4,8
73,NOT,CM,4,14.38,0.0,1.25,0.0,0.0,5.25,3.25,2.0,0.0,0.0,5.5,5.5,1.5,2.25,4.0,0.0,0.0,0.0,4.25,4,0.0,12.75,0.5,0.0,13.38,-5.62,3,7
19,BOU,CM,1,14.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,0,0.0,4.0,0.0,0.0,14.0,-1.0,3,5
18,BOU,CB,4,14.0,0.0,1.5,0.25,0.25,4.25,0.5,1.0,0.0,0.0,4.0,16.0,3.0,5.0,6.25,0.0,0.0,0.0,9.25,2,0.25,6.75,0.0,0.0,9.25,-20.75,4,8
55,FUL,FW,4,12.75,0.25,2.25,0.0,1.5,1.25,6.0,0.25,0.0,0.0,0.25,1.75,1.75,0.5,5.5,0.0,0.0,0.0,3.25,2,0.25,2.25,2.5,0.0,10.5,-3.5,3,7
34,CRY,AM,2,12.5,0.0,1.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,2.5,5.0,2.5,2.5,0.0,0.0,0.0,0.0,3.0,3,0.0,7.0,0.0,0.0,11.0,-4.5,3,5
9,BHA,CB,4,11.69,0.25,1.25,0.0,0.75,3.0,0.25,1.0,0.0,0.25,3.75,11.25,0.75,4.75,8.0,0.0,0.0,0.0,8.0,0,0.25,4.75,0.0,0.0,9.19,-18.12,5,8
75,NOT,LB,2,11.5,0.0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,1.5,1.0,4.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1,0.5,4.0,0.0,0.0,5.0,-4.0,1,3
31,BRF,LW,1,9.5,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,5.0,0,0.0,1.0,1.0,0.0,9.5,-2.0,3,6
71,NOT,AM,2,8.5,0.0,1.5,0.0,0.5,0.5,2.5,0.5,0.0,0.5,3.0,1.5,1.5,0.0,2.5,0.0,0.0,0.0,3.0,0,0.0,2.5,0.0,0.0,8.5,-2.25,2,4
32,BRF,RB,2,7.75,0.0,1.5,0.5,1.0,7.0,4.0,2.5,0.0,0.0,2.0,11.0,3.5,1.0,6.0,0.0,0.0,0.0,9.5,1,0.5,15.0,0.0,0.0,1.25,-26.0,4,8
78,NOT,RB,2,7.62,0.0,1.5,0.0,0.0,5.5,1.5,2.5,0.0,0.0,2.5,7.5,2.5,0.5,3.5,0.0,0.0,0.0,4.5,1,0.0,13.0,1.0,0.0,4.62,-14.75,1,5
10,BHA,CM,1,7.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0,0.0,7.0,0.0,0.0,7.0,-2.5,2,3
93,WOL,LB,1,6.75,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1,0.0,1.0,0.0,0.0,0.75,-12.0,2,6
22,BOU,LB,2,5.38,0.0,1.5,0.0,0.0,5.0,4.0,0.5,0.0,3.5,4.0,11.5,3.5,1.5,5.5,0.0,0.0,0.5,10.5,1,0.0,8.5,0.0,0.0,2.38,-26.5,4,8
24,BOU,RB,2,5.25,0.0,2.0,0.0,0.0,5.0,3.0,0.5,0.0,1.5,1.5,5.0,3.0,2.0,1.5,0.0,0.0,0.0,7.5,1,0.0,6.0,1.0,0.0,2.25,-17.5,4,8
30,BRF,LM,1,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,2.5,0.0,2,3
98,WOL,RW,1,2.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,0,0.0,4.0,0.0,0.0,2.25,-8.0,3,4
2,AVL,CM,2,1.75,0.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.5,0,0.0,0.5,0.0,0.0,1.75,-0.75,3,8
89,WOL,AM,1,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,8.0,0.0,0.0,0.0,-7.5,1,2
33,BRF,RM,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
49,EVE,LW,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,0.0,4.0,0.0,0.0,-1.0,-2.0,3,3
