player,ftx_position (first),position (first),deadball agg (sum),fpts (sum),ghost points (sum),negative fpts (sum),gp (sum),crosses (sum),opponent (first),team (first),home (sum)
Joel Veltman,D,RB,42,18.0,11.0,-29.0,8,1,NEW,BHA,5
Gustavo Hamer,M,AM,42,63.0,44.0,-5.0,7,20,NOT,SHU,3
Willy Boly,D,CB,41,83.0,61.0,-20.0,7,1,CRY,NOT,2
Ben Chilwell,D,LB,39,40.75,27.75,-18.0,6,21,BOU,CHE,4
Joseph Gomez,D,CB,38,36.5,30.5,-9.0,7,9,NEW,LIV,3
Malo Gusto,D,RB,38,38.5,12.5,-13.5,6,18,BOU,CHE,4
Nathan Collins,D,CB,37,45.25,32.25,-24.5,8,0,MUN,BRF,4
Christian Eriksen,M,DM,37,43.0,28.0,-2.5,7,14,ARS,MUN,5
Martin Odegaard,M,RM,34,97.5,54.5,-10.5,8,21,NOT,ARS,5
Nayef Aguerd,D,CB,33,40.75,24.75,-29.5,7,0,LUT,WHU,4
Luke Shaw,D,LB,33,22.75,16.75,-6.5,2,6,WOL,MUN,1
Pau Torres,D,CB,32,36.75,14.75,-20.0,8,1,CHE,AVL,3
Gabriel Martinelli,M,LW,31,55.5,33.5,-4.5,6,26,MUN,ARS,4
Nathan Ake,D,CB,31,36.75,20.75,-10.0,7,1,ARS,MCI,2
Josko Gvardiol,D,LB,30,40.25,28.25,-10.5,6,6,WHU,MCI,2
Micky van de Ven,D,CB,30,53.0,25.0,-18.5,8,0,LUT,TOT,3
Ezri Konsa,D,CB,30,29.5,17.5,-26.0,8,0,BHA,AVL,3
Cristian Romero,D,CB,29,86.75,48.75,-21.0,8,0,ARS,TOT,3
Marcus Tavernier,M,LW,29,39.5,32.5,-4.0,5,10,BRF,BOU,2
Joachim Andersen,D,CB,29,125.0,81.0,-14.5,8,10,NOT,CRY,4
Marc Cucurella,D,RB,28,13.75,7.75,-6.0,2,1,FUL,CHE,0
Aaron Wan-Bissaka,D,RB,27,34.75,21.75,-17.0,5,3,TOT,MUN,3
Dwight McNeil,M,LM,26,39.5,32.5,-5.5,5,25,LUT,EVE,3
Ola Aina,D,RB,25,10.0,4.0,-23.5,5,5,MCI,NOT,1
Virgil van Dijk,D,CB,24,52.75,38.75,-25.0,6,0,TOT,LIV,2
Anel Ahmedhodzic,D,CB,24,6.75,6.75,-53.0,8,3,NOT,SHU,4
Ameen Al Dakhil,D,RB,23,-7.5,-7.5,-41.0,8,2,TOT,BUR,5
Chiedozie Ogbene,F,LW,23,28.0,28.0,-2.5,8,23,WOL,LUT,4
Ethan Pinnock,D,CB,23,69.25,63.25,-24.0,8,1,MUN,BRF,4
George Baldock,D,RM,23,8.25,8.25,-13.5,3,9,CRY,SHU,3
Matheus Cunha,F,FW,22,59.0,44.0,-8.0,8,2,LIV,WOL,4
Johann Gudmundsson,M,RM,22,19.0,13.0,-2.0,4,11,TOT,BUR,3
Serge Aurier,D,CB,22,36.75,16.75,-25.0,7,14,MCI,NOT,2
Aaron Hickey,D,RB,22,-5.25,-11.25,-36.5,8,5,FUL,BRF,4
Ross Barkley,M,CM,21,13.5,13.5,-2.0,3,5,WHU,LUT,2
Tim Ream,D,CB,21,36.75,8.75,-28.0,7,1,LUT,FUL,4
Pablo Sarabia,M,RM,21,28.0,21.0,-2.0,4,8,CRY,WOL,1
Scott McKenna,D,CB,18,35.25,29.25,-12.0,5,0,MUN,NOT,2
Bruno Guimaraes,M,CM,15,67.0,49.0,-13.5,8,5,SHU,NEW,4
Marc Guehi,D,CB,15,60.0,36.0,-8.5,7,0,MUN,CRY,4
Sven Botman,D,CB,13,54.75,25.75,-8.0,5,0,SHU,NEW,3
Anthony Gordon,M,RW,12,91.0,45.0,-15.0,7,10,BRF,NEW,4
Lucas Paqueta,M,DM,12,69.5,52.5,-18.5,8,7,BOU,WHU,4
