id,player_id,player_name,season,shotZone,goals,shots,xG,assists,key_passes,xA,npg,npxG,npxG+xA,key_passes+shots,goal_conversion_rate,assist_to_key_pass_ratio
2,11721,Cauley Woodrow,2023,shotPenaltyArea,0.0,3.0,0.2190672531723976,0.0,4.0,0.21621500328183177,0.0,0.2190672531723976,0.44,7.0,0.0,0.0
2687,9205,Jayden Bogle,2023,shotPenaltyArea,1.0,4.0,0.20299189630895853,0.0,2.0,0.15316036343574524,1.0,0.20299189630895853,0.36,6.0,0.25,0.0
3253,11357,Noni Madueke,2023,shotPenaltyArea,0.0,4.0,0.2009127475321293,0.0,1.0,0.12622322142124176,0.0,0.2009127475321293,0.33,5.0,0.0,0.0
5504,757,Jeffrey Schlupp,2023,shotPenaltyArea,0.0,3.0,0.19703995808959007,0.0,6.0,0.3120932746678591,0.0,0.19703995808959007,0.51,9.0,0.0,0.0
4918,8941,Jacob Ramsey,2023,shotPenaltyArea,0.0,2.0,0.19616498053073883,0.0,0.0,0.0,0.0,0.19616498053073883,0.2,2.0,0.0,
260,5596,Harry Wilson,2023,shotPenaltyArea,0.0,3.0,0.19425927847623825,0.0,5.0,0.6189947724342346,0.0,0.19425927847623825,0.81,8.0,0.0,0.0
5449,1665,James Tarkowski,2023,shotPenaltyArea,0.0,5.0,0.19408573117107153,1.0,5.0,0.5886991135776043,0.0,0.19408573117107153,0.78,10.0,0.0,0.2
2314,773,Aleksandar Mitrovic,2023,shotPenaltyArea,0.0,2.0,0.1909874528646469,0.0,0.0,0.0,0.0,0.1909874528646469,0.19,2.0,0.0,
3100,7281,Diogo Dalot,2023,shotPenaltyArea,0.0,4.0,0.18935707211494449,0.0,8.0,0.5997688993811607,0.0,0.18935707211494449,0.79,12.0,0.0,0.0
5155,7438,James Garner,2023,shotPenaltyArea,0.0,5.0,0.1861473638564348,1.0,7.0,0.9474117923527956,0.0,0.1861473638564348,1.13,12.0,0.0,0.14285714285714285
2369,9662,Dango Ouattara,2023,shotPenaltyArea,0.0,2.0,0.18419401347637177,0.0,2.0,0.1404644213616848,0.0,0.18419401347637177,0.32,4.0,0.0,0.0
2077,8562,Luke Thomas,2023,shotPenaltyArea,0.0,3.0,0.18187278881669044,0.0,1.0,0.043669186532497406,0.0,0.18187278881669044,0.23,4.0,0.0,0.0
3589,2245,Raphael Varane,2023,shotPenaltyArea,0.0,4.0,0.18151819612830877,0.0,1.0,0.08104487508535385,0.0,0.18151819612830877,0.26,5.0,0.0,0.0
1898,76,Fabian Schar,2023,shotPenaltyArea,0.0,4.0,0.1790450792759657,0.0,1.0,0.09784157574176788,0.0,0.1790450792759657,0.28,5.0,0.0,0.0
3086,7218,Cristian Romero,2023,shotPenaltyArea,0.0,4.0,0.17875757440924644,0.0,1.0,0.09580358862876892,0.0,0.17875757440924644,0.27,5.0,0.0,0.0
2479,6490,Manuel Akanji,2023,shotPenaltyArea,1.0,2.0,0.17761340364813805,0.0,2.0,0.11443294584751128,1.0,0.17761340364813805,0.29,4.0,0.5,0.0
4159,87,Joelinton,2023,shotPenaltyArea,0.0,3.0,0.17638779431581497,0.0,8.0,0.45265515334904194,0.0,0.17638779431581497,0.63,11.0,0.0,0.0
4800,2335,Pablo Fornals,2023,shotPenaltyArea,0.0,3.0,0.17566341906785965,0.0,2.0,0.18130572512745857,0.0,0.17566341906785965,0.36,5.0,0.0,0.0
2657,12027,Mohammed Kudus,2023,shotPenaltyArea,1.0,3.0,0.17347437515854836,0.0,2.0,0.1058228500187397,1.0,0.17347437515854836,0.28,5.0,0.3333333333333333,0.0
1428,6157,Timothy Castagne,2023,shotPenaltyArea,0.0,3.0,0.17299212515354156,0.0,3.0,0.2662462592124939,0.0,0.17299212515354156,0.44,6.0,0.0,0.0
1851,10697,Ryan Gravenberch,2023,shotPenaltyArea,0.0,2.0,0.17263415455818176,0.0,3.0,0.5209972970187664,0.0,0.17263415455818176,0.69,5.0,0.0,0.0
4265,7768,Mason Mount,2023,shotPenaltyArea,0.0,3.0,0.17155428044497967,0.0,4.0,0.1605549519881606,0.0,0.17155428044497967,0.33,7.0,0.0,0.0
4581,3288,Thiago Silva,2023,shotPenaltyArea,0.0,5.0,0.17064133193343878,0.0,2.0,0.07653498835861683,0.0,0.17064133193343878,0.25,7.0,0.0,0.0
1065,2958,Oleksandr Zinchenko,2023,shotPenaltyArea,0.0,3.0,0.1704094111919403,0.0,4.0,0.26374169811606407,0.0,0.1704094111919403,0.43,7.0,0.0,0.0
3891,10744,Ryan Christie,2023,shotPenaltyArea,0.0,3.0,0.16882962733507156,0.0,6.0,0.752631176263094,0.0,0.16882962733507156,0.92,9.0,0.0,0.0
4809,8285,Sander Berge,2023,shotPenaltyArea,0.0,3.0,0.16770172119140625,1.0,3.0,0.5101753547787666,0.0,0.16770172119140625,0.68,6.0,0.0,0.3333333333333333
