id,player_id,player_name,season,situation,goals,shots,xG,assists,key_passes,xA,npg,npxG,time,npxG+xA,key_passes+shots,90s,goals_per_90,assists_per_90,xA_per_90,npxG_per_90,npxG+xA_per_90,shots_per_90,key_passes_per_90,key_passes+shots_per_90,goal_conversion_rate,assist_to_key_pass_ratio
216,7277,Ryan John Giles,2023,OpenPlay,0.0,1.0,0.07363187521696091,0.0,2.0,0.0715013463050127,0.0,0.07363187521696091,266.0,0.15,3.0,2.96,0.0,0.0,0.02,0.02,0.05,0.34,0.68,1.01,0.0,0.0
5063,11487,Michael Olakigbe,2023,OpenPlay,0.0,2.0,0.07233063317835331,0.0,0.0,0.0,0.0,0.07233063317835331,8.0,0.07,2.0,0.09,0.0,0.0,0.0,0.8,0.78,22.22,0.0,22.22,0.0,
3867,8719,Kalvin Phillips,2023,OpenPlay,0.0,1.0,0.0721239447593689,0.0,0.0,0.0,0.0,0.0721239447593689,56.0,0.07,1.0,0.62,0.0,0.0,0.0,0.12,0.11,1.61,0.0,1.61,0.0,
1993,8859,Mikkel Damsgaard,2023,OpenPlay,0.0,1.0,0.07185065001249313,0.0,0.0,0.0,0.0,0.07185065001249313,39.0,0.07,1.0,0.43,0.0,0.0,0.0,0.17,0.16,2.33,0.0,2.33,0.0,
2891,9356,Carney Chukwuemeka,2023,OpenPlay,1.0,1.0,0.06899454444646835,0.0,2.0,0.1046014092862606,1.0,0.06899454444646835,143.0,0.17,3.0,1.59,0.63,0.0,0.07,0.04,0.11,0.63,1.26,1.89,1.0,0.0
1803,8379,Alexis Mac Allister,2023,OpenPlay,0.0,3.0,0.06683268770575523,1.0,5.0,0.4238491151481867,0.0,0.06683268770575523,728.0,0.49,8.0,8.09,0.0,0.12,0.05,0.01,0.06,0.37,0.62,0.99,0.0,0.2
1981,7069,Saman Ghoddos,2023,OpenPlay,1.0,2.0,0.06638826243579388,0.0,1.0,0.029031649231910706,1.0,0.06638826243579388,40.0,0.1,3.0,0.44,2.27,0.0,0.07,0.15,0.23,4.55,2.27,6.82,0.5,0.0
1928,9689,Albert Sambi Lokonga,2023,OpenPlay,0.0,2.0,0.06244922336190939,0.0,1.0,0.06920624524354935,0.0,0.06244922336190939,138.0,0.13,3.0,1.53,0.0,0.0,0.05,0.04,0.08,1.31,0.65,1.96,0.0,0.0
5426,1789,Lewis Cook,2023,OpenPlay,0.0,1.0,0.062157101929187775,0.0,2.0,0.0685549434274435,0.0,0.062157101929187775,526.0,0.13,3.0,5.84,0.0,0.0,0.01,0.01,0.02,0.17,0.34,0.51,0.0,0.0
2376,6850,Willy Boly,2023,OpenPlay,0.0,1.0,0.06066468358039856,0.0,2.0,0.435314804315567,0.0,0.06066468358039856,692.0,0.5,3.0,7.69,0.0,0.0,0.06,0.01,0.07,0.13,0.26,0.39,0.0,0.0
4567,484,Divock Origi,2023,OpenPlay,0.0,1.0,0.06038232892751694,0.0,1.0,0.37109601497650146,0.0,0.06038232892751694,46.0,0.43,2.0,0.51,0.0,0.0,0.73,0.12,0.84,1.96,1.96,3.92,0.0,0.0
4580,11357,Noni Madueke,2023,OpenPlay,0.0,2.0,0.05758169665932655,0.0,0.0,0.0,0.0,0.05758169665932655,34.0,0.06,2.0,0.38,0.0,0.0,0.0,0.15,0.16,5.26,0.0,5.26,0.0,
388,7430,Emerson,2023,OpenPlay,1.0,2.0,0.05612894147634506,0.0,0.0,0.0,1.0,0.05612894147634506,177.0,0.06,2.0,1.97,0.51,0.0,0.0,0.03,0.03,1.02,0.0,1.02,0.5,
2039,1823,Lucas Digne,2023,OpenPlay,0.0,1.0,0.054824091494083405,2.0,8.0,0.678565613925457,0.0,0.054824091494083405,804.0,0.73,9.0,8.93,0.0,0.22,0.08,0.01,0.08,0.11,0.9,1.01,0.0,0.25
639,8252,Nicolas Dominguez,2023,OpenPlay,1.0,2.0,0.053978776559233665,0.0,1.0,0.05538249760866165,1.0,0.053978776559233665,446.0,0.11,3.0,4.96,0.2,0.0,0.01,0.01,0.02,0.4,0.2,0.6,0.5,0.0
1294,7382,Dan Burn,2023,OpenPlay,0.0,1.0,0.052961256355047226,0.0,3.0,0.7397181466221809,0.0,0.052961256355047226,810.0,0.79,4.0,9.0,0.0,0.0,0.08,0.01,0.09,0.11,0.33,0.44,0.0,0.0
5114,9017,Malo Gusto,2023,OpenPlay,0.0,1.0,0.05227656662464142,2.0,3.0,0.7175062373280525,0.0,0.05227656662464142,509.0,0.77,4.0,5.66,0.0,0.35,0.13,0.01,0.14,0.18,0.53,0.71,0.0,0.6666666666666666
117,8780,Joel Veltman,2023,OpenPlay,0.0,1.0,0.05178019776940346,1.0,2.0,0.4343791753053665,0.0,0.05178019776940346,545.0,0.49,3.0,6.06,0.0,0.17,0.07,0.01,0.08,0.17,0.33,0.5,0.0,0.5
96,8214,Tyrick Mitchell,2023,OpenPlay,0.0,1.0,0.051525987684726715,1.0,6.0,1.2044185111299155,0.0,0.051525987684726715,882.0,1.26,7.0,9.8,0.0,0.1,0.12,0.01,0.13,0.1,0.61,0.71,0.0,0.16666666666666666
2174,5956,Youri Tielemans,2023,OpenPlay,0.0,1.0,0.049771495163440704,1.0,2.0,0.530623085796833,0.0,0.049771495163440704,108.0,0.58,3.0,1.2,0.0,0.83,0.44,0.04,0.48,0.83,1.67,2.5,0.0,0.5
774,638,Kyle Walker,2023,OpenPlay,0.0,3.0,0.048108634538948536,1.0,9.0,0.7039093961939216,0.0,0.048108634538948536,810.0,0.75,12.0,9.0,0.0,0.11,0.08,0.01,0.08,0.33,1.0,1.33,0.0,0.1111111111111111
5288,6852,Matt Doherty,2023,OpenPlay,0.0,1.0,0.04788026213645935,0.0,3.0,0.26700184866786003,0.0,0.04788026213645935,210.0,0.31,4.0,2.33,0.0,0.0,0.11,0.02,0.13,0.43,1.29,1.72,0.0,0.0
2959,6490,Manuel Akanji,2023,OpenPlay,0.0,3.0,0.04752144869416952,0.0,4.0,0.11727193742990494,0.0,0.04752144869416952,630.0,0.16,7.0,7.0,0.0,0.0,0.02,0.01,0.02,0.43,0.57,1.0,0.0,0.0
4584,11730,Anis Ben Slimane,2023,OpenPlay,0.0,2.0,0.047192733734846115,0.0,0.0,0.0,0.0,0.047192733734846115,35.0,0.05,2.0,0.39,0.0,0.0,0.0,0.12,0.13,5.13,0.0,5.13,0.0,
443,9790,Josko Gvardiol,2023,OpenPlay,0.0,2.0,0.04629507102072239,0.0,4.0,0.4626322630792856,0.0,0.04629507102072239,546.0,0.51,6.0,6.07,0.0,0.0,0.08,0.01,0.08,0.33,0.66,0.99,0.0,0.0
4325,1018,Josh Cullen,2023,OpenPlay,0.0,2.0,0.046211449429392815,1.0,6.0,0.6207098625600338,0.0,0.046211449429392815,784.0,0.67,8.0,8.71,0.0,0.11,0.07,0.01,0.08,0.23,0.69,0.92,0.0,0.16666666666666666
571,725,Ola Aina,2023,OpenPlay,0.0,2.0,0.04519445635378361,0.0,0.0,0.0,0.0,0.04519445635378361,417.0,0.05,2.0,4.63,0.0,0.0,0.0,0.01,0.01,0.43,0.0,0.43,0.0,
890,6885,Axel Disasi,2023,OpenPlay,0.0,2.0,0.045164416544139385,0.0,2.0,0.1573617085814476,0.0,0.045164416544139385,720.0,0.2,4.0,8.0,0.0,0.0,0.02,0.01,0.02,0.25,0.25,0.5,0.0,0.0
4074,652,Kieran Trippier,2023,OpenPlay,0.0,1.0,0.04500456526875496,4.0,14.0,2.600428856909275,0.0,0.04500456526875496,780.0,2.65,15.0,8.67,0.0,0.46,0.3,0.01,0.31,0.12,1.61,1.73,0.0,0.2857142857142857
1759,205,Mahmoud Dahoud,2023,OpenPlay,0.0,2.0,0.04306378774344921,1.0,4.0,0.6880650389939547,0.0,0.04306378774344921,250.0,0.73,6.0,2.78,0.0,0.36,0.25,0.02,0.26,0.72,1.44,2.16,0.0,0.25
299,8476,Jarrad Branthwaite,2023,OpenPlay,0.0,1.0,0.04293317347764969,0.0,1.0,0.00616955803707242,0.0,0.04293317347764969,630.0,0.05,2.0,7.0,0.0,0.0,0.0,0.01,0.01,0.14,0.14,0.29,0.0,0.0
4852,766,Jamaal Lascelles,2023,OpenPlay,0.0,1.0,0.04210132360458374,0.0,0.0,0.0,0.0,0.04210132360458374,284.0,0.04,1.0,3.16,0.0,0.0,0.0,0.01,0.01,0.32,0.0,0.32,0.0,
2993,11362,Facundo Buonanotte,2023,OpenPlay,0.0,1.0,0.039656784385442734,0.0,0.0,0.0,0.0,0.039656784385442734,49.0,0.04,1.0,0.54,0.0,0.0,0.0,0.07,0.07,1.85,0.0,1.85,0.0,
1207,343,Pierre-Emile Hojbjerg,2023,OpenPlay,0.0,2.0,0.03921314235776663,0.0,0.0,0.0,0.0,0.03921314235776663,217.0,0.04,2.0,2.41,0.0,0.0,0.0,0.02,0.02,0.83,0.0,0.83,0.0,
4993,7218,Cristian Romero,2023,OpenPlay,0.0,1.0,0.0365469753742218,0.0,3.0,0.09114654548466206,0.0,0.0365469753742218,823.0,0.13,4.0,9.14,0.0,0.0,0.01,0.0,0.01,0.11,0.33,0.44,0.0,0.0
3414,804,Craig Dawson,2023,OpenPlay,0.0,2.0,0.036258832551538944,0.0,3.0,0.3021468035876751,0.0,0.036258832551538944,793.0,0.34,5.0,8.81,0.0,0.0,0.03,0.0,0.04,0.23,0.34,0.57,0.0,0.0
2010,2182,Jefferson Lerma,2023,OpenPlay,0.0,3.0,0.0359550965949893,0.0,6.0,0.7442308887839317,0.0,0.0359550965949893,531.0,0.78,9.0,5.9,0.0,0.0,0.13,0.01,0.13,0.51,1.02,1.53,0.0,0.0
5186,11700,Vitinho,2023,OpenPlay,0.0,1.0,0.03496183082461357,0.0,1.0,0.05805481970310211,0.0,0.03496183082461357,155.0,0.09,2.0,1.72,0.0,0.0,0.03,0.02,0.05,0.58,0.58,1.16,0.0,0.0
2659,8940,Antonee Robinson,2023,OpenPlay,0.0,1.0,0.034148965030908585,0.0,4.0,0.29929040372371674,0.0,0.034148965030908585,720.0,0.33,5.0,8.0,0.0,0.0,0.04,0.0,0.04,0.12,0.5,0.62,0.0,0.0
4827,6492,Reiss Nelson,2023,OpenPlay,0.0,1.0,0.03378607705235481,0.0,1.0,0.3808375895023346,0.0,0.03378607705235481,26.0,0.41,2.0,0.29,0.0,0.0,1.31,0.12,1.41,3.45,3.45,6.9,0.0,0.0
5409,532,Cheikhou Kouyate,2023,OpenPlay,0.0,1.0,0.03263238072395325,0.0,1.0,0.05584664270281792,0.0,0.03263238072395325,55.0,0.09,2.0,0.61,0.0,0.0,0.09,0.05,0.15,1.64,1.64,3.28,0.0,0.0
1945,8821,Donny van de Beek,2023,OpenPlay,0.0,1.0,0.03228488191962242,0.0,1.0,0.06568886339664459,0.0,0.03228488191962242,1.0,0.1,2.0,0.01,0.0,0.0,6.57,3.23,10.0,100.0,100.0,200.0,0.0,0.0
2920,3600,Serge Aurier,2023,OpenPlay,0.0,2.0,0.028836451470851895,2.0,3.0,0.6003383882343769,0.0,0.028836451470851895,637.0,0.63,5.0,7.08,0.0,0.28,0.08,0.0,0.09,0.28,0.42,0.71,0.0,0.6666666666666666
5685,9678,Ethan Pinnock,2023,OpenPlay,0.0,1.0,0.0275825634598732,0.0,2.0,0.22391024231910703,0.0,0.0275825634598732,810.0,0.25,3.0,9.0,0.0,0.0,0.02,0.0,0.03,0.11,0.22,0.33,0.0,0.0
1622,11702,Benson Manuel,2023,OpenPlay,0.0,1.0,0.026123253628611565,0.0,0.0,0.0,0.0,0.026123253628611565,61.0,0.03,1.0,0.68,0.0,0.0,0.0,0.04,0.04,1.47,0.0,1.47,0.0,
5675,2328,Thomas Partey,2023,OpenPlay,0.0,1.0,0.02587675489485264,0.0,3.0,0.12622319161891937,0.0,0.02587675489485264,252.0,0.15,4.0,2.8,0.0,0.0,0.05,0.01,0.05,0.36,1.07,1.43,0.0,0.0
5739,987,Joseph Gomez,2023,OpenPlay,0.0,1.0,0.02397964894771576,0.0,5.0,0.2471612449735403,0.0,0.02397964894771576,432.0,0.27,6.0,4.8,0.0,0.0,0.05,0.0,0.06,0.21,1.04,1.25,0.0,0.0
242,561,Joe Rothwell,2023,OpenPlay,0.0,1.0,0.023809388279914856,0.0,2.0,0.03839862812310457,0.0,0.023809388279914856,302.0,0.06,3.0,3.36,0.0,0.0,0.01,0.01,0.02,0.3,0.6,0.89,0.0,0.0
1940,8204,Neco Williams,2023,OpenPlay,0.0,1.0,0.02352273091673851,0.0,1.0,0.025770094245672222,0.0,0.02352273091673851,103.0,0.05,2.0,1.14,0.0,0.0,0.02,0.02,0.04,0.88,0.88,1.75,0.0,0.0
