minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
51,Jamaal Lascelles,Newcastle Utd,0.05,,Blocked,12.0,Head,,Bruno Guimarães,Pass (Live),Elliot Anderson,Pass (Live)
55,Sean Longstaff,Newcastle Utd,0.06,,Off Target,11.0,Head,,Kieran Trippier,Pass (Live),Miguel Almirón,Pass (Live)
69,Jacob Bruun Larsen,Burnley,0.12,,Blocked,9.0,Right Foot,,Wilson Odobert,Pass (Live),Sander Berge,Pass (Live)
70,Josh Cullen,Burnley,0.02,,Blocked,27.0,Right Foot,,Jacob Bruun Larsen,Shot,,
73,Anthony Gordon,Newcastle Utd,0.01,,Blocked,25.0,Right Foot,,Bruno Guimarães,Pass (Live),Sandro Tonali,Pass (Live)
73,Anthony Gordon,Newcastle Utd,0.03,0.04,Saved,17.0,Right Foot,,Alexander Isak,Pass (Live),Anthony Gordon,Shot
76,Alexander Isak (pen),Newcastle Utd,0.79,0.99,Goal,13.0,Right Foot,,Anthony Gordon,Fouled,,
78,Wilson Odobert,Burnley,0.08,,Blocked,16.0,Right Foot,,Sander Berge,Pass (Live),Jacob Bruun Larsen,Pass (Live)
79,Ameen Al-Dakhil,Burnley,0.06,0.15,Saved,9.0,Head,,Josh Brownhill,Pass (Dead),Wilson Odobert,Shot
80,Alexander Isak,Newcastle Utd,0.06,,Blocked,16.0,Right Foot,,Sandro Tonali,Pass (Live),Bruno Guimarães,Pass (Live)
80,Fabian Schar,Newcastle Utd,0.33,,Blocked,3.0,Head,,Kieran Trippier,Pass (Dead),Alexander Isak,Shot
90,Alexander Isak,Newcastle Utd,0.05,0.1,Saved,9.0,Left Foot,,Bruno Guimarães,Pass (Live),Bruno Guimarães,Tackle
90+4,Vitinho,Burnley,0.01,,Blocked,20.0,Left Foot,,Vitinho,Take-On,Anass Zaroury,Pass (Live)
3,Luis Diaz,Liverpool,0.06,,Blocked,18.0,Right Foot,,Mohamed Salah,Pass (Live),Virgil van Dijk,Pass (Live)
4,Alexis Mac Allister,Liverpool,0.04,,Off Target,21.0,Left Foot,Volley,Andrew Robertson,Pass (Dead),Luis Díaz,Shot
8,Dejan Kulusevski,Tottenham,0.03,,Blocked,18.0,Left Foot,,Pedro Porro,Pass (Live),James Maddison,Pass (Live)
13,Cody Gakpo,Liverpool,0.11,0.19,Saved,10.0,Left Foot,,Andrew Robertson,Pass (Live),Luis Díaz,Pass (Live)
13,Andrew Robertson,Liverpool,0.05,0.03,Saved,9.0,Left Foot,Volley,Cody Gakpo,Shot,,
19,Curtis Jones,Liverpool,0.06,,Blocked,15.0,Left Foot,Deflected,Dominik Szoboszlai,Pass (Live),Mohamed Salah,Pass (Live)
20,Joel Matip,Liverpool,0.02,,Off Target,10.0,Other,,Andrew Robertson,Pass (Dead),Curtis Jones,Shot
22,Mohamed Salah,Liverpool,0.03,,Off Target,25.0,Left Foot,,Cody Gakpo,Pass (Live),Luis Díaz,Pass (Live)
29,Dejan Kulusevski,Tottenham,0.04,,Blocked,11.0,Left Foot,,Dejan Kulusevski,Take-On,James Maddison,Pass (Live)
30,James Maddison,Tottenham,0.03,0.14,Saved,25.0,Left Foot,,Pedro Porro,Pass (Live),James Maddison,Pass (Live)
33,Richarlison,Tottenham,0.11,,Off Target,13.0,Left Foot,,Dejan Kulusevski,Pass (Live),James Maddison,Pass (Live)
36,Son Heung-min,Tottenham,0.7,0.47,Goal,8.0,Right Foot,,Richarlison,Pass (Live),James Maddison,Pass (Live)
39,Cody Gakpo,Liverpool,0.02,,Blocked,10.0,Head,,Andrew Robertson,Pass (Dead),,
41,Richarlison,Tottenham,0.07,0.18,Saved,10.0,Left Foot,,Cristian Romero,Pass (Live),Cristian Romero,Interception
45+1,Son Heung-min,Tottenham,0.03,0.34,Saved,28.0,Right Foot,,Dejan Kulusevski,Pass (Live),,
45+3,Pape Matar Sarr,Tottenham,0.02,,Off Target,31.0,Right Foot,,Destiny Udogie,Pass (Live),James Maddison,Pass (Live)
45+4,Cody Gakpo,Liverpool,0.29,0.07,Goal,9.0,Right Foot,,Virgil van Dijk,Pass (Live),Dominik Szoboszlai,Pass (Live)
45+7,Cristian Romero,Tottenham,0.04,,Blocked,22.0,Right Foot,,Dejan Kulusevski,Pass (Live),Cristian Romero,Pass (Live)
45+8,Luis Diaz,Liverpool,0.6,,Off Target,8.0,Right Foot,,Mohamed Salah,Pass (Live),Joël Matip,Pass (Live)
48,Son Heung-min,Tottenham,0.04,,Blocked,23.0,Right Foot,,Richarlison,Pass (Live),Richarlison,Take-On
49,Richarlison,Tottenham,0.05,,Blocked,22.0,Right Foot,,James Maddison,Pass (Live),Pape Matar Sarr,Pass (Live)
49,James Maddison,Tottenham,0.02,0.53,Saved,21.0,Left Foot,,Cristian Romero,Pass (Live),James Maddison,Pass (Live)
51,Son Heung-min,Tottenham,0.11,0.43,Saved,17.0,Right Foot,Volley,Destiny Udogie,Pass (Live),Cristian Romero,Pass (Live)
52,Cristian Romero,Tottenham,0.07,,Blocked,9.0,Head,,James Maddison,Pass (Dead),Son Heung-min,Shot
58,Pape Matar Sarr,Tottenham,0.05,0.04,Saved,30.0,Left Foot,,Destiny Udogie,Pass (Live),Son Heung-min,Pass (Live)
61,Yves Bissouma,Tottenham,0.05,,Blocked,22.0,Right Foot,,Dejan Kulusevski,Pass (Live),Son Heung-min,Pass (Live)
73,James Maddison,Tottenham,0.03,,Blocked,23.0,Right Foot,,Manor Solomon,Pass (Live),James Maddison,Pass (Live)
75,Virgil van Dijk,Liverpool,0.04,,Off Target,11.0,Head,,Trent Alexander-Arnold,Pass (Dead),Dominik Szoboszlai,Pass (Live)
78,Dominik Szoboszlai,Liverpool,0.01,0.04,Saved,32.0,Right Foot,,Andrew Robertson,Pass (Live),Wataru Endo,Pass (Live)
79,Pedro Porro,Tottenham,0.04,,Blocked,22.0,Left Foot,,James Maddison,Pass (Live),Manor Solomon,Pass (Live)
80,Richarlison,Tottenham,0.46,,Off Target,10.0,Right Foot,,Manor Solomon,Shot,,
80,Manor Solomon,Tottenham,0.02,,Blocked,20.0,Right Foot,,James Maddison,Pass (Live),Cristian Romero,Pass (Live)
86,Yves Bissouma,Tottenham,0.06,,Off Target,24.0,Right Foot,Deflected,Manor Solomon,Pass (Live),James Maddison,Pass (Live)
89,James Maddison,Tottenham,0.07,,Blocked,25.0,Right Foot,,Dejan Kulusevski,Pass (Live),James Maddison,Pass (Live)
90+2,Richarlison,Tottenham,0.09,0.09,Saved,9.0,Head,,Pedro Porro,Pass (Live),Pierre Højbjerg,Pass (Live)
90+4,Pierre Hojbjerg,Tottenham,0.01,,Blocked,31.0,Right Foot,,Manor Solomon,Pass (Live),Pierre Højbjerg,Pass (Live)
5,Tomas Soucek,West Ham,0.42,,Off Target,9.0,Right Foot,,Jarrod Bowen,Pass (Live),Vladimír Coufal,Pass (Live)
8,Tomas Soucek,West Ham,0.1,,Off Target,9.0,Head,,Michail Antonio,Pass (Live),Vladimír Coufal,Pass (Live)
12,Cameron Archer,Sheffield Utd,0.09,,Blocked,11.0,Right Foot,,Vinicius Souza,Pass (Live),Luke Thomas,Pass (Live)
12,Gustavo Hamer,Sheffield Utd,0.03,,Blocked,22.0,Right Foot,,Cameron Archer,Shot,,
14,Jarrod Bowen,West Ham,0.2,0.07,Saved,5.0,Head,,James Ward-Prowse,Pass (Dead),Emerson Palmieri,Pass (Live)
15,Nayef Aguerd,West Ham,0.24,,Blocked,5.0,Head,,Jarrod Bowen,Shot,,
16,Cameron Archer,Sheffield Utd,0.07,,Off Target,22.0,Right Foot,,Oliver McBurnie,Pass (Live),Gustavo Hamer,Pass (Live)
19,James Ward-Prowse,West Ham,0.06,0.27,Saved,23.0,Right Foot,Free kick,Jarrod Bowen,Fouled,,
22,Anel Ahmedhodzic,Sheffield Utd,0.07,,Off Target,10.0,Head,,Gustavo Hamer,Pass (Live),Vinicius Souza,Pass (Live)
24,Jarrod Bowen,West Ham,0.17,0.77,Goal,16.0,Left Foot,,Vladimír Coufal,Pass (Live),Tomáš Souček,Pass (Live)
29,Edson Alvarez,West Ham,0.02,0.45,Saved,30.0,Left Foot,,Edson Álvarez,Take-On,Emerson Palmieri,Pass (Live)
30,Michail Antonio,West Ham,0.06,,Off Target,21.0,Right Foot,,James Ward-Prowse,Tackle,,
33,Jarrod Bowen,West Ham,0.03,,Off Target,18.0,Left Foot,,Vladimír Coufal,Pass (Dead),Edson Álvarez,Pass (Live)
35,Tomas Soucek,West Ham,0.09,,Off Target,10.0,Head,,Vladimír Coufal,Pass (Live),Emerson Palmieri,Pass (Live)
37,Tomas Soucek,West Ham,0.13,0.8,Goal,11.0,Left Foot,,Michail Antonio,Pass (Live),Emerson Palmieri,Pass (Live)
39,Oliver McBurnie,Sheffield Utd,0.07,,Off Target,14.0,Right Foot,,Cameron Archer,Pass (Live),Oliver McBurnie,Pass (Live)
42,James Ward-Prowse,West Ham,0.02,0.02,Saved,16.0,Head,,Vladimír Coufal,Pass (Live),Vladimír Coufal,Take-On
51,Tomas Soucek,West Ham,0.04,,Blocked,6.0,Left Foot,,James Ward-Prowse,Pass (Dead),Lucas Paquetá,Fouled
52,John Egan,Sheffield Utd,0.07,,Blocked,12.0,Right Foot,Volley,Jack Robinson,Pass (Dead),,
52,Vinicius Souza,Sheffield Utd,0.09,,Blocked,10.0,Right Foot,Volley,John Egan,Shot,,
57,Chris Basham,Sheffield Utd,0.02,,Off Target,12.0,Head,,Gustavo Hamer,Pass (Dead),James Mcatee,Pass (Live)
57,Anel Ahmedhodzic,Sheffield Utd,0.19,0.6,Saved,2.0,Head,,Chris Basham,Shot,,
63,James Mcatee,Sheffield Utd,0.03,,Blocked,24.0,Left Foot,,Gustavo Hamer,Pass (Live),Jayden Bogle,Pass (Live)
65,Jarrod Bowen,West Ham,0.07,,Off Target,10.0,Head,,James Ward-Prowse,Pass (Live),James Ward-Prowse,Pass (Live)
67,Nayef Aguerd,West Ham,0.07,,Off Target,7.0,Head,,James Ward-Prowse,Pass (Dead),Kurt Zouma,Pass (Live)
71,Gustavo Hamer,Sheffield Utd,0.02,,Blocked,17.0,Left Foot,,Luke Thomas,Pass (Live),Cameron Archer,Pass (Live)
75,Oliver McBurnie,Sheffield Utd,0.06,,Off Target,10.0,Head,,Jack Robinson,Pass (Dead),,
76,Jayden Bogle,Sheffield Utd,0.08,,Blocked,17.0,Left Foot,,Cameron Archer,Pass (Live),Gustavo Hamer,Pass (Live)
83,Said Benrahma,West Ham,0.1,0.04,Saved,18.0,Right Foot,,Saïd Benrahma,Pass (Live),Kudus Mohammed,Pass (Live)
85,Anis Ben Slimane,Sheffield Utd,0.07,,Off Target,24.0,Right Foot,,Tom Davies,Pass (Live),Jack Robinson,Pass (Live)
86,Lucas Paqueta,West Ham,0.06,,Off Target,14.0,Left Foot,,Saïd Benrahma,Pass (Live),Kudus Mohammed,Pass (Live)
87,Luke Thomas,Sheffield Utd,0.06,,Blocked,19.0,Right Foot,,Rhian Brewster,Pass (Live),Anis Ben Slimane,Pass (Live)
88,Jarrod Bowen,West Ham,0.16,,Blocked,5.0,Right Foot,,James Ward-Prowse,Pass (Live),Emerson Palmieri,Pass (Live)
89,Jarrod Bowen,West Ham,0.08,,Blocked,11.0,Left Foot,,Lucas Paquetá,Pass (Live),Saïd Benrahma,Pass (Live)
90,Tomas Soucek,West Ham,0.07,0.02,Saved,10.0,Head,,James Ward-Prowse,Pass (Dead),Jarrod Bowen,Shot
90+6,Anis Ben Slimane,Sheffield Utd,0.05,0.15,Saved,25.0,Right Foot,Volley,Oliver McBurnie,Pass (Live),Anis Ben Slimane,Pass (Live)
2,Manuel Akanji,Manchester City,0.02,,Off Target,33.0,Right Foot,,Julián Álvarez,Pass (Live),Matheus Nunes,Pass (Live)
6,Jeremy Doku,Manchester City,0.01,,Blocked,21.0,Right Foot,,Kyle Walker,Fouled,Rúben Dias,Pass (Live)
6,Jeremy Doku,Manchester City,0.02,,Blocked,18.0,Right Foot,Volley,Jeremy Doku,Shot,,
6,Manuel Akanji,Manchester City,0.03,,Blocked,13.0,Left Foot,,Jeremy Doku,Pass (Live),Jeremy Doku,Shot
21,Jeremy Doku,Manchester City,0.04,,Off Target,17.0,Right Foot,,Kyle Walker,Pass (Live),Manuel Akanji,Pass (Live)
22,Ruben Dias,Manchester City,0.09,,Blocked,15.0,Right Foot,,Erling Haaland,Pass (Live),Phil Foden,Pass (Live)
27,Nathan Ake,Manchester City,0.02,,Blocked,11.0,Head,,Julián Álvarez,Pass (Dead),Matheus Nunes,Fouled
27,Nathan Ake,Manchester City,0.06,0.1,Saved,6.0,Left Foot,Volley,Nathan Aké,Shot,,
31,Mateo Kovacic,Manchester City,0.03,,Blocked,25.0,Right Foot,,Manuel Akanji,Pass (Live),Matheus Nunes,Pass (Live)
31,Phil Foden,Manchester City,0.07,,Blocked,16.0,Left Foot,Volley,Mateo Kovačić,Shot,,
40,Jeremy Doku,Manchester City,0.03,,Blocked,18.0,Right Foot,,Julián Álvarez,Pass (Live),Mateo Kovačić,Pass (Live)
40,Jeremy Doku,Manchester City,0.04,,Off Target,22.0,Right Foot,,,,,
45+2,Hwang Hee-chan,Wolves,0.11,,Blocked,12.0,Right Foot,,Matheus Cunha,Pass (Live),João Gomes,Pass (Live)
45+4,Ruben Dias,Manchester City,0.05,0.09,Saved,11.0,Head,,Phil Foden,Pass (Dead),Matheus Nunes,Fouled
49,Ruben Dias,Manchester City,0.02,,Off Target,32.0,Right Foot,,Mateo Kovačić,Pass (Live),Jeremy Doku,Pass (Live)
51,Erling Haaland,Manchester City,0.06,0.07,Saved,11.0,Left Foot,,Oscar Bobb,Pass (Live),Phil Foden,Pass (Live)
55,Julian Alvarez,Manchester City,0.04,0.2,Saved,20.0,Right Foot,,Jeremy Doku,Pass (Live),Julián Álvarez,Pass (Live)
58,Julian Alvarez,Manchester City,0.05,0.56,Goal,22.0,Right Foot,Free kick,Oscar Bobb,Fouled,Nathan Aké,Pass (Live)
66,Manuel Akanji,Manchester City,0.03,0.28,Saved,27.0,Right Foot,,Jeremy Doku,Pass (Live),Oscar Bobb,Pass (Live)
66,Hwang Hee-chan,Wolves,0.08,,Blocked,15.0,Right Foot,,Max Kilman,Pass (Live),José Sá,Pass (Live)
66,Hwang Hee-chan,Wolves,0.28,0.79,Goal,8.0,Right Foot,Deflected,Matheus Cunha,Pass (Live),Hwang Hee-chan,Shot
75,Kalvin Phillips,Manchester City,0.03,,Off Target,25.0,Right Foot,,Jeremy Doku,Pass (Live),Julián Álvarez,Pass (Live)
79,Nathan Ake,Manchester City,0.03,,Blocked,8.0,Head,,Phil Foden,Pass (Dead),Phil Foden,Fouled
83,Kyle Walker,Manchester City,0.02,0.02,Saved,32.0,Right Foot,,Rúben Dias,Pass (Live),Manuel Akanji,Pass (Live)
90+4,Kalvin Phillips,Manchester City,0.05,,Blocked,18.0,Left Foot,,Jack Grealish,Pass (Live),Kyle Walker,Pass (Live)
90+4,Jeremy Doku,Manchester City,0.02,0.09,Saved,22.0,Left Foot,Deflected,Phil Foden,Pass (Dead),Kalvin Phillips,Shot
8,Murillo,Nott'ham Forest,0.06,,Off Target,11.0,Head,,Callum Hudson-Odoi,Pass (Dead),Matt Turner,Pass (Live)
24,Anthony Elanga,Nott'ham Forest,0.08,,Off Target,14.0,Right Foot,,Taiwo Awoniyi,Pass (Live),Callum Hudson-Odoi,Pass (Live)
26,Christian Norgaard,Brentford,0.07,,Blocked,9.0,Head,,Mathias Jensen,Pass (Dead),Ethan Pinnock,Pass (Live)
27,Ibrahim Sangare,Nott'ham Forest,0.03,,Blocked,31.0,Right Foot,,Taiwo Awoniyi,Pass (Live),Callum Hudson-Odoi,Pass (Live)
40,Ethan Pinnock,Brentford,0.03,0.03,Saved,11.0,Head,,Christian Nørgaard,Pass (Live),Bryan Mbeumo,Pass (Live)
45+2,Christian Norgaard,Brentford,0.24,,Blocked,6.0,Left Foot,Volley,Vitaly Janelt,Pass (Live),Mathias Jensen,Pass (Live)
52,Yoane Wissa,Brentford,0.2,,Blocked,11.0,Right Foot,,,,,
52,Vitaly Janelt,Brentford,0.03,,Blocked,18.0,Left Foot,,Bryan Mbeumo,Pass (Live),Vitaly Janelt,Pass (Live)
53,Keane Lewis-Potter,Brentford,0.03,,Off Target,27.0,Right Foot,,Vitaly Janelt,Shot,,
58,Christian Norgaard,Brentford,0.18,0.26,Goal,9.0,Head,,Mathias Jensen,Pass (Dead),Yoane Wissa,Fouled
65,Nicolas Dominguez,Nott'ham Forest,0.03,0.08,Goal,13.0,Head,,Harry Toffolo,Pass (Live),Morgan Gibbs-White,Pass (Live)
76,Neal Maupay,Brentford,0.05,,Blocked,9.0,Right Foot,Volley,Ethan Pinnock,Pass (Live),Saman Ghoddos,Tackle
76,Frank Onyeka,Brentford,0.02,,Off Target,28.0,Right Foot,,Neal Maupay,Shot,,
81,Ethan Pinnock,Brentford,0.04,,Off Target,14.0,Left Foot,Volley,Bryan Mbeumo,Pass (Dead),,
85,Kristoffer Ajer,Brentford,0.07,,Off Target,5.0,Head,,Bryan Mbeumo,Pass (Dead),Christian Nørgaard,Pass (Live)
87,Neal Maupay,Brentford,0.1,0.43,Saved,13.0,Left Foot,Volley,Christian Nørgaard,Pass (Live),Frank Onyeka,Pass (Live)
89,Bryan Mbeumo,Brentford,0.16,,Blocked,16.0,Left Foot,,Yoane Wissa,Pass (Live),Neal Maupay,Pass (Live)
90+4,Bryan Mbeumo,Brentford,0.06,,Off Target,11.0,Head,,Mads Roerslev,Pass (Live),Neal Maupay,Pass (Live)
90+6,Chris Wood,Nott'ham Forest,0.22,,Off Target,9.0,Head,,Divock Origi,Pass (Live),,
90+7,Michael Olakigbe,Brentford,0.08,,Blocked,14.0,Right Foot,Deflected,Bryan Mbeumo,Pass (Live),Mads Roerslev,Pass (Live)
90+8,Christian Norgaard,Brentford,0.02,,Off Target,26.0,Right Foot,,Saman Ghoddos,Pass (Live),Yoane Wissa,Pass (Dead)
90+10,Willy Boly,Nott'ham Forest,0.03,,Off Target,15.0,Head,,Morgan Gibbs-White,Pass (Dead),Morgan Gibbs-White,Fouled
90+11,Yoane Wissa,Brentford,0.18,,Blocked,10.0,Right Foot,,Frank Onyeka,Pass (Live),Nathan Collins,Pass (Live)
90+12,Neal Maupay,Brentford,0.13,,Blocked,17.0,Left Foot,,Bryan Mbeumo,Pass (Live),Bryan Mbeumo,Take-On
10.0,Mykhailo Mudryk,Chelsea,0.05,,Off Target,16.0,Right Foot,,Enzo Fernández,Pass (Live),Cole Palmer,Pass (Live)
18.0,Mykhailo Mudryk,Chelsea,0.51,0.14,Goal,11.0,Left Foot,,Levi Colwill,Pass (Live),Moisés Caicedo,Pass (Live)
19.0,Armando Broja,Chelsea,0.22,0.29,Goal,13.0,Right Foot,,Cole Palmer,Interception,,
28.0,Enzo Fernandez,Chelsea,0.1,,Off Target,25.0,Right Foot,,,,,
40.0,Cole Palmer,Chelsea,0.01,,Off Target,59.0,Left Foot,Free kick,Moisés Caicedo,Fouled,Conor Gallagher,Pass (Live)
41.0,Raul Jimenez,Fulham,0.03,,Off Target,11.0,Head,,Andreas Pereira,Pass (Dead),Andreas Pereira,Pass (Live)
48.0,Armando Broja,Chelsea,0.22,,Off Target,7.0,Head,,Cole Palmer,Pass (Live),Conor Gallagher,Pass (Live)
55.0,Cole Palmer,Chelsea,0.04,0.08,Saved,30.0,Left Foot,,,,,
56.0,Alex Iwobi,Fulham,0.11,,Off Target,6.0,Right Foot,Volley,Antonee Robinson,Pass (Live),Willian,Pass (Live)
59.0,Alex Iwobi,Fulham,0.07,,Blocked,18.0,Right Foot,,Carlos Vinícius,Pass (Live),Timothy Castagne,Pass (Live)
62.0,Carlos Vinicius,Fulham,0.12,,Off Target,10.0,Head,,Harrison Reed,Pass (Live),Timothy Castagne,Pass (Live)
63.0,Ian Maatsen,Chelsea,0.15,,Woodwork,17.0,Left Foot,,Conor Gallagher,Pass (Live),Armando Broja,Pass (Live)
63.0,Enzo Fernandez,Chelsea,0.32,0.31,Saved,11.0,Left Foot,,Ian Maatsen,Shot,,
65.0,Axel Disasi,Chelsea,0.08,,Off Target,9.0,Head,,Ian Maatsen,Pass (Dead),Enzo Fernández,Shot
66.0,Timothy Castagne,Fulham,0.02,,Blocked,12.0,Head,,Andreas Pereira,Pass (Dead),Tim Ream,Pass (Live)
74.0,Carlos Vinicius,Fulham,0.09,0.07,Saved,12.0,Head,,Alex Iwobi,Pass (Live),Timothy Castagne,Pass (Live)
77.0,Sasa Lukic,Fulham,0.58,0.8,Saved,7.0,Right Foot,,Tom Cairney,Pass (Live),Willian,Pass (Live)
77.0,Timothy Castagne,Fulham,0.08,,Blocked,14.0,Right Foot,Volley,Saša Lukić,Shot,,
81.0,Conor Gallagher,Chelsea,0.06,,Blocked,19.0,Right Foot,,,,,
84.0,Willian,Fulham,0.01,0.12,Saved,32.0,Right Foot,,Tom Cairney,Pass (Live),Antonee Robinson,Pass (Live)
86.0,Carlos Vinicius,Fulham,0.03,,Off Target,9.0,Head,,Willian,Pass (Dead),Saša Lukić,Pass (Live)
15,Pelly Ruddock Mpanzu,Luton Town,0.02,,Off Target,25.0,Right Foot,,Carlton Morris,Pass (Live),Chiedozie Ogbene,Pass (Live)
16,Lyle Foster,Burnley,0.04,,Off Target,28.0,Right Foot,,Charlie Taylor,Pass (Live),,
21,Zeki Amdouni,Burnley,0.21,0.37,Saved,5.0,Head,,Josh Brownhill,Pass (Dead),,
22,Josh Cullen,Burnley,0.04,,Off Target,17.0,Right Foot,Volley,Josh Brownhill,Pass (Dead),Zeki Amdouni,Shot
28,Josh Brownhill,Burnley,0.04,,Off Target,26.0,Right Foot,,Zeki Amdouni,Pass (Live),Jordan Beyer,Pass (Live)
29,Zeki Amdouni,Burnley,0.13,,Off Target,21.0,Left Foot,,Zeki Amdouni,Take-On,Luca Koleosho,Pass (Live)
33,Chiedozie Ogbene,Luton Town,0.06,,Off Target,11.0,Head,,Issa Kaboré,Pass (Live),Chiedozie Ogbene,Pass (Live)
34,Jacob Brown,Luton Town,0.02,,Off Target,15.0,Head,,Alfie Doughty,Pass (Live),Carlton Morris,Pass (Live)
36,Pelly Ruddock Mpanzu,Luton Town,0.04,,Blocked,27.0,Right Foot,,Chiedozie Ogbene,Pass (Live),Reece Burke,Pass (Live)
38,Luca Koleosho,Burnley,0.03,,Off Target,19.0,Left Foot,,Josh Brownhill,Pass (Live),Lyle Foster,Pass (Live)
45,Josh Brownhill,Burnley,0.02,,Off Target,31.0,Right Foot,,Zeki Amdouni,Pass (Live),Lyle Foster,Pass (Live)
45+2,Lyle Foster,Burnley,0.45,0.76,Goal,19.0,Right Foot,,Josh Cullen,Pass (Live),Ameen Al-Dakhil,Pass (Live)
47,Luca Koleosho,Burnley,0.01,,Blocked,27.0,Right Foot,,Josh Brownhill,Pass (Dead),Zeki Amdouni,Fouled
47,Luca Koleosho,Burnley,0.02,0.12,Saved,12.0,Left Foot,,Luca Koleosho,Shot,,
48,Josh Brownhill,Burnley,0.05,,Saved off Target,10.0,Right Foot,,Connor Roberts,Pass (Dead),Connor Roberts,Pass (Live)
49,Carlton Morris,Luton Town,0.07,,Off Target,10.0,Head,,Alfie Doughty,Pass (Dead),,
50,Jacob Brown,Luton Town,0.28,,Off Target,4.0,Head,,Carlton Morris,Pass (Live),Carlton Morris,Take-On
51,Chiedozie Ogbene,Luton Town,0.17,,Off Target,10.0,Right Foot,,Jacob Brown,Pass (Live),Jacob Brown,Take-On
54,Alfie Doughty,Luton Town,0.02,,Blocked,24.0,Left Foot,,Jacob Brown,Pass (Live),Carlton Morris,Pass (Live)
64,Tom Lockyer,Luton Town,0.04,,Blocked,11.0,Head,,Alfie Doughty,Pass (Dead),Marvelous Nakamba,Pass (Live)
64,Jacob Brown,Luton Town,0.09,,Blocked,9.0,Head,,Pelly Ruddock Mpanzu,Pass (Live),Elijah Adebayo,Pass (Live)
64,Reece Burke,Luton Town,0.05,0.05,Saved,10.0,Head,,Jacob Brown,Shot,,
70,Carlton Morris,Luton Town,0.06,,Off Target,9.0,Head,,Alfie Doughty,Pass (Dead),Carlton Morris,Pass (Live)
73,Carlton Morris,Luton Town,0.12,,Blocked,15.0,Right Foot,,Marvelous Nakamba,Pass (Live),Tahith Chong,Pass (Live)
78,Elijah Adebayo,Luton Town,0.08,,Off Target,9.0,Head,,Alfie Doughty,Pass (Dead),Chiedozie Ogbene,Pass (Live)
79,Tahith Chong,Luton Town,0.02,,Blocked,18.0,Right Foot,,Carlton Morris,Pass (Live),Alfie Doughty,Pass (Live)
81,Jay Rodriguez,Burnley,0.01,,Blocked,20.0,Right Foot,,,,,
84,Elijah Adebayo,Luton Town,0.13,0.22,Goal,8.0,Right Foot,,Reece Burke,Pass (Live),Tahith Chong,Pass (Live)
85,Jacob Bruun Larsen,Burnley,0.03,0.5,Goal,22.0,Left Foot,,Connor Roberts,Pass (Live),Sander Berge,Pass (Live)
88,Carlton Morris,Luton Town,0.04,,Off Target,10.0,Head,,Alfie Doughty,Pass (Dead),,
90+1,Jay Rodriguez,Burnley,0.02,,Off Target,25.0,Right Foot,,Jay Rodriguez,Take-On,Jay Rodriguez,Pass (Live)
90+8,Tom Lockyer,Luton Town,0.03,,Off Target,9.0,Head,,Alfie Doughty,Pass (Dead),Alfie Doughty,Take-On
9,Cole Palmer,Chelsea,0.03,,Off Target,26.0,Left Foot,,Marc Cucurella,Pass (Live),Axel Disasi,Pass (Live)
14,Raheem Sterling,Chelsea,0.07,,Off Target,23.0,Right Foot,,Raheem Sterling,Take-On,Cole Palmer,Pass (Live)
15,Wilson Odobert,Burnley,0.08,0.16,Goal,11.0,Left Foot,,Lyle Foster,Pass (Live),Vitinho,Pass (Live)
22,Mike Tresor,Burnley,0.31,,Off Target,4.0,Right Foot,Volley,Wilson Odobert,Pass (Live),Sander Berge,Pass (Live)
37,Raheem Sterling,Chelsea,0.12,0.13,Saved,8.0,Left Foot,,Moisés Caicedo,Pass (Live),Enzo Fernández,Pass (Live)
44,Armando Broja,Chelsea,0.08,,Blocked,13.0,Right Foot,,Raheem Sterling,Pass (Live),Enzo Fernández,Pass (Live)
44,Cole Palmer,Chelsea,0.06,,Blocked,23.0,Left Foot,,Moisés Caicedo,Pass (Live),Levi Colwill,Pass (Live)
50,Cole Palmer (pen),Chelsea,0.79,0.99,Goal,13.0,Left Foot,,Raheem Sterling,Fouled,Levi Colwill,Pass (Live)
54,Wilson Odobert,Burnley,0.02,0.16,Saved,23.0,Right Foot,,Charlie Taylor,Pass (Live),Josh Cullen,Pass (Live)
58,Enzo Fernandez,Chelsea,0.1,0.1,Saved,17.0,Right Foot,,Nicolas Jackson,Pass (Live),Raheem Sterling,Pass (Live)
65,Raheem Sterling,Chelsea,0.31,0.71,Goal,11.0,Left Foot,,Conor Gallagher,Pass (Live),Moisés Caicedo,Tackle
75,Nicolas Jackson,Chelsea,0.3,0.9,Goal,10.0,Left Foot,,Nicolas Jackson,Take-On,Cole Palmer,Pass (Live)
78,Wilson Odobert,Burnley,0.05,,Blocked,18.0,Right Foot,Volley,Luca Koleosho,Pass (Live),Luca Koleosho,Take-On
80,Jacob Bruun Larsen,Burnley,0.1,,Blocked,25.0,Right Foot,Free kick,Josh Brownhill,Fouled,Wilson Odobert,Shot
81,Sander Berge,Burnley,0.04,,Blocked,9.0,Head,,Connor Roberts,Pass (Dead),Josh Brownhill,Pass (Live)
81,Luca Koleosho,Burnley,0.02,0.08,Saved,24.0,Right Foot,,Connor Roberts,Pass (Live),Josh Brownhill,Pass (Dead)
