minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
23,Pelly Ruddock Mpanzu,Luton Town,0.25,,Off Target,5.0,Head,,Issa Kaboré,Pass (Live),Carlton Morris,Pass (Live)
26,Mahmoud Dahoud,Brighton,0.02,,Off Target,29.0,Right Foot,,Kaoru Mitoma,Pass (Live),Lewis Dunk,Pass (Live)
29,Pelly Ruddock Mpanzu,Luton Town,0.03,,Blocked,16.0,Left Foot,,Elijah Adebayo,Pass (Live),,
33,Kaoru Mitoma,Brighton,0.02,,Off Target,20.0,Right Foot,Volley,Pascal Groß,Pass (Live),James Milner,Pass (Live)
34,Marvelous Nakamba,Luton Town,0.01,,Blocked,28.0,Left Foot,Volley,Issa Kaboré,Pass (Live),Issa Kaboré,Interception
36,Solly March,Brighton,0.33,0.86,Goal,7.0,Head,,Kaoru Mitoma,Pass (Live),Mahmoud Dahoud,Pass (Live)
37,Carlton Morris,Luton Town,0.04,0.03,Saved,10.0,Head,,Ryan John Giles,Pass (Dead),Carlton Morris,Pass (Live)
38,Issa Kabore,Luton Town,0.02,,Off Target,28.0,Left Foot,,Marvelous Nakamba,Pass (Live),Carlton Morris,Shot
39,Danny Welbeck,Brighton,0.17,,Woodwork,16.0,Right Foot,,Pervis Estupiñán,Pass (Live),João Pedro,Pass (Live)
40,Pervis Estupinan,Brighton,0.01,0.04,Saved,31.0,Left Foot,Deflected,Mahmoud Dahoud,Pass (Live),Jan Paul van Hecke,Pass (Live)
42,Danny Welbeck,Brighton,0.1,,Blocked,12.0,Right Foot,,Kaoru Mitoma,Pass (Live),Pascal Groß,Pass (Live)
42,Mahmoud Dahoud,Brighton,0.02,,Blocked,29.0,Right Foot,,Danny Welbeck,Shot,,
45+1,Carlton Morris,Luton Town,0.08,,Off Target,8.0,Head,,Ryan John Giles,Pass (Live),Tahith Chong,Pass (Live)
47,Jan Paul van Hecke,Brighton,0.02,0.22,Saved,17.0,Head,,Pervis Estupiñán,Pass (Live),Solly March,Pass (Live)
48,Joao Pedro,Brighton,0.06,,Blocked,15.0,Right Foot,,Kaoru Mitoma,Pass (Live),James Milner,Pass (Live)
52,Pascal Gross,Brighton,0.01,,Woodwork,23.0,Right Foot,,Solly March,Pass (Dead),João Pedro,Fouled
63,Solly March,Brighton,0.06,0.02,Saved,13.0,Left Foot,,Pascal Groß,Pass (Live),Danny Welbeck,Pass (Live)
71,Joao Pedro (pen),Brighton,0.79,0.99,Goal,13.0,Right Foot,,João Pedro,Fouled,Kaoru Mitoma,Pass (Live)
81,Carlton Morris (pen),Luton Town,0.79,0.99,Goal,13.0,Right Foot,,,Fouled,Carlton Morris,Pass (Live)
84,Billy Gilmour,Brighton,0.01,0.05,Saved,26.0,Right Foot,,,,,
85,Pervis Estupinan,Brighton,0.06,0.12,Saved,13.0,Left Foot,,Pervis Estupiñán,Take-On,Evan Ferguson,Pass (Live)
85,Simon Adingra,Brighton,0.25,0.77,Goal,5.0,Right Foot,Volley,,,,
86,Evan Ferguson,Brighton,0.05,,Woodwork,18.0,Right Foot,,Pervis Estupiñán,Pass (Live),Kaoru Mitoma,Pass (Live)
87,Joao Pedro,Brighton,0.15,0.19,Saved,9.0,Left Foot,,Pascal Groß,Pass (Live),Pervis Estupiñán,Pass (Live)
89,Pascal Gross,Brighton,0.35,0.6,Saved,7.0,Right Foot,,Pascal Groß,Take-On,Pervis Estupiñán,Pass (Live)
90+2,Jacob Brown,Luton Town,0.11,0.09,Saved,16.0,Right Foot,Volley,Cauley Woodrow,Pass (Live),Ryan John Giles,Pass (Live)
90+3,Carlton Morris,Luton Town,0.14,,Off Target,9.0,Head,,Cauley Woodrow,Pass (Live),Ryan John Giles,Pass (Dead)
90+5,Evan Ferguson,Brighton,0.83,0.88,Goal,4.0,Right Foot,,Pervis Estupiñán,Pass (Live),Lewis Dunk,Pass (Live)
1,Neal Maupay,Everton,0.05,,Off Target,19.0,Right Foot,,Abdoulaye Doucouré,Pass (Live),James Garner,Interception
3,Tom Cairney,Fulham,0.04,,Off Target,21.0,Left Foot,Volley,Willian,Pass (Dead),Harry Wilson,Pass (Live)
5,Abdoulaye Doucoure,Everton,0.54,0.84,Saved,15.0,Right Foot,,Amadou Onana,Pass (Live),Alex Iwobi,Pass (Live)
18,Alex Iwobi,Everton,0.07,,Blocked,17.0,Right Foot,,Amadou Onana,Pass (Live),Idrissa Gana Gueye,Pass (Live)
19,Idrissa Gana Gueye,Everton,0.01,,Blocked,22.0,Right Foot,,James Garner,Pass (Dead),Alex Iwobi,Shot
21,Alex Iwobi,Everton,0.07,,Off Target,22.0,Right Foot,,Alex Iwobi,Take-On,Neal Maupay,Pass (Live)
34,Neal Maupay,Everton,0.68,0.92,Saved,4.0,Left Foot,Volley,Alex Iwobi,Pass (Live),Amadou Onana,Pass (Live)
41,Amadou Onana,Everton,0.05,0.05,Saved,19.0,Right Foot,,Alex Iwobi,Pass (Live),Alex Iwobi,Take-On
42,Neal Maupay,Everton,0.53,0.91,Saved,11.0,Right Foot,,Amadou Onana,Pass (Live),Idrissa Gana Gueye,Pass (Live)
43,Nathan Patterson,Everton,0.04,,Off Target,16.0,Left Foot,,Idrissa Gana Gueye,Pass (Live),,
45,Neal Maupay,Everton,0.08,0.09,Saved,18.0,Right Foot,Volley,Abdoulaye Doucouré,Pass (Live),James Garner,Pass (Live)
53,Sasa Lukic,Fulham,0.02,,Off Target,22.0,Right Foot,Volley,Tom Cairney,Pass (Live),Tom Cairney,Pass (Live)
57,Raul Jimenez,Fulham,0.07,,Woodwork,13.0,Right Foot,Volley,Harry Wilson,Pass (Live),Kenny Tete,Pass (Live)
57,Bobby Reid,Fulham,0.12,,Off Target,13.0,Right Foot,,Harrison Reed,Pass (Live),Tom Cairney,Pass (Live)
60,Nathan Patterson,Everton,0.01,,Blocked,34.0,Right Foot,,Alex Iwobi,Pass (Live),James Garner,Pass (Dead)
67,Alex Iwobi,Everton,0.04,0.05,Saved,22.0,Right Foot,,Neal Maupay,Pass (Live),Michael Keane,Pass (Live)
67,Nathan Patterson,Everton,0.26,,Woodwork,8.0,Right Foot,,Alex Iwobi,Shot,,
69,Harry Wilson,Fulham,0.07,,Off Target,19.0,Left Foot,,Harry Wilson,Take-On,Saša Lukić,Pass (Live)
73,Bobby Reid,Fulham,0.72,0.98,Goal,3.0,Left Foot,,Aleksandar Mitrović,Pass (Live),Harry Wilson,Pass (Live)
77,Bobby Reid,Fulham,0.29,,Off Target,5.0,Right Foot,Volley,Harry Wilson,Pass (Live),Kenny Tete,Pass (Live)
85,Alex Iwobi,Everton,0.15,0.35,Saved,4.0,Right Foot,Volley,Ashley Young,Pass (Live),Lewis Dobbin,Pass (Live)
85,Michael Keane,Everton,0.03,0.04,Saved,10.0,Head,,Alex Iwobi,Pass (Dead),Alex Iwobi,Shot
