minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1.1,SCA 2,SCA 2.1,game_id,home_team,away_team
43,Antoine Semenyo,Bournemouth,0.05,,Blocked,17.0,Left Foot,,Ryan Christie,Pass (Live),Philip Billing,Pass (Live),c4c42d3e,Bournemouth,Burnley
45+3,Dominic Solanke,Bournemouth,0.08,,Blocked,16.0,Left Foot,,Ryan Christie,Pass (Live),,,c4c42d3e,Bournemouth,Burnley
45+3,Philip Billing,Bournemouth,0.09,,Off Target,23.0,Left Foot,,Dominic Solanke,Shot,,,c4c42d3e,Bournemouth,Burnley
48,Marcus Tavernier,Bournemouth,0.04,0.04,Saved,16.0,Left Foot,Deflected,Antoine Semenyo,Pass (Live),Max Aarons,Fouled,c4c42d3e,Bournemouth,Burnley
66,Dominic Solanke,Bournemouth,0.08,0.13,Saved,10.0,Right Foot,,Philip Billing,Pass (Live),Marcus Tavernier,Pass (Live),c4c42d3e,Bournemouth,Burnley
68,Alex Scott,Bournemouth,0.03,,Off Target,30.0,Right Foot,Free kick,Ryan Christie,Fouled,Marcus Tavernier,Pass (Live),c4c42d3e,Bournemouth,Burnley
76,Philip Billing,Bournemouth,0.02,0.15,Goal,43.0,Left Foot,,,,,,c4c42d3e,Bournemouth,Burnley
87,Milos Kerkez,Bournemouth,0.01,,Blocked,32.0,Left Foot,,,,,,c4c42d3e,Bournemouth,Burnley
90+8,Sander Berge,Burnley,0.53,,Off Target,3.0,Right Foot,Volley,Mike Tresor,Pass (Dead),,,c4c42d3e,Bournemouth,Burnley
90+11,Sander Berge,Burnley,0.02,0.14,Saved,18.0,Left Foot,Deflected,Jacob Bruun Larsen,Pass (Live),Dara O'Shea,Pass (Live),c4c42d3e,Bournemouth,Burnley
3,Antoine Semenyo,Bournemouth,0.09,0.22,Goal,15.0,Right Foot,,Philip Billing,Pass (Live),,,80bebdbb,Liverpool,Bournemouth
6,Virgil van Dijk,Liverpool,0.09,,Woodwork,9.0,Head,,Andrew Robertson,Pass (Dead),,,80bebdbb,Liverpool,Bournemouth
13,Trent Alexander-Arnold,Liverpool,0.03,0.11,Saved,15.0,Right Foot,,Trent Alexander-Arnold,Take-On,Mohamed Salah,Pass (Live),80bebdbb,Liverpool,Bournemouth
18,Luis Diaz,Liverpool,0.04,,Blocked,15.0,Right Foot,,Trent Alexander-Arnold,Pass (Live),Dominik Szoboszlai,Pass (Live),80bebdbb,Liverpool,Bournemouth
18,Luis Diaz,Liverpool,0.11,,Blocked,20.0,Right Foot,,Luis Diaz,Shot,,,80bebdbb,Liverpool,Bournemouth
18,Dominik Szoboszlai,Liverpool,0.04,,Blocked,13.0,Left Foot,,Luis Diaz,Shot,,,80bebdbb,Liverpool,Bournemouth
19,Cody Gakpo,Liverpool,0.02,,Off Target,24.0,Right Foot,,Mohamed Salah,Pass (Live),Alexis Mac Allister,Pass (Live),80bebdbb,Liverpool,Bournemouth
19,Dominic Solanke,Bournemouth,0.02,,Off Target,30.0,Right Foot,,Marcos Senesi,Pass (Live),Marcos Senesi,Tackle,80bebdbb,Liverpool,Bournemouth
28,Luis Diaz,Liverpool,0.27,0.49,Goal,9.0,Right Foot,Volley,Diogo Jota,Take-On,Trent Alexander-Arnold,Pass (Live),80bebdbb,Liverpool,Bournemouth
34,Mohamed Salah,Liverpool,0.1,,Off Target,21.0,Left Foot,,Diogo Jota,Pass (Live),Cody Gakpo,Pass (Live),80bebdbb,Liverpool,Bournemouth
36,Mohamed Salah (pen),Liverpool,0.79,0.97,Saved,13.0,Left Foot,,Dominik Szoboszlai,Fouled,Trent Alexander-Arnold,Pass (Live),80bebdbb,Liverpool,Bournemouth
36,Mohamed Salah,Liverpool,0.75,0.94,Goal,5.0,Left Foot,Volley,Mohamed Salah,Shot,,,80bebdbb,Liverpool,Bournemouth
45,Trent Alexander-Arnold,Liverpool,0.07,0.15,Saved,15.0,Left Foot,,Cody Gakpo,Pass (Live),Dominik Szoboszlai,Pass (Live),80bebdbb,Liverpool,Bournemouth
45+1,Virgil van Dijk,Liverpool,0.1,,Off Target,8.0,Head,,Andrew Robertson,Pass (Dead),Trent Alexander-Arnold,Shot,80bebdbb,Liverpool,Bournemouth
45+3,Dominik Szoboszlai,Liverpool,0.06,,Blocked,20.0,Right Foot,,Diogo Jota,Pass (Live),Dominik Szoboszlai,Pass (Live),80bebdbb,Liverpool,Bournemouth
45+3,Ibrahima Konate,Liverpool,0.05,,Off Target,10.0,Head,,Trent Alexander-Arnold,Pass (Dead),Dominik Szoboszlai,Shot,80bebdbb,Liverpool,Bournemouth
45+4,Antoine Semenyo,Bournemouth,0.04,0.06,Saved,26.0,Left Foot,,Joe Rothwell,Pass (Live),Ryan Christie,Interception,80bebdbb,Liverpool,Bournemouth
46,Trent Alexander-Arnold,Liverpool,0.04,,Blocked,26.0,Right Foot,,Dominik Szoboszlai,Pass (Dead),,,80bebdbb,Liverpool,Bournemouth
49,Antoine Semenyo,Bournemouth,0.05,,Off Target,21.0,Right Foot,,,,,,80bebdbb,Liverpool,Bournemouth
50,Diogo Jota,Liverpool,0.06,,Off Target,11.0,Head,,Andrew Robertson,Pass (Dead),,,80bebdbb,Liverpool,Bournemouth
51,Diogo Jota,Liverpool,0.09,,Off Target,25.0,Right Foot,,,,,,80bebdbb,Liverpool,Bournemouth
53,Mohamed Salah,Liverpool,0.1,0.5,Saved,8.0,Left Foot,,,,,,80bebdbb,Liverpool,Bournemouth
54,Cody Gakpo,Liverpool,0.08,,Blocked,16.0,Left Foot,,Luis Diaz,Pass (Live),Alexis Mac Allister,Pass (Live),80bebdbb,Liverpool,Bournemouth
54,Cody Gakpo,Liverpool,0.13,,Blocked,16.0,Right Foot,,Cody Gakpo,Shot,,,80bebdbb,Liverpool,Bournemouth
58,Diogo Jota,Liverpool,0.09,,Blocked,10.0,Left Foot,,Luis Diaz,Pass (Live),Luis Diaz,Take-On,80bebdbb,Liverpool,Bournemouth
62,Dominik Szoboszlai,Liverpool,0.03,0.17,Saved,24.0,Right Foot,Deflected,Trent Alexander-Arnold,Pass (Live),Luis Diaz,Pass (Live),80bebdbb,Liverpool,Bournemouth
62,Diogo Jota,Liverpool,0.34,0.99,Goal,4.0,Left Foot,,Dominik Szoboszlai,Shot,,,80bebdbb,Liverpool,Bournemouth
