minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2,opponent
69,Martin Odegaard,Arsenal,0.03,,Blocked,21.0,Left Foot,,Thomas Partey,Pass (Live),Eddie Nketiah,Pass (Live),Nott'ham Forest
70,Ola Aina,Nott'ham Forest,0.02,,Blocked,29.0,Right Foot,,Ola Aina,Take-On,Orel Mangala,Pass (Live),Arsenal
76,Declan Rice,Arsenal,0.05,0.44,Saved,25.0,Right Foot,Deflected,Kai Havertz,Pass (Live),Martin Ødegaard,Pass (Live),Nott'ham Forest
78,Willy Boly,Nott'ham Forest,0.21,0.08,Saved,5.0,Head,Deflected,Morgan Gibbs-White,Pass (Dead),,,Arsenal
81,Declan Rice,Arsenal,0.17,0.56,Saved,15.0,Right Foot,Volley,Thomas Partey,Pass (Live),Leandro Trossard,Pass (Live),Nott'ham Forest
82,Taiwo Awoniyi,Nott'ham Forest,0.57,0.87,Goal,6.0,Right Foot,,Anthony Elanga,Pass (Live),Taiwo Awoniyi,Pass (Live),Arsenal
83,Morgan Gibbs-White,Nott'ham Forest,0.07,,Off Target,19.0,Right Foot,,Anthony Elanga,Pass (Live),Neco Williams,Pass (Live),Arsenal
85,Kai Havertz,Arsenal,0.02,,Blocked,12.0,Right Foot,,Martin Ødegaard,Pass (Live),Thomas Partey,Pass (Live),Nott'ham Forest
87,Bukayo Saka,Arsenal,0.13,0.06,Saved,10.0,Left Foot,Deflected,Kai Havertz,Pass (Live),Martin Ødegaard,Pass (Live),Nott'ham Forest
90+3,Martin Odegaard,Arsenal,0.04,,Blocked,26.0,Left Foot,,Leandro Trossard,Pass (Live),Leandro Trossard,Take-On,Nott'ham Forest
90+5,Cheikhou Kouyate,Nott'ham Forest,0.02,,Off Target,26.0,Right Foot,Volley,Anthony Elanga,Fouled,Ryan Yates,Pass (Live),Arsenal
90+8,Martin Odegaard,Arsenal,0.05,,Off Target,21.0,Left Foot,,Bukayo Saka,Pass (Live),Kai Havertz,Pass (Live),Nott'ham Forest
3.0,Pablo Fornals,West Ham,0.05,,Off Target,18.0,Right Foot,Volley,Pablo Fornals,Pass (Live),Nayef Aguerd,Pass (Live),Bournemouth
5.0,Jarrod Bowen,West Ham,0.03,,Off Target,30.0,Left Foot,,,,,,Bournemouth
12.0,David Brooks,Bournemouth,0.05,,Off Target,24.0,Left Foot,,Dominic Solanke,Pass (Live),Neto,Pass (Live),West Ham
17.0,Jarrod Bowen,West Ham,0.06,,Blocked,16.0,Left Foot,,Jarrod Bowen,Take-On,Saïd Benrahma,Pass (Live),Bournemouth
19.0,Tomas Soucek,West Ham,0.34,,Off Target,3.0,Head,,Jarrod Bowen,Pass (Dead),Michail Antonio,Pass (Live),Bournemouth
24.0,Tomas Soucek,West Ham,0.03,,Off Target,7.0,Head,,Jarrod Bowen,Pass (Dead),Michail Antonio,Take-On,Bournemouth
26.0,Ryan Christie,Bournemouth,0.02,0.04,Saved,29.0,Left Foot,,David Brooks,Pass (Live),Joe Rothwell,Pass (Live),West Ham
29.0,Pablo Fornals,West Ham,0.04,,Off Target,27.0,Left Foot,,Saïd Benrahma,Pass (Live),Michail Antonio,Pass (Live),Bournemouth
35.0,Lucas Paqueta,West Ham,0.09,,Blocked,5.0,Head,,Jarrod Bowen,Pass (Dead),Tomáš Souček,Pass (Live),Bournemouth
35.0,Said Benrahma,West Ham,0.02,,Off Target,30.0,Right Foot,,Lucas Paquetá,Pass (Live),Pablo Fornals,Pass (Live),Bournemouth
37.0,Jarrod Bowen,West Ham,0.02,,Off Target,14.0,Other,,Vladimír Coufal,Pass (Live),Saïd Benrahma,Pass (Live),Bournemouth
37.0,Said Benrahma,West Ham,0.06,0.19,Saved,12.0,Left Foot,,Pablo Fornals,Pass (Live),Jarrod Bowen,Shot,Bournemouth
41.0,David Brooks,Bournemouth,0.02,0.17,Saved,31.0,Left Foot,,Dominic Solanke,Pass (Live),Joe Rothwell,Pass (Live),West Ham
50.0,David Brooks,Bournemouth,0.07,0.07,Saved,21.0,Left Foot,Volley,Dominic Solanke,Pass (Live),Max Aarons,Pass (Live),West Ham
51.0,Jarrod Bowen,West Ham,0.04,0.51,Goal,27.0,Left Foot,,Tomáš Souček,Pass (Live),Pablo Fornals,Tackle,Bournemouth
55.0,Dominic Solanke,Bournemouth,0.07,0.16,Saved,10.0,Right Foot,,Max Aarons,Pass (Live),Illia Zabarnyi,Pass (Live),West Ham
56.0,Lucas Paqueta,West Ham,0.03,,Off Target,16.0,Left Foot,Volley,Emerson Palmieri,Pass (Live),Saïd Benrahma,Pass (Live),Bournemouth
56.0,Jarrod Bowen,West Ham,0.04,,Blocked,13.0,Head,,Emerson Palmieri,Pass (Live),Pablo Fornals,Pass (Live),Bournemouth
61.0,Philip Billing,Bournemouth,0.04,,Blocked,24.0,Left Foot,Free kick,Max Aarons,Fouled,Max Aarons,Pass (Dead),West Ham
65.0,Joe Rothwell,Bournemouth,0.03,,Woodwork,24.0,Right Foot,,Joe Rothwell,Take-On,Ryan Christie,Pass (Live),West Ham
70.0,Jarrod Bowen,West Ham,0.04,,Blocked,11.0,Left Foot,,Vladimír Coufal,Pass (Dead),,,Bournemouth
71.0,David Brooks,Bournemouth,0.03,,Off Target,22.0,Left Foot,,Philip Billing,Pass (Live),David Brooks,Pass (Live),West Ham
75.0,Philip Billing,Bournemouth,0.02,,Off Target,18.0,Head,,Joe Rothwell,Pass (Dead),Joe Rothwell,Fouled,West Ham
77.0,Kieffer Moore,Bournemouth,0.04,,Blocked,13.0,Head,,Dominic Solanke,Pass (Live),Illia Zabarnyi,Pass (Live),West Ham
78.0,Dominic Solanke,Bournemouth,0.05,,Off Target,13.0,Head,,Milos Kerkez,Pass (Live),Chris Mepham,Pass (Live),West Ham
82.0,Antoine Semenyo,Bournemouth,0.05,,Off Target,24.0,Right Foot,,,,,,West Ham
82.0,Dominic Solanke,Bournemouth,0.87,0.97,Goal,4.0,Right Foot,,Dominic Solanke,Take-On,Antoine Semenyo,Shot,West Ham
84.0,Danny Ings,West Ham,0.12,,Blocked,14.0,Right Foot,,Lucas Paquetá,Pass (Live),,,Bournemouth
85.0,Lucas Paqueta,West Ham,0.06,,Woodwork,16.0,Left Foot,,,,,,Bournemouth
89.0,Antoine Semenyo,Bournemouth,0.02,,Blocked,31.0,Left Foot,,Chris Mepham,Interception,,,West Ham
2,Lewis Dunk,Brighton,0.02,,Off Target,14.0,Head,,Pascal Groß,Pass (Dead),James Milner,Pass (Dead),Luton Town
3,Lewis Dunk,Brighton,0.1,,Off Target,6.0,Head,,Mahmoud Dahoud,Pass (Live),Lewis Dunk,Shot,Luton Town
5,Joao Pedro,Brighton,0.35,,Off Target,10.0,Right Foot,,Pascal Groß,Pass (Live),,,Luton Town
8,Danny Welbeck,Brighton,0.01,,Off Target,30.0,Right Foot,,João Pedro,Pass (Live),Pervis Estupiñán,Pass (Live),Luton Town
14,Pascal Gross,Brighton,0.14,,Off Target,9.0,Head,,Pervis Estupiñán,Pass (Live),Kaoru Mitoma,Pass (Live),Luton Town
18,Solly March,Brighton,0.01,,Blocked,29.0,Left Foot,,Pascal Groß,Pass (Dead),Solly March,Fouled,Luton Town
18,Pervis Estupinan,Brighton,0.04,,Blocked,20.0,Left Foot,,Kaoru Mitoma,Pass (Live),Pervis Estupiñán,Pass (Live),Luton Town
20,Danny Welbeck,Brighton,0.04,0.12,Saved,17.0,Right Foot,,Solly March,Pass (Dead),Danny Welbeck,Pass (Live),Luton Town
23,Pelly Ruddock Mpanzu,Luton Town,0.25,,Off Target,5.0,Head,,Issa Kaboré,Pass (Live),Carlton Morris,Pass (Live),Brighton
26,Mahmoud Dahoud,Brighton,0.02,,Off Target,29.0,Right Foot,,Kaoru Mitoma,Pass (Live),Lewis Dunk,Pass (Live),Luton Town
29,Pelly Ruddock Mpanzu,Luton Town,0.03,,Blocked,16.0,Left Foot,,Elijah Adebayo,Pass (Live),,,Brighton
33,Kaoru Mitoma,Brighton,0.02,,Off Target,20.0,Right Foot,Volley,Pascal Groß,Pass (Live),James Milner,Pass (Live),Luton Town
34,Marvelous Nakamba,Luton Town,0.01,,Blocked,28.0,Left Foot,Volley,Issa Kaboré,Pass (Live),Issa Kaboré,Interception,Brighton
36,Solly March,Brighton,0.33,0.86,Goal,7.0,Head,,Kaoru Mitoma,Pass (Live),Mahmoud Dahoud,Pass (Live),Luton Town
37,Carlton Morris,Luton Town,0.04,0.03,Saved,10.0,Head,,Ryan John Giles,Pass (Dead),Carlton Morris,Pass (Live),Brighton
38,Issa Kabore,Luton Town,0.02,,Off Target,28.0,Left Foot,,Marvelous Nakamba,Pass (Live),Carlton Morris,Shot,Brighton
39,Danny Welbeck,Brighton,0.17,,Woodwork,16.0,Right Foot,,Pervis Estupiñán,Pass (Live),João Pedro,Pass (Live),Luton Town
40,Pervis Estupinan,Brighton,0.01,0.04,Saved,31.0,Left Foot,Deflected,Mahmoud Dahoud,Pass (Live),Jan Paul van Hecke,Pass (Live),Luton Town
42,Danny Welbeck,Brighton,0.1,,Blocked,12.0,Right Foot,,Kaoru Mitoma,Pass (Live),Pascal Groß,Pass (Live),Luton Town
42,Mahmoud Dahoud,Brighton,0.02,,Blocked,29.0,Right Foot,,Danny Welbeck,Shot,,,Luton Town
45+1,Carlton Morris,Luton Town,0.08,,Off Target,8.0,Head,,Ryan John Giles,Pass (Live),Tahith Chong,Pass (Live),Brighton
47,Jan Paul van Hecke,Brighton,0.02,0.22,Saved,17.0,Head,,Pervis Estupiñán,Pass (Live),Solly March,Pass (Live),Luton Town
48,Joao Pedro,Brighton,0.06,,Blocked,15.0,Right Foot,,Kaoru Mitoma,Pass (Live),James Milner,Pass (Live),Luton Town
52,Pascal Gross,Brighton,0.01,,Woodwork,23.0,Right Foot,,Solly March,Pass (Dead),João Pedro,Fouled,Luton Town
63,Solly March,Brighton,0.06,0.02,Saved,13.0,Left Foot,,Pascal Groß,Pass (Live),Danny Welbeck,Pass (Live),Luton Town
71,Joao Pedro (pen),Brighton,0.79,0.99,Goal,13.0,Right Foot,,João Pedro,Fouled,Kaoru Mitoma,Pass (Live),Luton Town
81,Carlton Morris (pen),Luton Town,0.79,0.99,Goal,13.0,Right Foot,,,Fouled,Carlton Morris,Pass (Live),Brighton
84,Billy Gilmour,Brighton,0.01,0.05,Saved,26.0,Right Foot,,,,,,Luton Town
85,Pervis Estupinan,Brighton,0.06,0.12,Saved,13.0,Left Foot,,Pervis Estupiñán,Take-On,Evan Ferguson,Pass (Live),Luton Town
85,Simon Adingra,Brighton,0.25,0.77,Goal,5.0,Right Foot,Volley,,,,,Luton Town
86,Evan Ferguson,Brighton,0.05,,Woodwork,18.0,Right Foot,,Pervis Estupiñán,Pass (Live),Kaoru Mitoma,Pass (Live),Luton Town
87,Joao Pedro,Brighton,0.15,0.19,Saved,9.0,Left Foot,,Pascal Groß,Pass (Live),Pervis Estupiñán,Pass (Live),Luton Town
89,Pascal Gross,Brighton,0.35,0.6,Saved,7.0,Right Foot,,Pascal Groß,Take-On,Pervis Estupiñán,Pass (Live),Luton Town
90+2,Jacob Brown,Luton Town,0.11,0.09,Saved,16.0,Right Foot,Volley,Cauley Woodrow,Pass (Live),Ryan John Giles,Pass (Live),Brighton
90+3,Carlton Morris,Luton Town,0.14,,Off Target,9.0,Head,,Cauley Woodrow,Pass (Live),Ryan John Giles,Pass (Dead),Brighton
90+5,Evan Ferguson,Brighton,0.83,0.88,Goal,4.0,Right Foot,,Pervis Estupiñán,Pass (Live),Lewis Dunk,Pass (Live),Luton Town
1,Neal Maupay,Everton,0.05,,Off Target,19.0,Right Foot,,Abdoulaye Doucouré,Pass (Live),James Garner,Interception,Fulham
3,Tom Cairney,Fulham,0.04,,Off Target,21.0,Left Foot,Volley,Willian,Pass (Dead),Harry Wilson,Pass (Live),Everton
5,Abdoulaye Doucoure,Everton,0.54,0.84,Saved,15.0,Right Foot,,Amadou Onana,Pass (Live),Alex Iwobi,Pass (Live),Fulham
18,Alex Iwobi,Everton,0.07,,Blocked,17.0,Right Foot,,Amadou Onana,Pass (Live),Idrissa Gana Gueye,Pass (Live),Fulham
19,Idrissa Gana Gueye,Everton,0.01,,Blocked,22.0,Right Foot,,James Garner,Pass (Dead),Alex Iwobi,Shot,Fulham
21,Alex Iwobi,Everton,0.07,,Off Target,22.0,Right Foot,,Alex Iwobi,Take-On,Neal Maupay,Pass (Live),Fulham
34,Neal Maupay,Everton,0.68,0.92,Saved,4.0,Left Foot,Volley,Alex Iwobi,Pass (Live),Amadou Onana,Pass (Live),Fulham
41,Amadou Onana,Everton,0.05,0.05,Saved,19.0,Right Foot,,Alex Iwobi,Pass (Live),Alex Iwobi,Take-On,Fulham
42,Neal Maupay,Everton,0.53,0.91,Saved,11.0,Right Foot,,Amadou Onana,Pass (Live),Idrissa Gana Gueye,Pass (Live),Fulham
43,Nathan Patterson,Everton,0.04,,Off Target,16.0,Left Foot,,Idrissa Gana Gueye,Pass (Live),,,Fulham
45,Neal Maupay,Everton,0.08,0.09,Saved,18.0,Right Foot,Volley,Abdoulaye Doucouré,Pass (Live),James Garner,Pass (Live),Fulham
53,Sasa Lukic,Fulham,0.02,,Off Target,22.0,Right Foot,Volley,Tom Cairney,Pass (Live),Tom Cairney,Pass (Live),Everton
57,Raul Jimenez,Fulham,0.07,,Woodwork,13.0,Right Foot,Volley,Harry Wilson,Pass (Live),Kenny Tete,Pass (Live),Everton
57,Bobby Reid,Fulham,0.12,,Off Target,13.0,Right Foot,,Harrison Reed,Pass (Live),Tom Cairney,Pass (Live),Everton
60,Nathan Patterson,Everton,0.01,,Blocked,34.0,Right Foot,,Alex Iwobi,Pass (Live),James Garner,Pass (Dead),Fulham
67,Alex Iwobi,Everton,0.04,0.05,Saved,22.0,Right Foot,,Neal Maupay,Pass (Live),Michael Keane,Pass (Live),Fulham
67,Nathan Patterson,Everton,0.26,,Woodwork,8.0,Right Foot,,Alex Iwobi,Shot,,,Fulham
69,Harry Wilson,Fulham,0.07,,Off Target,19.0,Left Foot,,Harry Wilson,Take-On,Saša Lukić,Pass (Live),Everton
73,Bobby Reid,Fulham,0.72,0.98,Goal,3.0,Left Foot,,Aleksandar Mitrović,Pass (Live),Harry Wilson,Pass (Live),Everton
77,Bobby Reid,Fulham,0.29,,Off Target,5.0,Right Foot,Volley,Harry Wilson,Pass (Live),Kenny Tete,Pass (Live),Everton
85,Alex Iwobi,Everton,0.15,0.35,Saved,4.0,Right Foot,Volley,Ashley Young,Pass (Live),Lewis Dobbin,Pass (Live),Fulham
85,Michael Keane,Everton,0.03,0.04,Saved,10.0,Head,,Alex Iwobi,Pass (Dead),Alex Iwobi,Shot,Fulham
87,Aleksandar Mitrovic,Fulham,0.06,0.14,Saved,10.0,Right Foot,,Aleksandar Mitrović,Take-On,Kenny Tete,Pass (Live),Everton
88,Aleksandar Mitrovic,Fulham,0.1,,Blocked,12.0,Left Foot,,,,,,Everton
90,Idrissa Gana Gueye,Everton,0.04,,Blocked,21.0,Left Foot,Volley,Ashley Young,Pass (Live),Abdoulaye Doucouré,Pass (Live),Fulham
90,James Tarkowski,Everton,0.04,,Off Target,10.0,Head,,Alex Iwobi,Pass (Live),Idrissa Gana Gueye,Shot,Fulham
90+5,Abdoulaye Doucoure,Everton,0.03,,Off Target,12.0,Head,,Amadou Onana,Fouled,Ashley Young,Pass (Dead),Fulham
90+7,Michael Keane,Everton,0.01,0.07,Saved,17.0,Head,,Jordan Pickford,Pass (Dead),Lewis Dobbin,Fouled,Fulham
6,Bruno Guimaraes,Newcastle Utd,0.07,0.25,Saved,26.0,Right Foot,,Kieran Trippier,Pass (Live),Kieran Trippier,Take-On,Aston Villa
6,Sandro Tonali,Newcastle Utd,0.22,0.9,Goal,7.0,Right Foot,Volley,Anthony Gordon,Pass (Live),Joelinton,Pass (Live),Aston Villa
8,Sandro Tonali,Newcastle Utd,0.42,0.68,Saved,12.0,Left Foot,,Anthony Gordon,Pass (Live),Alexander Isak,Pass (Live),Aston Villa
9,Moussa Diaby,Aston Villa,0.02,0.17,Saved,17.0,Left Foot,,Tyrone Mings,Pass (Live),Tyrone Mings,Interception,Newcastle Utd
11,Moussa Diaby,Aston Villa,0.13,0.13,Goal,14.0,Right Foot,Volley,Ollie Watkins,Pass (Live),Douglas Luiz,Pass (Live),Newcastle Utd
16,Alexander Isak,Newcastle Utd,0.44,0.32,Goal,10.0,Right Foot,,Sven Botman,Pass (Live),Sandro Tonali,Pass (Live),Aston Villa
21,Tyrone Mings,Aston Villa,0.01,,Blocked,18.0,Head,,John McGinn,Pass (Dead),Ezri Konsa,Fouled,Newcastle Utd
24,Ollie Watkins,Aston Villa,0.16,,Off Target,12.0,Right Foot,,Moussa Diaby,Pass (Live),Leon Bailey,Pass (Live),Newcastle Utd
35,Douglas Luiz,Aston Villa,0.11,,Off Target,8.0,Head,,Lucas Digne,Pass (Dead),Moussa Diaby,Pass (Live),Newcastle Utd
42,Moussa Diaby,Aston Villa,0.12,,Off Target,10.0,Right Foot,,Douglas Luiz,Pass (Live),Moussa Diaby,Pass (Live),Newcastle Utd
45+7,Douglas Luiz,Aston Villa,0.02,,Blocked,23.0,Right Foot,,Matty Cash,Pass (Live),,,Newcastle Utd
45+10,Dan Burn,Newcastle Utd,0.16,,Off Target,5.0,Head,,Kieran Trippier,Pass (Dead),Miguel Almirón,Fouled,Aston Villa
48,Bruno Guimaraes,Newcastle Utd,0.03,,Blocked,18.0,Right Foot,,Miguel Almirón,Pass (Live),Kieran Trippier,Pass (Live),Aston Villa
51,Anthony Gordon,Newcastle Utd,0.07,,Blocked,14.0,Right Foot,Volley,Sandro Tonali,Pass (Live),Miguel Almirón,Pass (Live),Aston Villa
52,Sven Botman,Newcastle Utd,0.07,,Off Target,10.0,Head,,Kieran Trippier,Pass (Dead),Anthony Gordon,Shot,Aston Villa
55,Boubacar Kamara,Aston Villa,0.03,,Off Target,7.0,Head,,Lucas Digne,Pass (Dead),Douglas Luiz,Pass (Live),Newcastle Utd
58,Alexander Isak,Newcastle Utd,0.08,0.54,Goal,10.0,Right Foot,,Bruno Guimarães,Pass (Live),Bruno Guimarães,Take-On,Aston Villa
60,Douglas Luiz,Aston Villa,0.02,,Blocked,32.0,Right Foot,,Boubacar Kamara,Pass (Live),Douglas Luiz,Pass (Live),Newcastle Utd
60,Alexander Isak,Newcastle Utd,0.25,0.3,Saved,14.0,Right Foot,,Miguel Almirón,Pass (Live),Joelinton,Pass (Live),Aston Villa
62,Miguel Almiron,Newcastle Utd,0.05,0.02,Saved,21.0,Left Foot,,,,,,Aston Villa
64,Ollie Watkins,Aston Villa,0.16,0.39,Saved,14.0,Right Foot,,Ollie Watkins,Take-On,Moussa Diaby,Pass (Live),Newcastle Utd
64,Matty Cash,Aston Villa,0.7,,Off Target,9.0,Right Foot,,Ollie Watkins,Shot,,,Newcastle Utd
74,Matty Cash,Aston Villa,0.02,0.57,Saved,22.0,Right Foot,,Pau Torres,Pass (Live),Boubacar Kamara,Pass (Live),Newcastle Utd
75,Diego Carlos,Aston Villa,0.06,,Off Target,10.0,Head,,Lucas Digne,Pass (Dead),Matty Cash,Shot,Newcastle Utd
77,Callum Wilson,Newcastle Utd,0.47,0.78,Goal,10.0,Right Foot,,Harvey Barnes,Pass (Live),Sandro Tonali,Pass (Live),Aston Villa
80,Callum Wilson,Newcastle Utd,0.02,0.04,Saved,11.0,Right Foot,,Dan Burn,Pass (Live),Joelinton,Pass (Live),Aston Villa
81,Callum Wilson,Newcastle Utd,0.39,0.81,Saved,9.0,Right Foot,,Harvey Barnes,Pass (Live),Joelinton,Pass (Live),Aston Villa
82,Joelinton,Newcastle Utd,0.12,,Blocked,4.0,Head,Deflected,Kieran Trippier,Pass (Dead),Callum Wilson,Shot,Aston Villa
90,Philippe Coutinho,Aston Villa,0.08,,Off Target,11.0,Right Foot,,Youri Tielemans,Pass (Live),Lucas Digne,Pass (Live),Newcastle Utd
90+1,Harvey Barnes,Newcastle Utd,0.53,0.95,Goal,10.0,Right Foot,,Jacob Murphy,Pass (Live),Jacob Murphy,Take-On,Aston Villa
90+2,Callum Wilson,Newcastle Utd,0.03,0.2,Saved,32.0,Right Foot,,Jacob Murphy,Pass (Live),,,Aston Villa
90+4,Douglas Luiz,Aston Villa,0.03,0.35,Saved,21.0,Right Foot,Free kick,Lucas Digne,Fouled,Philippe Coutinho,Pass (Live),Newcastle Utd
90+5,Diego Carlos,Aston Villa,0.21,0.24,Saved,2.0,Head,,Douglas Luiz,Pass (Dead),Douglas Luiz,Shot,Newcastle Utd
9.0,William Osula,Sheffield Utd,0.02,,Blocked,23.0,Left Foot,,,,,,Crystal Palace
14.0,Odsonne Edouard,Crystal Palace,0.04,,Blocked,12.0,Left Foot,,Odsonne Édouard,Take-On,Cheick Doucouré,Pass (Live),Sheffield Utd
17.0,Eberechi Eze,Crystal Palace,0.02,,Blocked,30.0,Left Foot,,Cheick Doucouré,Pass (Live),Jefferson Lerma,Pass (Live),Sheffield Utd
17.0,Eberechi Eze,Crystal Palace,0.11,,Blocked,12.0,Right Foot,,Eberechi Eze,Shot,,,Sheffield Utd
20.0,Odsonne Edouard,Crystal Palace,0.06,0.43,Saved,16.0,Right Foot,,Joachim Andersen,Pass (Live),Jefferson Lerma,Pass (Live),Sheffield Utd
22.0,Joachim Andersen,Crystal Palace,0.02,0.19,Saved,36.0,Right Foot,,Cheick Doucouré,Pass (Live),Tyrick Mitchell,Pass (Dead),Sheffield Utd
24.0,Odsonne Edouard,Crystal Palace,0.03,,Off Target,16.0,Right Foot,Volley,Eberechi Eze,Pass (Dead),Eberechi Eze,Pass (Live),Sheffield Utd
27.0,John Egan,Sheffield Utd,0.04,,Off Target,10.0,Head,,Oliver Norwood,Pass (Dead),Oliver Norwood,Pass (Live),Crystal Palace
29.0,Jeffrey Schlupp,Crystal Palace,0.02,,Off Target,29.0,Left Foot,,Marc Guéhi,Pass (Live),Joachim Andersen,Pass (Live),Sheffield Utd
30.0,Cheick Doucoure,Crystal Palace,0.01,0.19,Saved,32.0,Right Foot,"Deflected, Volley",Jeffrey Schlupp,Shot,,,Sheffield Utd
31.0,Eberechi Eze,Crystal Palace,0.06,,Blocked,17.0,Right Foot,,Odsonne Édouard,Pass (Live),Joachim Andersen,Pass (Live),Sheffield Utd
31.0,Jordan Ayew,Crystal Palace,0.06,,Blocked,16.0,Right Foot,,Cheick Doucouré,Pass (Live),Eberechi Eze,Shot,Sheffield Utd
32.0,Marc Guehi,Crystal Palace,0.03,,Off Target,12.0,Head,,Eberechi Eze,Pass (Dead),Jordan Ayew,Shot,Sheffield Utd
32.0,Odsonne Edouard,Crystal Palace,0.05,,Off Target,5.0,Head,,Marc Guéhi,Shot,,,Sheffield Utd
34.0,Anel Ahmedhodzic,Sheffield Utd,0.04,,Off Target,10.0,Head,,Oliver Norwood,Pass (Dead),George Baldock,Take-On,Crystal Palace
