Player,Position,Team,GW,FPTS,Ghost Points,Negative Fpts,Ros Rank,RKOV,RKPOS,Ros RankPOS,Started,GP,Home,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,ROS %,MIN,FP/G,Overperformance
Jordan Ayew,F,CRY,7,10.5,10.5,-3.0,119,67,20,34,True,1,False,0,1,0,0,2,6,0,0,0,2,0,6,0,3,0,0,0,0,1,70,90,10.5,-14
James Garner,M,EVE,7,10.5,10.5,0.0,101,80,29,38,True,1,True,0,3,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,37,90,10.5,-9
Dominik Szoboszlai,M,LIV,7,10.0,10.0,0.0,28,27,14,14,True,1,False,0,1,0,1,1,0,0,0,2,1,1,1,1,0,0,0,0,2,0,100,90,10.0,0
Thiago Silva,D,CHE,7,10.0,4.0,0.0,95,63,14,16,True,1,False,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,1,91,90,10.0,-2
Zeki Amdouni,F,BUR,7,10.0,10.0,-3.5,137,112,31,39,True,2,False,0,2,0,2,1,3,1,0,0,0,2,4,0,1,0,0,0,1,1,35,130,5.0,-8
Jacob Brown,F,LUT,7,10.0,10.0,-5.5,200,159,36,44,True,2,False,0,2,0,1,1,7,1,0,2,2,1,1,0,7,0,0,0,2,0,12,158,5.0,-8
Dwight McNeil,M,EVE,7,9.5,9.5,-0.5,32,223,69,15,True,1,True,0,2,0,0,1,1,0,0,1,0,0,2,1,2,0,0,0,2,0,81,83,9.5,54
Vitalii Mykolenko,D,EVE,7,9.5,9.5,-4.0,200,221,55,29,True,1,True,0,3,0,0,4,0,0,0,1,0,2,1,0,1,0,0,0,2,0,12,90,9.5,26
Cristian Romero,D,TOT,7,9.25,9.25,-4.0,78,46,8,14,True,1,True,0,1,0,0,3,0,1,0,0,3,1,0,0,5,0,0,0,1,0,90,90,9.25,-6
Axel Disasi,D,CHE,7,9.25,3.25,0.0,139,70,16,26,True,1,False,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,1,79,90,9.25,-10
Enzo Fernandez,M,CHE,7,9.0,8.0,-1.0,111,105,36,42,True,1,False,0,1,0,1,2,2,0,0,0,1,2,1,1,0,0,0,0,0,1,96,88,9.0,-6
Kai Havertz,F,ARS,7,9.0,0.0,-3.0,125,173,39,36,True,1,False,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,82,80,9.0,3
Michail Antonio,F,WHU,7,9.0,3.0,-1.0,132,94,26,38,True,1,True,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,79,71,9.0,-12
Manor Solomon,F,TOT,7,9.0,9.0,0.0,77,86,24,27,False,1,True,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,62,20,9.0,-3
