Player,Team,Position,GW,FPts,started,Opponent,Home,FP/G,ROS Rank,RkOv,G,KP,AT,SOT,TkW,DIS,YC,RC,ACNC,Int,CLR,CoS,BS,AER,PKM,PKD,OG,GAO,CS,Team_long,Ros %,GP,Min
Marcus Tavernier,BOU,M,1,9.5,,,,9.5,82,162,0,2,0,0,1,-0.5,0,0,0,2,0.0,4,1,0.0,0,0,0,0,0,,54%,1,62
Chiedozie Ogbene,LUT,F,1,9.5,,BHA,False,9.5,200,242,0,8,0,0,0,-0.5,0,0,0,0,0.0,2,0,0.0,0,0,0,0,0,Luton Town,6%,1,90
Casemiro,MUN,M,1,9.0,,WOL,True,9.0,65,71,0,4,0,0,2,-0.5,0,0,0,1,0.0,0,1,0.5,0,0,0,0,1,Manchester Utd,98%,1,90
Simon Adingra,BHA,F,1,9.0,,LUT,True,9.0,200,111,0,4,0,0,0,-0.5,0,0,1,2,0.0,2,0,0.5,0,0,0,0,0,Brighton,36%,1,86
Aaron Ramsey,BUR,M,1,9.0,,,,9.0,200,307,0,2,0,2,3,-0.0,0,0,0,0,0.0,1,0,1.0,0,0,0,0,0,,17%,1,72
Mahmoud Dahoud,BHA,M,1,9.0,,LUT,True,9.0,200,232,0,2,6,0,1,-0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,Brighton,16%,1,73
Ruben Dias,MCI,D,1,8.75,,,,8.75,200,176,0,0,0,0,0,-0.5,0,0,0,1,1.25,0,1,0.0,0,0,0,0,6,,96%,1,90
Willy Boly,NOT,D,1,8.5,,ARS,False,8.5,111,42,0,2,0,2,2,-0.0,0,0,0,1,1.5,0,2,2.0,0,0,0,-4,0,Nott'ham Forest,73%,1,90
Josh Brownhill,BUR,M,1,8.5,,MCI,True,8.5,124,169,0,6,0,0,2,-0.0,0,0,0,0,0.0,0,0,0.5,0,0,0,0,0,Burnley,57%,1,85
Beto,EVE,F,1,8.5,,,,8.5,106,200,0,2,0,2,1,-1.0,0,0,0,0,0.0,0,0,4.5,0,0,0,0,0,,41%,1,62
Amari'i Bell,LUT,D,1,8.5,,BHA,False,8.5,200,297,0,2,0,0,2,-0.5,0,0,0,2,0.0,3,0,2.0,0,0,0,-2,0,Luton Town,13%,1,90
Joseph Gomez,LIV,D,1,8.25,,,,8.25,200,145,0,2,0,0,2,-0.0,0,0,0,2,0.25,2,0,2.0,0,0,0,-2,0,,34%,1,90
Josh Cullen,BUR,M,1,8.0,,MCI,True,8.0,200,177,0,6,0,0,0,-0.5,0,0,0,1,0.0,0,1,0.5,0,0,0,0,0,Burnley,14%,1,90
Hannibal Mejbri,MUN,M,1,8.0,,,,8.0,200,230,0,4,0,0,2,-0.5,0,0,0,0,0.0,0,1,0.5,0,0,0,0,1,,11%,1,90
Christian Norgaard,BRF,M,1,7.5,,TOT,True,7.5,123,56,0,0,0,0,4,-0.0,0,0,0,1,0.0,0,1,1.5,0,0,0,0,0,Brentford,55%,1,90
Victor Lindelof,MUN,D,1,7.5,,WOL,True,7.5,200,264,0,0,0,0,1,-0.0,0,0,0,0,0.5,0,0,0.0,0,0,0,0,6,Manchester Utd,11%,1,90
Thiago Silva,CHE,D,1,7.25,,LIV,True,7.25,95,90,0,4,0,0,0,-0.0,0,0,0,1,2.25,1,1,0.0,0,0,0,-2,0,Chelsea,91%,1,90
Marcus Rashford,MUN,F,1,7.0,,WOL,True,7.0,22,41,0,4,0,0,1,-1.0,0,0,0,0,0.0,2,0,1.0,0,0,0,0,0,Manchester Utd,100%,1,90
Dejan Kulusevski,TOT,M,1,7.0,,BRF,False,7.0,28,19,0,6,0,0,1,-1.0,0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,Tottenham,100%,1,90
Bryan Mbeumo,BRF,F,1,7.0,,TOT,True,7.0,25,22,0,2,0,2,1,-0.5,-2,0,2,0,0.0,2,0,0.5,0,0,0,0,0,Brentford,100%,1,90
Mykhailo Mudryk,CHE,M,1,7.0,,LIV,True,7.0,109,214,0,2,0,0,2,-0.0,0,0,0,0,0.0,2,0,0.0,0,0,0,0,1,Chelsea,79%,1,60
Vitalii Mykolenko,EVE,D,1,7.0,,,,7.0,200,215,0,0,0,2,2,-1.0,0,0,0,1,1.0,2,0,2.0,0,0,0,-2,0,,12%,1,90
Levi Colwill,CHE,D,1,6.75,,LIV,True,6.75,200,114,0,0,0,0,2,-0.0,0,0,0,0,0.75,1,2,3.0,0,0,0,-2,0,Chelsea,89%,1,90
Tom Lockyer,LUT,D,1,6.75,,BHA,False,6.75,200,210,0,2,0,0,2,-0.5,0,0,0,1,0.25,0,0,4.0,0,0,0,-2,0,Luton Town,19%,1,90
Issa Kabore,LUT,D,1,6.5,,BHA,False,6.5,200,197,0,0,7,0,1,-0.5,0,0,0,1,0.0,0,0,0.0,0,0,0,-2,0,Luton Town,39%,1,84
Ryan Christie,BOU,M,1,6.5,,WHU,True,6.5,133,76,0,2,6,0,0,-1.5,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,Bournemouth,34%,1,81
Tyrick Mitchell,CRY,D,1,6.5,,SHU,False,6.5,200,121,0,0,0,0,1,-0.5,-2,0,0,0,1.0,0,1,0.0,0,0,0,0,6,Crystal Palace,32%,1,90
Marvelous Nakamba,LUT,M,1,6.5,,BHA,False,6.5,200,122,0,0,0,0,4,-0.0,0,0,0,1,0.0,1,0,0.5,0,0,0,0,0,Luton Town,29%,1,90
Scott McTominay,MUN,M,1,6.5,,WOL,True,6.5,200,262,0,0,0,2,2,-0.5,0,0,0,2,0.0,0,0,0.0,0,0,0,0,1,Manchester Utd,2%,1,90
Joel Ward,CRY,D,1,6.25,,SHU,False,6.25,200,154,0,0,0,0,0,-0.0,0,0,0,0,0.25,0,0,0.0,0,0,0,0,6,Crystal Palace,10%,1,90
Gabriel Jesus,ARS,F,1,6.0,,,,6.0,14,128,0,0,0,2,2,-2.5,0,0,0,1,0.0,3,0,0.5,0,0,0,0,0,,100%,1,76
Sandro Tonali,NEW,M,1,6.0,,AVL,True,6.0,200,146,0,4,0,0,1,-0.0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,Newcastle Utd,88%,1,19
Jeremy Doku,MCI,F,1,6.0,,,,6.0,57,80,0,2,0,0,1,-0.0,0,0,0,0,0.0,3,0,0.0,0,0,0,0,0,,82%,1,50
