Player,Team,Position,GW,FPts,started,Opponent,Home,FP/G,ROS Rank,RkOv,G,KP,AT,SOT,TkW,DIS,YC,RC,ACNC,Int,CLR,CoS,BS,AER,PKM,PKD,OG,GAO,CS,Team_long,Ros %,GP,Min
Kyle Walker,MCI,D,6,16.5,,NOT,True,16.5,200,79,0,2,7,0,0,-0.0,0,0,0,0,0.5,0,0,1.0,0,0,0,0,6,MCI,96%,1,90
Jarrod Bowen,WHU,M,6,16.0,,,,16.0,16,11,9,0,0,4,2,-1.5,0,0,0,1,0.0,1,0,0.5,0,0,0,0,0,,100%,1,90
Billy Gilmour,BHA,M,6,16.0,,,,16.0,200,69,0,8,6,0,3,-0.0,-2,0,0,0,0.0,1,0,0.0,0,0,0,0,0,,49%,1,90
Alfie Doughty,LUT,M,6,16.0,,WOL,True,16.0,96,92,0,10,0,0,0,-0.0,0,0,3,2,0.0,0,0,1.0,0,0,0,0,0,LUT,42%,1,71
Boubacar Kamara,AVL,M,6,16.0,,,,16.0,200,109,0,8,0,0,4,-0.0,0,0,0,2,0.0,1,0,0.0,0,0,0,0,1,,16%,1,88
Max Kilman,WOL,D,6,15.5,,LUT,False,15.5,200,159,0,0,0,2,1,-0.0,0,0,0,0,1.5,2,1,10.0,0,0,0,-2,0,WOL,23%,1,90
Pedro Neto,WOL,F,6,15.0,,LUT,False,15.0,20,7,9,2,0,2,0,-1.0,0,0,1,0,0.0,2,0,0.0,0,0,0,0,0,WOL,96%,1,90
Eberechi Eze,CRY,M,6,14.5,,FUL,True,14.5,6,12,0,6,0,2,0,-1.5,0,0,1,1,0.0,5,0,0.0,0,0,0,0,1,CRY,100%,1,90
Darwin Nunez,LIV,F,6,14.5,,,,14.5,23,70,9,0,0,4,0,-1.0,0,0,0,0,0.0,1,1,0.5,0,0,0,0,0,,100%,1,80
Timothy Castagne,FUL,D,6,14.5,,CRY,False,14.5,144,180,0,2,0,2,1,-0.0,0,0,0,0,0.5,1,1,1.0,0,0,0,0,6,FUL,42%,1,90
Abdoulaye Doucoure,EVE,M,6,14.0,,BRF,False,14.0,46,23,9,2,0,2,0,-1.0,0,0,0,1,0.0,0,0,1.0,0,0,0,0,0,EVE,91%,1,90
Miguel Almiron,NEW,M,6,13.5,,,,13.5,69,96,9,0,0,2,0,-0.5,0,0,0,1,0.0,1,0,0.0,0,0,0,0,1,,95%,1,69
Ezri Konsa,AVL,D,6,13.5,,,,13.5,200,192,0,0,0,0,1,-0.0,0,0,0,1,1.5,0,2,2.0,0,0,0,0,6,,19%,1,90
Ollie Watkins,AVL,F,6,13.0,,,,13.0,21,3,9,2,0,2,0,-0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,100%,1,88
Dwight McNeil,EVE,M,6,13.0,,BRF,False,13.0,32,216,0,2,6,2,0,-1.0,0,0,2,2,0.0,0,0,0.0,0,0,0,0,0,EVE,81%,1,90
Andrew Robertson,LIV,D,6,12.75,,,,12.75,48,30,0,10,0,0,0,-0.0,0,0,1,0,0.75,0,1,2.0,0,0,0,-2,0,,100%,1,90
Pervis Estupinan,BHA,D,6,12.5,,,,12.5,33,53,0,2,7,0,0,-0.0,0,0,1,1,0.5,0,1,2.0,0,0,0,-2,0,,100%,1,90
Mathias Jensen,BRF,M,6,12.5,,EVE,True,12.5,54,21,9,0,0,2,2,-0.5,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,BRF,97%,1,90
Alexis Mac Allister,LIV,M,6,12.5,,,,12.5,76,188,0,4,6,0,0,-1.0,0,0,0,1,0.0,2,0,0.5,0,0,0,0,0,,95%,1,87
Dominic Solanke,BOU,F,6,12.5,,,,12.5,61,36,9,0,0,4,0,-1.0,0,0,0,0,0.0,0,0,0.5,0,0,0,0,0,,94%,1,90
Diogo Dalot,MUN,D,6,12.5,,BUR,False,12.5,50,196,0,4,0,0,2,-0.0,-2,0,2,0,0.5,0,0,0.0,0,0,0,0,6,MUN,84%,1,90
Pau Torres,AVL,D,6,12.5,,,,12.5,200,209,0,2,0,0,2,-0.0,0,0,0,0,0.5,1,0,1.0,0,0,0,0,6,,58%,1,90
Marc Guehi,CRY,D,6,12.5,,FUL,True,12.5,200,99,0,0,0,0,1,-0.0,0,0,0,0,1.5,1,0,3.0,0,0,0,0,6,CRY,50%,1,90
Josko Gvardiol,MCI,D,6,12.25,,NOT,True,12.25,200,141,0,0,0,0,0,-0.0,0,0,0,2,1.25,1,1,1.0,0,0,0,0,6,MCI,82%,1,90
Joachim Andersen,CRY,D,6,12.0,,FUL,True,12.0,71,9,0,0,0,0,1,-0.0,0,0,0,0,1.0,1,0,3.0,0,0,0,0,6,CRY,92%,1,90
Matheus Nunes,MCI,M,6,12.0,,NOT,True,12.0,149,167,0,2,6,0,1,-0.5,0,0,1,0,0.0,0,1,0.5,0,0,0,0,1,MCI,78%,1,90
Issa Diop,FUL,D,6,12.0,,CRY,False,12.0,200,220,0,0,0,0,0,-0.0,0,0,0,1,1.0,0,0,4.0,0,0,0,0,6,FUL,12%,1,90
Vitaly Janelt,BRF,M,6,12.0,,EVE,True,12.0,200,130,0,2,6,0,2,-0.0,0,0,0,1,0.0,0,0,1.0,0,0,0,0,0,BRF,10%,1,60
Erling Haaland,MCI,F,6,11.5,,NOT,True,11.5,1,2,9,0,0,2,0,-0.5,0,0,0,0,0.0,0,0,1.0,0,0,0,0,0,MCI,100%,1,90
Alexander Isak,NEW,F,6,11.5,,,,11.5,29,38,9,0,0,2,0,-0.5,0,0,0,0,0.0,1,0,0.0,0,0,0,0,0,,100%,1,19
Matty Cash,AVL,D,6,11.5,,,,11.5,79,66,0,0,0,4,0,-0.0,0,0,0,1,0.5,0,0,0.0,0,0,0,0,6,,96%,1,90
James Ward-Prowse,WHU,M,6,11.5,,,,11.5,17,13,0,6,0,0,2,-0.5,0,0,2,2,0.0,0,0,0.0,0,0,0,0,0,,85%,1,90
Dominic Calvert-Lewin,EVE,F,6,11.5,,BRF,False,11.5,73,156,9,0,0,2,0,-0.5,0,0,0,0,0.0,0,1,0.0,0,0,0,0,0,EVE,72%,1,26
Fabian Schar,NEW,D,6,11.0,,,,11.0,47,127,0,0,0,0,1,-0.0,0,0,0,1,0.0,2,1,0.0,0,0,0,0,6,,93%,1,90
Lucas Paqueta,WHU,M,6,10.5,,,,10.5,37,40,0,2,0,0,2,-1.0,0,0,0,1,0.0,6,0,0.5,0,0,0,0,0,,100%,1,86
Diogo Jota,LIV,F,6,10.5,,,,10.5,41,91,9,0,0,2,0,-0.5,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,98%,1,8
Lucas Digne,AVL,D,6,10.5,,,,10.5,118,35,0,0,0,2,2,-0.5,-2,0,0,3,0.0,0,0,0.0,0,0,0,0,6,,90%,1,90
Vladimir Coufal,WHU,D,6,10.25,,,,10.25,137,32,0,4,7,0,2,-0.5,0,0,1,1,0.75,0,0,1.0,0,0,0,-6,0,,74%,1,90
Tomas Soucek,WHU,M,6,10.0,,,,10.0,104,39,0,2,0,2,1,-0.0,0,0,1,0,0.0,0,3,1.0,0,0,0,0,0,,85%,1,73
Harrison Reed,FUL,M,6,10.0,,CRY,False,10.0,200,152,0,4,0,0,2,-0.5,0,0,1,1,0.0,0,1,0.5,0,0,0,0,1,FUL,8%,1,90
Will Hughes,CRY,M,6,10.0,,FUL,True,10.0,200,222,0,2,0,2,3,-2.0,0,0,0,2,0.0,2,0,0.0,0,0,0,0,1,CRY,2%,1,90
Dominik Szoboszlai,LIV,M,6,9.5,,,,9.5,27,26,0,8,0,0,1,-0.5,0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,,100%,1,90
Ben White,ARS,D,6,9.5,,,,9.5,116,27,0,0,7,2,0,-0.5,0,0,1,2,1.0,0,1,0.0,0,0,0,-4,0,,98%,1,90
Conor Gallagher,CHE,M,6,9.5,,,,9.5,150,108,0,2,0,0,3,-0.0,0,0,0,2,0.0,2,0,0.5,0,0,0,0,0,,77%,1,90
Marcus Tavernier,BOU,M,6,9.5,,,,9.5,82,162,0,2,0,0,1,-0.5,0,0,0,2,0.0,4,1,0.0,0,0,0,0,0,,54%,1,62
Chiedozie Ogbene,LUT,F,6,9.5,,WOL,True,9.5,200,242,0,8,0,0,0,-0.5,0,0,0,0,0.0,2,0,0.0,0,0,0,0,0,LUT,6%,1,90
Casemiro,MUN,M,6,9.0,,BUR,False,9.0,65,71,0,4,0,0,2,-0.5,0,0,0,1,0.0,0,1,0.5,0,0,0,0,1,MUN,98%,1,90
Simon Adingra,BHA,F,6,9.0,,,,9.0,200,111,0,4,0,0,0,-0.5,0,0,1,2,0.0,2,0,0.5,0,0,0,0,0,,36%,1,86
Aaron Ramsey,BUR,M,6,9.0,,MUN,True,9.0,200,307,0,2,0,2,3,-0.0,0,0,0,0,0.0,1,0,1.0,0,0,0,0,0,BUR,17%,1,72
Mahmoud Dahoud,BHA,M,6,9.0,,,,9.0,200,232,0,2,6,0,1,-0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,16%,1,73
Ruben Dias,MCI,D,6,8.75,,NOT,True,8.75,200,176,0,0,0,0,0,-0.5,0,0,0,1,1.25,0,1,0.0,0,0,0,0,6,MCI,96%,1,90
Willy Boly,NOT,D,6,8.5,,MCI,False,8.5,111,42,0,2,0,2,2,-0.0,0,0,0,1,1.5,0,2,2.0,0,0,0,-4,0,NOT,73%,1,90
Josh Brownhill,BUR,M,6,8.5,,MUN,True,8.5,124,169,0,6,0,0,2,-0.0,0,0,0,0,0.0,0,0,0.5,0,0,0,0,0,BUR,57%,1,85
Beto,EVE,F,6,8.5,,BRF,False,8.5,106,200,0,2,0,2,1,-1.0,0,0,0,0,0.0,0,0,4.5,0,0,0,0,0,EVE,41%,1,62
Amari'i Bell,LUT,D,6,8.5,,WOL,True,8.5,200,297,0,2,0,0,2,-0.5,0,0,0,2,0.0,3,0,2.0,0,0,0,-2,0,LUT,13%,1,90
Joseph Gomez,LIV,D,6,8.25,,,,8.25,200,145,0,2,0,0,2,-0.0,0,0,0,2,0.25,2,0,2.0,0,0,0,-2,0,,34%,1,90
Josh Cullen,BUR,M,6,8.0,,MUN,True,8.0,200,177,0,6,0,0,0,-0.5,0,0,0,1,0.0,0,1,0.5,0,0,0,0,0,BUR,14%,1,90
Hannibal Mejbri,MUN,M,6,8.0,,BUR,False,8.0,200,230,0,4,0,0,2,-0.5,0,0,0,0,0.0,0,1,0.5,0,0,0,0,1,MUN,11%,1,90
Christian Norgaard,BRF,M,6,7.5,,EVE,True,7.5,123,56,0,0,0,0,4,-0.0,0,0,0,1,0.0,0,1,1.5,0,0,0,0,0,BRF,55%,1,90
Victor Lindelof,MUN,D,6,7.5,,BUR,False,7.5,200,264,0,0,0,0,1,-0.0,0,0,0,0,0.5,0,0,0.0,0,0,0,0,6,MUN,11%,1,90
Thiago Silva,CHE,D,6,7.25,,,,7.25,95,90,0,4,0,0,0,-0.0,0,0,0,1,2.25,1,1,0.0,0,0,0,-2,0,,91%,1,90
Marcus Rashford,MUN,F,6,7.0,,BUR,False,7.0,22,41,0,4,0,0,1,-1.0,0,0,0,0,0.0,2,0,1.0,0,0,0,0,0,MUN,100%,1,90
Dejan Kulusevski,TOT,M,6,7.0,,,,7.0,28,19,0,6,0,0,1,-1.0,0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,,100%,1,90
Bryan Mbeumo,BRF,F,6,7.0,,EVE,True,7.0,25,22,0,2,0,2,1,-0.5,-2,0,2,0,0.0,2,0,0.5,0,0,0,0,0,BRF,100%,1,90
Mykhailo Mudryk,CHE,M,6,7.0,,,,7.0,109,214,0,2,0,0,2,-0.0,0,0,0,0,0.0,2,0,0.0,0,0,0,0,1,,79%,1,60
Vitalii Mykolenko,EVE,D,6,7.0,,,,7.0,200,215,0,0,0,2,2,-1.0,0,0,0,1,1.0,2,0,2.0,0,0,0,-2,0,,12%,1,90
Levi Colwill,CHE,D,6,6.75,,,,6.75,200,114,0,0,0,0,2,-0.0,0,0,0,0,0.75,1,2,3.0,0,0,0,-2,0,,89%,1,90
Tom Lockyer,LUT,D,6,6.75,,WOL,True,6.75,200,210,0,2,0,0,2,-0.5,0,0,0,1,0.25,0,0,4.0,0,0,0,-2,0,LUT,19%,1,90
Issa Kabore,LUT,D,6,6.5,,WOL,True,6.5,200,197,0,0,7,0,1,-0.5,0,0,0,1,0.0,0,0,0.0,0,0,0,-2,0,LUT,39%,1,84
Ryan Christie,BOU,M,6,6.5,,,,6.5,133,76,0,2,6,0,0,-1.5,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,34%,1,81
Tyrick Mitchell,CRY,D,6,6.5,,FUL,True,6.5,200,121,0,0,0,0,1,-0.5,-2,0,0,0,1.0,0,1,0.0,0,0,0,0,6,CRY,32%,1,90
Marvelous Nakamba,LUT,M,6,6.5,,WOL,True,6.5,200,122,0,0,0,0,4,-0.0,0,0,0,1,0.0,1,0,0.5,0,0,0,0,0,LUT,29%,1,90
Scott McTominay,MUN,M,6,6.5,,BUR,False,6.5,200,262,0,0,0,2,2,-0.5,0,0,0,2,0.0,0,0,0.0,0,0,0,0,1,MUN,2%,1,90
Joel Ward,CRY,D,6,6.25,,FUL,True,6.25,200,154,0,0,0,0,0,-0.0,0,0,0,0,0.25,0,0,0.0,0,0,0,0,6,CRY,10%,1,90
Gabriel Jesus,ARS,F,6,6.0,,,,6.0,14,128,0,0,0,2,2,-2.5,0,0,0,1,0.0,3,0,0.5,0,0,0,0,0,,100%,1,76
Sandro Tonali,NEW,M,6,6.0,,,,6.0,200,146,0,4,0,0,1,-0.0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,,88%,1,19
Jeremy Doku,MCI,F,6,6.0,,NOT,True,6.0,57,80,0,2,0,0,1,-0.0,0,0,0,0,0.0,3,0,0.0,0,0,0,0,0,MCI,82%,1,50
Anthony Elanga,NOT,F,6,6.0,,MCI,False,6.0,135,103,0,2,0,4,0,-0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,NOT,44%,1,33
Nicolo Zaniolo,AVL,M,6,6.0,,,,6.0,200,236,0,0,0,2,0,-1.5,0,0,0,0,0.0,4,0,0.5,0,0,0,0,1,,38%,1,74
Tim Ream,FUL,D,6,6.0,,CRY,False,6.0,200,168,0,0,0,0,1,-0.0,-2,0,0,0,1.0,0,0,0.0,0,0,0,0,6,FUL,29%,1,90
Idrissa Gueye,EVE,M,6,6.0,,,,6.0,200,171,0,6,0,0,0,-1.0,0,0,0,0,0.0,1,0,0.0,0,0,0,0,0,,7%,1,90
Lewis Cook,BOU,M,6,6.0,,,,6.0,200,149,0,4,0,0,0,-0.0,0,0,0,0,0.0,1,1,0.0,0,0,0,0,0,,2%,1,90
Manuel Akanji,MCI,D,6,5.75,,NOT,True,5.75,200,106,0,0,0,0,0,-0.5,-2,0,0,1,0.25,0,1,0.0,0,0,0,0,6,MCI,97%,1,90
Joel Matip,LIV,D,6,5.75,,,,5.75,200,189,0,0,0,0,1,-0.5,0,0,0,2,1.25,0,0,4.0,0,0,0,-2,0,,22%,1,90
Ameen Al Dakhil,BUR,D,6,5.75,,,,5.75,200,726,0,2,0,0,0,-0.0,0,0,0,2,0.75,0,0,3.0,0,0,0,-2,0,,3%,1,90
Ethan Pinnock,BRF,D,6,5.5,,EVE,True,5.5,40,58,0,0,0,0,1,-0.0,0,0,0,3,1.5,0,0,6.0,0,0,0,-6,0,BRF,97%,1,90
Joao Pedro,BHA,F,6,5.5,,,,5.5,51,43,0,2,0,0,0,-1.0,0,0,0,0,0.0,4,0,0.5,0,0,0,0,0,,95%,1,26
Willian,FUL,F,6,5.5,,CRY,False,5.5,78,204,0,0,0,4,0,-0.5,0,0,0,0,0.0,2,0,0.0,0,0,0,0,0,FUL,54%,1,90
Amadou Onana,EVE,M,6,5.5,,BRF,False,5.5,200,104,0,0,0,0,3,-0.5,0,0,0,1,0.0,0,0,2.0,0,0,0,0,0,EVE,28%,1,76
Julian Alvarez,MCI,F,6,5.0,,NOT,True,5.0,13,6,0,0,0,4,1,-0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,MCI,100%,1,56
Luis Diaz,LIV,F,6,5.0,,,,5.0,30,86,0,4,0,0,1,-1.0,0,0,0,0,0.0,1,0,0.0,0,0,0,0,0,,100%,1,80
Andreas Pereira,FUL,M,6,5.0,,CRY,False,5.0,67,132,0,2,0,2,0,-1.0,0,0,0,0,0.0,0,0,1.0,0,0,0,0,1,FUL,89%,1,74
Brennan Johnson,TOT,F,6,5.0,,,,5.0,89,259,0,0,0,4,0,-0.5,0,0,0,1,0.0,0,0,0.5,0,0,0,0,0,,72%,1,62
Zeki Amdouni,BUR,F,6,5.0,,MUN,True,5.0,200,139,0,2,0,2,0,-0.0,0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,BUR,35%,1,72
Sergio Reguilon,MUN,D,6,5.0,,BUR,False,5.0,125,328,0,0,0,0,0,-0.5,-2,0,0,1,0.5,0,0,0.0,0,0,0,0,6,MUN,34%,1,78
Joel Veltman,BHA,D,6,5.0,,,,5.0,200,217,0,0,0,0,5,-0.5,-2,0,0,2,0.5,0,0,2.0,0,0,0,-2,0,,25%,1,90
Curtis Jones,LIV,M,6,5.0,,,,5.0,200,386,0,0,0,2,3,-1.5,0,0,0,0,0.0,1,0,0.5,0,0,0,0,0,,21%,1,76
Edson Alvarez,WHU,M,6,5.0,,,,5.0,200,240,0,0,0,0,4,-0.0,-2,0,0,0,0.0,2,0,1.0,0,0,0,0,0,,16%,1,90
James Mcatee,SHU,M,6,5.0,,,,5.0,200,295,0,4,0,0,0,-1.0,0,0,1,0,0.0,1,0,0.0,0,0,0,0,0,,6%,1,74
Gonzalo Montiel,NOT,D,6,5.0,,MCI,False,5.0,200,348,0,4,0,0,1,-0.0,-2,0,0,1,0.0,0,0,1.0,0,0,0,0,0,NOT,3%,1,50
Benie Traore,SHU,F,6,5.0,,,,5.0,200,257,0,2,0,0,1,-1.0,0,0,0,0,0.0,2,1,0.0,0,0,0,0,0,,3%,1,45
Martin Odegaard,ARS,M,6,4.5,,,,4.5,15,18,0,6,0,2,0,-1.5,-2,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,100%,1,90
Raheem Sterling,CHE,F,6,4.5,,,,4.5,34,52,0,0,0,2,1,-1.0,0,0,0,0,0.0,2,0,0.5,0,0,0,0,0,,100%,1,90
Moises Caicedo,CHE,M,6,4.5,,,,4.5,200,251,0,0,0,2,1,-0.0,0,0,0,0,0.0,0,0,1.5,0,0,0,0,0,,69%,1,78
Joao Palhinha,FUL,M,6,4.5,,CRY,False,4.5,200,207,0,0,0,0,2,-1.5,-2,0,0,2,0.0,1,0,2.0,0,0,0,0,1,FUL,47%,1,90
Raul Jimenez,FUL,F,6,4.5,,CRY,False,4.5,200,226,0,2,0,2,0,-0.5,0,0,0,0,0.0,0,0,1.0,0,0,0,0,0,FUL,33%,1,78
Jeffrey Schlupp,CRY,M,6,4.5,,FUL,True,4.5,138,118,0,2,0,0,0,-1.5,0,0,0,0,0.0,1,1,1.0,0,0,0,0,1,CRY,31%,1,69
Antoine Semenyo,BOU,F,6,4.5,,,,4.5,200,161,0,0,0,4,0,-2.5,0,0,0,0,0.0,3,0,0.0,0,0,0,0,0,,14%,1,25
Jacob Brown,LUT,F,6,4.5,,WOL,True,4.5,200,205,0,2,0,2,0,-1.0,0,0,0,0,0.0,0,0,1.5,0,0,0,0,0,LUT,12%,1,71
Joao Gomes,WOL,M,6,4.5,,LUT,False,4.5,200,151,0,0,6,0,0,-0.5,-2,0,0,0,0.0,0,0,1.0,0,0,0,0,0,WOL,10%,1,88
Charlie Taylor,BUR,D,6,4.5,,MUN,True,4.5,200,341,0,0,0,0,0,-0.0,0,0,1,2,0.5,0,1,2.0,0,0,0,-2,0,BUR,4%,1,90
Rayan Ait-Nouri,WOL,D,6,4.25,,,,4.25,200,250,0,0,0,0,1,-1.0,0,0,0,1,0.25,1,1,1.0,0,0,0,0,0,,3%,1,45
Nathan Ake,MCI,D,6,4.0,,NOT,True,4.0,200,133,0,2,0,0,0,-0.0,0,0,0,0,0.0,0,0,2.0,0,0,0,0,0,MCI,94%,1,32
Lewis Dunk,BHA,D,6,4.0,,,,4.0,200,309,0,0,0,0,0,-0.0,-2,0,0,2,0.0,0,4,2.0,0,0,0,-2,0,,49%,1,90
Harry Wilson,FUL,M,6,4.0,,CRY,False,4.0,200,198,0,0,0,0,2,-0.0,0,0,0,1,0.0,1,0,0.0,0,0,0,0,0,FUL,48%,1,10
Cheick Doucoure,CRY,M,6,4.0,,FUL,True,4.0,200,101,0,0,0,0,1,-0.0,-2,0,0,2,0.0,2,0,0.0,0,0,0,0,1,CRY,33%,1,90
Dango Ouattara,BOU,F,6,4.0,,,,4.0,119,273,0,2,0,0,0,-0.0,0,0,0,0,0.0,2,0,0.0,0,0,0,0,0,,27%,1,26
Jarrad Branthwaite,EVE,D,6,4.0,,BRF,False,4.0,200,191,0,0,0,0,1,-0.0,-2,0,1,2,1.0,0,1,2.0,0,0,0,-2,0,EVE,15%,1,90
Benson Manuel,BUR,F,6,4.0,,MUN,True,4.0,200,318,0,0,0,2,1,-0.0,0,0,0,0,0.0,1,0,0.0,0,0,0,0,0,BUR,11%,1,3
Nicolas Dominguez,NOT,M,6,4.0,,MCI,False,4.0,200,221,0,0,0,0,3,-0.0,0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,NOT,3%,1,90
Lloyd Kelly,BOU,D,6,4.0,,,,4.0,200,243,0,4,0,0,1,-0.0,0,0,0,2,1.0,0,2,0.0,0,0,0,-6,0,,1%,1,82
Jacob Bruun Larsen,BUR,F,6,4.0,,MUN,True,4.0,200,298,0,0,0,2,0,-0.0,0,0,0,0,0.0,2,0,0.0,0,0,0,0,0,BUR,0%,1,16
Evan Ferguson,BHA,F,6,3.5,,,,3.5,56,51,0,2,0,2,0,-0.5,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,99%,1,45
Moussa Diaby,AVL,F,6,3.5,,,,3.5,31,20,0,2,0,2,0,-0.5,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,97%,1,80
Douglas Luiz,AVL,M,6,3.5,,,,3.5,75,48,0,0,0,0,1,-0.5,-2,0,0,1,0.0,1,1,1.0,0,0,0,0,1,,97%,1,90
Nicolas Jackson,CHE,F,6,3.5,,,,3.5,52,125,0,2,0,2,1,-0.5,-2,0,0,0,0.0,0,0,1.0,0,0,0,0,0,,94%,1,67
John McGinn,AVL,M,6,3.5,,,,3.5,200,87,0,0,0,0,1,-0.5,0,0,0,1,0.0,1,0,0.0,0,0,0,0,1,,64%,1,74
Jacob Ramsey,AVL,M,6,3.5,,,,3.5,92,248,0,0,0,2,2,-0.5,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,64%,1,14
Vinicius de Souza Costa,SHU,M,6,3.5,,,,3.5,200,157,0,0,0,2,1,-1.0,0,0,0,0,0.0,0,1,0.5,0,0,0,0,0,,3%,1,90
Lesley Ugochukwu,CHE,F,6,3.5,,,,3.5,200,301,0,0,0,0,3,-0.5,0,0,0,0,0.0,1,0,0.0,0,0,0,0,0,,2%,1,21
Gabriel Magalhaes,ARS,D,6,3.25,,,,3.25,121,148,0,0,0,0,0,-0.0,0,0,0,3,0.25,0,0,4.0,0,0,0,-4,0,,87%,1,90
Axel Disasi,CHE,D,6,3.25,,,,3.25,128,94,0,2,0,0,0,-0.0,0,0,0,0,0.25,0,1,2.0,0,0,0,-2,0,,79%,1,90
Adam Webster,BHA,D,6,3.25,,,,3.25,200,389,0,0,0,0,2,-0.0,0,0,0,0,1.25,0,0,2.0,0,0,0,-2,0,,6%,1,90
Cody Gakpo,LIV,F,6,3.0,,,,3.0,59,102,0,0,0,2,0,-0.0,0,0,0,0,0.0,0,0,1.0,0,0,0,0,0,,95%,1,8
