Player,Team,Position,GW,FPts,started,Opponent,Home,FP/G,ROS Rank,RkOv,G,KP,AT,SOT,TkW,DIS,YC,RC,ACNC,Int,CLR,CoS,BS,AER,PKM,PKD,OG,GAO,CS,Team_long,Ros %,GP,Min,FPts/Start
Hwang Hee-Chan,WOL,F,1,11.0,,,,11.0,200,72,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,28%,1,59,inf
Jacob Brown,LUT,F,1,11.0,0.0,BHA,False,11.0,200,205,0,2,0,0,3,2,0,0,1,2,1,1,0,2,0,0,0,1,0,Luton Town,12%,1,73,inf
Hannibal Mejbri,MUN,M,1,11.0,,,,11.0,200,230,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,,11%,1,25,inf
Tim Ream,FUL,D,1,10.75,1.0,EVE,False,10.75,200,168,0,0,0,0,2,0,0,0,0,0,3,0,0,2,0,0,0,0,1,Fulham,29%,1,90,4.9
Martin Odegaard,ARS,M,1,10.5,1.0,NOT,True,10.5,15,18,0,3,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,Arsenal,100%,1,90,9.2
Moussa Diaby,AVL,F,1,10.5,1.0,NEW,False,10.5,31,20,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Aston Villa,97%,1,90,11.0
Anthony Gordon,NEW,M,1,10.5,1.0,AVL,True,10.5,63,16,0,0,1,0,2,3,1,0,1,0,1,2,0,0,0,1,0,0,1,Newcastle Utd,96%,1,90,13.0
Malo Gusto,CHE,D,1,10.5,0.0,LIV,True,10.5,200,124,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,Chelsea,55%,1,90,inf
Carlos Vinicius,FUL,F,1,10.5,,,,10.5,200,289,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,9%,1,27,inf
Marcus Rashford,MUN,F,1,10.0,1.0,WOL,True,10.0,22,41,0,1,0,2,0,2,0,0,0,0,0,5,0,0,0,0,0,3,0,Manchester Utd,100%,1,90,10.3
Yves Bissouma,TOT,M,1,10.0,1.0,BRF,False,10.0,68,74,0,3,0,1,1,5,1,0,0,1,0,4,0,1,0,0,0,1,0,Tottenham,81%,1,90,8.7
Jack Robinson,SHU,D,1,9.75,1.0,CRY,True,9.75,200,288,0,1,1,0,1,0,1,0,0,0,3,1,3,1,0,0,0,2,0,Sheffield Utd,2%,1,90,0.5
William Saliba,ARS,D,1,9.5,1.0,NOT,True,9.5,108,98,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,Arsenal,98%,1,90,6.4
Oleksandr Zinchenko,ARS,D,1,9.5,,,,9.5,130,158,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,95%,1,79,inf
Pape Sarr,TOT,M,1,9.5,,,,9.5,115,65,0,2,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,,76%,1,79,inf
Marcus Tavernier,BOU,M,1,9.5,,,,9.5,82,162,0,1,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,,54%,1,72,inf
Scott McKenna,NOT,D,1,9.25,1.0,ARS,False,9.25,200,138,0,1,0,0,0,0,0,0,0,1,5,0,1,6,0,0,0,1,0,Nott'ham Forest,13%,1,90,5.9
Jayden Bogle,SHU,D,1,9.25,,,,9.25,200,234,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,,6%,1,85,inf
Declan Rice,ARS,M,1,9.0,1.0,NOT,True,9.0,66,67,0,1,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,1,Arsenal,98%,1,90,8.0
Callum Wilson,NEW,F,1,9.0,0.0,AVL,True,9.0,55,61,1,0,0,1,0,7,1,0,0,0,1,3,0,1,0,0,0,0,1,Newcastle Utd,97%,1,90,inf
Abdoulaye Doucoure,EVE,M,1,9.0,1.0,FUL,True,9.0,46,23,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Everton,91%,1,79,10.8
Andreas Pereira,FUL,M,1,9.0,0.0,EVE,False,9.0,67,132,0,4,0,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,1,Fulham,89%,1,80,inf
