"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*04yo7*","Youri Tielemans","AVL","M","309","W (Thu)","WHU 1<br/>@AVL 4 F","9","9","98%","86.05","31%","-1.4%","1","4","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03amm*","Reece Burke","LUT","D","144","W (Thu)","LUT 2<br/>@NOT 2 F","9","9","0%","1177.68","4%","+2.4%","1","54","0","1","0","0","0","0","0","0","1","2","4","0","0","5","0","0","0","1","0"
"*05trk*","Saman Ghoddos","BRF","F","279","W (Thu)","BUR 0<br/>@BRF 3 F","9","9","0%","-","0%","0%","1","5","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"*04yey*","Max Kilman","WOL","D","140","W (Thu)","WOL 2<br/>@BOU 1 F","8.75","8.75","19%","216.15","29%","+5.8%","1","90","0","1","0","0","0","1","1","0","1","3","5","0","1","5","0","0","0","1","0"
"*03gu4*","Harry Maguire","MUN","D","260","Vroom","MUN 2<br/>@SHU 1 F","8.5","8.5","27%","140.92","16%","+8.3%","1","90","0","0","0","0","1","0","0","0","0","1","2","0","3","5","0","0","0","1","0"
"*04fk8*","Victor Lindelof","MUN","D","243","Kish123","MUN 2<br/>@SHU 1 F","8.25","8.25","1%","1111.92","15%","+3.6%","1","90","0","1","1","0","0","1","0","0","0","1","3","0","0","0","0","0","0","1","0"
"*062ci*","Kaoru Mitoma","BHA","M","17","Kish123","BHA 1<br/>@MCI 2 F","8","8","100%","19.36","100%","0%","1","90","0","0","0","2","0","1","0","0","0","0","0","4","0","1","0","0","0","2","0"
"*04io4*","Richarlison","TOT","F","89","Kish123","FUL 0<br/>@TOT 2 F","8","8","98%","80.14","96%","-0.6%","1","80","0","1","1","0","1","4","0","0","0","1","2","0","0","0","0","0","0","0","1"
"*06fxe*","Ryan Gravenberch","LIV","M","287","Adam","EVE 0<br/>@LIV 2 F","8","8","0%","-","46%","+11.4%","1","61","0","1","0","0","1","0","0","0","0","3","0","1","0","0","0","0","0","0","1"
"*06ezb*","Micky van de Ven","TOT","D","90","W (Thu)","FUL 0<br/>@TOT 2 F","7.75","7.75","17%","221.93","75%","+7.9%","1","90","0","0","0","0","0","1","0","0","0","1","5","0","0","0","0","0","0","0","1"
"*03rvw*","Harry Toffolo","NOT","D","198","XXX","LUT 2<br/>@NOT 2 F","7.75","7.75","0%","-","32%","+28.8%","1","90","0","1","0","1","0","0","0","0","1","4","3","0","1","1","0","0","0","2","0"
