"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","GS","Min","G","KP","AT","SOT","TkW","YC","RC","Pen","ACNC","Int","CLR","BS","DW","DL","LBA","PKM","PKD","OG","GAO","CS"
"*06clt*","Justin Kluivert","BOU","M","252","W (Tue)","BOU 3<br/>@SHU 1 F","19.75","19.75","72%","128.61","28%","-4.5%","1","1","65","1","2","0","3","1","0","0","0","0","0","0","0","5","5","0","0","0","0","0","1"
"*038ze*","Alex Iwobi","FUL","M","118","chukdave","WOL 2<br/>@FUL 3 F","19","19","94%","95.62","75%","+9.5%","1","1","90","1","0","0","3","1","0","0","0","1","1","1","0","2","2","3","0","0","0","2","0"
"*0574a*","Giovani Lo Celso","TOT","M","241","Sean","AVL 2<br/>@TOT 1 F","18.25","18.25","17%","225.52","57%","+1%","1","1","85","1","3","0","1","1","0","0","0","0","1","0","0","7","6","3","0","0","0","2","0"
"*05afe*","Teden Mengi","LUT","D","219","FA","CRY 1<br/>@LUT 2 F","18","18","0%","1125.7","1%","+0.1%","1","1","90","1","0","0","1","2","0","0","0","0","1","10","1","4","4","2","0","0","0","1","0"
"*03ybi*","Marcus Rashford","MUN","F","126","Boss","MUN 3<br/>@EVE 0 F","17.5","17.5","100%","7.82","99%","-0.2%","1","1","90","1","2","0","1","2","0","0","0","2","0","2","0","5","7","1","0","0","0","0","1"
"*06crm*","Pau Torres","AVL","D","102","W (Tue)","AVL 2<br/>@TOT 1 F","17","17","93%","107.35","74%","+3.4%","1","1","90","1","0","0","1","1","0","0","0","0","1","2","1","6","1","1","0","0","0","1","0"
"*05gcr*","Bruno Fernandes","MUN","M","6","ZB","MUN 3<br/>@EVE 0 F","16.5","16.5","100%","3.53","100%","0%","1","1","90","0","3","1","0","1","0","0","0","0","2","1","0","4","2","5","0","0","0","0","1"
"*061vq*","Erling Haaland","MCI","F","1","TranzOTF","LIV 1<br/>@MCI 1 F","16.5","16.5","100%","1.12","100%","0%","1","1","90","1","0","0","2","1","0","0","0","0","0","2","0","6","2","0","0","0","0","1","0"
"*0477b*","Oliver McBurnie","SHU","F","232","W (Tue)","BOU 3<br/>@SHU 1 F","16.5","16.5","19%","213.42","20%","-0.6%","1","0","45","1","1","0","1","1","0","0","0","0","0","3","0","11","9","0","0","0","0","1","0"
"*04spp*","Douglas Luiz","AVL","M","7","draft","AVL 2<br/>@TOT 1 F","16.25","16.25","97%","92.31","100%","+0.1%","1","1","90","0","2","1","0","2","0","0","0","1","2","0","0","7","6","5","0","0","0","1","0"
"*0328q*","Tom Cairney","FUL","M","202","FA","WOL 2<br/>@FUL 3 F","16.25","16.25","0%","1180.6","7%","+3.8%","1","1","88","0","0","1","1","2","0","0","0","0","1","0","0","8","4","1","0","1","0","2","0"
"*04fk8*","Victor Lindelof","MUN","D","171","W (Tue)","MUN 3<br/>@EVE 0 F","16","16","1%","1111.92","16%","-7.2%","1","1","90","0","0","0","0","1","0","0","0","0","1","8","3","6","2","4","0","0","0","0","1"
"*051kz*","George Baldock","SHU","D","268","W (Tue)","BOU 3<br/>@SHU 1 F","15.25","15.25","5%","352.19","2%","-0.2%","1","1","90","0","3","1","0","3","1","0","0","2","3","5","1","5","4","0","0","0","0","3","0"
"*03srg*","Trent Alexander-Arnold","LIV","D","17","draft","LIV 1<br/>@MCI 1 F","15","15","100%","7.78","100%","0%","1","1","90","1","0","0","1","1","0","0","0","0","2","2","0","5","10","4","0","0","0","1","0"
"*04y92*","Bukayo Saka","ARS","M","3","chukdave","ARS 1<br/>@BRF 0 F","14.75","14.75","100%","4.26","100%","0%","1","1","88","0","5","1","0","1","0","0","0","1","1","0","0","2","7","0","0","0","0","0","1"
"*02oq3*","Jay Rodriguez","BUR","F","230","W (Tue)","WHU 2<br/>@BUR 1 F","14.5","14.5","2%","383.19","10%","-0.9%","1","1","90","1","1","0","1","2","0","0","0","0","0","0","0","8","10","0","0","0","0","2","0"
"*02lkp*","Raheem Sterling","CHE","F","29","Catts4En","CHE 1<br/>@NEW 4 F","14.25","14.25","100%","57.77","100%","0%","1","1","86","1","0","0","2","1","1","0","0","0","2","1","0","4","10","0","0","0","0","4","0"
"*05n07*","Pedro Porro","TOT","D","28","Bfred","AVL 2<br/>@TOT 1 F","14.25","14.25","100%","52.16","100%","0%","1","1","90","0","4","1","1","1","0","0","0","0","1","0","0","4","4","3","0","0","0","2","0"
"*0554i*","Joelinton","NEW","M","123","TranzOTF","CHE 1<br/>@NEW 4 F","14.25","14.25","100%","65.59","95%","-0.3%","1","1","90","1","0","0","1","4","1","0","0","0","1","0","0","9","14","1","0","0","0","1","0"
"*060wh*","Alejandro Garnacho","MUN","M","173","tottiand","MUN 3<br/>@EVE 0 F","14.25","14.25","85%","112.17","85%","+4.1%","1","1","71","1","0","0","1","0","0","0","0","0","0","2","0","6","5","0","0","0","0","0","1"
"*06fup*","Jeremy Doku","MCI","F","37","ZB","LIV 1<br/>@MCI 1 F","14.25","14.25","0%","1026.6","85%","+0.1%","1","1","90","0","4","0","0","3","0","0","0","1","0","1","0","18","7","1","0","0","0","1","0"
"*05w91*","Hwang Hee-Chan","WOL","F","25","Bfred","WOL 2<br/>@FUL 3 F","14.25","14.25","4%","383.53","84%","+0.5%","1","1","90","1","0","0","1","0","0","0","0","0","1","0","0","3","5","0","0","1","0","3","0"
"*044ej*","Johann Gudmundsson","BUR","M","185","Catts4En","WHU 2<br/>@BUR 1 F","14.25","14.25","9%","321.33","26%","+1.4%","1","1","84","0","4","0","1","0","0","0","0","2","2","1","0","5","2","4","0","0","0","0","1"
"*05gcp*","Tomas Soucek","WHU","M","44","Bfred","WHU 2<br/>@BUR 1 F","14","14","59%","136.67","90%","0%","1","1","90","1","0","0","2","0","0","0","0","0","0","1","0","3","3","0","0","0","0","1","0"
"*02y6o*","Nathan Ake","MCI","D","172","tottiand","LIV 1<br/>@MCI 1 F","14","14","84%","114.87","86%","+4.5%","1","1","90","0","1","1","0","1","0","0","0","0","1","5","0","7","1","0","0","0","0","1","0"
"*05vyj*","Evan Ferguson","BHA","F","90","Badger12","BHA 3<br/>@NOT 2 F","13.5","13.5","97%","79.62","97%","+0.8%","1","1","76","1","0","0","1","2","1","0","0","0","0","1","1","3","1","0","0","0","0","2","0"
"*068y0*","Antoine Semenyo","BOU","F","131","tottiand","BOU 3<br/>@SHU 1 F","13.25","13.25","0%","1069.48","45%","-0.4%","1","1","65","0","1","1","1","1","0","0","0","0","0","1","0","8","7","1","0","0","0","0","1"
"*03aqp*","Mohamed Salah","LIV","F","2","tottiand","LIV 1<br/>@MCI 1 F","13","13","100%","2.86","100%","0%","1","1","90","0","3","1","0","1","0","0","0","1","0","0","0","6","6","0","0","0","0","1","0"
"*05ocl*","Ollie Watkins","AVL","F","4","xxx","AVL 2<br/>@TOT 1 F","13","13","100%","19.8","100%","0%","1","1","88","1","1","0","1","0","1","0","0","0","1","1","0","5","7","0","0","0","0","1","0"
"*043c1*","Oleksandr Zinchenko","ARS","D","54","draft","ARS 1<br/>@BRF 0 F","13","13","99%","76.57","99%","+0.3%","1","1","90","0","2","0","0","0","0","0","0","1","1","1","1","3","3","4","0","0","0","0","1"
"*06f80*","Jacob Brown","LUT","F","194","FA","CRY 1<br/>@LUT 2 F","13","13","0%","1115.6","2%","-0.2%","1","0","10","1","0","0","1","0","0","0","0","0","1","1","0","4","5","0","0","0","0","0","0"
"*03rzp*","Antonee Robinson","FUL","D","68","TranzOTF","WOL 2<br/>@FUL 3 F","12.5","12.5","83%","116.11","87%","+1.8%","1","1","90","0","1","1","0","1","0","0","0","1","2","3","0","5","2","1","0","0","0","2","0"
"*067yz*","Matheus Cunha","WOL","F","19","chukdave","WOL 2<br/>@FUL 3 F","12.5","12.5","34%","147.15","86%","+0.9%","1","1","82","1","1","0","1","0","0","0","0","0","0","1","0","3","6","1","0","0","0","2","0"
"*06cm4*","Chiedozie Ogbene","LUT","F","155","FA","CRY 1<br/>@LUT 2 F","12.5","12.5","1%","1108.47","16%","-2.6%","1","1","90","0","1","1","0","0","0","0","0","1","1","2","0","6","4","0","0","0","0","1","0"
"*04yo6*","Miguel Almiron","NEW","M","151","xxx","CHE 1<br/>@NEW 4 F","12.25","12.25","100%","69.8","93%","-1.6%","1","1","86","0","3","1","0","1","0","0","0","0","0","0","0","5","5","2","0","0","0","1","0"
"*04mi4*","Callum Hudson-Odoi","NOT","F","271","draft","BHA 3<br/>@NOT 2 F","12.25","12.25","4%","375.49","13%","-7.4%","1","0","27","0","1","1","0","0","0","0","0","1","0","0","0","1","0","3","0","1","0","0","0"
"*06fxv*","Jean-Ricner Bellegarde","WOL","M","297","draft","WOL 2<br/>@FUL 3 F","12.25","12.25","0%","-","10%","-4.1%","1","1","61","0","2","1","0","1","0","0","0","1","1","0","0","3","3","0","0","0","0","2","0"
"*03gu4*","Harry Maguire","MUN","D","104","Catts4En","MUN 3<br/>@EVE 0 F","12","12","27%","140.91","68%","+7.8%","1","1","90","0","0","0","0","0","0","0","0","0","1","8","1","5","5","3","0","0","0","0","1"
"*05w9r*","Takehiro Tomiyasu","ARS","D","205","W (Tue)","ARS 1<br/>@BRF 0 F","12","12","3%","376.98","21%","-20.4%","1","1","90","0","0","0","0","1","0","0","0","0","2","4","0","6","4","2","0","0","0","0","1"
"*05nzu*","Gabriel Magalhaes","ARS","D","121","ZB","ARS 1<br/>@BRF 0 F","11.75","11.75","99%","79.44","91%","-3.8%","1","1","90","0","0","0","0","0","0","0","0","0","0","3","1","8","2","2","0","0","0","0","1"
"*0647t*","Lucas Paqueta","WHU","M","46","Boss","WHU 2<br/>@BUR 1 F","11.5","11.5","100%","51.96","99%","-0.1%","1","1","90","0","2","0","0","3","0","0","0","1","1","1","0","13","6","3","0","0","0","1","0"
"*05o6h*","Kai Havertz","ARS","F","128","W (Tue)","ARS 1<br/>@BRF 0 F","11.5","11.5","100%","44.91","88%","+3.3%","1","0","10","1","0","0","1","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
"*05ogb*","Anthony Elanga","NOT","F","93","Boss","BHA 3<br/>@NOT 2 F","11.25","11.25","42%","145.1","69%","-3.4%","1","1","90","1","1","0","1","0","0","0","0","0","0","0","0","2","7","0","0","0","0","3","0"
"*03pig*","Jamaal Lascelles","NEW","D","186","Badger12","CHE 1<br/>@NEW 4 F","11.25","11.25","0%","1141.2","50%","-6.7%","1","1","85","1","1","0","1","0","1","0","0","0","1","1","0","1","6","0","0","0","0","1","0"
"*0329y*","Joel Ward","CRY","D","179","KFC","CRY 1<br/>@LUT 2 F","11.25","11.25","2%","1108.32","19%","-7.1%","1","1","90","0","1","1","0","2","0","0","0","0","0","2","1","7","6","3","0","0","0","2","0"
"*03rxs*","Harry Wilson","FUL","M","132","chukdave","WOL 2<br/>@FUL 3 F","11","11","90%","100.69","44%","+3.4%","1","0","13","0","0","1","0","0","0","0","0","0","1","0","0","3","2","0","0","1","0","0","0"
"*06dqv*","Luca Koleosho","BUR","F","224","W (Tue)","WHU 2<br/>@BUR 1 F","10.75","10.75","0%","1155.7","11%","-10.5%","1","1","80","0","0","1","1","0","0","0","0","0","0","0","0","4","9","0","0","1","0","0","1"
"*0646f*","Alexander Isak","NEW","F","100","chukdave","CHE 1<br/>@NEW 4 F","10.5","10.5","100%","19.91","100%","-0.1%","1","1","80","1","0","0","1","0","0","0","0","0","0","0","0","1","5","1","0","0","0","1","0"
"*06c5x*","Tom Lockyer","LUT","D","135","FA","CRY 1<br/>@LUT 2 F","10.5","10.5","38%","147.4","19%","-1%","1","1","90","0","0","0","0","2","1","0","0","0","4","6","2","7","4","2","0","0","0","1","0"
"*05ylx*","Dejan Kulusevski","TOT","M","43","ZB","AVL 2<br/>@TOT 1 F","10.25","10.25","100%","44.1","100%","0%","1","1","90","0","3","0","1","2","0","0","0","1","1","0","0","10","11","0","0","0","0","2","0"
"*04yo7*","Youri Tielemans","AVL","M","214","TranzOTF","AVL 2<br/>@TOT 1 F","10.25","10.25","98%","86.04","58%","+10.5%","1","0","45","0","2","1","0","0","0","0","0","0","1","0","0","3","5","0","0","0","0","0","0"
"*02lp5*","Adam Smith","BOU","D","249","W (Tue)","BOU 3<br/>@SHU 1 F","10.25","10.25","0%","1188.65","1%","+0.2%","1","1","90","0","2","1","0","1","0","0","0","0","0","2","0","2","4","1","0","0","0","1","0"
"*05opk*","Vladimir Coufal","WHU","D","48","TranzOTF","WHU 2<br/>@BUR 1 F","10","10","15%","266.53","82%","+0.4%","1","1","90","0","1","0","0","2","1","0","0","1","3","1","0","10","2","1","0","0","0","1","0"
"*06c5y*","Amari'i Bell","LUT","D","275","FA","CRY 1<br/>@LUT 2 F","10","10","15%","251.73","4%","0%","1","1","90","0","2","0","1","2","0","0","0","1","1","6","1","4","6","0","0","0","0","1","0"
"*02oq6*","Luke Shaw","MUN","D","265","Sean","MUN 3<br/>@EVE 0 F","9.75","9.75","100%","39.22","97%","+0.3%","1","1","75","0","0","0","0","1","0","0","0","0","0","3","0","5","1","1","0","0","0","0","1"
"*043qy*","Lewis Cook","BOU","M","124","W (Tue)","BOU 3<br/>@SHU 1 F","9.75","9.75","0%","-","14%","-1.9%","1","1","90","0","2","0","0","2","0","0","0","0","2","1","1","8","3","1","0","0","0","1","0"
"*063e7*","Marcos Senesi","BOU","D","110","Badger12","BOU 3<br/>@SHU 1 F","9.75","9.75","3%","398.41","4%","+2%","1","1","90","0","1","0","0","1","0","0","0","1","1","5","0","10","7","7","0","0","0","1","0"
"*05o4c*","Timothy Castagne","FUL","D","184","ZB","WOL 2<br/>@FUL 3 F","9.5","9.5","0%","-","21%","-1.1%","1","1","90","0","3","0","0","0","0","0","0","0","4","4","0","6","2","4","0","0","0","2","0"
"*04abb*","Phil Foden","MCI","M","20","Boss","LIV 1<br/>@MCI 1 F","9.25","9.25","100%","16.45","100%","0%","1","1","90","0","0","0","3","1","0","0","0","0","1","2","0","4","4","1","0","0","0","1","0"
"*05tr1*","Ethan Pinnock","BRF","D","22","Sean","ARS 1<br/>@BRF 0 F","9.25","9.25","99%","71.37","99%","+0.5%","1","1","90","0","0","0","0","0","0","0","0","0","2","12","2","4","1","2","0","0","0","1","0"
"*0558w*","William Saliba","ARS","D","94","Catts4En","ARS 1<br/>@BRF 0 F","9.25","9.25","99%","65.12","98%","-1.1%","1","1","90","0","0","0","0","2","0","0","0","0","0","1","0","7","7","1","0","0","0","0","1"
"*04fk6*","Bernardo Silva","MCI","M","52","Boss","LIV 1<br/>@MCI 1 F","9","9","100%","58.45","100%","0%","1","1","90","0","2","0","0","3","1","0","0","1","0","1","1","10","5","2","0","0","0","1","0"
"*03dx7*","Ben Mee","BRF","D","234","tottiand","ARS 1<br/>@BRF 0 F","8.75","8.75","99%","81.6","78%","+3.1%","1","1","90","0","1","0","0","1","0","0","0","0","2","8","0","7","1","0","0","0","0","1","0"
"*06fwz*","Murillo","NOT","M","169","W (Tue)","BHA 3<br/>@NOT 2 F","8.75","8.75","0%","-","15%","-3.4%","1","1","90","0","1","0","0","1","0","0","0","0","4","1","0","8","10","6","0","0","0","3","0"
"*068yi*","Illia Zabarnyi","BOU","D","133","W (Tue)","BOU 3<br/>@SHU 1 F","8.75","8.75","0%","1209.17","8%","0%","1","1","90","0","0","0","0","2","0","0","0","0","1","2","2","4","1","10","0","0","0","1","0"
"*04tm0*","Lucas Digne","AVL","D","31","tottiand","AVL 2<br/>@TOT 1 F","8.5","8.5","45%","140.34","90%","+0.9%","1","1","90","0","2","0","1","2","0","0","0","1","1","2","0","4","5","1","0","0","0","1","0"
"*06ab3*","Lewis Miley","NEW","M","318","Badger12","CHE 1<br/>@NEW 4 F","8.25","8.25","0%","1154.7","23%","-0.8%","1","1","88","0","1","1","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","1","0"
"*03rxa*","Idrissa Gueye","EVE","M","183","W (Tue)","MUN 3<br/>@EVE 0 F","8.25","8.25","4%","385.69","8%","-0.9%","1","1","90","0","1","0","1","1","1","0","0","0","4","0","0","6","6","1","0","0","0","3","0"
"*05nt6*","Eberechi Eze","CRY","M","56","Bfred","CRY 1<br/>@LUT 2 F","7.75","7.75","100%","27.73","98%","-0.1%","1","1","48","0","1","0","2","1","0","0","0","0","0","1","0","6","4","0","0","0","0","0","0"
"*05s08*","Valentino Livramento","NEW","D","298","Sean","CHE 1<br/>@NEW 4 F","7.5","7.5","12%","267.33","51%","-3.1%","1","1","90","0","1","0","0","1","0","0","0","0","3","0","0","7","2","0","0","0","0","1","0"
"*05ue7*","Frank Onyeka","BRF","M","182","W (Tue)","ARS 1<br/>@BRF 0 F","7.5","7.5","0%","-","5%","+1%","1","1","88","0","0","0","0","1","0","0","0","0","4","0","2","5","7","1","0","0","0","1","0"
"*03dx3*","Kieran Trippier","NEW","D","5","Badger12","CHE 1<br/>@NEW 4 F","7.25","7.25","100%","11.57","100%","0%","1","1","90","0","2","0","0","1","1","0","0","2","1","0","0","6","4","3","0","0","0","1","0"
"*068ym*","Enzo Fernandez","CHE","M","57","draft","CHE 1<br/>@NEW 4 F","7.25","7.25","99%","73.22","94%","0%","1","1","90","0","0","0","1","0","0","0","0","0","3","1","0","3","4","6","0","0","0","4","0"
"*0414p*","Carlton Morris","LUT","F","117","Catts4En","CRY 1<br/>@LUT 2 F","7.25","7.25","85%","112.31","79%","-2.9%","1","1","73","0","1","1","0","0","0","0","0","0","0","0","0","2","7","0","0","0","0","0","1"
"*0666p*","Kobbie Mainoo","MUN","M","393","W (Tue)","MUN 3<br/>@EVE 0 F","7.25","7.25","1%","1141.65","11%","-3.1%","1","1","71","0","0","0","0","1","0","0","0","0","2","2","1","5","3","2","0","0","0","0","1"
"*04tig*","Fabian Schar","NEW","D","64","xxx","CHE 1<br/>@NEW 4 F","7","7","99%","69.32","98%","-0.4%","1","1","90","0","1","0","1","0","0","0","0","0","1","1","0","5","3","4","0","0","0","1","0"
"*05ylj*","Bruno Guimaraes","NEW","M","72","KFC","CHE 1<br/>@NEW 4 F","7","7","100%","39.32","97%","-0.5%","1","1","90","0","0","0","0","2","0","0","0","0","0","0","0","10","3","7","0","0","0","1","0"
"*02lp9*","Kyle Walker","MCI","D","107","draft","LIV 1<br/>@MCI 1 F","7","7","73%","119.32","94%","+0.8%","1","1","90","0","1","0","0","0","0","0","0","0","3","2","0","4","1","3","0","0","0","1","0"
"*051k0*","John McGinn","AVL","M","24","KFC","AVL 2<br/>@TOT 1 F","7","7","64%","130.59","91%","+1.1%","1","1","88","0","3","0","0","0","1","0","0","1","2","0","0","4","4","4","0","0","0","1","0"
"*02lnn*","Oliver Norwood","SHU","M","113","ZB","BOU 3<br/>@SHU 1 F","7","7","13%","279.7","22%","-4.8%","1","1","90","0","2","0","0","1","1","0","0","2","0","2","0","5","5","7","0","0","0","3","0"
"*02oo1*","Ben Davies","TOT","D","280","FA","AVL 2<br/>@TOT 1 F","6.75","6.75","11%","295.51","14%","-1.6%","1","1","90","0","0","0","0","2","0","0","0","1","2","3","1","7","6","4","0","0","0","2","0"
"*051k5*","Lloyd Kelly","BOU","D","290","W (Tue)","BOU 3<br/>@SHU 1 F","6.75","6.75","0%","1232.2","1%","-0.1%","1","1","45","0","2","0","0","0","0","0","0","1","1","2","0","3","1","4","0","0","0","0","0"
"*05os8*","Joachim Andersen","CRY","D","10","TranzOTF","CRY 1<br/>@LUT 2 F","6.5","6.5","47%","142.45","93%","-1.2%","1","1","90","0","0","0","1","1","0","0","0","1","0","3","0","8","2","3","0","0","0","2","0"
"*04tzt*","Jefferson Lerma","CRY","M","125","W (Tue)","CRY 1<br/>@LUT 2 F","6.5","6.5","13%","287.96","47%","-2.9%","1","1","90","0","1","0","1","0","1","0","0","1","1","2","1","3","4","2","0","0","0","2","0"
"*05tre*","Vitaly Janelt","BRF","M","95","chukdave","ARS 1<br/>@BRF 0 F","6.5","6.5","2%","1120.17","39%","+10%","1","1","90","0","1","0","0","1","0","0","0","1","2","1","0","5","3","0","0","0","0","1","0"
"*05r8o*","Jean-Philippe Mateta","CRY","F","222","W (Tue)","CRY 1<br/>@LUT 2 F","6.5","6.5","1%","1145.96","2%","-0.1%","1","0","9","0","3","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0"
"*04agz*","Declan Rice","ARS","M","35","xxx","ARS 1<br/>@BRF 0 F","6.25","6.25","99%","49.39","99%","0%","1","1","90","0","1","0","0","0","0","0","0","0","1","2","1","3","1","2","0","0","0","0","1"
"*05oh0*","Jan-Paul van Hecke","BHA","D","225","W (Tue)","BHA 3<br/>@NOT 2 F","6.25","6.25","1%","1144.91","11%","+1.5%","1","1","90","0","0","0","1","0","0","0","0","0","0","6","2","3","2","7","0","0","0","2","0"
"*05gcs*","Sander Berge","BUR","M","154","W (Tue)","WHU 2<br/>@BUR 1 F","6.25","6.25","19%","216.48","8%","-1.4%","1","1","90","0","1","0","0","1","0","0","0","1","0","4","2","3","5","2","0","0","0","2","0"
"*04p0d*","Dwight McNeil","EVE","M","73","TranzOTF","MUN 3<br/>@EVE 0 F","6","6","96%","76.39","90%","+2.9%","1","1","72","0","1","0","1","1","0","0","0","1","0","0","0","2","2","4","0","0","0","2","0"
"*049tq*","Dominic Calvert-Lewin","EVE","F","180","xxx","MUN 3<br/>@EVE 0 F","6","6","82%","115.08","81%","+1%","1","1","81","0","0","0","3","0","0","0","0","0","0","2","0","3","8","0","0","0","0","3","0"
"*05tr8*","Christian Norgaard","BRF","M","74","draft","ARS 1<br/>@BRF 0 F","6","6","19%","219.28","67%","+2.8%","1","1","90","0","0","0","0","5","0","0","0","0","0","3","0","7","5","2","0","0","0","1","0"
"*04spw*","James Garner","EVE","M","79","xxx","MUN 3<br/>@EVE 0 F","6","6","5%","381.9","59%","-2%","1","1","90","0","4","0","0","1","0","0","0","0","1","1","0","2","4","1","0","0","0","3","0"
"*043qz*","Pierre-Emile Hojbjerg","TOT","M","295","FA","AVL 2<br/>@TOT 1 F","6","6","42%","141.11","17%","-1.4%","1","0","57","0","0","0","1","3","0","0","0","0","0","0","0","4","4","6","0","0","0","2","0"
"*05mxa*","Joel Veltman","BHA","D","211","chukdave","BHA 3<br/>@NOT 2 F","6","6","33%","151.69","14%","-0.7%","1","1","90","0","0","0","0","0","0","0","0","0","3","5","1","6","4","3","0","0","0","2","0"
"*062cn*","Julian Alvarez","MCI","F","15","Boss","LIV 1<br/>@MCI 1 F","5.75","5.75","100%","58.1","100%","0%","1","1","90","0","3","0","0","0","0","0","0","1","0","0","0","4","3","2","0","0","0","1","0"
"*06c6a*","Alfie Doughty","LUT","M","83","xxx","CRY 1<br/>@LUT 2 F","5.75","5.75","48%","142.28","70%","+6.1%","1","1","78","0","1","0","0","1","0","0","0","1","1","0","0","6","5","2","0","0","0","1","0"
"*061ve*","Ryan Christie","BOU","M","49","chukdave","BOU 3<br/>@SHU 1 F","5.75","5.75","8%","336.41","58%","+6.1%","1","1","90","0","0","0","1","2","0","0","0","0","0","1","0","7","10","6","0","0","0","1","0"
"*0637b*","Orel Mangala","NOT","M","168","W (Tue)","BHA 3<br/>@NOT 2 F","5.75","5.75","0%","-","4%","-0.3%","1","1","90","0","0","0","0","0","0","0","0","0","3","0","1","2","0","3","0","0","0","3","0"
"*06fy7*","Nicolas Dominguez","NOT","M","207","W (Tue)","BHA 3<br/>@NOT 2 F","5.5","5.5","0%","-","7%","-2.8%","1","1","68","0","1","0","0","1","0","0","0","1","2","0","0","3","2","0","0","0","0","3","0"
"*06c5z*","Gabriel Osho","LUT","D","292","FA","CRY 1<br/>@LUT 2 F","5.5","5.5","0%","1146.2","1%","+0.3%","1","1","90","0","0","0","0","0","1","0","0","0","2","8","1","5","4","0","0","0","0","1","0"
"*0524k*","Rodri","MCI","M","27","TranzOTF","LIV 1<br/>@MCI 1 F","5.25","5.25","99%","54.38","100%","+0.2%","1","1","90","0","1","0","0","3","0","0","0","0","0","1","0","3","5","9","0","0","0","1","0"
"*03v9d*","Son Heung-Min","TOT","F","12","Catts4En","AVL 2<br/>@TOT 1 F","5","5","100%","11.7","100%","0%","1","1","90","0","3","0","1","0","0","0","0","0","0","0","0","1","3","1","0","0","0","2","0"
"*03vlj*","Virgil van Dijk","LIV","D","18","draft","LIV 1<br/>@MCI 1 F","5","5","100%","43.74","100%","0%","1","1","90","0","0","0","1","0","0","0","0","0","0","3","1","2","1","2","0","0","0","1","0"
"*05trb*","Bryan Mbeumo","BRF","F","8","tottiand","ARS 1<br/>@BRF 0 F","5","5","100%","40.27","98%","-2.1%","1","1","90","0","2","0","1","0","0","0","0","0","0","2","0","3","5","1","0","0","0","1","0"
"*061ya*","Brennan Johnson","TOT","F","181","Sean","AVL 2<br/>@TOT 1 F","5","5","92%","98.84","85%","0%","1","1","90","0","1","0","2","0","0","0","0","0","0","0","0","2","5","1","0","0","0","2","0"
"*0435s*","Joel Matip","LIV","D","216","W (Tue)","LIV 1<br/>@MCI 1 F","5","5","3%","375.76","10%","-5.8%","1","1","90","0","0","0","0","0","1","0","0","0","0","5","4","2","3","2","0","0","0","1","0"
