,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean)
57,10,7.2,0.0,1.3,0.2,0.2,1.0,0.3,0.2,0.1,0.2,0.9,0.9,0.7,0.6,1.1,0.0,0.0,0.0,0.5,0.1,2.6,0.0,0.0,5.7,-1.25,0.4
68,6,7.17,0.0,1.17,0.17,0.33,1.0,0.83,0.17,0.0,0.17,1.0,1.0,1.17,0.17,0.5,0.0,0.0,0.0,0.5,0.17,1.0,0.5,0.0,6.0,-0.75,0.67
77,7,7.14,0.29,0.57,0.14,0.43,1.0,0.71,0.14,0.14,0.14,0.71,2.0,0.29,0.43,1.29,0.0,0.0,0.0,0.86,0.43,2.14,0.14,0.0,3.57,-1.64,0.71
37,5,7.0,0.2,0.8,0.0,0.2,2.6,1.6,0.4,0.0,0.2,0.4,0.4,1.4,0.0,0.4,0.0,0.0,0.0,0.8,0.2,2.4,0.0,0.2,5.2,-1.6,1.0
66,13,6.65,0.15,0.77,0.0,0.31,0.85,0.62,0.23,0.0,0.08,1.77,1.23,0.46,0.08,0.85,0.0,0.0,0.0,1.23,0.15,1.77,0.0,0.0,5.04,-0.77,0.15
39,11,6.55,0.27,0.82,0.0,0.36,0.82,0.91,0.18,0.0,0.36,0.27,0.27,0.45,0.18,0.45,0.0,0.0,0.0,0.45,0.27,1.18,0.27,0.09,3.73,-1.0,0.45
16,8,6.38,0.12,0.88,0.0,0.62,1.25,0.38,0.0,0.12,0.38,0.62,0.75,0.25,0.12,0.62,0.0,0.0,0.0,0.5,0.12,1.5,0.0,0.0,4.88,-1.06,0.75
72,11,6.14,0.0,0.91,0.18,0.18,0.73,0.55,0.09,0.0,0.09,0.64,1.18,1.09,0.09,0.64,0.0,0.0,0.0,1.64,0.09,1.55,0.0,0.0,4.68,-0.45,0.55
27,11,6.05,0.09,0.55,0.09,0.55,1.45,0.73,0.27,0.0,0.18,0.82,0.91,0.18,0.27,0.45,0.0,0.0,0.0,0.55,0.18,2.73,0.18,0.0,4.41,-0.91,0.27
98,8,6.0,0.0,1.5,0.0,0.25,0.5,0.5,0.25,0.0,0.88,0.88,0.25,0.62,0.0,0.5,0.0,0.0,0.0,0.62,0.0,1.62,0.0,0.0,5.88,-0.75,0.75
42,4,6.0,0.25,0.5,0.0,0.25,0.5,0.75,0.25,0.0,0.0,1.25,0.75,0.25,0.5,0.25,0.0,0.0,0.0,1.25,0.25,1.75,0.0,0.25,3.25,-0.88,0.5
18,7,5.79,0.14,1.0,0.0,0.71,0.43,0.86,0.14,0.0,0.14,0.0,0.57,0.57,0.14,0.57,0.0,0.0,0.0,0.29,0.14,1.14,0.0,0.14,4.36,-0.71,0.71
87,6,5.58,0.0,0.5,0.0,0.5,1.17,0.0,0.0,0.0,0.17,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.33,0.0,1.0,0.33,0.0,5.58,0.0,0.5
26,9,5.56,0.0,1.44,0.0,0.0,1.33,1.0,0.22,0.0,0.33,0.33,0.11,0.67,0.44,0.33,0.0,0.0,0.0,0.78,0.0,1.44,0.0,0.0,5.22,-0.94,0.33
13,8,5.38,0.12,1.0,0.12,0.25,0.5,0.88,0.12,0.12,0.0,0.25,0.38,1.75,0.0,0.12,0.0,0.0,0.0,1.62,0.25,2.0,0.25,0.0,3.5,-1.56,0.38
54,4,5.38,0.0,0.75,0.0,0.5,0.75,0.25,0.0,0.0,0.5,0.25,0.5,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,5.12,-0.12,0.5
28,7,5.36,0.0,1.0,0.14,0.57,0.57,0.57,0.14,0.0,0.29,0.29,0.43,0.43,0.0,0.43,0.0,0.0,0.0,0.29,0.14,1.0,0.0,0.0,4.36,-0.57,0.43
22,10,5.35,0.0,0.8,0.0,0.4,0.3,0.4,0.1,0.0,0.2,0.9,1.4,1.1,0.4,0.9,0.0,0.0,0.0,1.1,0.0,1.1,0.0,0.0,5.35,-0.4,0.3
53,3,5.33,0.0,1.0,0.0,0.67,1.0,0.67,0.0,0.0,0.0,0.33,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,1.67,0.0,0.0,5.33,-0.33,0.67
9,9,5.28,0.22,0.44,0.0,0.56,0.44,0.67,0.22,0.0,0.11,0.33,0.56,1.0,0.0,0.33,0.0,0.0,0.0,1.0,0.22,1.56,0.22,0.0,3.17,-1.0,0.67
11,13,5.04,0.08,0.46,0.0,0.23,1.0,0.92,0.08,0.0,0.08,1.54,0.54,0.38,0.31,0.54,0.0,0.0,0.0,2.08,0.08,1.31,0.08,0.0,4.35,-0.62,0.15
7,8,5.0,0.0,0.5,0.0,0.12,1.38,0.25,0.25,0.0,0.0,1.25,1.12,1.0,0.5,0.5,0.0,0.0,0.0,2.0,0.0,1.88,0.0,0.0,5.0,-0.62,0.38
96,13,5.0,0.0,0.69,0.0,0.23,1.69,0.54,0.15,0.0,0.15,0.85,0.31,0.31,0.15,0.85,0.0,0.0,0.0,0.77,0.0,1.31,0.08,0.0,4.85,-0.58,0.69
56,11,4.95,0.0,0.64,0.0,0.36,0.73,0.36,0.18,0.0,0.09,0.91,0.82,0.45,0.18,1.73,0.0,0.0,0.0,0.73,0.0,1.64,0.09,0.0,4.68,-0.55,0.64
21,6,4.83,0.0,0.83,0.0,0.17,0.83,0.67,0.33,0.0,0.0,0.83,0.5,1.33,0.17,1.0,0.0,0.0,0.0,1.17,0.0,2.5,0.0,0.0,4.67,-1.0,0.67
86,23,4.78,0.09,0.52,0.09,0.35,0.65,0.7,0.13,0.0,0.22,0.52,0.91,0.22,0.35,0.43,0.0,0.04,0.0,1.35,0.13,1.09,0.0,0.0,3.39,-0.61,0.61
5,4,4.75,0.25,0.5,0.0,0.25,1.0,1.0,0.25,0.0,0.0,0.25,0.75,0.0,0.25,0.5,0.0,0.0,0.0,1.0,0.25,1.25,0.5,0.0,2.25,-1.0,0.5
46,14,4.68,0.0,0.5,0.0,0.21,1.64,0.36,0.14,0.0,0.07,0.71,0.86,0.43,0.36,0.71,0.0,0.0,0.0,1.14,0.0,1.64,0.07,0.0,4.54,-0.46,0.29
41,13,4.54,0.0,0.62,0.0,0.15,1.38,0.69,0.15,0.0,0.15,0.77,0.92,0.62,0.08,0.69,0.0,0.0,0.0,1.08,0.0,1.46,0.0,0.0,4.23,-0.65,0.46
2,9,4.5,0.0,0.56,0.11,0.11,0.78,0.78,0.33,0.0,0.11,0.89,1.11,0.67,0.56,1.11,0.0,0.0,0.0,2.22,0.11,2.33,0.0,0.0,3.83,-1.06,0.56
36,13,4.5,0.0,0.69,0.08,0.08,1.23,1.15,0.23,0.0,0.08,1.0,0.92,0.15,0.31,1.0,0.0,0.0,0.0,0.77,0.08,1.69,0.0,0.0,3.81,-1.19,0.38
79,5,4.3,0.0,0.6,0.2,0.0,0.8,1.2,0.0,0.0,0.2,0.6,0.8,0.6,0.0,0.2,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,2.9,-0.6,0.8
15,9,4.28,0.11,0.56,0.0,0.33,0.44,1.0,0.0,0.0,0.11,0.33,0.44,0.78,0.0,0.22,0.0,0.0,0.0,0.22,0.11,0.44,0.11,0.0,3.06,-0.5,0.33
52,15,4.27,0.0,0.33,0.0,0.27,1.33,0.33,0.2,0.0,0.07,0.87,1.07,0.6,0.47,0.6,0.0,0.0,0.0,1.67,0.0,1.73,0.0,0.0,4.27,-0.57,0.67
76,14,4.2,0.07,0.43,0.0,0.36,1.21,0.5,0.29,0.0,0.07,0.57,0.57,0.21,0.21,0.86,0.0,0.0,0.0,0.57,0.07,1.93,0.07,0.0,3.41,-0.96,0.57
12,8,4.19,0.12,0.5,0.0,0.12,1.12,0.5,0.25,0.0,0.0,0.5,0.88,0.38,0.38,0.38,0.0,0.0,0.0,1.38,0.12,2.0,0.0,0.0,3.06,-0.75,0.5
58,6,4.17,0.0,1.5,0.0,0.0,0.33,1.0,0.17,0.0,0.33,0.17,0.67,0.33,0.17,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,4.0,-0.83,0.83
91,16,4.12,0.0,1.06,0.06,0.19,0.69,1.0,0.19,0.0,0.19,0.44,0.56,0.69,0.0,0.75,0.06,0.0,0.0,1.31,0.06,1.81,0.0,0.0,3.75,-1.12,0.44
43,8,4.12,0.0,0.62,0.25,0.0,0.5,1.12,0.0,0.0,0.25,0.25,0.0,0.38,0.0,0.75,0.0,0.0,0.0,0.25,0.12,0.75,0.0,0.0,2.5,-0.56,0.12
49,7,4.07,0.0,0.43,0.0,0.29,0.86,0.57,0.0,0.0,0.14,0.57,0.14,1.0,0.0,0.14,0.0,0.0,0.0,0.43,0.0,0.71,0.14,0.0,3.79,-0.29,0.43
78,5,4.0,0.0,1.0,0.0,0.2,0.6,1.2,0.0,0.0,0.2,0.2,0.2,0.4,0.0,1.4,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,4.0,-0.6,0.8
51,7,3.79,0.0,0.71,0.0,0.0,1.14,0.71,0.29,0.0,0.14,0.43,0.86,1.0,0.43,0.29,0.0,0.0,0.0,1.43,0.0,1.86,0.0,0.0,3.79,-0.93,0.57
73,2,3.75,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,2.5,0.0,0.0,0.75,-1.0,0.5
4,4,3.56,0.0,0.25,0.25,0.0,0.75,0.5,0.25,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.25,1.0,0.0,0.0,0.56,-1.75,0.0
1,10,3.5,0.1,0.4,0.0,0.2,1.1,0.8,0.2,0.0,0.1,0.4,0.6,0.1,0.5,0.4,0.0,0.0,0.0,1.1,0.1,1.6,0.1,0.0,2.6,-1.0,0.4
74,2,3.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.0,0.0,3.5,0.0,0.5
63,11,3.36,0.0,0.55,0.0,0.09,0.64,0.27,0.09,0.0,0.09,0.82,0.64,0.27,0.55,0.18,0.0,0.0,0.0,1.09,0.0,1.09,0.0,0.0,3.27,-0.5,0.55
33,6,3.33,0.0,0.67,0.0,0.33,0.83,1.0,0.17,0.0,0.0,0.83,0.83,0.33,0.0,0.33,0.0,0.0,0.0,1.17,0.0,1.5,0.17,0.0,3.33,-0.83,0.5
40,6,3.33,0.0,0.5,0.0,0.5,0.5,1.33,0.17,0.0,0.0,0.17,0.83,0.83,0.17,1.33,0.0,0.0,0.0,0.83,0.0,1.0,0.17,0.0,3.33,-1.0,0.5
94,2,3.25,0.0,2.0,0.0,0.0,0.5,1.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,3.0,0.5,0.0,3.25,-1.75,0.5
8,8,3.16,0.0,0.5,0.0,0.25,0.62,0.75,0.12,0.0,0.38,0.0,0.62,1.12,0.0,0.25,0.0,0.0,0.0,1.88,0.0,1.25,0.5,0.0,3.03,-0.88,0.62
97,11,3.09,0.0,0.64,0.09,0.0,0.73,1.0,0.18,0.0,0.09,0.27,0.64,0.45,0.36,0.18,0.0,0.0,0.0,0.64,0.0,1.36,0.0,0.0,2.45,-0.86,0.27
34,7,3.07,0.0,1.14,0.0,0.0,0.29,0.86,0.0,0.0,0.14,0.43,0.43,0.14,0.14,0.14,0.0,0.0,0.0,1.14,0.0,1.71,0.14,0.0,3.07,-0.43,0.43
50,13,3.04,0.0,0.85,0.0,0.15,0.62,0.85,0.15,0.0,0.38,0.23,0.54,0.38,0.08,0.15,0.0,0.0,0.0,0.92,0.0,0.85,0.0,0.0,3.04,-0.73,0.77
93,3,3.0,0.0,0.33,0.0,0.33,1.67,1.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.33,0.0,0.0,0.0,1.0,0.0,1.33,0.33,0.0,3.0,-0.5,0.67
88,7,2.93,0.0,0.57,0.14,0.0,0.71,1.29,0.14,0.14,0.0,0.14,0.29,1.86,0.0,0.29,0.0,0.0,0.0,1.29,0.14,2.57,0.29,0.0,2.07,-1.93,0.71
31,12,2.62,0.0,0.33,0.0,0.0,1.08,0.5,0.33,0.0,0.0,0.92,0.75,0.33,0.25,0.25,0.0,0.0,0.0,1.33,0.0,2.0,0.08,0.0,2.46,-0.92,0.25
71,14,2.54,0.0,0.43,0.0,0.07,0.93,0.57,0.21,0.0,0.07,0.64,0.36,0.14,0.29,0.36,0.0,0.0,0.0,2.0,0.0,1.29,0.0,0.0,2.54,-0.71,0.36
3,7,2.36,0.14,0.14,0.0,0.14,0.71,1.0,0.29,0.0,0.0,0.29,0.29,0.57,0.0,0.29,0.0,0.0,0.0,0.71,0.14,1.29,0.0,0.0,0.79,-1.64,0.0
47,8,2.25,0.0,0.25,0.0,0.12,0.75,0.62,0.38,0.0,0.0,0.75,1.0,0.75,0.0,0.12,0.0,0.0,0.0,0.25,0.0,2.0,0.0,0.0,2.0,-1.06,0.75
6,15,2.07,0.0,0.47,0.0,0.13,0.53,0.47,0.2,0.07,0.0,0.33,0.53,0.47,0.33,0.47,0.0,0.0,0.0,1.87,0.0,2.47,0.0,0.0,2.0,-1.1,0.6
64,8,1.81,0.0,0.62,0.0,0.0,0.88,1.38,0.38,0.0,0.0,0.62,0.75,0.12,0.12,0.38,0.0,0.0,0.0,1.5,0.0,2.12,0.0,0.0,1.69,-1.69,0.5
62,2,1.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.5,3.0,0.0,0.0,0.0,2.0,0.0,3.5,0.0,0.0,1.5,-2.5,1.0
61,16,0.95,0.0,0.12,0.0,0.06,0.44,0.19,0.38,0.0,0.06,0.38,1.06,0.19,0.25,0.31,0.0,0.0,0.0,1.5,0.0,2.38,0.0,0.0,0.89,-0.97,0.75
89,6,0.67,0.0,0.83,0.0,0.17,0.33,1.17,0.33,0.17,0.33,0.17,0.33,0.0,0.17,0.17,0.0,0.0,0.0,1.17,0.0,3.83,0.17,0.0,0.67,-2.42,0.83
