Team,Position,Player Count,FPTS,LiveRkOv,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,GP,MIN,Ghost Points,Negative Fpts,90s,FPts/90
vsEVE,M,7,396.5,116.79,9,46,10,29,31,37,2,0,14,19,15,38,3,14,0,2,0,25,12,36,2488,243.5,-22.5,27.64,14.35
vsFUL,D,7,138.5,252.05,2,10,2,5,38,6,6,0,8,29,94,9,20,54,0,0,0,49,1,34,2482,98.5,-113.0,27.58,5.02
vsFUL,F,7,178.5,295.27,5,23,2,10,12,37,2,0,3,6,22,22,0,70,0,0,0,37,1,36,1656,121.5,-22.5,18.4,9.7
vsFUL,M,10,177.5,275.85,0,36,1,5,39,22,5,0,11,23,18,19,7,17,0,0,0,46,3,41,2550,168.5,-21.0,28.33,6.27
vsLIV,D,8,121.25,261.49,0,15,0,4,35,27,8,0,10,31,111,26,29,53,0,0,1,59,4,42,2789,97.25,-152.5,30.99,3.91
vsLIV,F,5,352.0,220.06,7,47,11,21,14,40,8,0,27,12,9,62,3,10,0,0,0,49,4,35,2382,223.0,-36.0,26.47,13.3
vsLIV,M,5,68.5,315.47,0,7,1,1,31,16,7,1,2,18,23,12,4,13,0,0,0,30,2,22,1366,60.5,-29.0,15.18,4.51
vsLUT,D,5,89.25,302.51,1,3,0,2,19,8,6,2,5,21,81,9,7,26,0,0,0,34,10,25,1961,19.25,-98.0,21.79,4.1
vsLUT,F,4,62.0,286.77,1,10,1,7,6,21,2,0,1,2,8,7,2,19,0,0,0,15,4,18,933,47.0,-14.5,10.37,5.98
vsLUT,M,8,172.5,229.91,2,35,2,10,20,38,5,0,10,16,16,12,4,19,0,0,0,42,10,43,2339,132.5,-29.0,25.99,6.64
vsMCI,D,9,254.0,306.27,2,27,5,4,46,11,9,1,12,55,138,12,30,60,0,2,0,61,6,46,3434,163.0,-152.5,38.16,6.66
vsMCI,F,4,48.0,476.46,2,4,1,3,1,19,3,0,1,1,3,12,5,11,0,0,0,11,4,17,791,24.0,-15.5,8.79,5.46
vsMCI,M,9,407.0,193.94,9,42,7,27,55,44,11,0,8,38,78,38,15,58,0,0,0,58,7,46,3285,277.0,-44.0,36.5,11.15
vsMUN,D,5,56.75,350.76,0,6,3,3,27,3,6,1,0,17,41,8,19,29,0,0,0,36,0,25,1632,35.75,-92.5,18.13,3.13
vsMUN,F,6,218.0,161.32,9,24,2,22,14,31,3,0,5,9,15,17,1,13,0,1,0,32,4,32,1357,125.0,-21.5,15.08,14.46
vsMUN,M,8,267.5,212.34,5,52,7,14,18,16,9,0,10,13,17,19,5,9,0,0,0,41,5,39,2100,175.5,-26.0,23.33,11.47
vsNEW,D,9,270.25,202.37,1,34,7,7,34,19,9,1,12,53,123,22,18,87,0,0,1,56,4,45,3318,187.25,-151.5,36.87,7.33
vsNEW,F,5,177.5,197.81,6,18,1,20,8,23,2,0,10,4,11,18,2,26,0,1,0,28,3,25,1606,117.5,-15.5,17.84,9.95
vsNEW,M,7,321.5,178.48,7,39,6,16,46,26,3,0,13,25,29,12,5,39,0,2,0,42,7,38,2454,215.5,-19.0,27.27,11.79
vsNOT,D,8,61.25,415.07,1,8,1,5,30,8,9,0,4,28,105,5,20,45,0,0,0,62,1,35,2750,38.25,-146.0,30.56,2.0
vsNOT,F,8,127.0,337.25,3,21,2,12,9,23,2,2,3,1,14,31,2,11,0,0,0,40,2,30,1505,88.0,-29.5,16.72,7.6
vsNOT,M,7,150.5,246.83,1,23,3,2,25,15,5,0,2,19,29,12,14,34,0,0,0,44,2,34,2070,121.5,-17.5,23.0,6.54
vsSHU,D,9,224.5,345.92,2,20,4,3,45,16,7,0,4,33,78,17,15,34,0,0,1,29,8,33,2426,128.5,-85.0,26.96,8.33
vsSHU,F,4,219.0,111.14,7,30,4,19,6,17,3,0,3,8,6,24,3,9,0,0,0,20,3,24,1394,132.0,-14.5,15.49,14.14
vsSHU,M,6,313.5,146.72,4,58,6,21,28,41,11,0,9,25,19,46,5,12,0,0,0,25,7,36,2185,234.5,-42.5,24.28,12.91
vsTOT,D,8,75.0,344.1,1,15,1,3,27,13,7,0,5,34,102,15,35,43,0,0,0,77,2,36,2506,46.0,-174.5,27.84,2.69
vsTOT,F,5,70.5,285.44,2,9,2,7,3,20,3,1,1,2,11,9,2,29,0,0,0,29,0,21,941,40.5,-23.0,10.46,6.74
vsTOT,M,9,132.5,291.95,2,25,0,9,25,22,5,0,6,12,20,14,5,5,0,0,0,51,3,31,1723,111.5,-21.0,19.14,6.92
vsWHU,D,9,215.25,222.54,1,20,2,8,29,12,4,0,6,27,57,12,13,43,0,0,1,31,12,40,2914,119.25,-81.0,32.38,6.65
vsWHU,F,4,307.5,116.06,12,36,6,31,9,12,3,0,5,5,5,20,0,9,1,1,0,14,5,19,1524,163.5,-16.0,16.93,18.16
vsWHU,M,7,254.5,173.09,5,42,7,13,17,25,5,2,8,13,17,41,1,14,0,0,0,22,7,29,1927,160.5,-36.5,21.41,11.89
vsWOL,D,6,168.0,207.25,1,20,0,4,24,5,2,0,5,25,90,6,15,44,0,0,1,25,5,28,2098,128.0,-61.5,23.31,7.21
vsWOL,F,7,318.0,154.45,12,33,8,27,21,36,3,1,2,6,7,35,2,18,1,1,0,22,4,38,1975,162.0,-35.0,21.94,14.49
vsWOL,M,6,153.0,230.11,1,24,3,7,28,21,5,2,2,22,27,23,6,23,0,1,0,20,4,31,1923,122.0,-34.5,21.37,7.16
