team,position,player (nunique),fpts (mean),team (nunique),opponent (nunique),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean)
LIV,LB,1,12.17,1,3,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.67,0.67,2.0,0.0,0.33,2.33,0.0,0.0,0.0,0.67,0.0,1.0,0.67,0.0,10.17,-1.33,1.0
NEW,LW,2,12.08,1,4,0.33,1.0,0.5,0.83,0.5,1.33,0.33,0.0,0.33,0.17,0.0,1.67,0.0,0.5,0.0,0.17,0.0,0.5,0.67,2.0,0.0,0.0,5.58,-1.33,1.0
CHE,RB,1,11.75,1,2,0.0,1.5,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,4.5,0.5,0.0,1.75,-3.75,1.0
CRY,RM,3,11.67,1,2,0.33,1.33,0.0,1.0,1.0,1.33,0.0,0.0,0.33,0.67,0.33,2.0,0.0,0.67,0.0,0.0,0.0,0.67,0.33,0.0,0.33,0.0,8.33,-0.67,1.0
MCI,AM,2,11.62,1,3,0.5,0.5,0.5,1.0,0.75,0.75,0.25,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.25,0.0,0.25,0.5,2.25,0.0,0.0,4.12,-0.88,1.0
MUN,RB,2,11.4,1,5,0.0,2.0,0.2,0.2,1.6,1.0,0.2,0.0,1.2,1.4,1.2,2.2,0.6,0.8,0.0,0.0,0.0,1.4,0.2,1.8,0.0,0.0,8.8,-3.7,1.0
LIV,CB,5,10.96,1,3,0.0,0.71,0.14,0.14,0.71,0.14,0.0,0.0,0.0,1.86,3.0,0.43,0.14,3.86,0.0,0.0,0.0,0.57,0.14,0.43,0.14,0.0,8.25,-1.21,1.0
MCI,LB,2,10.62,1,3,0.25,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.75,1.5,0.5,0.5,2.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,5.12,-0.5,1.0
NEW,FW,3,10.57,1,4,0.71,0.43,0.0,1.86,0.0,1.57,0.14,0.0,0.0,0.0,0.14,0.57,0.0,0.14,0.0,0.0,0.0,0.43,0.71,1.14,0.29,0.29,4.14,-1.07,1.0
BRF,RW,1,10.5,1,3,0.33,1.67,0.0,0.67,1.0,1.33,0.33,0.0,2.0,0.0,1.33,0.67,0.0,1.0,0.0,0.0,0.0,2.0,0.33,3.0,0.0,0.0,7.5,-1.33,1.0
TOT,LW,4,10.5,1,3,0.0,2.67,0.33,0.5,0.33,0.17,0.33,0.0,0.17,0.67,0.5,1.5,0.0,0.5,0.0,0.0,0.0,0.33,0.33,2.0,0.33,0.0,8.5,-0.75,1.0
TOT,RW,3,10.2,1,3,0.2,2.4,0.0,0.8,0.0,0.2,0.0,0.0,0.8,0.0,0.4,1.0,0.0,0.2,0.0,0.0,0.0,0.4,0.2,0.8,0.4,0.0,8.2,-0.1,1.0
BHA,DM,5,10.19,1,5,0.08,2.08,0.31,0.54,0.69,0.38,0.15,0.0,0.46,0.54,0.46,0.54,0.31,0.31,0.0,0.0,0.0,1.08,0.23,1.08,0.0,0.0,7.42,-0.5,1.0
LIV,FW,3,10.17,1,3,0.33,0.5,0.5,0.83,0.33,0.5,0.0,0.0,0.0,0.17,0.17,0.5,0.17,1.17,0.0,0.0,0.0,0.33,0.5,1.0,0.0,0.0,4.17,-0.25,1.0
NOT,LM,3,9.92,1,2,0.33,0.67,0.0,0.33,2.0,0.67,0.0,0.0,0.33,1.33,1.67,0.0,0.67,2.33,0.0,0.0,0.0,0.67,0.33,0.33,0.0,0.0,6.92,-1.0,1.0
WHU,RB,2,9.9,1,4,0.0,1.2,0.6,0.0,1.6,0.4,0.0,0.0,0.8,0.8,1.2,0.2,0.4,0.6,0.0,0.0,0.0,1.2,0.6,0.6,0.2,0.0,4.5,-2.6,1.0
MUN,AM,4,9.83,1,4,0.33,1.5,0.17,1.17,0.83,1.0,0.5,0.0,0.33,0.0,0.67,0.67,0.0,0.33,0.0,0.0,0.0,1.33,0.5,3.17,0.33,0.17,5.83,-1.5,1.0
AVL,RB,1,9.5,1,3,0.0,0.67,0.33,0.0,2.0,0.0,0.33,0.0,0.67,0.67,2.0,0.33,1.0,0.67,0.0,0.0,0.0,0.67,0.33,1.33,0.0,0.0,5.17,-2.0,1.0
NOT,RM,3,9.42,1,2,0.0,0.67,0.67,0.0,0.67,0.33,0.67,0.0,0.67,0.33,3.0,0.67,0.67,2.67,0.0,0.0,0.0,0.67,0.67,2.0,0.0,0.0,4.75,-2.17,1.0
TOT,FW,2,9.38,1,3,0.5,0.5,0.25,1.25,0.0,1.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,1.0,0.0,0.0,0.0,0.5,0.75,1.75,0.25,0.0,3.38,-1.12,1.0
BRF,RM,2,9.38,1,3,0.5,1.25,0.0,0.5,1.0,0.75,0.25,0.0,0.5,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.0,1.5,0.5,1.5,0.0,0.0,4.62,-0.88,1.0
CHE,CB,3,9.25,1,4,0.1,0.8,0.0,0.3,0.5,0.1,0.0,0.0,0.0,1.2,3.6,0.2,0.6,3.1,0.0,0.0,0.0,0.8,0.1,0.5,0.3,0.0,7.05,-1.65,1.0
ARS,RB,2,9.2,1,5,0.0,1.2,0.2,0.2,1.2,0.6,0.0,0.0,0.2,1.0,1.8,1.2,1.0,0.4,0.0,0.0,0.0,1.0,0.0,0.4,0.2,0.0,6.6,-1.5,1.0
FUL,LW,3,9.1,1,4,0.2,1.4,0.2,0.8,0.2,1.0,0.0,0.0,0.2,0.6,0.2,0.8,0.0,0.8,0.0,0.0,0.0,1.0,0.2,0.6,0.0,0.0,6.1,-0.5,1.0
BHA,FW,3,9.0,1,5,0.57,0.43,0.0,1.57,0.14,1.14,0.14,0.0,0.0,0.0,0.71,0.43,0.0,0.29,0.0,0.0,0.0,1.14,0.57,1.43,0.14,0.0,3.86,-0.86,1.0
EVE,RM,3,8.9,1,4,0.2,1.2,0.2,0.4,0.6,0.2,0.2,0.0,0.6,0.6,0.2,1.0,0.0,0.4,0.0,0.0,0.0,0.4,0.4,1.4,0.2,0.0,5.7,-0.5,1.0
LIV,RM,2,8.8,1,3,0.2,1.4,0.2,0.4,0.4,0.6,0.0,0.0,0.0,0.6,0.6,0.8,0.0,0.2,0.0,0.2,0.0,0.4,0.2,0.4,0.2,0.0,5.6,-0.3,1.0
MCI,RB,1,8.75,1,3,0.0,0.67,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.67,0.0,0.0,0.0,0.33,0.33,0.33,0.33,0.0,2.42,-0.83,1.0
BRF,LW,2,8.62,1,3,0.25,0.75,0.25,0.5,0.25,0.5,0.0,0.0,0.5,0.25,0.25,0.5,0.0,2.25,0.0,0.0,0.0,1.25,0.25,1.0,0.25,0.0,4.88,-0.25,1.0
NOT,LW,4,8.6,1,3,0.2,1.6,0.0,0.6,0.4,0.4,0.0,0.0,0.4,0.0,0.4,1.6,0.0,0.4,0.0,0.0,0.0,0.6,0.2,0.6,0.2,0.0,6.8,-0.2,1.0
CRY,LB,1,8.56,1,4,0.0,1.25,0.25,0.0,1.5,1.5,0.25,0.0,1.0,0.25,2.25,0.25,0.25,0.25,0.0,0.0,0.0,0.75,0.25,1.5,0.0,0.0,3.81,-2.75,1.0
LUT,LB,2,8.5,1,2,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,2.0,0.5,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.5,0.0,1.0
NEW,CB,3,8.47,1,4,0.0,0.38,0.12,0.0,0.75,0.0,0.12,0.0,0.0,0.75,2.88,0.12,0.62,2.38,0.0,0.0,0.0,0.62,0.12,1.12,0.12,0.0,4.59,-1.5,1.0
EVE,CB,3,8.25,1,5,0.0,0.4,0.0,0.3,0.9,0.4,0.1,0.0,0.1,1.7,3.8,0.2,1.5,2.7,0.0,0.0,0.0,1.0,0.0,1.8,0.0,0.0,7.05,-2.4,1.0
AVL,LW,3,8.25,1,3,0.5,0.75,0.0,0.75,0.25,2.25,0.25,0.0,0.0,0.25,0.25,1.25,0.0,0.75,0.0,0.0,0.0,0.5,0.5,1.75,0.0,0.0,3.5,-1.62,1.0
CRY,CB,2,8.22,1,4,0.0,0.25,0.0,0.0,1.0,0.25,0.0,0.0,0.25,0.5,4.38,0.62,1.0,1.88,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,5.22,-1.62,1.0
AVL,DM,3,8.21,1,3,0.43,0.43,0.0,0.43,1.57,0.43,0.29,0.0,0.14,0.57,0.43,0.43,0.29,0.29,0.0,0.0,0.0,0.57,0.43,2.29,0.0,0.29,4.07,-0.79,1.0
ARS,FW,4,8.19,1,5,0.38,1.0,0.12,0.5,0.38,0.75,0.25,0.0,0.25,0.25,0.0,0.5,0.0,1.12,0.0,0.0,0.0,0.62,0.5,1.38,0.38,0.0,4.06,-0.88,1.0
TOT,AM,2,8.12,1,3,0.0,2.5,0.0,1.25,0.5,0.75,0.5,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,0.0,0.0,7.88,-1.38,1.0
EVE,LM,4,8.0,1,4,0.0,1.83,0.0,0.67,0.5,1.17,0.0,0.0,0.5,0.33,0.0,1.5,0.33,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.33,0.0,7.83,-0.58,1.0
SHU,LM,1,8.0,1,1,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,8.0,-2.0,1.0
LUT,LM,3,8.0,1,2,0.0,2.0,0.0,0.0,0.67,0.67,0.0,0.0,1.33,0.67,0.0,1.33,0.0,0.67,0.0,0.0,0.0,0.67,0.0,0.33,0.0,0.0,8.0,-0.33,1.0
TOT,RB,2,7.96,1,3,0.0,1.43,0.29,0.0,1.29,0.14,0.29,0.0,0.43,0.71,1.86,0.71,0.57,0.14,0.0,0.14,0.0,0.86,0.0,1.57,0.0,0.0,5.11,-2.36,1.0
CRY,FW,2,7.93,1,4,0.29,0.57,0.29,0.86,0.0,1.43,0.0,0.0,0.0,0.29,0.71,0.57,0.0,1.29,0.0,0.0,0.0,0.43,0.57,1.0,0.43,0.0,3.64,-0.71,1.0
MCI,LW,4,7.88,1,3,0.0,0.75,0.5,0.0,0.5,0.75,0.0,0.0,0.25,0.25,0.25,2.0,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,4.38,-0.38,1.0
BHA,RW,4,7.72,1,5,0.33,0.56,0.0,0.67,0.78,1.0,0.11,0.0,0.11,0.89,0.11,1.0,0.0,0.44,0.0,0.0,0.0,0.89,0.33,1.56,0.44,0.0,4.5,-0.94,1.0
EVE,CM,4,7.54,1,5,0.08,1.08,0.0,0.62,1.54,0.46,0.0,0.0,0.15,0.62,0.54,0.46,0.0,1.54,0.0,0.0,0.0,1.0,0.08,1.15,0.15,0.0,6.69,-0.23,1.0
NOT,AM,2,7.5,1,2,0.0,1.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,7.5,0.0,1.0
NOT,FW,2,7.42,1,3,0.33,1.0,0.17,0.33,0.17,0.5,0.0,0.0,0.0,0.0,0.5,0.33,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.33,0.67,0.0,3.42,-0.25,1.0
CHE,WB,3,7.42,1,3,0.0,1.5,0.17,0.17,0.5,0.83,0.17,0.0,1.0,0.33,0.0,0.83,0.0,1.33,0.0,0.0,0.0,0.67,0.17,1.33,0.17,0.0,5.25,-2.08,1.0
BUR,LW,3,7.33,1,2,0.33,0.67,0.0,0.67,1.0,0.67,0.33,0.0,0.0,0.0,0.33,1.67,0.0,0.0,0.0,0.0,0.0,1.67,0.33,1.33,0.33,0.0,4.33,-1.0,1.0
NEW,RW,3,7.29,1,4,0.14,0.57,0.29,0.43,0.86,0.71,0.14,0.0,0.14,0.43,0.57,0.86,0.0,0.14,0.0,0.14,0.0,0.43,0.29,0.71,0.0,0.0,4.0,-0.64,1.0
WHU,DM,3,7.28,1,4,0.11,0.78,0.22,0.33,0.67,0.78,0.33,0.0,0.0,0.89,2.67,0.33,0.67,2.0,0.0,0.0,0.0,1.11,0.33,1.78,0.11,0.0,4.72,-1.06,1.0
EVE,LB,2,7.25,1,5,0.0,1.2,0.0,0.0,2.2,0.4,0.0,0.0,0.8,0.6,2.6,0.6,0.2,0.8,0.0,0.0,0.0,1.0,0.0,1.4,0.0,0.0,6.05,-2.2,1.0
NEW,RM,3,7.25,1,4,0.17,0.67,0.0,0.67,1.17,0.5,0.17,0.0,0.67,0.33,0.5,0.33,0.5,0.33,0.0,0.0,0.0,0.5,0.17,1.17,0.0,0.0,5.25,-0.58,1.0
BUR,WB,2,7.25,1,1,0.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,4.25,0.0,1.0
LUT,FW,4,7.25,1,4,0.12,0.88,0.12,0.5,0.38,1.0,0.12,0.0,0.12,0.25,1.12,1.12,0.0,3.0,0.0,0.0,0.0,1.12,0.25,1.62,0.38,0.12,5.38,-0.75,1.0
ARS,LW,5,7.17,1,5,0.11,0.78,0.22,0.67,0.44,1.56,0.0,0.0,0.44,0.11,0.33,1.56,0.0,0.33,0.0,0.0,0.0,0.67,0.33,0.78,0.22,0.0,4.83,-0.78,1.0
MUN,DM,5,7.09,1,5,0.18,1.27,0.0,0.36,1.27,1.36,0.18,0.0,0.18,0.45,1.45,0.55,0.27,0.82,0.0,0.0,0.0,0.91,0.18,1.45,0.09,0.0,5.36,-1.05,1.0
LIV,LW,2,7.0,1,3,0.4,0.8,0.0,0.4,0.6,1.4,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.4,0.4,1.6,0.6,0.0,3.4,-0.7,1.0
AVL,AM,4,6.83,1,3,0.0,0.83,0.5,0.83,0.0,0.5,0.33,0.0,0.17,0.0,0.17,1.17,0.0,0.17,0.0,0.0,0.0,0.33,0.33,1.5,0.17,0.0,3.83,-0.92,1.0
NEW,CM,2,6.8,1,4,0.0,1.6,0.0,0.4,1.0,1.4,0.4,0.0,0.2,0.4,0.2,1.4,0.6,0.6,0.0,0.0,0.0,0.6,0.0,2.6,0.0,0.0,6.4,-1.5,1.0
WOL,RW,3,6.62,1,3,0.25,0.75,0.5,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,1.25,0.5,1.5,0.25,0.0,1.38,-1.75,1.0
NEW,LB,2,6.6,1,4,0.0,0.4,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.8,2.0,0.0,0.8,2.2,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,4.2,-1.7,1.0
MCI,CB,2,6.58,1,3,0.0,0.17,0.0,0.0,0.83,0.33,0.17,0.0,0.0,1.17,2.33,0.0,0.5,0.33,0.0,0.0,0.0,0.33,0.0,1.0,0.0,0.0,2.58,-1.17,1.0
FUL,LB,2,6.56,1,4,0.0,0.75,0.0,0.0,2.0,0.75,0.25,0.0,0.75,2.5,1.75,1.25,0.25,1.5,0.0,0.0,0.25,1.5,0.0,2.25,0.0,0.0,5.06,-5.12,1.0
CHE,AM,6,6.56,1,4,0.22,1.0,0.11,0.44,0.67,2.22,0.11,0.0,0.44,0.0,0.11,0.89,0.11,0.22,0.0,0.0,0.0,0.44,0.22,0.78,0.11,0.0,3.78,-1.33,1.0
ARS,LM,4,6.5,1,5,0.0,1.11,0.33,0.11,0.78,0.56,0.11,0.0,0.0,0.56,0.67,0.33,0.22,0.67,0.0,0.11,0.0,0.78,0.22,1.33,0.33,0.0,4.39,-0.5,1.0
NOT,CB,4,6.43,1,3,0.0,0.43,0.0,0.14,0.57,0.14,0.14,0.0,0.0,1.14,5.57,0.14,0.86,3.71,0.0,0.0,0.0,1.0,0.0,1.14,0.0,0.0,6.43,-2.07,1.0
CHE,LB,2,6.42,1,2,0.0,0.33,0.0,0.33,1.0,0.0,0.33,0.0,0.33,0.33,3.0,0.33,0.67,1.67,0.0,0.0,0.0,0.67,0.0,1.33,0.0,0.0,4.42,-2.0,1.0
BOU,DM,4,6.4,1,4,0.0,0.6,0.0,0.3,0.8,0.5,0.0,0.0,0.2,1.8,0.9,1.2,0.3,0.7,0.0,0.0,0.0,1.3,0.0,1.2,0.1,0.0,6.2,-0.25,1.0
BRF,CM,6,6.35,1,4,0.0,0.9,0.2,0.4,1.2,0.8,0.0,0.0,0.3,0.5,0.9,0.1,0.3,0.7,0.0,0.1,0.0,1.5,0.1,0.6,0.0,0.0,5.15,-0.4,1.0
EVE,FW,7,6.3,1,5,0.13,0.87,0.07,0.87,0.13,0.93,0.07,0.0,0.07,0.13,0.13,0.53,0.0,1.8,0.0,0.0,0.0,0.6,0.13,0.73,0.4,0.0,4.63,-0.6,1.0
TOT,LB,2,6.3,1,3,0.0,0.8,0.2,0.2,0.8,0.6,0.4,0.0,0.0,1.0,1.6,1.0,0.2,0.2,0.0,0.0,0.0,0.4,0.0,2.4,0.4,0.0,3.7,-1.9,1.0
TOT,DM,4,6.28,1,3,0.11,0.67,0.0,0.67,1.33,1.11,0.22,0.0,0.0,0.56,0.67,0.89,0.33,0.56,0.0,0.0,0.0,0.44,0.11,1.44,0.0,0.0,5.06,-1.0,1.0
WOL,FW,4,6.28,1,4,0.0,1.0,0.22,0.44,1.0,1.0,0.22,0.0,0.11,0.0,0.33,1.44,0.22,0.44,0.0,0.0,0.0,1.44,0.22,1.22,0.56,0.0,4.94,-0.94,1.0
WHU,RW,3,6.21,1,4,0.14,0.29,0.0,0.86,1.0,0.57,0.0,0.0,0.0,0.57,0.0,0.86,0.0,0.71,0.0,0.0,0.0,1.14,0.14,0.57,0.43,0.0,4.79,-0.29,1.0
BOU,FW,2,6.2,1,4,0.2,1.0,0.0,0.6,0.2,1.6,0.0,0.0,0.0,0.4,0.2,0.8,0.0,1.2,0.0,0.0,0.0,1.4,0.2,0.8,0.2,0.0,4.4,-0.8,1.0
MUN,LW,2,6.17,1,4,0.0,0.83,0.33,0.5,0.33,1.5,0.17,0.0,0.17,0.0,0.33,1.5,0.0,0.5,0.0,0.17,0.0,0.67,0.17,0.67,0.33,0.0,4.17,-1.08,1.0
CRY,LW,4,6.1,1,3,0.0,1.2,0.0,0.6,0.6,1.2,0.0,0.0,0.2,0.4,0.4,1.2,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.8,0.0,0.0,5.9,-0.6,1.0
CHE,DM,3,6.0,1,2,0.0,0.25,0.0,0.25,2.25,0.5,0.0,0.0,0.0,0.75,1.0,0.75,0.5,1.5,0.0,0.0,0.0,0.75,0.0,1.25,0.0,0.0,5.75,-0.25,1.0
MUN,FW,5,5.75,1,5,0.2,0.7,0.0,0.7,0.2,1.3,0.0,0.0,0.0,0.0,0.1,1.4,0.1,0.2,0.0,0.0,0.0,1.0,0.2,0.3,0.5,0.0,3.95,-0.65,1.0
BUR,LM,6,5.69,1,5,0.0,1.12,0.12,0.12,0.88,0.62,0.0,0.0,0.12,0.25,1.0,1.25,0.0,0.5,0.0,0.0,0.0,2.0,0.12,0.25,0.5,0.0,4.94,-0.31,1.0
CHE,FW,3,5.58,1,4,0.17,0.67,0.0,1.0,0.33,1.33,0.5,0.0,0.0,0.17,0.5,1.5,0.17,0.5,0.0,0.0,0.0,0.33,0.17,2.33,1.17,0.0,4.08,-1.67,1.0
TOT,CB,3,5.5,1,3,0.0,0.29,0.0,0.0,1.29,0.0,0.29,0.0,0.0,0.86,1.43,0.14,0.57,1.71,0.0,0.0,0.0,0.57,0.0,1.43,0.0,0.0,3.79,-1.71,1.0
CRY,DM,3,5.5,1,2,0.0,0.75,0.0,0.25,1.5,1.25,0.5,0.0,0.0,1.5,2.5,1.25,0.0,0.75,0.0,0.0,0.0,0.5,0.0,2.5,0.0,0.0,5.0,-1.62,1.0
MUN,RW,4,5.42,1,4,0.0,1.17,0.0,0.67,0.33,0.5,0.0,0.0,0.17,0.5,0.17,0.83,0.0,0.33,0.0,0.0,0.0,0.67,0.0,0.17,0.33,0.0,5.42,-0.25,1.0
NOT,CM,2,5.33,1,2,0.0,0.67,0.0,0.0,1.0,0.33,0.0,0.0,0.0,2.33,0.67,0.67,0.0,0.33,0.0,0.0,0.0,1.0,0.0,0.67,0.0,0.0,5.33,-0.17,1.0
ARS,RM,2,5.29,1,5,0.14,0.86,0.0,0.71,0.57,1.57,0.14,0.0,0.14,0.29,0.14,0.71,0.0,0.14,0.0,0.0,0.0,0.86,0.14,1.14,0.0,0.0,3.86,-1.07,1.0
LUT,CB,6,5.2,1,4,0.07,0.29,0.07,0.14,1.14,0.21,0.14,0.0,0.0,1.36,2.5,0.36,0.21,2.29,0.0,0.0,0.0,1.21,0.14,1.14,0.0,0.0,3.98,-2.82,1.0
WHU,LB,1,5.18,1,4,0.0,0.57,0.29,0.0,0.86,0.29,0.29,0.0,0.14,0.86,1.86,0.57,0.14,0.29,0.0,0.14,0.0,0.86,0.14,1.43,0.0,0.0,2.32,-2.43,1.0
BRF,FW,5,5.12,1,4,0.25,0.38,0.0,0.5,0.25,0.75,0.0,0.0,0.0,0.25,0.12,0.25,0.12,1.25,0.0,0.0,0.0,1.38,0.25,0.75,0.5,0.12,2.88,-0.38,1.0
NEW,LM,3,5.07,1,4,0.0,0.57,0.0,0.57,1.29,0.57,0.0,0.0,0.14,0.14,1.0,0.86,0.0,0.71,0.0,0.0,0.0,0.43,0.0,1.29,0.0,0.0,4.79,-0.29,1.0
LUT,LW,2,5.0,1,1,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,5.0,-0.25,1.0
CRY,RW,1,5.0,1,3,0.0,0.67,0.0,0.67,1.67,1.67,0.67,0.0,0.33,0.33,0.33,1.0,0.0,2.33,0.0,0.0,0.0,1.0,0.0,4.67,0.0,0.0,5.0,-2.17,1.0
WHU,CB,4,4.97,1,4,0.1,0.1,0.0,0.3,0.0,0.1,0.0,0.1,0.0,1.6,3.3,0.1,1.2,1.4,0.0,0.0,0.0,1.2,0.1,1.0,0.0,0.0,2.78,-3.15,1.0
CRY,AM,3,4.83,1,3,0.0,1.0,0.0,0.33,0.0,1.67,0.0,0.0,0.33,0.0,0.0,1.33,0.33,1.33,0.0,0.0,0.0,0.67,0.0,1.0,0.0,0.0,4.5,-0.83,1.0
WOL,RM,2,4.83,1,3,0.0,0.67,0.0,0.33,0.67,1.33,0.33,0.0,0.0,1.33,2.0,2.0,0.33,0.67,0.0,0.0,0.0,2.0,0.0,2.67,0.0,0.0,4.83,-2.67,1.0
FUL,RW,3,4.79,1,4,0.14,0.71,0.0,0.57,0.43,1.14,0.0,0.0,0.29,0.14,0.0,0.43,0.0,0.14,0.0,0.0,0.0,0.86,0.14,0.57,0.0,0.0,3.36,-0.57,1.0
CRY,LM,2,4.75,1,2,0.0,1.0,0.0,1.0,0.5,2.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.75,-1.25,1.0
