,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean)
29,2,6.5,0.0,1.38,0.0,0.25,2.38,0.5,0.0,0.0,0.5,0.62,2.5,0.62,0.12,0.88,0.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,5.75,-3.25,0.62
60,2,6.5,0.0,0.58,0.25,0.08,1.33,0.67,0.25,0.0,0.0,0.83,2.0,0.67,0.25,0.5,0.0,0.0,0.0,0.67,0.17,2.17,0.17,0.0,3.25,-2.17,0.42
32,2,6.44,0.0,0.75,0.0,0.0,1.62,0.75,0.25,0.0,0.62,1.88,2.25,0.88,0.12,1.75,0.0,0.0,0.12,1.62,0.0,2.0,0.0,0.0,4.19,-4.75,0.5
48,4,6.24,0.06,0.18,0.06,0.12,0.71,0.12,0.18,0.0,0.0,0.59,2.82,0.18,0.59,2.18,0.0,0.0,0.0,1.0,0.12,1.71,0.06,0.0,3.12,-2.41,0.47
39,3,6.19,0.0,1.0,0.0,0.5,1.25,0.0,0.0,0.0,1.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,0.0,1.5,0.0,0.5,0.0,0.0,6.19,-0.5,0.5
43,3,6.09,0.09,0.45,0.0,0.36,0.64,0.55,0.09,0.0,0.09,0.55,0.73,0.36,0.27,1.36,0.0,0.0,0.0,0.55,0.09,0.91,0.0,0.0,3.55,-1.55,0.36
24,5,6.08,0.0,1.3,0.1,0.2,0.7,0.6,0.1,0.0,1.0,0.3,0.3,0.7,0.1,1.0,0.0,0.0,0.0,1.1,0.1,0.9,0.1,0.0,4.78,-2.1,0.6
36,2,5.95,0.0,1.2,0.1,0.2,1.3,0.3,0.3,0.0,0.4,0.8,2.0,0.8,0.0,0.4,0.0,0.0,0.0,0.8,0.1,1.4,0.0,0.0,4.65,-2.35,0.4
0,4,5.92,0.0,0.21,0.05,0.0,0.26,0.05,0.11,0.0,0.05,0.89,1.68,0.05,0.95,1.47,0.0,0.0,0.0,0.63,0.05,0.74,0.0,0.0,3.03,-1.5,0.58
49,3,5.82,0.1,0.4,0.0,0.2,0.7,0.5,0.1,0.0,0.2,0.7,1.9,0.1,0.5,1.6,0.0,0.0,0.0,1.0,0.1,0.5,0.1,0.0,3.02,-2.45,0.5
13,6,5.78,0.0,0.39,0.04,0.04,0.78,0.26,0.09,0.0,0.17,1.26,4.52,0.39,0.52,2.83,0.0,0.0,0.0,1.35,0.04,0.57,0.0,0.0,4.96,-3.0,0.52
34,5,5.41,0.0,0.32,0.09,0.05,0.55,0.14,0.05,0.05,0.0,1.23,3.91,0.14,0.73,2.32,0.0,0.0,0.05,0.86,0.09,0.95,0.05,0.0,4.23,-2.43,0.32
42,4,5.38,0.0,0.29,0.0,0.29,0.94,0.18,0.06,0.0,0.06,1.0,1.88,0.06,0.53,0.94,0.0,0.0,0.06,0.71,0.0,0.59,0.0,0.0,3.26,-1.91,0.35
62,5,5.08,0.11,0.11,0.0,0.21,0.32,0.05,0.11,0.05,0.0,1.26,4.63,0.05,1.26,1.95,0.0,0.0,0.0,1.32,0.11,1.21,0.0,0.0,3.39,-3.24,0.53
27,3,4.86,0.0,0.11,0.0,0.0,1.11,0.11,0.33,0.0,0.0,0.44,2.56,0.33,0.33,1.44,0.0,0.0,0.0,0.78,0.0,1.89,0.0,0.0,2.19,-2.28,0.56
40,4,4.58,0.0,1.0,0.0,0.0,0.67,0.5,0.0,0.0,1.0,0.5,1.5,1.0,0.33,0.83,0.0,0.0,0.0,1.17,0.0,0.83,0.0,0.0,4.58,-1.92,0.67
63,1,4.44,0.08,0.54,0.15,0.08,0.92,0.23,0.31,0.0,0.15,1.0,2.23,0.54,0.15,0.46,0.0,0.08,0.0,1.15,0.15,1.77,0.0,0.0,2.13,-3.04,0.54
5,2,4.43,0.0,0.43,0.14,0.71,0.86,0.14,0.29,0.0,0.29,0.71,2.0,0.29,0.71,0.29,0.0,0.0,0.14,1.43,0.14,2.0,0.0,0.0,1.71,-4.21,0.43
46,5,4.0,0.0,1.0,0.0,0.0,0.56,0.56,0.33,0.0,0.0,1.22,3.22,0.33,0.44,0.78,0.0,0.0,0.0,1.33,0.0,2.56,0.11,0.0,2.67,-3.39,0.56
52,4,4.0,0.0,0.5,0.17,0.17,0.5,0.0,0.17,0.17,0.5,0.33,2.0,0.33,0.33,0.5,0.0,0.0,0.0,0.5,0.17,2.33,0.0,0.0,1.83,-2.5,0.67
33,3,3.95,0.0,0.3,0.0,0.1,0.7,0.4,0.2,0.0,0.5,0.9,2.0,0.8,0.2,0.8,0.0,0.0,0.0,1.3,0.0,1.6,0.0,0.0,2.15,-3.0,0.5
38,7,3.62,0.07,0.17,0.03,0.1,1.07,0.17,0.13,0.0,0.0,1.07,2.87,0.2,0.6,1.7,0.0,0.0,0.0,1.47,0.1,1.0,0.0,0.0,2.72,-3.15,0.47
45,7,3.53,0.04,0.5,0.12,0.08,0.62,0.21,0.12,0.0,0.04,0.33,1.88,0.17,0.33,0.92,0.0,0.0,0.04,1.0,0.17,0.79,0.08,0.0,1.49,-2.56,0.62
65,3,3.48,0.0,0.35,0.0,0.15,0.55,0.25,0.2,0.0,0.0,0.7,4.0,0.2,1.1,1.95,0.0,0.0,0.0,1.55,0.0,1.45,0.1,0.0,2.88,-3.62,0.55
1,4,3.38,0.0,0.47,0.0,0.2,0.67,0.13,0.07,0.07,0.0,0.4,0.73,0.2,0.07,0.53,0.0,0.0,0.0,0.47,0.0,1.0,0.13,0.0,1.78,-1.6,0.6
14,4,3.31,0.0,0.67,0.11,0.0,0.67,0.89,0.22,0.0,0.33,0.56,0.78,0.89,0.33,0.44,0.0,0.0,0.0,1.0,0.11,1.33,0.22,0.0,1.86,-2.89,0.44
3,4,3.29,0.05,0.19,0.0,0.14,0.81,0.0,0.05,0.0,0.0,0.52,2.29,0.48,0.52,0.86,0.0,0.0,0.0,1.33,0.05,0.67,0.1,0.0,1.67,-2.76,0.33
15,3,3.25,0.0,0.45,0.09,0.18,1.18,0.55,0.27,0.0,0.09,0.36,1.0,0.64,0.09,0.64,0.0,0.0,0.0,0.82,0.09,1.73,0.0,0.0,2.07,-2.45,0.55
67,1,3.21,0.0,0.33,0.0,0.0,1.67,0.67,0.5,0.0,0.67,1.33,2.83,1.67,0.5,0.33,0.0,0.0,0.0,2.0,0.0,3.33,0.0,0.0,2.21,-5.33,0.33
31,4,3.12,0.05,0.0,0.0,0.11,0.84,0.32,0.16,0.11,0.0,0.79,3.63,0.11,0.26,1.42,0.0,0.0,0.0,1.32,0.05,1.84,0.0,0.0,0.7,-3.84,0.53
54,6,2.84,0.0,0.25,0.0,0.25,0.88,0.38,0.5,0.0,0.0,0.38,1.62,0.5,0.12,0.75,0.0,0.0,0.0,0.75,0.0,2.5,0.25,0.0,1.34,-2.69,0.0
7,4,2.75,0.06,0.29,0.0,0.18,0.71,0.06,0.24,0.0,0.06,0.88,2.65,0.18,1.12,1.88,0.0,0.0,0.0,1.88,0.06,1.12,0.0,0.0,2.16,-4.26,0.65
30,2,2.75,0.0,0.6,0.1,0.0,1.3,0.4,0.4,0.0,0.4,0.8,1.0,0.4,0.2,0.3,0.0,0.0,0.0,1.2,0.1,1.9,0.0,0.0,1.45,-3.4,0.7
10,4,2.67,0.0,0.29,0.05,0.05,0.81,0.1,0.19,0.0,0.0,0.76,3.05,0.57,0.95,1.19,0.0,0.0,0.0,1.76,0.05,1.29,0.0,0.0,1.76,-3.95,0.48
9,2,2.41,0.0,0.27,0.09,0.09,1.82,0.27,0.18,0.0,0.0,0.73,1.82,0.09,0.45,0.45,0.0,0.0,0.0,1.45,0.09,1.64,0.0,0.0,1.68,-2.86,0.64
53,3,2.33,0.0,0.33,0.0,0.17,1.0,0.5,0.33,0.0,0.17,0.83,1.67,0.33,0.0,0.83,0.0,0.0,0.0,0.67,0.0,2.0,0.17,0.0,2.33,-2.25,0.33
58,6,2.03,0.06,0.28,0.06,0.17,0.39,0.83,0.11,0.0,0.39,0.61,1.83,0.61,0.39,0.56,0.0,0.0,0.0,1.5,0.06,1.17,0.17,0.0,0.75,-3.42,0.44
57,1,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,-2.0,1.0
66,4,1.54,0.0,0.31,0.0,0.0,0.85,0.77,0.15,0.0,0.23,0.38,1.23,0.62,0.38,0.62,0.0,0.0,0.08,0.92,0.0,1.15,0.0,0.0,1.08,-2.92,0.31
55,5,1.32,0.0,0.17,0.03,0.07,0.93,0.28,0.28,0.0,0.0,1.24,4.45,0.21,0.93,1.55,0.0,0.0,0.0,2.34,0.03,1.62,0.07,0.0,1.08,-5.38,0.45
11,2,1.31,0.0,0.22,0.0,0.0,1.11,0.78,0.11,0.0,0.56,0.89,2.33,0.78,0.22,1.22,0.0,0.0,0.11,2.0,0.0,1.78,0.0,0.0,0.64,-5.17,0.56
12,3,0.95,0.0,0.5,0.0,0.0,1.0,0.7,0.1,0.0,0.5,0.3,1.2,0.6,0.5,0.3,0.0,0.0,0.0,1.8,0.0,1.3,0.2,0.0,0.35,-4.15,0.5
17,4,0.81,0.0,0.19,0.0,0.14,0.86,0.19,0.19,0.0,0.05,1.19,2.86,0.14,0.86,1.62,0.0,0.0,0.05,2.29,0.0,1.14,0.0,0.0,0.81,-5.29,0.67
37,1,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,-2.5,0.0
16,4,0.0,0.0,0.5,0.0,0.25,0.75,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,2.0,0.25,0.0,0.0,-3.25,0.25
19,3,-0.28,0.0,0.5,0.1,0.0,0.4,0.4,0.2,0.0,0.1,0.7,2.1,0.1,0.5,0.3,0.0,0.0,0.0,2.0,0.1,1.0,0.0,0.0,-0.98,-4.6,0.6
18,3,-0.36,0.0,0.43,0.0,0.0,0.57,0.14,0.29,0.0,0.29,0.57,2.29,0.29,0.57,1.43,0.0,0.0,0.0,2.43,0.0,2.14,0.0,0.0,-0.36,-5.5,0.57
56,2,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,1.5,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-3.5,-8.0,1.0
