Player,Team,Position,FPTS,MIN,GS,LiveRkOv,G,A,PTS,S,SOT,FC,FS,YC,RC,DPT,OFF,PKG,CS,90s,FPts/90
Benson Manuel,BUR,F,6.5,63,1,324.0,0,0,0,2,1,1,1,0,0,1,0,0,0,0.7,9.29
Bernardo Silva,MCI,M,39.0,371,4,136.6,1,1,2,1,1,3,3,2,0,9,0,0,1,4.12,9.47
Bertrand Traore,AVL,M,0.0,8,0,685.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.0
Beto,EVE,F,24.5,252,3,212.2,0,0,0,13,1,3,3,0,0,3,1,0,0,2.8,8.75
Billy Gilmour,BHA,M,54.5,432,5,74.0,0,1,1,6,2,3,5,1,0,6,0,0,0,4.8,11.35
Bobby De Cordova-Reid,FUL,F,44.0,434,5,168.29,2,0,2,11,3,4,7,1,0,7,0,0,1,4.82,9.13
Boubacar Kamara,AVL,M,45.0,674,8,113.62,0,0,0,2,0,14,16,2,0,20,0,0,2,7.49,6.01
Boubacar Traore,WOL,M,4.5,86,0,368.8,0,0,0,0,0,8,0,0,0,8,0,0,0,0.96,4.69
Brennan Johnson,TOT,F,13.5,307,4,264.0,0,0,0,6,2,3,9,0,0,3,2,0,0,3.41,3.96
Bruno Fernandes,MUN,M,112.0,720,8,13.5,2,1,3,25,11,8,7,3,0,17,5,1,2,8.0,14.0
Bruno Guimaraes,NEW,M,67.0,704,8,37.88,1,1,2,7,3,13,18,4,0,25,0,0,3,7.82,8.57
Bryan Mbeumo,BRF,F,93.0,720,8,22.12,4,0,4,17,7,10,8,1,0,13,0,2,1,8.0,11.62
Bukayo Saka,ARS,M,138.5,611,7,1.0,4,2,6,18,9,9,14,1,0,12,1,2,3,6.79,20.4
Callum Hudson-Odoi,NOT,F,29.0,227,3,193.5,1,0,1,3,2,5,3,0,0,5,2,0,1,2.52,11.51
Callum Wilson,NEW,F,58.0,254,2,67.43,4,0,4,15,11,6,1,1,0,9,1,1,2,2.82,20.57
Calvin Bassey,FUL,D,-7.0,123,1,731.0,0,0,0,0,0,1,0,0,1,7,0,0,0,1.37,-5.11
Cameron Archer,SHU,F,25.5,414,5,225.5,1,0,1,4,1,4,5,2,0,10,2,0,0,4.6,5.54
Carlos Baleba,BHA,M,7.0,108,1,362.0,0,0,0,1,0,4,2,1,0,7,0,0,0,1.2,5.83
Carlos Vinicius,FUL,F,23.0,150,1,248.75,1,0,1,5,3,3,1,0,0,3,3,0,0,1.67,13.77
Carlton Morris,LUT,F,82.5,690,8,25.71,3,1,4,23,6,10,4,1,0,13,4,2,0,7.67,10.76
Carney Chukwuemeka,CHE,M,10.0,125,2,298.0,1,0,1,1,1,2,1,2,0,8,0,0,0,1.39,7.19
Casemiro,MUN,M,60.0,648,8,75.88,1,0,1,15,4,11,5,1,0,14,2,0,2,7.2,8.33
Cauley Woodrow,LUT,F,16.5,59,0,274.33,0,0,0,4,1,1,0,0,0,1,0,0,0,0.66,25.0
Charlie Taylor,BUR,D,6.25,450,5,305.75,0,0,0,3,0,7,2,2,0,13,0,0,0,5.0,1.25
Cheick Doucoure,CRY,M,45.5,628,7,104.0,0,0,0,3,1,7,0,2,0,13,0,0,3,6.98,6.52
Cheikhou Kouyate,NOT,M,7.5,55,0,326.67,0,0,0,2,0,0,1,1,0,3,0,0,0,0.61,12.3
Chiedozie Ogbene,LUT,F,28.0,411,4,221.57,0,0,0,7,0,2,12,0,0,2,3,0,0,4.57,6.13
Chris Basham,SHU,D,15.25,311,3,271.12,0,0,0,2,0,3,3,1,0,6,2,0,0,3.46,4.41
Chris Mepham,BOU,D,1.5,31,0,382.0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.34,4.41
Chris Richards,CRY,D,3.0,105,1,597.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1.17,2.56
Chris Wood,NOT,F,20.0,136,1,241.5,1,0,1,2,1,3,1,0,0,3,0,0,1,1.51,13.25
Christian Eriksen,MUN,M,43.0,371,3,127.0,1,1,2,3,2,4,1,0,0,4,0,0,0,4.12,10.44
Christian Norgaard,BRF,M,65.0,670,8,58.62,1,1,2,13,3,11,6,2,0,17,1,0,1,7.44,8.74
Cody Gakpo,LIV,F,45.0,316,5,106.0,2,0,2,11,4,8,9,0,0,8,0,0,0,3.51,12.82
Cole Palmer,CHE,M,41.5,245,2,203.83,1,1,2,8,3,4,5,1,0,7,2,1,1,2.72,15.26
Connor Roberts,BUR,D,-1.0,655,7,727.57,0,1,1,0,0,3,8,2,0,9,0,0,0,7.28,-0.14
Conor Gallagher,CHE,M,63.5,675,8,87.75,0,1,1,7,3,16,11,1,0,19,0,0,3,7.5,8.47
Craig Dawson,WOL,D,29.0,700,8,188.38,0,0,0,5,1,7,4,3,0,16,1,0,1,7.78,3.73
Cristian Romero,TOT,D,86.75,643,8,43.75,2,0,2,7,2,6,8,2,0,12,0,0,3,7.14,12.15
Curtis Jones,LIV,M,1.0,277,4,388.0,0,0,0,3,1,3,3,1,1,12,2,0,1,3.08,0.32
Dan Burn,NEW,D,62.0,720,8,66.38,1,0,1,7,2,6,4,1,0,9,1,0,3,8.0,7.75
Dango Ouattara,BOU,F,15.5,174,2,276.75,0,0,0,5,1,2,3,0,0,2,1,0,1,1.93,8.03
Danilo,NOT,M,17.5,283,4,243.0,0,0,0,3,1,1,1,0,0,1,0,0,0,3.14,5.57
Danny Ings,WHU,F,1.5,28,0,381.0,0,0,0,1,0,2,0,0,0,2,1,0,0,0.31,4.84
Danny Welbeck,BHA,F,26.0,391,6,196.29,1,0,1,9,3,4,7,1,0,7,1,0,0,4.34,5.99
Dara O'Shea,BUR,D,3.0,315,3,339.5,0,0,0,1,0,1,1,0,0,1,0,0,0,3.5,0.86
Darwin Nunez,LIV,F,66.0,305,3,72.86,3,2,5,17,6,5,3,1,0,8,0,0,1,3.39,19.47
David Brooks,BOU,M,28.0,162,1,192.86,1,0,1,7,3,5,1,1,0,8,0,0,0,1.8,15.56
Davinson Sanchez,TOT,D,0.5,75,0,394.0,0,0,0,1,0,2,1,1,0,5,0,0,0,0.83,0.6
Declan Rice,ARS,M,65.5,663,8,71.0,1,0,1,8,4,3,4,0,0,3,0,0,4,7.37,8.89
Dejan Kulusevski,TOT,M,95.0,710,8,19.12,2,0,2,17,6,9,6,1,0,12,3,0,3,7.89,12.04
Diego Carlos,AVL,D,7.25,248,3,313.8,0,0,0,3,1,1,0,0,0,1,1,0,0,2.76,2.63
Diogo Dalot,MUN,D,41.0,563,6,194.14,0,0,0,4,1,7,4,1,0,10,0,0,1,6.26,6.55
Diogo Jota,LIV,F,48.0,281,3,96.0,2,0,2,10,3,9,6,1,1,18,1,0,0,3.12,15.38
Divock Origi,NOT,F,-0.5,54,0,647.5,0,0,0,1,0,1,3,1,0,4,0,0,0,0.6,-0.83
Dominic Calvert-Lewin,EVE,F,37.5,258,3,159.4,2,0,2,11,3,4,0,0,0,4,0,0,1,2.87,13.07
Dominic Solanke,BOU,F,70.0,720,8,38.75,3,1,4,21,8,9,7,1,0,12,2,0,1,8.0,8.75
Dominik Szoboszlai,LIV,M,92.5,720,8,26.62,1,0,1,15,4,9,13,1,0,12,2,0,1,8.0,11.56
