Team,Position,G,SOT,YC,RC,TKW,INT,BS,COS,KP,CLR,DIS,PKD,OG,AER
SHU,LB,0.0,0.0,0.0,0.0,0.5,1.5,0.5,1.5,0.0,2.0,0.0,0.0,0.0,1.0
SHU,RB,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
SHU,WB,0.06,0.17,0.11,0.0,0.83,0.61,1.11,0.61,0.28,2.17,0.83,0.0,0.0,0.5
TOT,CB,0.16,0.16,0.21,0.0,1.74,0.84,1.11,0.26,0.16,3.32,0.05,0.0,0.05,1.89
TOT,LB,0.0,0.08,0.25,0.0,2.33,0.83,0.67,0.67,0.58,2.25,0.67,0.0,0.0,0.5
TOT,RB,0.09,0.09,0.09,0.0,2.0,0.64,2.0,0.55,0.91,2.55,0.27,0.0,0.0,0.18
WHU,CB,0.11,0.16,0.21,0.05,0.68,1.26,1.84,0.05,0.11,4.84,0.05,0.0,0.0,1.95
WHU,LB,0.0,0.0,0.5,0.0,2.5,1.5,1.25,0.75,0.88,3.12,0.25,0.12,0.0,0.62
WHU,RB,0.0,0.0,0.0,0.0,2.44,1.0,1.11,0.11,1.22,2.56,0.33,0.0,0.0,0.89
WOL,CB,0.0,0.15,0.2,0.0,1.1,0.7,1.65,0.2,0.35,4.05,0.25,0.0,0.0,1.95
WOL,LB,0.0,0.0,0.15,0.0,1.46,0.38,0.77,0.62,0.31,1.46,0.77,0.0,0.08,0.62
WOL,RB,0.0,0.0,0.5,0.0,3.17,1.33,1.17,1.67,0.33,2.83,0.67,0.0,0.0,0.33
