Player,Team,Position,GW,FPTS,Ghost Points,Overperformance,HeatStreak,Negative Fpts,Ros Rank,LiveRkOv,LiveRkOvByPos,Ros RankByPos,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,ROS %,MIN
Tyrick Mitchell,CRY,D,8,17.75,11.75,-18,37.0,-0.5,200,85,19,1,1,1,0,2,0,0,3,1,0,0,2,1,1,1,0,1,0,0,0,0,1,43%,90
Dominik Szoboszlai,LIV,M,8,17.5,11.5,-10,37.0,-2.5,200,24,11,1,1,1,0,4,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,2,0,100%,90
Nicolas Jackson,CHE,F,8,17.5,8.5,-25,21.5,0.0,200,87,26,1,0,1,1,1,0,1,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,92%,45
Joachim Andersen,CRY,D,8,17.25,11.25,-1,58.75,-0.5,200,7,2,1,1,1,0,1,0,0,1,1,0,0,1,0,3,1,2,4,0,0,0,0,1,94%,90
Willy Boly,NOT,D,8,17.0,11.0,-3,32.75,0.0,200,29,4,1,1,1,0,0,0,0,2,0,0,0,0,2,8,0,0,5,0,0,0,0,1,74%,90
Diogo Dalot,MUN,D,8,16.75,16.75,-29,35.75,-2.5,200,135,30,1,1,1,0,4,0,1,0,1,0,0,4,2,1,1,0,2,0,0,0,1,0,84%,90
James Maddison,TOT,M,8,16.5,9.5,0,49.0,-0.5,200,2,1,1,1,1,0,4,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,100%,75
Gabriel Martinelli,ARS,M,8,16.0,7.0,-41,29.5,-0.5,200,132,42,1,0,1,1,1,0,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,100%,45
Lewis Dunk,BHA,D,8,15.75,5.75,-57,12.25,-4.0,200,229,58,1,1,1,1,1,0,1,0,0,0,0,1,0,3,1,1,2,0,0,0,2,0,44%,90
Pape Sarr,TOT,M,8,15.0,14.0,-16,23.0,0.0,200,47,17,1,1,1,0,3,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,1,78%,90
James Garner,EVE,M,8,15.0,5.0,-19,44.5,-1.0,200,56,20,1,1,1,1,0,0,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,48%,90
Bobby De Cordova-Reid,FUL,F,8,15.0,6.0,-32,20.0,-1.5,200,122,33,1,1,1,1,1,0,1,2,3,0,0,0,0,0,1,0,1,0,0,0,1,0,18%,77
Ben White,ARS,D,8,14.5,8.5,-5,51.5,0.0,200,35,6,1,1,1,0,2,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,1,99%,90
Harry Toffolo,NOT,D,8,14.5,8.5,-52,0.0,0.0,200,213,53,1,1,1,0,1,0,1,0,0,0,0,1,2,2,0,1,0,0,0,0,0,1,3%,90
Murillo,NOT,M,8,14.5,13.5,-78,0.0,0.0,200,260,79,1,1,1,0,2,0,2,2,0,0,0,0,0,3,2,1,1,0,0,0,0,1,2%,90
Marc Guehi,CRY,D,8,14.25,8.25,-15,40.75,0.0,200,76,16,1,1,1,0,1,0,0,2,0,0,0,0,0,9,1,1,0,0,0,0,0,1,69%,90
Pau Torres,AVL,D,8,14.25,4.25,-38,26.75,-2.0,200,158,39,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,59%,90
Morgan Gibbs-White,NOT,M,8,14.0,13.0,-14,17.0,-0.5,200,37,15,1,1,1,0,4,0,0,2,1,0,0,1,0,0,2,0,1,0,0,0,0,1,99%,90
Tomas Soucek,WHU,M,8,13.5,4.5,-13,40.5,0.0,200,33,14,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,87%,75
Mohammed Kudus,WHU,M,8,13.5,4.5,-70,20.5,-0.5,200,226,71,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,64%,13
Pedro Porro,TOT,D,8,13.0,7.0,-8,34.75,0.0,200,42,9,1,1,1,0,0,0,0,2,0,0,0,0,1,4,0,1,2,0,0,0,0,1,100%,90
Yoane Wissa,BRF,F,8,13.0,7.0,-11,21.0,0.0,200,34,12,1,1,1,0,1,1,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,1,92%,69
Conor Gallagher,CHE,M,8,13.0,7.0,-23,30.5,-0.5,200,65,24,1,1,1,0,1,1,0,2,1,0,0,1,2,0,0,0,1,0,0,0,1,0,82%,90
Jarrad Branthwaite,EVE,D,8,12.75,6.75,-32,20.25,0.0,200,148,33,1,1,1,0,1,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,1,12%,90
Iyenoma Destiny Udogie,TOT,D,8,12.0,6.0,-12,17.25,0.0,200,61,13,1,1,1,0,0,0,0,0,0,0,0,0,0,4,1,1,3,0,0,0,0,1,98%,81
Pedro Neto,WOL,F,8,12.0,6.0,-3,31.0,0.0,200,8,4,1,1,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,97%,90
Harry Maguire,MUN,D,8,12.0,5.0,-72,11.0,-2.0,200,301,73,1,1,1,0,1,1,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,0,7%,90
Vitalii Mykolenko,EVE,D,8,11.75,5.75,-42,28.25,0.0,200,173,43,1,1,1,0,0,0,0,2,0,0,0,0,1,3,1,0,1,0,0,0,0,1,27%,90
Bruno Fernandes,MUN,M,8,11.5,11.5,-1,45.0,0.0,200,10,2,1,1,1,0,1,0,2,1,0,0,0,1,2,0,1,0,1,0,0,0,1,0,100%,90
Darwin Nunez,LIV,F,8,11.5,5.5,-17,28.5,-1.0,200,60,18,1,1,1,0,2,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,100%,90
Gabriel Magalhaes,ARS,D,8,11.0,5.0,-34,22.75,0.0,200,153,35,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,1,85%,90
John McGinn,AVL,M,8,11.0,11.0,-26,30.0,-2.0,200,77,27,1,1,1,0,4,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,0,74%,90
Declan Rice,ARS,M,8,10.5,9.5,-22,18.5,-0.5,200,64,23,1,1,1,0,2,0,0,2,1,0,0,0,3,2,0,1,0,0,0,0,0,1,99%,90
Lyle Foster,BUR,F,8,10.5,4.5,-23,27.5,0.0,200,81,24,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,39%,90
Ollie Watkins,AVL,F,8,10.0,4.0,0,82.5,-0.5,200,4,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,100%,90
Phil Foden,MCI,M,8,10.0,10.0,-8,38.5,-1.0,200,19,9,1,1,1,0,2,0,0,2,2,0,0,0,0,2,4,0,2,0,0,0,1,0,100%,90
Oleksandr Zinchenko,ARS,D,8,10.0,4.0,-41,27.75,0.0,200,167,42,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,96%,74
Ashley Young,EVE,D,8,9.75,3.75,-53,8.5,-2.5,200,217,54,1,1,1,0,0,0,0,1,1,1,0,0,1,1,2,0,2,0,0,0,0,1,12%,90
Andreas Pereira,FUL,M,8,9.5,3.5,-30,18.0,-1.5,200,105,31,1,1,1,0,1,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,88%,70
Ethan Pinnock,BRF,D,8,9.25,9.25,-10,23.25,-4.0,200,53,11,1,1,1,0,0,0,0,1,0,0,0,0,3,17,0,3,2,0,0,0,2,0,96%,90
Alfie Doughty,LUT,M,8,9.0,9.0,-15,65.0,0.0,200,44,16,1,1,1,0,2,0,0,3,0,0,0,1,0,2,0,0,2,0,0,0,1,0,64%,90
Marcus Tavernier,BOU,M,8,9.0,9.0,-45,22.0,-3.0,200,142,46,1,1,1,0,1,0,1,0,6,0,0,1,0,1,7,0,0,0,0,0,3,0,53%,90
William Saliba,ARS,D,8,8.5,2.5,-23,16.75,0.0,200,107,24,1,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,97%,90
Martin Odegaard,ARS,M,8,8.0,7.0,-7,46.5,-1.0,200,18,8,1,1,1,0,2,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,1,100%,90
Alexis Mac Allister,LIV,M,8,8.0,8.0,-57,20.0,-1.0,200,175,58,1,1,1,0,0,0,0,2,2,0,0,0,6,1,1,0,0,0,0,0,2,0,92%,90
Carlos Vinicius,FUL,F,8,8.0,8.0,-48,12.5,-1.5,200,230,49,1,1,1,0,3,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,16%,77
Pelly Ruddock,LUT,M,8,8.0,8.0,-77,13.0,-0.5,200,255,78,1,1,1,0,2,0,0,1,1,0,0,1,1,2,0,1,1,0,0,0,1,0,1%,66
Nathaniel Clyne,CRY,D,8,7.75,1.75,-78,0.0,0.0,200,324,79,1,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1%,90
Dejan Kulusevski,TOT,M,8,7.5,6.5,-9,28.0,-2.5,200,20,10,1,1,1,0,1,0,1,0,5,0,0,2,0,0,3,0,0,0,0,0,0,1,100%,88
Bryan Mbeumo,BRF,F,8,7.5,7.5,-8,26.0,0.0,200,23,9,1,1,1,0,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,2,0,100%,90
Kai Havertz,ARS,F,8,7.5,1.5,-40,18.5,-0.5,200,192,41,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81%,14
Alejandro Garnacho,MUN,M,8,7.5,7.5,-76,10.0,-0.5,200,254,77,1,0,1,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,49%,26
Oliver Norwood,SHU,M,8,7.5,7.5,-48,13.5,-2.5,200,150,49,1,1,1,0,2,0,0,3,1,1,0,0,1,1,0,0,4,0,0,0,3,0,13%,90
Vladimir Coufal,WHU,D,8,7.25,0.25,-7,45.0,-4.0,200,39,8,1,1,1,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,80%,90
Lucas Digne,AVL,D,8,7.0,7.0,-9,17.75,-2.0,200,43,10,1,1,1,0,2,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,0,90%,90
Joao Palhinha,FUL,M,8,7.0,7.0,-61,13.0,-2.0,200,184,62,1,1,1,0,0,0,0,4,0,1,0,0,3,1,0,1,2,0,0,0,1,0,46%,90
Amadou Onana,EVE,M,8,7.0,6.0,-28,24.5,0.0,200,101,29,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,29%,90
Issa Diop,FUL,D,8,7.0,7.0,-51,19.0,-2.5,200,209,52,1,1,1,0,0,0,1,3,1,0,0,0,2,2,0,0,2,0,0,0,1,0,19%,70
Chiedozie Ogbene,LUT,F,8,7.0,7.0,-44,22.5,-1.0,200,207,45,1,1,1,0,1,0,0,2,2,0,0,0,0,0,4,0,0,0,0,0,1,0,2%,90
Jesurun Rak-Sakyi,CRY,M,8,7.0,6.0,-90,6.5,-0.5,200,309,91,1,0,1,0,0,0,0,1,1,0,0,0,2,1,3,0,1,0,0,0,0,1,1%,63
Antonee Robinson,FUL,D,8,6.75,6.75,-33,35.75,-7.0,200,151,34,1,1,1,0,1,0,0,1,0,0,0,1,2,3,3,0,4,0,0,1,1,0,71%,90
Emerson,WHU,D,8,6.75,-0.25,-24,21.25,-6.5,200,114,25,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,2,0,50%,90
Reece Burke,LUT,D,8,6.75,6.75,-39,27.25,-2.5,200,160,40,1,1,1,0,2,0,0,1,1,0,0,0,1,5,0,1,1,0,0,0,1,0,1%,90
Marcus Rashford,MUN,F,8,6.5,6.5,-13,18.0,0.0,200,45,14,1,1,1,0,0,0,1,0,0,0,0,0,0,1,4,0,1,0,0,0,1,0,100%,62
Moises Caicedo,CHE,M,8,6.5,6.5,-65,17.5,-2.0,200,205,66,1,1,1,0,2,0,0,1,0,1,0,0,0,0,1,2,1,0,0,0,1,0,69%,90
Timothy Castagne,FUL,D,8,6.5,6.5,-45,18.5,-2.0,200,185,46,1,1,1,0,1,0,0,0,0,0,0,1,2,2,1,0,2,0,0,0,1,0,50%,90
Luca Koleosho,BUR,F,8,6.5,6.5,-31,18.0,-0.5,200,112,32,1,0,1,0,1,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,2,0,10%,28
Jonny Evans,MUN,D,8,6.5,6.5,-54,25.0,-2.0,200,222,55,1,1,1,0,1,0,0,1,0,0,0,0,1,2,0,1,3,0,0,0,1,0,10%,90
Illia Zabarnyi,BOU,D,8,6.5,6.5,-50,3.75,-6.0,200,202,51,1,1,1,0,0,0,1,1,0,0,0,0,1,10,0,0,6,0,0,0,3,0,7%,90
Luis Sinisterra,BOU,F,8,6.5,6.5,-60,12.5,0.0,200,289,61,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,6%,32
Andrew Robertson,LIV,D,8,6.25,6.25,-6,26.5,-4.0,200,36,7,1,1,1,0,2,0,0,4,0,0,0,1,1,1,0,0,0,0,0,0,2,0,100%,90
Kaoru Mitoma,BHA,M,8,6.0,6.0,-6,33.0,-1.0,200,17,7,1,1,1,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,2,0,100%,90
Casemiro,MUN,M,8,6.0,6.0,-25,18.0,0.0,200,75,26,1,1,1,0,1,0,0,0,0,0,0,2,1,1,0,0,2,0,0,0,1,0,97%,45
Richarlison,TOT,F,8,6.0,6.0,-27,25.5,-1.5,200,93,28,1,1,1,0,0,0,1,2,3,0,0,1,1,0,0,0,3,0,0,0,0,0,96%,45
Dominic Calvert-Lewin,EVE,F,8,6.0,6.0,-36,33.0,-0.5,200,149,37,1,1,1,0,0,0,0,0,1,0,0,0,1,0,2,0,7,0,0,0,0,1,83%,82
Josh Brownhill,BUR,M,8,6.0,6.0,-37,27.5,-0.5,200,121,38,1,1,1,0,1,0,0,2,1,0,0,0,2,3,0,0,1,0,0,0,4,0,46%,90
Rico Lewis,MCI,D,8,6.0,0.0,-79,5.5,0.0,200,332,80,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29%,67
Vitaly Janelt,BRF,M,8,6.0,5.0,-39,22.0,-2.0,200,128,40,1,1,1,0,2,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,1,10%,69
Tom Cairney,FUL,M,8,6.0,0.0,-86,11.0,0.0,200,288,87,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0%,18
Erling Haaland,MCI,F,8,5.5,5.5,-1,22.0,-0.5,200,5,2,1,1,1,0,2,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,1,0,100%,90
Son Heung-Min,TOT,F,8,5.5,5.5,-5,46.0,-0.5,200,11,6,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,100%,75
Douglas Luiz,AVL,M,8,5.5,5.5,-17,21.5,0.0,200,50,18,1,1,1,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,98%,90
Josko Gvardiol,MCI,D,8,5.5,5.5,-26,22.75,-3.0,200,130,27,1,1,1,0,0,0,1,2,2,0,0,0,2,2,0,1,1,0,0,0,1,0,82%,90
Alex Iwobi,FUL,M,8,5.5,5.5,-66,9.5,0.0,200,206,67,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,64%,78
Tim Ream,FUL,D,8,5.5,5.5,-36,13.25,-3.0,200,155,37,1,1,1,0,0,0,0,3,2,0,0,0,1,2,0,0,4,0,0,0,1,0,34%,90
Sofyan Amrabat,MUN,M,8,5.5,5.5,-91,9.0,-0.5,200,317,92,1,1,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,34%,86
Max Kilman,WOL,D,8,5.5,5.5,-40,22.75,-2.0,200,165,41,1,1,1,0,1,0,0,0,0,0,0,0,1,6,0,1,2,0,0,0,1,0,23%,90
Oliver McBurnie,SHU,F,8,5.5,5.5,-38,10.5,-3.0,200,187,39,1,1,1,0,0,0,2,0,2,1,0,0,1,1,1,0,5,0,0,0,3,0,21%,90
Jayden Bogle,SHU,D,8,5.5,-1.5,-56,2.25,-7.0,200,228,57,1,1,1,0,0,1,0,0,2,0,0,0,3,2,1,0,1,0,0,0,3,0,5%,90
Lewis Cook,BOU,M,8,5.5,5.5,-47,17.0,-0.5,200,146,48,1,1,1,0,1,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,3,0,4%,65
Carlos Baleba,BHA,M,8,5.5,5.5,-94,7.0,-2.0,200,328,95,1,1,1,0,0,0,0,0,0,1,0,0,3,0,2,2,1,0,0,0,2,0,4%,90
Serge Aurier,NOT,D,8,5.25,5.25,-35,2.25,-0.5,200,154,36,1,1,1,0,0,0,1,0,1,0,0,0,1,3,1,0,1,0,0,0,0,0,57%,45
Marc Cucurella,CHE,D,8,5.25,5.25,-67,0.0,-4.0,200,281,68,1,1,1,0,1,0,0,3,0,1,0,0,3,1,0,0,1,0,0,0,1,0,52%,90
Luis Diaz,LIV,F,8,5.0,5.0,-26,12.0,-0.5,200,88,27,1,1,1,0,0,0,0,3,1,0,0,0,0,0,2,0,1,0,0,0,2,0,100%,90
Carlton Morris,LUT,F,8,5.0,5.0,-10,47.0,-2.5,200,30,11,1,1,1,0,1,0,1,0,1,1,0,0,0,1,2,0,3,0,0,0,1,0,93%,90
James Ward-Prowse,WHU,M,8,5.0,5.0,-3,40.0,0.0,200,13,4,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,85%,90
Philip Billing,BOU,M,8,5.0,5.0,-31,9.5,-1.5,200,108,32,1,1,1,0,1,0,0,2,3,0,0,0,0,3,0,1,3,0,0,0,3,0,71%,90
Gustavo Hamer,SHU,M,8,5.0,5.0,-24,16.5,0.0,200,67,25,1,1,1,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,60%,65
Cameron Archer,SHU,F,8,5.0,5.0,-46,11.5,-2.0,200,218,47,1,1,1,0,2,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,2,0,11%,78
Tahith Chong,LUT,M,8,5.0,5.0,-92,5.0,0.0,200,318,93,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3%,22
Orel Mangala,NOT,M,8,5.0,4.0,-75,11.0,-1.0,200,247,76,1,1,1,0,1,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1%,82
Ezri Konsa,AVL,D,8,4.75,4.75,-47,17.5,-2.0,200,195,48,1,1,1,0,1,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,23%,90
Auston Trusty,SHU,D,8,4.75,4.75,-84,5.25,-6.5,200,348,85,1,1,1,0,1,0,0,1,1,0,0,0,0,13,0,2,3,0,0,0,3,0,1%,90
Enzo Fernandez,CHE,M,8,4.5,4.5,-29,16.0,-3.0,200,104,30,1,1,1,0,0,0,1,2,2,1,0,0,2,0,1,0,1,0,0,0,1,0,97%,90
Nathan Collins,BRF,D,8,4.5,4.5,-25,15.0,-6.0,200,116,26,1,1,1,0,0,0,0,1,0,1,0,0,2,6,1,1,4,0,0,0,2,0,37%,90
Elliot Anderson,NEW,M,8,4.5,4.5,-34,31.5,-1.0,200,113,35,1,1,1,0,1,0,0,0,2,0,0,0,1,1,2,0,1,0,0,0,2,0,35%,88
Ryan Gravenberch,LIV,M,8,4.5,4.5,-95,5.0,0.0,200,330,96,1,0,1,0,0,0,1,0,0,0,0,0,1,2,1,0,1,0,0,0,1,0,34%,45
Marvelous Nakamba,LUT,M,8,4.5,4.5,-40,19.5,-0.5,200,129,41,1,1,1,0,1,0,0,2,1,0,0,0,0,3,1,0,0,0,0,0,1,0,13%,90
Nicolas Dominguez,NOT,M,8,4.5,3.5,-69,25.0,0.0,200,221,70,1,1,1,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,12%,90
Ibrahim Sangare,NOT,M,8,4.5,3.5,-81,8.0,-1.0,200,265,82,1,1,1,0,1,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,8%,75
Kieffer Moore,BOU,F,8,4.5,4.5,-64,5.0,-0.5,200,342,65,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0%,23
Dan Burn,NEW,D,8,4.25,4.25,-13,45.0,-4.5,200,69,14,1,1,1,0,1,0,1,0,1,0,0,1,1,3,0,0,2,0,0,0,2,0,98%,90
Jarrod Bowen,WHU,M,8,4.0,4.0,-2,38.5,0.0,200,12,3,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,100%,90
Matty Cash,AVL,D,8,4.0,4.0,-14,29.0,-2.5,200,73,15,1,1,1,0,0,0,1,2,1,0,0,0,2,2,0,0,0,0,0,0,1,0,98%,81
Jeremy Doku,MCI,F,8,4.0,4.0,-29,25.5,0.0,200,99,30,1,0,1,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,83%,21
Kurt Zouma,WHU,D,8,4.0,4.0,-20,12.0,-4.0,200,95,21,1,1,1,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,2,0,62%,90
Christian Eriksen,MUN,M,8,4.0,4.0,-38,10.5,-0.5,200,127,39,1,0,1,0,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,60%,45
Elijah Adebayo,LUT,F,8,4.0,4.0,-41,17.0,0.0,200,194,42,1,1,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,7%,66
Vinicius de Souza Costa,SHU,M,8,4.0,4.0,-54,13.0,-0.5,200,164,55,1,1,1,0,0,0,0,1,1,0,0,0,1,4,2,0,1,0,0,0,3,0,4%,90
Cauley Woodrow,LUT,F,8,4.0,4.0,-55,9.0,0.0,200,266,56,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0%,22
Gabriel Jesus,ARS,F,8,3.5,3.5,-35,25.0,-3.5,200,140,36,1,1,1,0,0,0,0,3,3,1,0,0,1,1,3,0,0,0,0,0,0,1,100%,90
Dango Ouattara,BOU,F,8,3.5,3.5,-57,9.5,-0.5,200,270,58,1,1,1,0,1,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,2,0,29%,56
Joel Matip,LIV,D,8,3.5,3.5,-49,9.75,-2.5,200,201,50,1,1,1,0,0,0,0,1,1,0,0,0,1,4,0,2,1,0,0,0,1,0,26%,72
Edson Alvarez,WHU,M,8,3.5,3.5,-74,11.0,0.0,200,244,75,1,1,1,0,0,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,2,0,14%,90
Mads Andersen,LUT,D,8,3.5,3.5,-43,14.0,-2.0,200,178,44,1,1,1,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,1,0,2%,58
Kristoffer Ajer,BRF,D,8,3.5,3.5,-58,8.25,-4.0,200,242,59,1,1,1,0,1,0,0,2,0,0,0,0,0,6,1,0,1,0,0,0,2,0,2%,90
Jairo Riedewald,CRY,M,8,3.5,2.5,-96,0.0,-0.5,200,349,97,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0%,74
Tom Lockyer,LUT,D,8,3.25,3.25,-44,27.0,-4.0,200,181,45,1,1,1,0,0,0,0,1,0,1,0,0,3,5,1,0,1,0,0,0,1,0,16%,80
Chris Richards,CRY,D,8,3.25,3.25,-88,3.0,0.0,200,369,89,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0%,14
Joao Pedro,BHA,F,8,3.0,3.0,-16,21.0,-1.0,200,55,17,1,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,96%,88
Sandro Tonali,NEW,M,8,3.0,3.0,-49,12.0,0.0,200,152,50,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,87%,90
