,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean)
39,17,7.85,0.24,1.35,0.06,0.53,0.41,1.06,0.12,0.0,0.0,0.71,0.47,0.71,0.18,0.65,0.0,0.0,0.0,0.65,0.29,1.12,0.18,0.0,5.32,-0.76,0.29
25,7,7.79,0.43,0.57,0.0,0.43,0.43,0.43,0.14,0.0,0.14,0.29,0.71,1.0,0.14,0.29,0.0,0.0,0.0,0.71,0.43,0.86,0.43,0.0,3.64,-0.5,0.29
27,19,7.71,0.32,0.79,0.11,0.79,0.21,1.0,0.11,0.0,0.16,0.21,0.47,0.47,0.0,1.26,0.0,0.05,0.0,0.68,0.37,0.95,0.58,0.05,4.24,-0.71,0.42
42,16,7.62,0.31,0.56,0.12,0.75,0.38,0.88,0.31,0.0,0.06,0.19,0.25,1.19,0.19,1.0,0.0,0.0,0.0,1.75,0.44,2.12,0.31,0.0,4.06,-1.06,0.38
4,9,7.56,0.22,0.67,0.22,0.44,0.78,1.0,0.22,0.0,0.22,0.33,0.0,1.33,0.11,0.11,0.0,0.0,0.0,0.78,0.44,1.67,0.22,0.0,4.11,-0.94,0.78
53,5,7.5,0.2,1.0,0.2,0.4,1.4,1.2,0.2,0.0,0.2,0.6,0.0,0.4,0.0,0.2,0.0,0.0,0.0,1.0,0.2,2.4,0.0,0.2,4.5,-1.0,0.6
58,10,7.5,0.1,1.7,0.1,0.5,0.3,0.9,0.1,0.0,0.1,0.3,0.2,1.3,0.0,0.5,0.0,0.0,0.0,0.6,0.2,0.8,0.2,0.0,6.0,-0.65,0.3
57,15,7.17,0.27,0.53,0.2,0.93,0.13,1.27,0.07,0.0,0.07,0.07,0.07,0.67,0.13,0.67,0.0,0.0,0.0,0.67,0.47,0.93,0.2,0.07,3.57,-0.77,0.53
28,8,7.16,0.12,0.75,0.25,0.62,0.0,0.88,0.0,0.0,0.25,0.12,0.38,1.25,0.0,0.25,0.0,0.0,0.0,0.38,0.38,0.5,0.12,0.0,4.16,-0.44,0.62
14,10,7.1,0.1,0.6,0.2,0.7,0.5,0.4,0.1,0.0,0.3,0.3,0.6,1.1,0.0,0.6,0.0,0.1,0.0,1.0,0.2,1.1,0.3,0.0,4.9,-0.4,0.6
46,7,6.71,0.0,1.14,0.43,0.14,0.29,2.0,0.14,0.0,0.14,0.14,0.43,1.86,0.0,0.29,0.0,0.14,0.0,0.71,0.29,1.29,0.29,0.0,4.14,-1.29,0.57
33,17,6.32,0.29,0.53,0.06,0.65,0.06,1.12,0.0,0.0,0.06,0.18,0.29,0.65,0.12,0.94,0.0,0.0,0.0,0.47,0.29,0.71,0.29,0.0,3.32,-0.56,0.53
12,15,6.23,0.4,0.47,0.0,0.67,0.13,1.8,0.07,0.0,0.0,0.07,1.0,0.6,0.07,1.07,0.0,0.0,0.0,0.8,0.4,0.8,0.2,0.07,2.63,-1.03,0.47
41,10,6.22,0.0,0.8,0.2,0.5,0.6,1.0,0.1,0.0,0.3,0.4,0.4,1.5,0.0,0.4,0.0,0.0,0.0,0.3,0.2,1.1,0.2,0.0,4.92,-0.7,0.6
51,17,6.15,0.24,0.82,0.0,0.76,0.41,1.12,0.24,0.06,0.06,0.41,0.53,0.41,0.24,1.53,0.0,0.0,0.0,1.53,0.24,2.18,0.59,0.06,4.03,-1.44,0.65
9,14,6.04,0.14,0.36,0.14,0.57,0.29,1.0,0.21,0.0,0.0,0.21,0.29,1.29,0.07,1.79,0.0,0.07,0.0,0.43,0.14,1.64,0.29,0.0,3.82,-0.93,0.64
55,9,5.94,0.22,0.89,0.0,0.33,0.33,0.89,0.11,0.0,0.11,0.44,0.22,1.11,0.0,0.33,0.0,0.0,0.0,0.89,0.22,1.44,0.11,0.0,3.94,-0.67,0.56
3,18,5.94,0.28,0.39,0.22,0.61,0.33,1.0,0.17,0.0,0.0,0.0,0.33,0.28,0.11,0.44,0.0,0.0,0.0,1.33,0.44,1.83,0.61,0.0,2.11,-0.83,0.67
19,9,5.89,0.22,0.33,0.0,0.67,0.67,1.0,0.11,0.0,0.22,0.11,0.44,1.44,0.0,0.11,0.0,0.0,0.0,0.89,0.22,1.0,0.56,0.0,3.78,-0.72,0.67
56,9,5.78,0.11,0.89,0.11,0.56,0.67,0.33,0.11,0.0,0.0,0.11,0.0,0.56,0.0,0.11,0.0,0.11,0.0,0.89,0.11,1.11,0.11,0.11,4.11,-0.39,0.56
0,13,5.62,0.23,0.77,0.0,0.46,0.31,0.62,0.08,0.0,0.0,0.0,0.46,0.31,0.15,1.54,0.0,0.0,0.0,1.23,0.23,1.0,0.31,0.0,3.54,-0.46,0.31
24,19,5.5,0.21,0.47,0.16,0.53,0.11,1.42,0.05,0.0,0.05,0.11,0.37,0.47,0.05,1.16,0.0,0.05,0.0,0.58,0.26,0.74,0.47,0.0,2.66,-0.82,0.37
34,10,5.3,0.0,1.0,0.2,0.3,0.5,0.8,0.1,0.0,0.2,0.4,0.4,0.6,0.0,0.6,0.0,0.0,0.0,0.3,0.1,0.5,0.2,0.0,4.0,-0.6,0.3
21,14,4.93,0.14,0.5,0.14,0.5,0.21,1.43,0.14,0.0,0.07,0.07,0.14,0.64,0.07,0.86,0.0,0.14,0.0,0.64,0.14,1.43,0.36,0.0,2.79,-1.0,0.43
1,13,4.81,0.08,0.62,0.0,0.23,0.69,0.54,0.0,0.0,0.0,0.46,0.46,1.08,0.08,0.77,0.0,0.0,0.0,1.31,0.08,0.38,0.15,0.0,4.12,-0.27,0.46
13,10,4.8,0.0,0.9,0.1,0.2,0.3,1.0,0.0,0.0,0.2,0.1,0.3,1.5,0.0,0.6,0.0,0.0,0.0,0.9,0.1,1.0,0.2,0.0,4.1,-0.5,0.5
40,9,4.67,0.0,0.89,0.11,0.11,0.22,0.56,0.0,0.0,0.33,0.33,0.56,1.22,0.0,0.11,0.0,0.0,0.0,0.44,0.11,0.33,0.11,0.0,3.89,-0.28,0.56
44,8,4.62,0.0,1.0,0.12,0.25,0.25,1.12,0.12,0.0,0.12,0.5,0.12,1.0,0.0,0.62,0.0,0.0,0.0,1.0,0.12,1.0,0.62,0.0,3.62,-1.06,0.5
18,14,4.61,0.14,0.57,0.14,0.29,0.14,0.86,0.07,0.0,0.0,0.07,0.5,0.64,0.0,0.93,0.0,0.0,0.0,0.93,0.29,1.14,0.29,0.0,2.46,-0.57,0.36
23,10,4.55,0.0,1.3,0.0,0.0,0.8,0.8,0.1,0.0,0.3,0.3,0.4,0.7,0.0,0.5,0.0,0.0,0.0,0.4,0.0,1.4,0.0,0.0,4.35,-0.6,0.6
37,9,4.39,0.22,0.22,0.11,0.56,0.33,0.56,0.56,0.0,0.0,0.33,0.33,0.78,0.0,0.22,0.0,0.0,0.0,1.33,0.22,2.56,0.0,0.0,1.72,-1.39,0.56
45,12,3.96,0.17,0.42,0.08,0.5,0.17,1.25,0.08,0.08,0.0,0.17,0.5,0.58,0.0,1.17,0.0,0.0,0.0,0.58,0.25,0.92,0.33,0.0,1.96,-1.38,0.58
43,8,3.88,0.0,0.62,0.12,0.25,0.38,1.25,0.12,0.0,0.12,0.25,0.5,0.88,0.12,0.75,0.0,0.0,0.0,1.12,0.12,1.38,0.25,0.0,3.0,-0.88,0.5
30,14,3.71,0.07,0.43,0.07,0.5,0.36,1.21,0.07,0.0,0.0,0.07,0.36,0.79,0.14,0.36,0.0,0.0,0.0,1.5,0.14,0.79,0.5,0.0,2.64,-0.75,0.5
20,12,3.67,0.0,0.5,0.08,0.42,0.5,0.92,0.08,0.0,0.25,0.33,0.0,0.58,0.0,0.25,0.0,0.0,0.0,0.75,0.08,0.75,0.25,0.0,3.0,-0.62,0.67
22,11,3.64,0.09,0.45,0.0,0.36,0.27,0.73,0.09,0.0,0.0,0.18,0.18,0.82,0.0,0.73,0.0,0.0,0.0,0.36,0.09,0.64,0.18,0.0,2.73,-0.55,0.64
52,7,3.64,0.0,0.43,0.0,0.43,0.29,1.29,0.0,0.0,0.14,0.29,0.29,1.71,0.0,0.29,0.0,0.0,0.0,0.86,0.0,1.0,0.29,0.0,3.64,-0.64,0.71
7,8,3.44,0.12,0.12,0.0,0.5,0.62,1.62,0.12,0.0,0.0,0.25,0.12,1.0,0.0,0.5,0.0,0.0,0.0,1.12,0.12,1.88,0.25,0.0,2.31,-1.06,0.38
2,12,3.25,0.0,0.67,0.08,0.08,0.5,0.58,0.08,0.0,0.0,0.42,0.42,0.67,0.0,0.25,0.0,0.0,0.0,1.25,0.08,0.92,0.08,0.0,2.75,-0.46,0.33
36,18,2.28,0.0,0.67,0.11,0.11,0.17,0.94,0.17,0.06,0.06,0.0,0.33,0.72,0.06,0.5,0.0,0.0,0.0,1.0,0.11,1.39,0.28,0.0,1.61,-1.19,0.67
38,8,2.0,0.0,0.25,0.12,0.0,0.75,1.25,0.25,0.0,0.0,0.5,0.25,0.5,0.0,0.25,0.0,0.0,0.0,1.5,0.0,2.0,0.12,0.0,1.25,-1.12,0.5
