,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
77,vsNOT,DM,5,11.85,0.4,0.6,0.2,0.6,1.4,0.2,0.0,0.2,1.0,2.6,0.6,0.0,0.0,0.0,1.2,0.2,0.6,1.4,0.2,0.0,8.05,-1.4,0.6,1.0,21.45,216.0,132.0,-16.0,21.0,29.0,-12.0
32,vsCHE,DM,7,11.46,0.0,1.85,0.38,0.15,1.69,0.23,0.0,0.0,2.31,2.31,0.62,0.0,0.0,0.0,0.38,0.62,0.38,2.46,0.0,0.0,9.77,-1.62,0.69,1.0,15.87,320.0,260.0,-16.0,-22.0,-6.0,-26.0
9,vsAVL,RM,4,11.36,0.57,1.0,0.0,1.14,0.43,0.57,0.0,0.29,0.57,1.57,0.0,0.0,0.0,0.0,0.57,0.43,0.57,3.43,0.29,0.0,7.29,-1.5,1.0,1.0,16.86,156.0,104.0,-26.0,3.0,-2.0,5.0
84,vsSHU,RM,6,11.31,0.19,1.48,0.67,0.19,0.76,0.19,0.0,0.38,0.48,1.24,0.0,0.0,0.0,0.0,0.95,0.33,0.67,0.95,0.0,0.0,5.76,-1.02,0.52,1.0,16.73,252.0,139.5,-19.5,-14.5,-18.5,-2.0
28,vsBUR,LM,4,11.2,0.0,2.8,0.4,1.0,1.0,0.4,0.0,0.8,0.4,0.6,0.0,0.0,0.0,0.0,0.2,0.8,0.4,2.2,0.0,0.0,9.8,-1.8,0.4,1.0,17.25,254.0,224.0,-26.0,-30.0,-28.0,-10.0
17,vsBOU,DM,8,10.78,0.0,1.62,0.5,0.5,2.5,0.38,0.0,0.0,0.62,2.12,0.25,0.0,0.0,0.0,0.5,0.38,0.38,2.75,0.0,0.0,8.59,-1.56,0.25,1.0,16.88,366.0,294.0,-32.0,-21.0,-19.0,-18.0
75,vsNOT,AM,7,10.75,0.43,1.29,0.14,1.43,0.57,0.29,0.0,0.14,0.29,0.57,0.0,0.0,0.0,0.0,1.14,0.0,0.57,1.71,0.14,0.14,7.54,-1.64,0.57,1.0,26.07,310.0,210.0,-32.0,-9.0,1.0,-14.0
27,vsBUR,DM,11,10.74,0.26,0.71,0.19,0.93,2.02,0.31,0.0,0.07,1.02,1.0,0.36,0.0,0.0,0.0,0.62,0.43,0.45,2.88,0.29,0.0,8.2,-1.58,0.33,1.0,13.59,442.0,325.0,-48.0,9.25,19.5,-18.25
0,vsARS,AM,5,10.65,0.0,2.4,0.6,0.2,0.8,0.0,0.0,0.2,0.8,0.6,0.0,0.0,0.0,0.0,2.2,0.0,0.6,1.0,0.2,0.0,7.5,-1.05,0.6,1.0,30.7,234.0,172.0,-10.0,-21.0,-22.0,-11.0
10,vsBHA,AM,4,10.62,0.0,1.07,0.8,1.0,0.2,0.27,0.0,0.27,0.4,0.47,0.0,0.0,0.0,0.0,2.07,0.0,0.53,1.87,0.0,0.0,6.58,-1.57,0.53,1.0,29.08,163.0,115.5,-24.5,-3.75,-16.75,1.0
82,vsSHU,DM,10,10.52,0.3,1.2,0.0,1.1,1.6,0.2,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.6,0.4,0.3,1.6,0.3,0.0,8.7,-1.27,0.4,1.0,23.3,438.0,362.0,-48.0,-17.0,-14.0,-3.0
35,vsCRY,AM,3,10.36,0.0,2.36,0.64,0.36,0.73,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.73,0.27,0.36,0.64,1.0,0.0,6.61,-0.98,0.73,1.0,39.5,122.0,82.0,-5.0,-8.0,-9.25,-5.75
48,vsFUL,LM,4,10.12,0.0,2.5,0.0,1.0,1.25,0.0,0.0,0.75,1.0,1.25,0.25,0.0,0.0,0.0,0.5,0.5,0.0,0.75,1.0,0.0,10.38,-0.75,0.5,1.0,7.81,192.0,190.0,-6.0,-30.0,-24.0,-6.0
24,vsBRF,RM,5,9.97,0.11,2.0,0.33,0.11,2.0,0.44,0.0,0.44,0.22,1.0,1.11,0.0,0.0,0.0,1.22,0.22,0.33,2.22,0.0,0.0,7.97,-1.56,0.67,1.0,15.06,195.0,163.0,-26.0,-15.5,-19.5,-2.0
44,vsEVE,RM,5,9.7,0.2,2.4,0.2,0.6,0.6,0.0,0.0,0.8,0.2,0.4,0.2,0.0,0.0,0.0,0.6,0.8,0.4,0.4,0.0,0.0,7.0,-1.1,0.4,1.0,26.0,228.0,170.0,-14.0,-34.0,-30.0,-8.0
99,vsWOL,RM,6,9.6,0.17,1.7,0.17,1.04,1.13,0.3,0.0,0.35,0.7,0.61,0.0,0.0,0.0,0.0,1.13,0.17,0.17,1.96,0.17,0.0,8.34,-1.52,0.7,1.0,21.79,220.5,200.0,-43.5,0.25,-8.25,8.5
15,vsBOU,AM,6,9.57,0.4,1.3,0.0,0.8,0.6,0.0,0.0,0.3,0.7,0.6,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.4,0.0,0.0,6.68,-1.1,0.4,1.0,25.32,200.0,132.0,-12.0,-8.5,1.5,-10.0
85,vsTOT,AM,4,9.54,0.0,3.85,0.15,0.62,0.62,0.31,0.0,0.31,1.15,0.31,0.0,0.0,0.0,0.0,1.85,0.0,0.15,2.46,0.31,0.0,10.02,-1.56,0.54,1.0,15.15,158.0,158.5,-12.5,-34.0,-28.25,-7.75
57,vsLUT,DM,7,9.54,0.0,1.86,0.29,0.14,1.14,0.14,0.0,0.14,1.14,1.14,0.71,0.0,0.0,0.0,0.57,0.43,0.14,2.0,0.0,0.0,8.43,-1.32,0.43,1.0,14.43,292.0,246.0,-14.0,-25.0,-10.0,-23.0
14,vsBHA,RM,6,9.52,0.18,1.64,0.36,0.36,0.55,0.18,0.0,0.36,0.91,0.73,0.0,0.0,0.18,0.0,2.09,0.0,0.36,0.91,0.0,0.0,6.68,-1.34,0.45,1.0,18.23,236.0,172.0,-20.0,-26.5,-25.0,-9.5
25,vsBUR,AM,9,9.45,0.24,1.7,0.12,0.97,0.73,0.12,0.0,0.48,0.24,0.3,0.24,0.0,0.0,0.0,0.94,0.18,0.36,1.48,0.36,0.0,7.85,-1.61,0.45,1.0,19.64,371.0,295.0,-26.0,-59.0,-36.0,-27.0
90,vsWHU,AM,4,9.38,0.0,2.0,0.5,0.25,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,1.75,0.0,0.5,0.5,0.25,0.0,7.44,-1.56,0.5,1.0,16.75,166.0,136.0,-18.0,-16.0,-17.0,-7.0
81,vsSHU,CM,9,9.35,0.13,0.87,0.23,0.19,1.68,0.19,0.0,0.0,1.32,0.77,0.13,0.0,0.0,0.0,1.03,0.29,0.35,1.55,0.06,0.0,7.26,-0.94,0.48,1.0,16.89,267.0,201.0,-21.0,23.0,24.0,-8.0
23,vsBRF,LM,5,9.33,0.22,0.56,0.22,0.44,1.33,0.0,0.0,0.56,0.56,1.56,0.0,0.0,0.0,0.0,1.11,0.22,0.44,0.44,0.0,0.0,6.44,-0.89,0.67,1.0,5.5,168.0,112.0,-8.0,0.0,4.0,-8.0
60,vsMCI,AM,2,9.25,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,2.5,0.0,0.5,1.0,0.0,0.0,6.0,-1.25,0.5,1.0,32.25,78.0,52.0,-10.0,-4.0,-4.0,0.0
65,vsMUN,AM,6,8.96,0.0,2.19,0.38,0.33,0.19,0.19,0.0,0.33,0.76,0.0,0.29,0.0,0.0,0.0,0.95,0.62,0.19,0.57,0.0,0.0,6.8,-0.98,0.29,1.0,13.7,210.0,170.0,-18.0,-21.75,-27.25,-2.5
20,vsBRF,AM,6,8.82,0.0,2.26,0.35,0.52,0.48,0.17,0.0,0.48,1.0,0.7,0.17,0.0,0.0,0.0,1.65,0.0,0.35,1.57,0.0,0.0,7.99,-1.61,0.3,1.0,17.89,236.0,215.0,-27.0,-33.25,-31.25,-10.0
29,vsBUR,RM,4,8.4,0.0,1.2,0.2,0.6,1.2,0.2,0.0,0.4,1.4,0.4,0.4,0.0,0.0,0.0,0.2,0.8,0.2,1.6,0.0,0.0,7.75,-1.55,0.4,1.0,15.8,174.0,158.0,-24.0,-6.0,-3.0,-7.0
37,vsCRY,DM,6,8.18,0.18,0.55,0.0,0.18,2.14,0.36,0.0,0.18,0.91,0.77,0.14,0.0,0.0,0.0,0.86,0.14,0.18,2.45,0.0,0.18,8.22,-1.81,0.73,1.0,16.93,146.5,145.5,-38.0,33.5,35.25,-1.75
59,vsLUT,RM,5,8.14,0.22,0.67,0.22,0.56,0.67,0.0,0.0,0.22,0.44,1.33,0.0,0.0,0.0,0.0,0.56,0.44,0.44,0.56,0.22,0.0,5.39,-1.25,0.44,1.0,23.17,159.0,95.0,-4.0,-12.5,2.0,-18.5
39,vsCRY,RM,8,8.13,0.27,1.4,0.0,0.4,1.07,0.13,0.0,0.4,0.33,0.53,0.27,0.0,0.0,0.0,0.33,0.67,0.27,1.13,0.4,0.13,6.4,-1.33,0.47,1.0,13.72,249.0,195.0,-38.0,-5.0,-3.0,-2.0
38,vsCRY,LM,8,8.07,0.0,0.87,0.27,0.6,1.13,0.13,0.0,0.53,0.8,1.07,0.13,0.0,0.0,0.0,0.73,0.53,0.27,1.67,0.2,0.0,7.18,-1.38,0.47,1.0,14.9,231.0,196.0,-25.0,11.0,19.5,-16.5
66,vsMUN,CM,12,7.98,0.17,0.83,0.0,0.42,1.08,0.33,0.0,0.08,2.0,1.83,0.17,0.0,0.0,0.0,1.33,0.25,0.17,2.33,0.0,0.0,7.58,-1.35,0.33,1.0,18.73,364.0,328.0,-48.0,19.0,36.0,-17.0
94,vsWHU,RM,5,7.93,0.0,1.82,0.53,0.29,0.53,0.24,0.0,0.0,0.59,0.94,0.0,0.0,0.0,0.0,1.18,0.18,0.53,2.0,0.71,0.0,5.62,-1.57,0.59,1.0,31.1,134.5,96.0,-18.5,0.25,-0.5,-8.25
30,vsCHE,AM,4,7.88,0.25,1.5,0.0,0.5,0.75,0.25,0.0,0.75,1.0,0.75,0.25,0.0,0.0,0.0,0.25,0.75,0.25,1.0,0.25,0.25,7.44,-2.31,0.5,1.0,18.81,146.0,128.0,-26.0,-20.0,-9.0,-11.0
70,vsNEW,AM,7,7.86,0.43,1.43,0.0,0.57,0.43,0.14,0.0,0.14,0.71,0.43,0.29,0.0,0.0,0.0,2.86,0.29,0.43,2.29,0.0,0.0,5.68,-1.68,0.71,1.0,14.68,266.0,188.0,-30.0,-46.0,-29.0,-17.0
16,vsBOU,CM,9,7.73,0.13,0.71,0.06,0.65,1.84,0.23,0.13,0.13,0.71,0.58,0.29,0.0,0.0,0.0,0.68,0.45,0.19,2.58,0.0,0.0,7.78,-2.11,0.65,1.0,19.98,207.0,200.0,-55.0,32.75,41.25,-10.5
91,vsWHU,CM,15,7.57,0.14,1.59,0.07,0.36,1.2,0.21,0.0,0.27,0.77,1.04,0.14,0.07,0.0,0.0,1.5,0.11,0.21,2.27,0.0,0.07,7.38,-1.7,0.46,1.0,18.4,455.0,422.0,-69.0,-31.0,-9.0,-26.0
86,vsTOT,CM,11,7.55,0.09,0.82,0.18,0.45,0.82,0.09,0.0,0.36,0.73,1.55,0.45,0.0,0.09,0.0,1.64,0.18,0.18,1.18,0.0,0.0,6.5,-1.23,0.55,1.0,12.3,318.0,252.0,-26.0,14.0,34.0,-28.0
7,vsAVL,DM,7,7.39,0.0,1.29,0.14,0.14,1.14,0.14,0.0,0.0,1.71,1.71,0.57,0.0,0.0,0.0,2.86,0.0,0.14,2.0,0.0,0.0,7.75,-1.36,0.29,1.0,15.18,240.0,228.0,-12.0,-33.0,-11.0,-26.0
56,vsLUT,CM,11,7.21,0.0,1.15,0.08,0.4,1.02,0.32,0.0,0.1,1.1,1.02,0.35,0.0,0.0,0.0,0.92,0.38,0.08,2.78,0.1,0.0,8.09,-1.78,0.75,1.0,21.11,295.5,294.5,-32.0,-7.0,29.0,-39.0
43,vsEVE,LM,6,7.12,0.0,0.8,0.3,0.1,0.9,0.0,0.0,0.5,1.1,0.2,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,0.2,0.0,5.4,-0.78,0.4,1.0,16.32,147.0,112.0,-9.0,-4.5,-4.0,-6.5
12,vsBHA,DM,10,6.91,0.18,0.5,0.0,0.18,1.71,0.32,0.0,0.0,0.92,1.08,0.32,0.0,0.0,0.0,1.53,0.0,0.18,2.08,0.0,0.0,6.46,-1.21,0.53,1.0,18.41,212.5,194.0,-44.5,50.0,51.5,-1.5
18,vsBOU,LM,6,6.9,0.17,1.57,0.0,0.52,1.22,0.17,0.0,0.17,0.13,0.83,0.3,0.0,0.0,0.0,0.78,0.35,0.17,1.52,0.0,0.17,6.3,-1.14,0.52,1.0,13.84,170.0,166.0,-36.0,-11.25,-21.0,9.75
96,vsWOL,CM,13,6.89,0.04,0.79,0.0,0.3,1.96,0.09,0.0,0.21,1.13,0.62,0.09,0.0,0.0,0.0,0.98,0.17,0.04,1.4,0.09,0.04,7.72,-1.38,0.68,1.0,15.53,309.0,311.0,-28.0,14.75,51.75,-37.0
36,vsCRY,CM,11,6.89,0.0,1.05,0.1,0.25,1.55,0.2,0.0,0.1,1.15,1.1,0.45,0.0,0.0,0.0,1.0,0.4,0.1,1.75,0.0,0.0,7.7,-1.91,0.5,1.0,12.86,287.0,297.0,-50.0,-11.5,11.0,-26.5
58,vsLUT,LM,6,6.87,0.14,1.81,0.0,0.29,0.57,0.19,0.0,0.38,0.19,0.95,0.19,0.0,0.0,0.0,0.71,0.48,0.14,1.43,0.0,0.0,6.49,-1.38,0.71,1.0,18.48,161.5,147.0,-22.5,-17.25,-10.75,-6.5
33,vsCHE,LM,4,6.81,0.25,1.25,0.0,0.25,1.0,0.25,0.0,0.0,0.75,1.5,0.0,0.0,0.0,0.0,2.25,0.0,0.25,2.25,0.25,0.0,5.88,-1.31,0.5,1.0,16.06,110.0,90.0,-16.0,-1.0,4.0,-5.0
42,vsEVE,DM,5,6.74,0.22,0.94,0.0,0.22,0.61,0.39,0.0,0.17,0.89,0.94,0.61,0.0,0.0,0.0,1.0,0.44,0.22,2.33,0.0,0.22,5.58,-1.29,0.78,1.0,8.33,117.0,92.0,-19.0,4.25,8.5,-4.25
72,vsNEW,DM,10,6.68,0.0,0.9,0.2,0.2,0.8,0.1,0.0,0.1,0.7,1.3,0.1,0.0,0.0,0.0,1.8,0.4,0.1,1.7,0.0,0.0,5.98,-1.1,0.6,1.0,13.95,262.0,218.0,-20.0,5.0,21.0,-24.0
11,vsBHA,CM,13,6.43,0.17,0.54,0.0,0.42,1.04,0.12,0.0,0.08,1.5,0.67,0.33,0.0,0.0,0.0,2.33,0.0,0.17,1.79,0.0,0.0,6.19,-1.26,0.42,1.0,12.04,305.0,273.0,-40.0,3.5,24.0,-20.5
98,vsWOL,LM,7,6.32,0.0,1.96,0.0,0.41,0.59,0.3,0.0,0.89,1.11,0.41,0.11,0.0,0.0,0.0,0.96,0.3,0.0,2.04,0.0,0.0,7.77,-1.59,0.59,1.0,13.19,213.5,236.5,-27.0,-42.75,-26.75,-16.0
87,vsTOT,DM,9,6.22,0.0,0.63,0.07,0.53,1.73,0.0,0.0,0.13,0.9,0.5,0.47,0.0,0.07,0.0,1.73,0.0,0.0,1.53,0.33,0.0,6.92,-1.18,0.33,1.0,12.46,186.0,180.0,-6.0,0.5,27.75,-29.25
73,vsNEW,LM,3,6.19,0.0,1.11,0.0,0.0,1.89,0.33,0.0,0.0,1.56,3.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,1.67,0.33,0.0,7.64,-0.78,0.33,1.0,16.0,49.25,67.25,-18.0,6.5,1.5,11.0
93,vsWHU,LM,5,6.07,0.0,1.0,0.12,0.41,1.71,0.0,0.0,0.29,0.18,0.65,0.0,0.0,0.0,0.0,1.18,0.18,0.12,1.06,0.24,0.0,6.43,-1.35,0.59,1.0,12.35,110.0,107.0,-12.0,-6.75,2.25,-11.0
49,vsFUL,RM,4,6.06,0.0,0.75,0.0,0.5,1.5,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.25,0.25,0.0,6.5,-0.94,0.5,1.0,12.69,106.0,106.0,-8.0,-9.0,-2.0,-7.0
26,vsBUR,CM,9,5.91,0.0,1.45,0.0,0.0,1.45,0.18,0.0,0.27,0.36,0.45,0.36,0.0,0.0,0.0,0.64,0.55,0.0,1.45,0.0,0.0,6.41,-1.05,0.36,1.0,12.57,264.0,276.0,-36.0,-4.0,6.0,-10.0
68,vsMUN,LM,5,5.85,0.0,1.2,0.0,0.2,1.0,0.2,0.0,0.2,1.4,1.6,0.2,0.0,0.0,0.0,1.0,0.2,0.0,1.6,0.8,0.0,7.05,-1.4,0.6,1.0,13.25,130.0,144.0,-18.0,-13.0,-3.0,-10.0
76,vsNOT,CM,13,5.8,0.09,0.45,0.0,0.43,1.34,0.28,0.0,0.09,0.83,0.74,0.09,0.0,0.0,0.0,1.02,0.23,0.09,2.15,0.09,0.0,6.08,-1.28,0.49,1.0,13.21,245.0,238.0,-40.0,27.5,47.75,-20.25
41,vsEVE,CM,12,5.79,0.0,0.87,0.0,0.26,1.65,0.22,0.0,0.17,0.96,0.96,0.09,0.0,0.0,0.0,1.0,0.43,0.0,1.52,0.0,0.0,6.9,-1.54,0.43,1.0,16.27,264.0,282.0,-38.0,2.5,35.5,-33.0
52,vsLIV,DM,10,5.78,0.0,0.5,0.0,0.2,2.0,0.3,0.0,0.1,1.3,1.5,0.7,0.0,0.0,0.0,2.1,0.0,0.0,2.3,0.0,0.0,7.38,-1.6,0.6,1.0,13.5,228.0,262.0,-34.0,3.0,33.0,-30.0
74,vsNEW,RM,4,5.71,0.0,0.85,0.23,0.23,1.08,0.15,0.0,0.23,0.62,0.62,0.0,0.0,0.0,0.0,2.15,0.0,0.23,2.62,0.0,0.0,6.17,-2.08,0.23,1.0,23.62,97.0,84.0,-5.0,-22.75,-3.75,-22.0
1,vsARS,CM,10,5.71,0.11,0.61,0.0,0.22,1.56,0.36,0.0,0.11,0.78,1.17,0.61,0.0,0.0,0.0,1.94,0.06,0.11,2.39,0.11,0.0,6.24,-1.59,0.39,1.0,14.74,185.0,191.5,-44.5,20.5,33.25,-12.75
5,vsAVL,AM,5,5.66,0.25,0.5,0.0,0.25,0.75,0.0,0.0,0.0,0.25,0.88,0.38,0.0,0.0,0.0,1.38,0.25,0.25,0.5,0.75,0.0,4.53,-1.38,0.25,1.0,26.84,92.0,60.0,-8.0,-1.5,12.5,-14.0
71,vsNEW,CM,11,5.65,0.08,0.92,0.0,0.28,1.5,0.1,0.0,0.1,0.8,0.5,0.4,0.0,0.0,0.0,2.55,0.0,0.08,1.32,0.0,0.0,6.24,-1.26,0.35,1.0,15.51,234.0,229.5,-22.5,-8.0,20.0,-28.0
3,vsARS,LM,5,5.62,0.24,0.47,0.12,0.35,1.35,0.47,0.0,0.0,0.24,0.71,0.0,0.0,0.0,0.0,1.0,0.59,0.35,2.53,0.0,0.0,4.09,-1.53,0.12,1.0,10.0,90.0,75.0,-43.0,5.5,-5.5,17.0
51,vsLIV,CM,12,5.6,0.0,0.55,0.0,0.05,1.4,0.38,0.0,0.1,1.0,2.05,0.31,0.0,0.0,0.0,1.95,0.0,0.0,2.38,0.0,0.0,6.94,-1.35,0.38,1.0,17.26,195.0,241.0,-46.0,40.0,50.5,-10.5
46,vsFUL,CM,13,5.22,0.0,0.8,0.0,0.22,1.94,0.16,0.0,0.08,0.78,1.02,0.4,0.0,0.0,0.0,1.24,0.16,0.0,1.9,0.0,0.0,6.42,-1.35,0.36,1.0,10.94,280.5,304.5,-32.0,-19.25,16.25,-35.5
47,vsFUL,DM,8,5.05,0.0,0.5,0.0,0.29,0.79,0.43,0.0,0.07,1.43,1.43,0.14,0.0,0.0,0.0,0.29,0.71,0.0,2.71,0.0,0.0,5.64,-1.3,0.86,1.0,19.3,121.0,138.0,-37.0,20.5,20.0,0.5
2,vsARS,DM,10,4.9,0.0,0.7,0.1,0.2,0.9,0.3,0.0,0.1,0.9,1.2,0.6,0.0,0.0,0.0,2.3,0.0,0.1,2.3,0.0,0.0,5.92,-1.72,0.6,1.0,18.23,206.0,224.0,-42.0,-10.0,13.0,-27.0
53,vsLIV,LM,3,4.89,0.0,1.09,0.0,0.73,1.27,0.27,0.0,0.0,0.36,1.91,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.18,0.0,0.0,6.32,-1.43,0.36,1.0,18.43,63.5,74.5,-11.0,-9.75,-5.0,-4.75
22,vsBRF,DM,11,4.81,0.0,0.81,0.0,0.26,0.45,0.36,0.0,0.0,1.14,1.4,0.38,0.0,0.0,0.0,1.64,0.0,0.0,2.64,0.0,0.0,6.18,-1.37,0.24,1.0,12.02,205.5,252.0,-46.5,-3.5,7.5,-11.0
62,vsMCI,DM,6,4.78,0.0,0.5,0.0,0.27,0.45,0.36,0.0,0.0,0.82,2.45,0.95,0.0,0.0,0.0,2.27,0.0,0.0,1.45,0.14,0.0,5.88,-1.09,0.64,1.0,19.26,83.0,106.0,-23.0,22.25,23.25,-1.0
88,vsTOT,LM,3,4.75,0.0,0.67,0.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.33,1.0,0.67,0.0,4.17,-1.75,0.67,1.0,12.83,86.0,76.0,-14.0,-29.0,-26.0,-7.0
31,vsCHE,CM,13,4.62,0.0,0.34,0.0,0.06,1.26,0.4,0.0,0.0,1.15,0.79,0.17,0.0,0.0,0.0,1.53,0.36,0.0,2.38,0.09,0.0,5.69,-1.43,0.21,1.0,11.14,150.5,184.0,-50.5,66.75,83.25,-16.5
50,vsLIV,AM,9,4.59,0.0,1.38,0.0,0.31,1.0,0.12,0.0,0.69,0.38,0.81,0.12,0.0,0.0,0.0,1.5,0.12,0.0,1.06,0.0,0.0,6.17,-1.64,0.75,1.0,15.38,178.0,206.0,-30.0,-31.0,-8.5,-22.5
21,vsBRF,CM,7,4.21,0.0,0.92,0.0,0.17,1.0,0.25,0.0,0.0,0.83,0.5,0.17,0.0,0.0,0.0,1.5,0.17,0.0,2.25,0.0,0.0,5.69,-1.65,0.5,1.0,10.67,128.0,144.0,-20.0,-27.0,-7.5,-19.5
63,vsMCI,LM,7,4.18,0.0,0.8,0.0,0.13,1.07,0.13,0.0,0.0,0.93,1.07,0.4,0.0,0.0,0.0,2.27,0.13,0.0,1.67,0.0,0.0,5.37,-1.32,0.53,1.0,5.27,127.0,149.0,-26.0,-1.5,12.0,-13.5
78,vsNOT,LM,6,3.79,0.0,0.76,0.0,0.52,0.38,0.0,0.0,0.48,0.29,0.19,0.0,0.0,0.0,0.0,0.76,0.19,0.0,0.52,0.0,0.0,5.33,-1.55,0.52,1.0,13.88,84.0,102.5,-18.5,-4.5,9.5,-14.0
40,vsEVE,AM,5,3.57,0.0,0.63,0.0,0.42,0.63,0.16,0.0,0.0,0.21,1.05,0.21,0.0,0.0,0.0,1.21,0.21,0.0,1.21,0.37,0.0,5.59,-2.03,0.37,1.0,9.97,63.5,97.5,-34.0,4.25,8.75,-4.5
6,vsAVL,CM,14,3.52,0.04,0.55,0.0,0.27,0.82,0.24,0.08,0.0,0.51,0.9,0.51,0.0,0.0,0.0,2.63,0.12,0.04,2.84,0.0,0.0,5.02,-1.99,0.53,1.0,8.51,182.0,227.5,-69.5,-9.5,18.5,-28.0
13,vsBHA,LM,5,3.47,0.0,1.22,0.22,0.0,1.0,0.0,0.22,0.0,0.22,0.56,0.0,0.0,0.0,0.0,2.11,0.0,0.22,2.44,0.22,0.0,4.61,-2.69,0.56,1.0,15.42,106.0,117.0,-35.0,-43.5,-34.0,-13.5
8,vsAVL,LM,7,3.17,0.0,0.62,0.0,0.38,0.92,0.15,0.0,0.46,0.0,0.38,0.0,0.0,0.0,0.0,2.15,0.23,0.0,1.46,0.77,0.0,4.33,-1.38,0.54,1.0,6.54,104.0,118.0,-20.0,-21.5,-5.5,-16.0
