,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
1,vsARS,LB,9,3.01,0.0,0.35,0.0,0.12,1.94,0.24,0.0,0.24,0.71,3.29,0.47,0.0,0.0,0.0,2.06,0.0,0.0,2.59,0.0,0.0,6.87,-1.74,0.47,1.0,10.9,19.0,109.0,-90.0,32.25,7.75,60.5
142,vsWest Ham Player Stats,WB,4,3.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,1.5,0.25,1.0,0.75,0.0,0.0,0.0,2.0,0.0,0.0,0.75,0.5,0.0,5.88,-0.88,0.0,1.0,1.44,10.5,28.0,-17.5,1.5,-4.5,14.0
135,vsWHU,WB,4,3.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,1.5,0.25,1.0,0.75,0.0,0.0,0.0,2.0,0.0,0.0,0.75,0.5,0.0,5.88,-0.88,0.0,1.0,1.44,21.0,56.0,-35.0,3.0,-9.0,28.0
34,vsBrighton Player Stats,CB,22,2.95,0.0,0.32,0.05,0.14,1.09,0.41,0.05,0.0,1.23,3.32,1.05,0.0,0.0,0.0,2.18,0.0,0.05,3.09,0.0,0.0,6.56,-1.56,0.41,1.0,12.02,25.75,141.25,-122.5,39.25,3.0,88.25
3,vsAVL,CB,23,2.9,0.0,0.56,0.05,0.05,0.3,0.19,0.0,0.05,1.19,3.4,0.84,0.0,0.0,0.02,2.51,0.09,0.05,1.05,0.26,0.0,5.98,-0.76,0.56,1.0,9.31,63.0,262.5,-237.5,61.5,-5.25,204.75
96,vsManchester City Player Stats,CB,26,2.71,0.04,0.04,0.0,0.12,0.62,0.12,0.0,0.0,1.12,3.62,1.08,0.0,0.0,0.0,2.42,0.08,0.04,1.15,0.08,0.0,5.64,-0.74,0.58,1.0,11.0,17.5,129.5,-134.0,53.0,17.25,114.75
0,vsARS,CB,21,2.66,0.0,0.05,0.0,0.05,0.88,0.2,0.05,0.05,0.88,3.62,1.15,0.0,0.0,0.05,1.95,0.0,0.0,1.7,0.05,0.0,6.04,-1.49,0.4,1.0,8.64,34.25,233.25,-199.0,72.0,8.5,139.5
112,vsNewcastle Utd Player Stats,LB,9,2.64,0.0,0.89,0.11,0.0,0.89,0.33,0.0,0.11,1.11,2.33,0.56,0.0,0.0,0.0,2.67,0.11,0.11,1.56,0.11,0.0,5.72,-0.97,0.44,1.0,13.33,16.75,58.25,-54.5,7.0,-6.75,45.75
14,vsBHA,LB,9,2.56,0.0,1.0,0.0,0.12,1.62,0.31,0.0,0.44,1.06,1.81,0.06,0.0,0.0,0.12,2.25,0.0,0.0,1.62,0.12,0.0,7.09,-2.03,0.5,1.0,15.02,11.75,112.25,-100.5,29.25,1.25,68.0
5,vsAVL,RB,9,2.54,0.0,1.53,0.12,0.0,1.29,0.29,0.12,0.47,1.12,1.18,0.35,0.0,0.0,0.0,2.65,0.12,0.12,2.82,0.12,0.0,6.85,-2.07,0.47,1.0,13.9,29.5,120.0,-116.5,13.75,-3.5,81.25
13,vsBHA,CB,20,2.38,0.0,0.32,0.05,0.11,1.08,0.37,0.05,0.0,1.11,3.45,1.11,0.0,0.0,0.0,2.37,0.0,0.05,3.03,0.0,0.0,6.34,-1.59,0.37,1.0,10.52,21.75,232.75,-225.0,68.75,8.0,164.75
105,vsNEW,LB,9,2.31,0.0,1.0,0.12,0.0,0.88,0.44,0.0,0.12,1.0,2.31,0.5,0.0,0.0,0.0,2.88,0.12,0.12,1.94,0.12,0.0,5.84,-1.16,0.5,1.0,13.06,23.25,104.25,-107.0,13.75,-10.75,88.5
111,vsNewcastle Utd Player Stats,CB,24,2.07,0.0,0.17,0.0,0.04,0.83,0.21,0.0,0.0,1.08,3.5,0.62,0.0,0.0,0.0,2.5,0.08,0.0,1.33,0.0,0.0,5.6,-0.78,0.46,1.0,10.6,12.0,132.0,-132.0,37.75,2.5,113.25
104,vsNEW,CB,22,1.66,0.0,0.19,0.0,0.05,0.74,0.24,0.0,0.0,1.12,3.64,0.55,0.0,0.0,0.0,2.67,0.1,0.0,1.4,0.0,0.0,5.51,-0.8,0.48,1.0,9.48,5.75,229.25,-247.5,64.0,2.25,213.75
2,vsARS,RB,9,1.19,0.0,0.12,0.0,0.0,1.24,0.29,0.0,0.0,0.82,2.53,0.12,0.0,0.0,0.0,2.06,0.0,0.0,1.88,0.12,0.0,4.49,-1.18,0.47,1.0,12.28,-15.25,69.75,-85.0,35.5,6.5,65.0
8,vsArsenal Player Stats,RB,9,0.86,0.0,0.11,0.0,0.0,1.22,0.33,0.0,0.0,0.78,2.56,0.11,0.0,0.0,0.0,2.11,0.0,0.0,2.22,0.11,0.0,4.33,-1.25,0.44,1.0,11.75,-10.75,35.75,-46.5,18.5,3.25,35.25
89,vsMCI,LB,7,0.83,0.0,0.69,0.0,0.0,0.69,0.25,0.0,0.0,1.0,0.62,0.56,0.0,0.0,0.0,2.44,0.12,0.0,1.56,0.19,0.0,3.86,-0.91,0.62,1.0,7.84,-1.0,66.0,-79.0,14.25,-4.25,64.5
91,vsMCI,WB,2,0.75,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,2.0,0.0,0.0,3.0,-1.25,1.0,1.0,2.88,-4.0,13.0,-17.0,7.0,-1.0,12.0
99,vsManchester City Player Stats,WB,2,0.75,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,2.0,0.0,0.0,3.0,-1.25,1.0,1.0,2.88,-2.0,6.5,-8.5,3.5,-0.5,6.0
12,vsAston Villa Player Stats,WB,2,0.5,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,4.62,-2.12,0.0,1.0,12.62,-1.5,9.0,-10.5,2.5,0.25,6.25
95,vsMUN,WB,4,0.44,0.0,0.5,0.0,0.0,1.25,0.75,0.0,0.25,0.75,3.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,3.5,0.0,0.0,5.56,-2.12,0.0,1.0,6.31,-9.0,46.0,-55.0,12.5,-1.5,38.0
103,vsManchester Utd Player Stats,WB,4,0.44,0.0,0.5,0.0,0.0,1.25,0.75,0.0,0.25,0.75,3.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,3.5,0.0,0.0,5.56,-2.12,0.0,1.0,6.31,-4.5,23.0,-27.5,6.25,-0.75,19.0
97,vsManchester City Player Stats,LB,7,0.39,0.0,0.43,0.0,0.0,0.71,0.29,0.0,0.0,1.14,1.43,0.43,0.0,0.0,0.0,2.71,0.14,0.0,1.43,0.29,0.0,3.89,-0.93,0.43,1.0,8.96,-5.75,26.75,-38.5,8.5,0.5,32.0
