Player,Team,Position,LiveRkOv,Status (Pilot),Opponent,FPTS,FP/G,GP,GS,MIN,G,KP,AT,SOT,TKW,YC,RC,PEN,ACNC,INT,CLR,BS,DW,DL,LBA,PKM,PKD,OG,GAO,CS,GW,Ghost Points,Negative Fpts,PTS,DPT,OFF,PKG,GPR,Default FPTS,Default Ghosts,Default Negative FPTS,Status (Default),Delta,Delta Ghosts,Delta Negative FPTS
James Ward-Prowse,WHU,M,16,xxx,CHE 1<br/>@WHU 3 F,19.5,19.5,1,1,80,0,2,2,0,0,0,0,0,0,1,3,1,4,5,0,0,0,0,1,0,2,6.75,-1.25,2,0,0,0,0.35,18.0,6.5,-0.5,Pancake,1.5,0.25,-0.75
Pape Sarr,TOT,M,74,Sean,MUN 0<br/>@TOT 2 F,18.25,18.25,1,1,75,1,1,0,2,2,0,0,0,0,0,0,0,4,1,2,0,0,0,0,1,2,8.5,-0.25,1,0,0,0,0.47,18.5,8.5,0.0,4b. DcbB,-0.25,0.0,-0.25
Emerson,WHU,D,135,ZB,CHE 1<br/>@WHU 3 F,17.75,17.75,1,1,90,0,1,1,0,2,1,0,0,0,3,4,1,7,3,0,0,1,0,1,0,2,12.5,-1.75,0,5,0,0,0.7,15.0,12.0,-4.0,avitek,2.75,0.5,2.25
Martin Odegaard,ARS,M,25,Catts4En,ARS 1<br/>@CRY 0 F,17.5,17.5,1,1,88,1,1,0,2,1,0,0,0,1,0,0,0,4,5,1,0,0,0,0,1,2,8.75,-1.25,1,0,1,1,0.5,17.5,8.0,-0.5,avitek,0.0,0.75,-0.75
Ethan Pinnock,BRF,D,22,Sean,BRF 3<br/>@FUL 0 F,17.5,17.5,1,1,90,0,2,0,0,0,0,0,0,0,2,6,2,8,2,2,0,0,0,0,1,2,12.0,-0.5,0,0,0,0,0.69,22.5,16.5,0.0,4b. DcbB,-5.0,-4.5,-0.5
Lucas Digne,AVL,D,37,tottiand,EVE 0<br/>@AVL 4 F,17.25,17.25,1,1,90,0,1,1,0,0,1,0,0,1,1,2,0,6,5,0,0,0,0,0,1,2,6.5,-2.25,0,5,0,0,0.38,18.5,7.5,-2.0,Kish123,-1.25,-1.0,-0.25
Mathias Jensen,BRF,M,18,Bfred,BRF 3<br/>@FUL 0 F,16.75,16.75,1,1,90,0,4,0,1,3,0,0,0,2,2,3,0,7,4,4,0,0,0,0,1,2,16.75,-1.0,0,1,0,0,1.0,20.0,19.0,0.0,Pancake,-3.25,-2.25,-1.0
Dominik Szoboszlai,LIV,M,15,Boss,BOU 1<br/>@LIV 3 F,16.25,16.25,1,1,90,0,1,1,1,1,0,0,0,0,1,0,0,5,3,4,0,1,0,1,0,2,10.0,-0.75,0,0,0,0,0.62,16.5,11.0,-0.5,Kish123,-0.25,-1.0,-0.25
Douglas Luiz,AVL,M,13,draft,EVE 0<br/>@AVL 4 F,15.75,15.75,1,1,63,1,1,0,1,0,1,0,0,0,1,2,1,2,2,3,0,0,0,0,1,2,7.25,-1.5,1,4,0,1,0.46,15.0,7.0,-2.0,Maddihat,0.75,0.25,0.5
John McGinn,AVL,M,60,KFC,EVE 0<br/>@AVL 4 F,15.0,15.0,1,1,90,1,0,0,1,0,0,0,0,0,0,1,0,7,4,1,0,0,0,0,1,2,6.0,-1.0,1,0,0,0,0.4,16.0,6.0,0.0,W (Thu),-1.0,0.0,-1.0
Gustavo Hamer,SHU,M,105,KFC,SHU 1<br/>@NOT 2 F,14.75,14.75,1,1,90,1,1,0,1,0,1,0,0,0,2,1,0,3,3,3,0,0,0,2,0,2,7.5,-1.75,1,4,0,0,0.51,13.5,7.0,-2.5,XXX,1.25,0.5,0.75
Luis Diaz,LIV,F,127,ZB,BOU 1<br/>@LIV 3 F,14.25,14.25,1,1,85,1,2,0,1,0,0,0,0,0,0,0,0,7,10,1,0,0,0,1,0,2,7.75,-2.5,1,4,0,0,0.54,17.5,9.5,-1.0,Adam,-3.25,-1.75,-1.5
Lucas Paqueta,WHU,M,53,Boss,CHE 1<br/>@WHU 3 F,14.25,14.25,1,1,90,1,2,0,1,2,1,0,0,0,2,1,0,6,17,1,0,0,0,1,0,2,10.5,-5.25,1,4,0,1,0.74,16.0,12.0,-5.0,deceptiv,-1.75,-1.5,-0.25
Antoine Semenyo,BOU,F,170,FA,BOU 1<br/>@LIV 3 F,14.25,14.25,1,1,75,1,1,0,2,0,1,0,0,1,0,0,0,4,7,0,0,0,0,3,0,2,8.0,-2.75,1,4,0,0,0.56,17.0,10.5,-2.5,W (Thu),-2.75,-2.5,-0.25
Jhon Duran,AVL,F,249,FA,EVE 0<br/>@AVL 4 F,14.0,14.0,1,0,15,1,1,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,5.0,0.0,1,0,0,0,0.36,15.5,6.5,0.0,W (Thu),-1.5,-1.5,0.0
Mohamed Salah,LIV,F,3,tottiand,BOU 1<br/>@LIV 3 F,13.5,13.5,1,1,85,1,2,0,3,1,0,0,0,0,0,0,0,2,9,1,1,0,0,1,0,2,9.75,-5.25,1,0,0,0,0.72,14.5,11.0,-5.5,Vroom,-1.0,-1.25,0.25
William Saliba,ARS,D,83,Catts4En,ARS 1<br/>@CRY 0 F,13.5,13.5,1,1,90,0,0,0,0,0,0,0,0,0,2,8,1,3,1,5,0,0,0,0,1,2,7.75,-0.25,0,1,0,0,0.57,13.0,7.0,0.0,avitek,0.5,0.75,-0.25
Taiwo Awoniyi,NOT,F,96,draft,SHU 1<br/>@NOT 2 F,13.5,13.5,1,1,83,1,2,0,1,0,0,0,0,0,0,0,0,6,10,0,0,0,0,1,0,2,7.0,-2.5,1,0,2,0,0.52,17.5,9.5,-1.0,avitek,-4.0,-2.5,-1.5
Pablo Sarabia,WOL,M,263,FA,BHA 4<br/>@WOL 1 F,13.5,13.5,1,0,33,0,2,1,1,1,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,2,7.0,-0.5,1,1,1,0,0.52,14.5,9.0,-0.5,W (Thu),-1.0,-2.0,0.0
Julian Alvarez,MCI,F,10,Boss,NEW 0<br/>@MCI 1 F,13.25,13.25,1,1,90,1,2,0,1,1,1,0,0,0,0,0,0,4,5,0,0,0,0,0,1,2,6.5,-2.25,1,6,0,0,0.49,16.0,9.0,-2.0,dsb_ff,-2.75,-2.5,-0.25
Thomas Partey,ARS,M,255,FA,ARS 1<br/>@CRY 0 F,13.0,13.0,1,1,90,0,1,0,1,3,0,0,0,2,1,1,0,7,1,4,0,0,0,0,1,2,12.25,-0.25,0,0,0,0,0.94,12.0,11.5,-0.5,W (Thu),1.0,0.75,0.25
Matty Cash,AVL,D,45,Bfred,EVE 0<br/>@AVL 4 F,12.5,12.5,1,1,90,0,1,0,0,0,0,0,0,1,0,3,2,5,4,1,0,0,0,0,1,2,7.5,-1.0,0,0,0,0,0.6,14.75,8.75,0.0,deceptiv,-2.25,-1.25,-1.0
Morgan Gibbs-White,NOT,M,61,Bfred,SHU 1<br/>@NOT 2 F,12.25,12.25,1,1,90,0,4,0,1,1,0,0,0,2,0,0,0,9,7,4,0,0,0,1,0,2,14.0,-1.75,0,1,0,0,1.14,17.0,17.0,0.0,XXX,-4.75,-3.0,-1.75
Trent Alexander-Arnold,LIV,D,84,draft,BOU 1<br/>@LIV 3 F,12.0,12.0,1,1,75,0,3,0,2,1,0,0,0,0,1,1,0,5,1,4,0,0,0,1,0,2,12.25,-0.25,0,0,0,0,1.02,13.25,15.25,-2.0,XXX,-1.25,-3.0,1.75
Cristian Romero,TOT,D,21,TranzOTF,MUN 0<br/>@TOT 2 F,12.0,12.0,1,1,90,0,0,0,0,0,0,0,0,0,1,4,3,1,1,3,0,0,0,0,1,2,6.25,-0.25,0,0,0,0,0.52,11.0,5.0,0.0,Adam,1.0,1.25,-0.25
Ollie Watkins,AVL,F,4,xxx,EVE 0<br/>@AVL 4 F,11.75,11.75,1,1,73,0,3,1,0,0,0,0,0,0,0,1,0,3,8,0,0,1,0,0,1,2,6.75,-2.0,0,0,0,0,0.57,12.0,8.0,-2.0,4b. DcbB,-0.25,-1.25,0.0
Virgil van Dijk,LIV,D,39,draft,BOU 1<br/>@LIV 3 F,11.75,11.75,1,1,90,0,1,0,1,0,0,0,0,0,5,5,0,5,1,1,0,0,0,1,0,2,12.0,-0.25,0,0,0,0,1.02,13.25,15.25,-2.0,Adam,-1.5,-3.25,1.75
Eddie Nketiah,ARS,F,33,Boss,ARS 1<br/>@CRY 0 F,11.75,11.75,1,1,78,0,2,1,0,0,0,0,0,0,0,0,0,5,7,0,0,1,0,0,1,2,6.5,-1.75,0,2,0,0,0.55,12.5,8.0,-1.5,Pancake,-0.75,-1.5,-0.25
Manuel Akanji,MCI,D,168,FA,NEW 0<br/>@MCI 1 F,11.5,11.5,1,1,90,0,1,0,0,0,0,0,0,0,2,3,1,1,0,1,0,0,0,0,1,2,5.5,0.0,0,0,0,0,0.48,11.75,5.75,0.0,dsb_ff,-0.25,-0.25,0.0
Pedro Porro,TOT,D,35,Bfred,MUN 0<br/>@TOT 2 F,11.25,11.25,1,1,87,0,1,0,0,0,0,0,0,1,1,3,1,2,5,3,0,0,0,0,1,2,6.5,-1.25,0,2,0,0,0.58,12.75,6.75,0.0,dsb_ff,-1.5,-0.25,-1.25
Tomas Soucek,WHU,M,55,Bfred,CHE 1<br/>@WHU 3 F,11.25,11.25,1,1,90,0,3,0,0,1,0,0,1,0,5,4,2,4,7,2,0,0,0,1,0,2,14.0,-2.75,0,2,0,0,1.24,15.0,15.0,0.0,dsb_ff,-3.75,-1.0,-2.75
Michail Antonio,WHU,F,139,ZB,CHE 1<br/>@WHU 3 F,11.25,11.25,1,1,75,1,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,1,0,2,3.5,-1.25,1,1,0,0,0.31,11.0,2.5,-0.5,deceptiv,0.25,1.0,-0.75
Hwang Hee-Chan,WOL,F,31,Bfred,BHA 4<br/>@WOL 1 F,10.75,10.75,1,0,34,1,1,0,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,2,4.0,-2.25,1,4,1,0,0.37,11.5,5.0,-2.5,W (Thu),-0.75,-1.0,0.25
Nathan Collins,BRF,D,65,draft,BRF 3<br/>@FUL 0 F,10.75,10.75,1,1,90,0,0,0,0,0,0,0,0,0,0,7,0,4,0,4,0,0,0,0,1,2,4.75,0.0,0,0,0,0,0.44,10.75,4.75,0.0,W (Thu),0.0,0.0,0.0
Chris Wood,NOT,F,165,FA,SHU 1<br/>@NOT 2 F,10.75,10.75,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2.25,-0.5,1,0,0,0,0.21,11.0,2.0,0.0,W (Thu),-0.25,0.25,-0.5
Carney Chukwuemeka,CHE,M,335,FA,CHE 1<br/>@WHU 3 F,10.5,10.5,1,1,45,1,1,0,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,1,0,2,3.5,-2.0,1,4,0,0,0.33,12.0,5.0,-2.0,FA,-1.5,-1.5,0.0
Ben White,ARS,D,23,TranzOTF,ARS 1<br/>@CRY 0 F,10.0,10.0,1,1,90,0,0,0,0,0,0,0,0,0,0,4,2,2,1,1,0,0,0,0,1,2,4.25,-0.25,0,0,0,0,0.42,11.0,5.0,0.0,Vroom,-1.0,-0.75,-0.25
Kieran Trippier,NEW,D,6,Badger12,NEW 0<br/>@MCI 1 F,9.75,9.75,1,1,90,0,1,0,0,0,0,0,0,2,2,2,2,3,1,4,0,0,0,1,0,2,10.0,-0.25,0,1,1,0,1.03,9.5,11.5,-2.0,deceptiv,0.25,-1.5,1.75
Yves Bissouma,TOT,M,104,Bfred,MUN 0<br/>@TOT 2 F,9.75,9.75,1,1,90,0,0,0,0,4,0,0,0,0,1,3,1,10,6,2,0,0,0,0,1,2,10.25,-1.5,0,2,0,0,1.05,8.0,7.5,-0.5,Adam,1.75,2.75,-1.0
Bruno Fernandes,MUN,M,14,ZB,MUN 0<br/>@TOT 2 F,9.5,9.5,1,1,90,0,4,0,1,1,1,0,0,1,1,0,0,4,3,3,0,0,0,2,0,2,11.25,-1.75,0,4,1,0,1.18,12.5,14.5,-2.0,4b. DcbB,-3.0,-3.25,0.25
Raheem Sterling,CHE,F,32,Catts4En,CHE 1<br/>@WHU 3 F,9.25,9.25,1,1,90,0,1,0,0,1,0,0,0,2,0,0,0,12,9,0,0,1,0,3,0,2,11.5,-2.25,0,1,1,0,1.24,10.5,13.0,-2.5,4b. DcbB,-1.25,-1.5,0.25
Micky van de Ven,TOT,D,77,chukdave,MUN 0<br/>@TOT 2 F,9.25,9.25,1,1,90,0,0,0,0,1,0,0,0,0,1,1,1,2,2,0,0,0,0,0,1,2,3.75,-0.5,0,0,0,0,0.41,10.25,4.25,0.0,W (Thu),-1.0,-0.5,-0.5
Ben Davies,TOT,D,314,FA,MUN 0<br/>@TOT 2 F,9.25,9.25,1,0,19,0,0,1,0,1,0,0,0,0,0,1,1,3,4,0,0,0,0,0,0,2,3.25,-1.0,0,0,0,0,0.35,9.75,3.25,-0.5,W (Thu),-0.5,0.0,-0.5
Vinicius de Souza Costa,SHU,M,124,FA,SHU 1<br/>@NOT 2 F,9.25,9.25,1,1,57,0,1,0,1,3,0,0,0,0,2,0,0,6,2,1,0,0,0,1,0,2,9.75,-0.5,0,1,0,0,1.05,9.5,9.5,0.0,W (Thu),-0.25,0.25,-0.5
Rodri,MCI,M,34,TranzOTF,NEW 0<br/>@MCI 1 F,9.0,9.0,1,1,90,0,0,0,0,2,0,0,0,0,0,4,0,9,3,9,0,0,0,0,1,2,8.75,-0.75,0,2,0,0,0.97,7.0,6.0,0.0,Vroom,2.0,2.75,-0.75
Iyenoma Destiny Udogie,TOT,D,75,Sean,MUN 0<br/>@TOT 2 F,9.0,9.0,1,1,69,0,1,0,1,0,1,0,0,0,0,3,0,4,7,0,0,0,0,0,1,2,5.75,-2.75,0,6,1,0,0.64,11.25,7.75,-2.5,Vroom,-2.25,-2.0,-0.25
Kyle Walker,MCI,D,59,Catts4En,NEW 0<br/>@MCI 1 F,9.0,9.0,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,1,2,3.75,-0.75,0,1,1,0,0.42,9.5,4.0,-0.5,Kish123,-0.5,-0.25,-0.25
Casemiro,MUN,M,100,draft,MUN 0<br/>@TOT 2 F,9.0,9.0,1,1,90,0,0,0,2,2,0,0,0,0,1,2,0,7,5,1,0,0,0,2,0,2,10.25,-1.25,0,2,1,0,1.14,8.5,8.5,0.0,dsb_ff,0.5,1.75,-1.25
Andrew Robertson,LIV,D,71,Badger12,BOU 1<br/>@LIV 3 F,8.75,8.75,1,1,90,0,3,0,0,2,0,0,0,0,1,1,0,7,2,2,0,0,0,1,0,2,9.25,-0.5,0,0,0,0,1.06,11.25,13.25,-2.0,Kish123,-2.5,-4.0,1.5
Josko Gvardiol,MCI,D,97,Sean,NEW 0<br/>@MCI 1 F,8.75,8.75,1,1,90,0,0,0,0,1,0,0,0,0,0,0,1,3,4,3,0,0,0,0,1,2,3.75,-1.0,0,0,0,0,0.43,10.0,4.0,0.0,W (Thu),-1.25,-0.25,-1.0
Rico Henry,BRF,D,200,FA,BRF 3<br/>@FUL 0 F,8.75,8.75,1,1,90,0,0,0,0,1,1,0,0,0,2,2,0,3,3,0,0,0,0,0,1,2,4.5,-1.75,0,4,2,0,0.51,8.0,4.5,-2.5,W (Thu),0.75,0.0,0.75
Son Heung-Min,TOT,F,7,Catts4En,MUN 0<br/>@TOT 2 F,8.5,8.5,1,1,90,0,4,0,0,1,0,0,0,0,1,2,0,6,2,0,0,0,0,0,1,2,9.0,-0.5,0,0,0,0,1.06,13.0,13.0,0.0,deceptiv,-4.5,-4.0,-0.5
Dominic Solanke,BOU,F,70,Bfred,BOU 1<br/>@LIV 3 F,8.5,8.5,1,1,90,0,2,1,0,0,0,0,0,0,0,1,0,3,9,0,0,0,0,3,0,2,3.75,-2.25,1,1,1,0,0.44,10.5,6.0,-1.5,4b. DcbB,-2.0,-2.25,-0.75
Ruben Dias,MCI,D,146,FA,NEW 0<br/>@MCI 1 F,8.5,8.5,1,1,90,0,0,0,0,1,0,0,0,0,0,2,0,2,0,2,0,0,0,0,1,2,2.5,0.0,0,0,0,0,0.29,7.5,1.5,0.0,Vroom,1.0,1.0,0.0
Neco Williams,NOT,D,322,FA,SHU 1<br/>@NOT 2 F,8.5,8.5,1,1,90,0,1,0,0,2,0,0,0,1,4,1,1,6,12,1,0,0,0,1,0,2,11.5,-3.0,0,0,0,0,1.35,9.25,12.25,-3.0,W (Thu),-0.75,-0.75,0.0
Joe Worrall,NOT,D,279,FA,SHU 1<br/>@NOT 2 F,8.5,8.5,1,1,90,0,2,0,0,2,0,0,0,0,0,5,0,8,3,4,0,0,0,1,0,2,9.25,-0.75,0,0,0,0,1.09,11.25,13.25,-2.0,W (Thu),-2.75,-4.0,1.25
Joachim Andersen,CRY,D,11,TranzOTF,ARS 1<br/>@CRY 0 F,8.25,8.25,1,1,90,0,0,0,0,0,0,0,0,1,1,3,1,7,3,7,0,0,0,1,0,2,9.0,-0.75,0,1,0,0,1.09,4.75,6.75,-2.0,deceptiv,3.5,2.25,1.25
Pau Torres,AVL,D,142,FA,EVE 0<br/>@AVL 4 F,8.25,8.25,1,1,90,0,0,0,0,0,0,0,0,0,0,3,0,2,1,3,0,0,0,0,1,2,2.5,-0.25,0,0,1,0,0.3,8.75,2.75,0.0,W (Thu),-0.5,-0.25,-0.25
Matheus Cunha,WOL,F,48,chukdave,BHA 4<br/>@WOL 1 F,8.0,8.0,1,1,90,0,3,0,1,1,0,0,0,0,0,1,0,7,5,0,0,0,0,4,0,2,9.25,-1.25,0,0,0,0,1.16,12.5,14.0,-1.5,W (Thu),-4.5,-4.75,0.25
James Maddison,TOT,M,2,Sean,MUN 0<br/>@TOT 2 F,7.75,7.75,1,1,90,0,2,0,1,0,0,0,0,0,0,0,0,5,4,5,0,0,0,0,1,2,7.75,-1.0,0,0,0,0,1.0,8.0,8.0,-1.0,Maddihat,-0.25,-0.25,0.0
Bukayo Saka,ARS,M,5,chukdave,ARS 1<br/>@CRY 0 F,7.75,7.75,1,1,88,0,2,0,0,0,0,0,0,0,1,1,0,8,2,0,0,0,0,0,1,2,7.25,-0.5,0,0,0,0,0.94,7.0,6.5,-0.5,Adam,0.75,0.75,0.0
Luke Shaw,MUN,D,281,Sean,MUN 0<br/>@TOT 2 F,7.75,7.75,1,1,90,0,6,0,0,0,0,0,0,0,0,3,1,3,1,3,0,0,0,2,0,2,10.0,-0.25,0,0,0,0,1.29,11.75,15.75,-4.0,W (Thu),-4.0,-5.75,3.75
Nayef Aguerd,WHU,D,123,KFC,CHE 1<br/>@WHU 3 F,7.75,7.75,1,1,66,1,0,0,1,0,0,1,0,0,3,3,0,1,3,1,0,0,0,1,0,2,6.5,-7.75,1,8,0,0,0.84,6.25,5.75,-9.5,W (Thu),1.5,0.75,1.75
Kristoffer Ajer,BRF,D,160,tottiand,BRF 3<br/>@FUL 0 F,7.75,7.75,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1.0,-0.25,1,0,0,0,0.13,8.5,2.0,-0.5,W (Thu),-0.75,-1.0,0.25
Ezri Konsa,AVL,D,88,W (Fri),EVE 0<br/>@AVL 4 F,7.5,7.5,1,1,90,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,2,1.75,-0.25,0,0,0,0,0.23,7.75,1.75,0.0,W (Thu),-0.25,0.0,-0.25
Conor Gallagher,CHE,M,42,Boss,CHE 1<br/>@WHU 3 F,7.25,7.25,1,1,74,0,0,0,1,1,0,0,0,0,2,2,0,5,2,1,0,0,0,2,0,2,7.75,-0.5,0,1,0,0,1.07,6.5,6.5,0.0,Maddihat,0.75,1.25,-0.5
Scott McKenna,NOT,D,209,FA,SHU 1<br/>@NOT 2 F,7.25,7.25,1,1,90,0,0,0,0,0,0,0,0,0,1,6,0,10,3,2,0,0,0,1,0,2,8.0,-0.75,0,1,0,0,1.1,8.5,10.5,-2.0,W (Thu),-1.25,-2.5,1.25
Eberechi Eze,CRY,M,58,Bfred,ARS 1<br/>@CRY 0 F,6.75,6.75,1,1,90,0,1,0,1,0,0,0,0,1,0,0,0,8,5,0,0,0,0,1,0,2,8.0,-1.25,0,1,0,0,1.19,8.5,9.0,-0.5,XXX,-1.75,-1.0,-0.75
Willy Boly,NOT,D,26,Catts4En,SHU 1<br/>@NOT 2 F,6.5,6.5,1,1,68,0,0,0,1,1,1,0,0,0,3,4,0,3,4,2,0,0,0,1,0,2,8.5,-2.0,0,5,0,0,1.31,4.0,8.0,-4.0,Pancake,2.5,0.5,2.0
Jack Robinson,SHU,D,262,FA,SHU 1<br/>@NOT 2 F,6.5,6.5,1,1,90,0,0,0,0,2,0,0,0,0,4,1,1,4,4,5,0,0,0,2,0,2,9.5,-1.0,0,2,0,0,1.46,4.25,8.25,-4.0,W (Thu),2.25,1.25,3.0
Dejan Kulusevski,TOT,M,68,ZB,MUN 0<br/>@TOT 2 F,6.25,6.25,1,1,87,0,1,0,2,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,1,2,6.25,-1.0,0,0,0,0,1.0,8.0,7.0,0.0,Vroom,-1.75,-0.75,-1.0
Enzo Fernandez,CHE,M,111,draft,CHE 1<br/>@WHU 3 F,6.25,6.25,1,1,90,0,4,0,1,1,0,0,0,1,0,0,0,3,3,4,1,0,0,3,0,2,10.0,-3.75,0,0,0,0,1.6,9.0,13.0,-4.0,avitek,-2.75,-3.0,0.25
Christian Norgaard,BRF,M,56,draft,BRF 3<br/>@FUL 0 F,6.25,6.25,1,1,78,0,0,0,0,3,0,0,0,0,1,1,1,6,7,1,0,0,0,0,1,2,7.0,-1.75,0,2,0,0,1.12,7.0,6.0,0.0,W (Thu),-0.75,1.0,-1.75
Marc Guehi,CRY,D,69,Badger12,ARS 1<br/>@CRY 0 F,6.25,6.25,1,1,90,0,0,0,0,0,0,0,0,0,1,2,2,2,2,9,0,0,0,1,0,2,6.75,-0.5,0,0,0,0,1.08,1.0,3.5,-2.5,W (Thu),5.25,3.25,2.0
Aaron Hickey,BRF,D,240,FA,BRF 3<br/>@FUL 0 F,6.25,6.25,1,1,77,0,0,0,0,0,1,0,0,0,1,0,0,2,3,0,0,0,0,0,1,2,2.0,-1.75,0,5,0,0,0.32,6.0,2.0,-2.0,W (Thu),0.25,0.0,0.25
Harry Wilson,FUL,M,190,FA,BRF 3<br/>@FUL 0 F,6.0,6.0,1,1,90,0,1,0,2,0,0,0,0,1,0,0,0,2,4,0,0,0,0,3,0,2,7.0,-1.0,0,2,0,0,1.17,7.0,7.0,0.0,FA,-1.0,0.0,-1.0
Milos Kerkez,BOU,D,237,FA,BOU 1<br/>@LIV 3 F,6.0,6.0,1,1,90,0,0,0,0,2,0,0,0,1,4,3,0,9,5,0,0,0,0,3,0,2,11.25,-1.25,0,2,0,0,1.88,5.75,11.75,-6.0,W (Thu),0.25,-0.5,4.75
Fabian Schar,NEW,D,57,xxx,NEW 0<br/>@MCI 1 F,5.75,5.75,1,1,90,0,0,0,0,0,0,0,0,0,0,4,2,4,3,6,0,0,0,1,0,2,6.5,-0.75,0,0,0,0,1.13,1.0,4.0,-3.0,Maddihat,4.75,2.5,2.25
Antony,MUN,F,227,TranzOTF,MUN 0<br/>@TOT 2 F,5.75,5.75,1,1,65,0,1,0,0,2,1,0,0,0,2,0,0,7,5,2,0,0,0,1,0,2,8.0,-2.25,0,4,0,0,1.39,3.5,6.0,-2.5,avitek,2.25,2.0,0.25
Jefferson Lerma,CRY,M,186,xxx,ARS 1<br/>@CRY 0 F,5.75,5.75,1,1,90,0,2,0,0,1,0,0,0,0,2,4,0,2,3,0,0,0,0,1,0,2,6.5,-0.75,0,1,0,0,1.13,7.5,7.5,0.0,avitek,-1.75,-1.0,-0.75
Alejandro Garnacho,MUN,M,290,FA,MUN 0<br/>@TOT 2 F,5.75,5.75,1,1,65,0,1,0,1,0,0,0,0,0,1,1,0,4,2,0,0,0,0,1,0,2,6.25,-0.5,0,0,0,0,1.09,6.5,6.5,0.0,W (Thu),-0.75,-0.25,-0.5
