,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
20,BUR,LM,3,4.92,0.0,1.2,0.13,0.0,1.33,0.0,0.0,0.13,0.33,1.53,0.07,0.0,0.0,0.0,0.0,0.0,0.13,0.47,0.53,0.0,0.0,0.0,0.93,1.0,8.85
66,SHU,AM,3,4.81,0.25,1.0,0.0,0.5,0.0,0.25,0.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0,0.25,0.0,0.0,0.0,0.5,1.0,8.38
13,BOU,DM,5,4.76,0.03,0.71,0.0,0.26,0.97,0.09,0.06,0.15,1.44,0.65,0.32,0.0,0.0,0.0,0.0,0.12,0.03,1.79,0.06,0.0,0.0,0.0,0.59,1.0,11.51
49,MCI,CM,3,4.56,0.11,0.56,0.0,0.22,0.89,0.11,0.0,0.0,0.0,0.11,0.22,0.0,0.0,0.0,0.0,0.67,0.11,1.0,0.0,0.0,0.0,0.0,0.22,1.0,9.47
45,LUT,CM,6,4.37,0.0,0.72,0.0,0.12,1.26,0.19,0.0,0.14,0.77,0.7,0.26,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.33,2.0,8.86
30,CRY,LM,3,4.25,0.0,1.0,0.0,0.75,1.0,0.25,0.0,0.0,0.5,1.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.25,0.0,0.0,0.0,0.0,0.5,1.0,17.75
78,WOL,CM,3,4.07,0.03,0.3,0.0,0.17,1.8,0.47,0.07,0.13,1.2,1.2,0.2,0.0,0.0,0.0,0.0,0.13,0.03,3.57,0.0,0.0,0.0,0.0,0.47,1.0,9.48
62,NOT,CM,4,4.05,0.0,0.39,0.0,0.07,0.96,0.36,0.0,0.0,1.57,1.07,0.32,0.0,0.0,0.0,0.0,0.21,0.0,2.71,0.07,0.0,0.0,0.0,0.29,1.0,7.65
57,MUN,RM,2,4.0,0.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,2.88
42,LIV,LM,4,3.23,0.0,0.4,0.0,0.2,1.07,0.13,0.0,0.0,0.53,0.8,0.0,0.0,0.0,0.0,0.0,0.27,0.0,1.4,0.27,0.0,0.0,0.0,0.6,1.0,5.53
40,FUL,RM,4,3.22,0.0,1.25,0.0,0.0,0.75,0.38,0.0,0.25,0.38,0.5,0.38,0.0,0.0,0.0,0.0,0.38,0.0,2.0,0.0,0.0,0.0,0.0,0.5,1.0,7.97
18,BUR,CM,2,2.79,0.0,0.52,0.09,0.0,0.39,0.3,0.0,0.26,0.17,0.26,0.48,0.0,0.0,0.0,0.0,0.0,0.09,2.09,0.0,0.0,0.0,0.0,0.96,1.0,5.52
21,BUR,RM,4,2.57,0.0,1.36,0.0,0.18,0.64,0.0,0.0,0.09,0.18,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.91,1.0,4.89
56,MUN,LM,2,2.38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,14.5
77,WOL,AM,1,1.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
11,BHA,LM,1,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,26.25
