player,team,ftx_position,position,deadball agg,fpts,FKs,CKs,ghost points,negative fpts,gp,passes (dead),touches (att 3rd),prog passes,crosses,crosses (penalty),home
Dominik Szoboszlai,LIV,M,CM,417.0,425.75,72.0,87.0,340.25,-61.5,41.0,249.0,1122.0,293.0,154,18.0,19
Bryan Mbeumo,BRF,F,RW,399.0,524.0,57.0,109.0,335.5,-81.5,41.0,202.0,1101.0,184.0,214,7.0,22
Tyrick Mitchell,CRY,D,LB,395.0,285.75,24.0,0.0,221.5,-35.75,41.0,395.0,621.0,103.0,85,16.0,19
Pedro Porro,TOT,D,RB,379.0,372.25,29.0,22.0,294.5,-46.25,37.0,353.0,775.0,191.0,109,12.0,18
Pedro Neto,WOL,F,RM,377.0,509.25,66.0,93.0,316.25,-60.0,39.0,195.0,1083.0,121.0,288,31.0,19
Vladimir Coufal,WHU,D,RB,362.0,345.75,16.0,0.0,319.75,-38.0,41.0,362.0,544.0,162.0,109,31.0,19
Josh Brownhill,BUR,M,AM,357.0,143.75,44.0,99.0,170.5,-26.75,25.0,161.0,535.0,81.0,89,0.0,10
Milos Kerkez,BOU,D,LB,356.0,92.0,16.0,0.0,237.0,-69.0,38.0,356.0,540.0,58.0,110,20.0,20
Joel Ward,CRY,D,RB,352.0,149.5,22.0,0.0,190.25,-70.75,37.0,352.0,392.0,120.0,42,4.0,15
Dan Burn,NEW,D,LB,342.0,279.5,62.0,0.0,234.75,-49.25,39.0,342.0,401.0,120.0,32,8.0,20
Ben White,ARS,D,RB,339.0,404.75,64.0,0.0,280.25,-29.5,41.0,339.0,744.0,207.0,54,18.0,23
Nelson Semedo,WOL,D,RB,337.0,179.25,36.0,0.0,279.25,-58.0,37.0,337.0,497.0,136.0,73,8.0,19
Connor Roberts,BUR,D,RB,336.0,19.0,44.0,0.0,142.0,-55.0,36.0,336.0,452.0,156.0,36,8.0,20
Antonee Robinson,FUL,D,LB,330.0,215.0,43.0,0.0,314.25,-75.25,37.0,330.0,616.0,128.0,128,21.0,14
Max Aarons,BOU,D,RB,327.0,111.25,34.0,0.0,218.5,-45.25,37.0,327.0,395.0,105.0,31,8.0,23
Iyenoma Destiny Udogie,TOT,D,LB,325.0,271.5,29.0,0.0,249.5,-82.0,38.0,325.0,683.0,180.0,28,0.0,18
Kyle Walker,MCI,D,RB,322.0,340.5,44.0,0.0,235.75,-29.25,45.0,322.0,1057.0,227.0,74,6.0,18
Enzo Fernandez,CHE,M,LM,318.0,266.5,94.0,72.0,311.5,-75.0,38.0,178.0,910.0,354.0,120,4.0,20
Lewis Dunk,BHA,D,CB,286.0,200.75,163.0,0.0,273.0,-36.25,41.0,286.0,210.0,229.0,10,4.0,23
Diogo Dalot,MUN,D,LB,283.0,260.0,32.0,0.0,269.75,-29.75,33.0,283.0,708.0,154.0,107,25.0,19
Matty Cash,AVL,D,RM,267.0,337.25,28.0,0.0,288.0,-72.75,41.0,267.0,577.0,98.0,40,6.0,19
Timothy Castagne,FUL,D,RB,262.0,166.5,12.0,0.0,163.75,-29.25,25.0,262.0,534.0,110.0,78,12.0,14
Vitalii Mykolenko,EVE,D,LB,258.0,249.5,0.0,0.0,227.75,-30.25,25.0,258.0,373.0,44.0,49,7.0,14
Phil Foden,MCI,M,RW,256.0,380.25,44.0,88.0,291.5,-49.25,39.0,140.0,1149.0,180.0,104,0.0,16
James Garner,EVE,M,CM,247.0,313.5,43.0,70.0,280.75,-38.25,37.0,163.0,624.0,116.0,148,15.0,18
Levi Colwill,CHE,D,LB,247.0,321.0,52.0,0.0,271.75,-20.75,39.0,247.0,369.0,129.0,36,0.0,23
Charlie Taylor,BUR,D,LB,242.0,91.75,28.0,0.0,162.0,-39.25,29.0,242.0,398.0,90.0,64,6.0,10
Issa Kabore,LUT,D,RM,242.0,184.25,7.0,0.0,203.5,-41.25,29.0,242.0,409.0,74.0,85,28.0,10
Jack Robinson,SHU,D,CB,238.0,103.25,35.0,0.0,252.75,-33.5,41.0,238.0,206.0,70.0,8,0.0,22
Gustavo Hamer,SHU,M,AM,228.0,239.25,50.0,60.0,212.5,-49.25,37.0,160.0,473.0,138.0,110,8.0,18
Solly March,BHA,M,RW,228.0,354.0,32.0,48.0,254.0,-44.0,28.0,156.0,580.0,96.0,84,0.0,16
Lewis Cook,BOU,M,DM,228.0,100.0,84.0,40.0,147.0,-51.0,24.0,132.0,188.0,76.0,52,0.0,12
Bukayo Saka,ARS,M,RW,213.0,605.0,10.0,147.0,375.25,-62.25,37.0,169.0,1412.0,123.0,210,16.0,19
Oleksandr Zinchenko,ARS,D,LB,206.0,198.5,77.0,0.0,125.0,-8.5,23.0,206.0,487.0,148.0,32,0.0,15
Marcus Tavernier,BOU,M,LW,205.0,136.5,37.0,39.0,167.25,-34.75,25.0,108.0,479.0,35.0,84,0.0,15
Nathan Patterson,EVE,D,RB,199.0,122.5,0.0,0.0,134.75,-26.25,19.0,199.0,370.0,63.0,59,11.0,8
Marc Cucurella,CHE,D,LB,191.0,98.5,19.0,0.0,114.0,-31.5,15.0,191.0,240.0,41.0,17,0.0,7
Billy Gilmour,BHA,M,DM,186.0,183.5,38.0,28.0,122.5,-27.0,22.0,90.0,352.0,164.0,52,4.0,12
Kenny Tete,FUL,D,RB,184.0,109.0,16.0,0.0,132.0,-31.0,20.0,184.0,320.0,96.0,48,16.0,8
Pau Torres,AVL,D,CB,174.0,196.25,132.0,0.0,173.5,-25.25,41.0,174.0,190.0,214.0,9,0.0,19
Willy Boly,NOT,D,CB,174.0,382.5,31.0,0.0,349.0,-36.5,35.0,174.0,111.0,66.0,4,0.0,12
Rayan Ait-Nouri,WOL,D,LM,174.0,130.75,36.0,2.0,217.25,-44.5,29.0,172.0,417.0,121.0,25,0.0,15
Josko Gvardiol,MCI,D,LB,172.0,226.75,39.0,0.0,188.75,-28.0,27.0,172.0,425.0,157.0,38,0.0,12
Ryan Giles,LUT,M,WB,168.0,73.0,12.0,44.0,79.0,-6.0,12.0,120.0,260.0,32.0,128,20.0,4
Conor Gallagher,CHE,M,RM,165.0,375.25,54.0,45.0,345.25,-52.0,41.0,103.0,892.0,215.0,54,4.0,23
Joel Veltman,BHA,D,RB,162.0,98.0,54.0,0.0,174.5,-28.5,22.0,162.0,266.0,78.0,10,0.0,12
Nathan Collins,BRF,D,CB,160.0,272.75,60.0,0.0,256.5,-31.75,37.0,160.0,155.0,134.0,0,0.0,18
Nayef Aguerd,WHU,D,CB,159.0,218.5,112.0,0.0,285.5,-55.0,37.0,159.0,72.0,75.0,2,0.0,19
Gabriel Martinelli,ARS,M,LW,159.0,206.25,10.0,85.0,181.5,-38.25,25.0,107.0,932.0,85.0,155,5.0,15
Joe Rothwell,BOU,M,DM,156.0,26.0,28.0,16.0,38.0,-12.0,8.0,44.0,92.0,24.0,24,0.0,4
Malo Gusto,CHE,D,RB,152.0,155.0,20.0,0.0,118.0,-51.0,24.0,152.0,572.0,88.0,76,4.0,16
Martin Odegaard,ARS,M,RM,152.0,392.0,48.0,40.0,257.0,-45.0,36.0,112.0,1104.0,184.0,88,4.0,20
Emerson,WHU,D,LB,152.0,110.5,4.0,0.0,138.0,-27.5,20.0,152.0,254.0,70.0,22,8.0,8
Joseph Gomez,LIV,D,LB,150.0,169.0,10.0,0.0,148.5,-15.5,22.0,150.0,278.0,86.0,38,8.0,8
Victor Lindelof,MUN,D,CB,145.0,91.25,16.0,0.0,88.0,-26.75,27.0,145.0,227.0,59.0,3,0.0,15
Kristoffer Ajer,BRF,D,RB,145.0,130.5,18.0,0.0,130.0,-21.5,21.0,145.0,201.0,50.0,16,4.0,10
Konstantinos Tsimikas,LIV,D,LB,141.0,60.5,15.0,24.0,28.5,-10.0,7.0,89.0,187.0,34.0,56,4.0,7
Ezri Konsa,AVL,D,RB,140.0,262.25,69.0,0.0,256.5,-18.25,41.0,140.0,130.0,107.0,2,0.0,19
Cristian Romero,TOT,D,CB,137.0,357.75,121.0,0.0,293.75,-52.0,35.0,137.0,168.0,220.0,4,0.0,16
Micky van de Ven,TOT,D,CB,136.0,271.0,96.0,0.0,194.25,-31.25,39.0,136.0,85.0,131.0,0,0.0,16
Christian Eriksen,MUN,M,DM,134.0,134.25,28.0,30.0,86.0,-17.75,17.0,62.0,268.0,72.0,62,2.0,11
Luke Shaw,MUN,D,LB,132.0,78.0,12.0,24.0,70.0,-8.0,8.0,100.0,156.0,44.0,24,0.0,4
Joachim Andersen,CRY,D,CB,131.0,535.0,123.0,0.0,417.25,-29.25,41.0,131.0,213.0,239.0,43,16.0,19
Will Hughes,CRY,M,DM,130.0,135.5,20.0,40.0,163.25,-41.75,25.0,84.0,250.0,71.0,51,0.0,11
Nathan Ake,MCI,D,CB,128.0,233.0,22.0,0.0,149.0,-10.0,26.0,128.0,256.0,134.0,6,0.0,6
Vitinho,BUR,D,LB,123.0,-6.0,8.0,0.0,61.25,-17.25,17.0,123.0,154.0,34.0,11,0.0,14
Johann Gudmundsson,BUR,M,RM,122.0,51.25,18.0,25.0,56.25,-5.0,9.0,52.0,113.0,22.0,38,5.0,2
Jayden Bogle,SHU,D,WB,119.0,56.75,4.0,0.0,82.25,-33.5,21.0,119.0,242.0,24.0,36,4.0,6
Dwight McNeil,EVE,M,LW,117.0,180.75,24.0,33.0,174.75,-29.0,21.0,77.0,490.0,55.0,136,15.0,14
Ola Aina,NOT,D,RB,112.0,117.75,20.0,0.0,133.5,-31.75,25.0,112.0,179.0,54.0,20,0.0,6
Ross Barkley,LUT,M,CM,111.0,89.25,23.0,18.0,101.75,-12.5,13.0,75.0,184.0,54.0,30,0.0,6
Chiedozie Ogbene,LUT,F,AM,105.0,169.5,8.0,0.0,156.5,-23.0,25.0,105.0,576.0,50.0,115,0.0,14
Tim Ream,FUL,D,CB,105.0,229.75,52.0,0.0,230.5,-60.75,37.0,105.0,97.0,179.0,4,0.0,18
Ethan Pinnock,BRF,D,CB,105.0,389.5,61.0,0.0,367.75,-27.25,41.0,105.0,174.0,125.0,8,0.0,22
Matheus Cunha,WOL,F,FW,103.0,325.25,8.0,0.0,290.0,-64.75,41.0,103.0,575.0,84.0,21,0.0,19
Anel Ahmedhodzic,SHU,D,CB,96.0,70.0,12.0,0.0,233.0,-51.0,32.0,96.0,192.0,44.0,12,0.0,16
Serge Aurier,NOT,D,RB,95.0,181.75,16.0,0.0,190.5,-44.75,31.0,95.0,323.0,113.0,58,12.0,12
Max Kilman,WOL,D,CB,90.0,251.0,56.0,0.0,328.25,-35.25,41.0,90.0,129.0,128.0,16,4.0,19
Bruno Guimaraes,NEW,M,CM,82.0,335.25,82.0,0.0,326.25,-73.0,41.0,82.0,631.0,265.0,31,4.0,22
Scott McKenna,NOT,D,CB,72.0,133.0,4.0,0.0,132.0,-7.0,20.0,72.0,44.0,40.0,0,0.0,8
Fabian Schar,NEW,D,CB,71.0,324.75,67.0,0.0,275.25,-41.5,41.0,71.0,132.0,129.0,4,0.0,22
Lucas Paqueta,WHU,M,LW,66.0,326.25,19.0,0.0,351.75,-97.5,39.0,66.0,576.0,242.0,40,7.0,19
Sven Botman,NEW,D,CB,52.0,218.0,40.0,0.0,119.0,-13.0,20.0,52.0,36.0,36.0,0,0.0,12
