Player,Team,Position,GW,FPTS,Default FPTS,Delta,Ghost Points,Default Ghosts,Delta Ghosts,Negative Fpts,Default Negative FPTS,Delta Negative FPTS,GPR,Overperformance,HeatStreak,Ros Rank,Ros RankByPos,LiveRkOv,LiveRkOvByPos,GS,GP,G,KP,AT,SOT,TKW,YC,RC,ACNC,INT,CLR,BS,DW,DL,LBA,PEN,PKM,PKD,OG,GAO,CS,PTS,DPT,OFF,PKG,MIN
Josh Brownhill,BUR,M,11,8.5,11.0,-2.5,10.25,11.0,-0.75,-1.75,0.0,-1.75,1.21,2,20.75,141,44,139,42,1,1,0,2,0,1,1,0,0,0,2,0,0,6,7,3,0,0,0,0,2,0,0,2,0,0,90
Marc Guehi,CRY,D,11,8.5,9.5,-1.0,4.75,5.5,-0.75,-2.25,-2.0,-0.25,0.56,9,11.5,139,23,67,14,1,1,0,0,0,0,0,1,0,0,1,6,0,3,5,3,0,0,0,0,0,1,0,4,0,0,90
Alejandro Garnacho,MUN,M,11,8.25,10.5,-2.25,10.25,11.5,-1.25,-3.0,-2.0,-1.0,1.24,-22,16.75,200,47,259,69,1,1,0,2,0,1,0,1,0,0,2,0,0,8,8,1,0,0,0,0,0,1,0,5,1,0,88
Moussa Diaby,AVL,F,11,7.75,11.5,-3.75,9.0,12.0,-3.0,-1.25,-0.5,-0.75,1.16,1,32.0,23,7,20,6,1,1,0,4,0,1,0,0,0,1,1,0,0,2,5,0,0,0,0,0,2,0,0,1,0,0,90
John Stones,MCI,D,11,7.75,7.5,0.25,1.75,1.5,0.25,0.0,0.0,0.0,0.23,-43,20.75,125,21,284,64,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,70
Max Kilman,WOL,D,11,7.75,7.0,0.75,10.0,11.0,-1.0,-0.25,-4.0,3.75,1.29,6,24.75,200,27,98,21,1,1,0,1,0,0,1,0,0,0,2,4,0,7,1,8,0,0,0,0,2,0,0,1,0,0,90
Reece James,CHE,D,11,7.5,7.5,0.0,8.0,9.5,-1.5,-0.5,-2.0,1.5,1.07,-61,0.0,41,6,304,67,1,1,0,2,0,0,2,0,0,0,1,2,1,4,2,2,0,0,0,0,1,0,0,0,1,0,76
Chiedozie Ogbene,LUT,F,11,7.5,8.0,-0.5,8.0,8.0,0.0,-0.5,0.0,-0.5,1.07,2,29.5,200,30,159,28,1,1,0,0,0,1,0,0,0,1,0,0,0,10,2,0,0,0,0,0,0,1,0,1,0,0,78
Dara O'Shea,BUR,D,11,7.5,7.5,0.0,10.0,11.5,-1.5,-0.5,-4.0,3.5,1.33,-24,27.5,200,27,218,51,1,1,0,1,0,1,0,0,0,1,2,2,0,6,2,2,0,0,0,0,2,0,0,1,0,0,90
Teden Mengi,LUT,D,11,7.25,5.5,1.75,7.75,7.5,0.25,-0.5,-2.0,1.5,1.07,-35,11.5,200,27,270,62,1,1,0,0,0,0,0,0,0,0,3,10,1,2,2,1,0,0,0,0,1,0,0,0,0,0,90
