,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
0,vsARS,FW,11,6.21,0.3,1.05,0.0,0.6,0.55,0.2,0.0,0.0,0.15,0.6,0.2,0.0,0.0,0.0,0.0,0.1,0.3,1.55,0.35,0.1,0.0,0.0,0.4,1.0,16.5
20,vsCHE,RW,7,6.04,0.0,0.71,0.29,0.43,1.0,0.0,0.0,0.29,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.86,0.43,0.0,0.0,0.0,0.57,1.0,11.79
18,vsCHE,FW,12,6.02,0.23,0.68,0.23,0.36,0.36,0.09,0.0,0.05,0.18,0.55,0.0,0.0,0.0,0.0,0.0,0.36,0.45,1.41,0.36,0.0,0.0,0.0,0.36,1.0,16.34
55,vsWHU,LW,5,6.0,0.2,1.6,0.0,0.4,0.6,0.2,0.0,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.2,0.2,0.0,0.0,0.0,0.6,1.0,16.35
51,vsTOT,FW,13,5.87,0.24,1.0,0.0,0.84,0.56,0.32,0.08,0.04,0.48,0.72,0.32,0.0,0.0,0.0,0.0,0.0,0.24,3.04,0.8,0.08,0.0,0.0,0.68,1.0,16.53
22,vsCRY,LW,9,5.35,0.24,0.65,0.0,0.47,0.29,0.12,0.0,0.0,0.29,0.35,0.06,0.0,0.0,0.0,0.0,0.53,0.24,0.94,0.12,0.0,0.0,0.0,0.59,1.0,15.22
40,vsMUN,LW,6,5.2,0.0,1.18,0.18,0.27,0.27,0.0,0.0,0.36,0.45,0.73,0.0,0.0,0.0,0.0,0.0,0.45,0.18,0.18,0.18,0.0,0.0,0.0,0.55,1.0,10.27
45,vsNOT,FW,12,5.05,0.22,0.48,0.13,0.65,0.17,0.09,0.09,0.0,0.17,0.61,0.0,0.0,0.0,0.0,0.0,0.39,0.3,1.22,0.26,0.0,0.0,0.0,0.57,1.0,19.93
12,vsBRF,FW,11,4.8,0.29,0.95,0.0,0.67,0.19,0.1,0.0,0.0,0.1,1.48,0.0,0.0,0.0,0.0,0.0,0.1,0.29,1.33,0.48,0.1,0.0,0.0,0.43,1.0,16.61
7,vsBHA,LW,6,4.75,0.0,0.64,0.18,0.45,1.09,0.18,0.0,0.0,0.18,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.18,2.55,0.36,0.0,0.0,0.0,0.36,1.0,16.52
52,vsTOT,LW,5,4.69,0.0,1.22,0.0,0.44,0.56,0.0,0.0,0.22,0.78,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.44,0.0,0.0,0.0,0.56,1.0,13.14
30,vsLIV,FW,11,4.56,0.1,0.67,0.1,0.81,0.43,0.1,0.0,0.0,0.1,0.67,0.19,0.0,0.0,0.0,0.0,0.19,0.19,0.86,0.67,0.0,0.0,0.0,0.48,1.0,17.61
43,vsNEW,LW,6,4.0,0.0,0.67,0.17,0.33,1.0,0.33,0.0,0.17,0.33,0.5,0.17,0.0,0.0,0.0,0.0,0.17,0.17,2.67,0.33,0.0,0.0,0.0,0.5,2.0,11.67
36,vsMCI,FW,11,2.93,0.0,0.64,0.08,0.32,0.44,0.16,0.0,0.0,0.08,0.6,0.08,0.0,0.0,0.0,0.0,0.08,0.08,1.16,0.28,0.0,0.0,0.0,0.68,1.0,7.57
13,vsBRF,LW,8,2.77,0.0,0.6,0.0,0.27,0.4,0.0,0.0,0.0,0.27,0.4,0.0,0.0,0.0,0.0,0.0,0.13,0.0,1.33,0.27,0.0,0.0,0.0,0.6,1.0,11.13
38,vsMCI,RW,7,2.52,0.0,0.62,0.15,0.08,0.77,0.38,0.0,0.0,0.77,0.31,0.0,0.0,0.0,0.0,0.0,0.15,0.0,2.77,0.38,0.0,0.0,0.0,0.54,1.0,21.9
2,vsARS,RW,9,2.28,0.0,0.78,0.0,0.0,0.67,0.11,0.0,0.11,0.67,0.44,0.0,0.0,0.0,0.0,0.0,0.11,0.0,1.11,0.0,0.0,0.0,0.0,0.44,1.0,17.19
