,team,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
20,LIV,9,74.19,1.33,8.89,1.67,2.44,10.22,2.11,0.0,2.11,10.56,25.67,6.44,0.0,0.0,0.33,12.44,0.11,3.0,16.67,1.78,0.33,67.86,-14.0,0.0,16.0,8.0,668.25,669.25,-205.0,-0.5,-58.5,79.0
35,Tottenham Player Stats,6,71.62,0.5,6.33,1.67,2.5,13.83,3.5,0.0,0.5,7.83,26.17,5.5,0.0,0.0,0.0,12.5,2.83,2.17,24.5,0.0,0.0,68.58,-16.62,0.0,17.0,15.71,413.5,424.5,-183.0,16.25,-13.0,83.25
36,WHU,8,70.69,0.75,7.25,1.62,2.62,10.75,1.62,0.0,1.75,8.12,41.38,8.25,0.0,0.0,0.0,21.12,1.5,2.38,17.88,1.88,0.0,79.94,-15.5,0.0,16.0,9.28,557.25,656.75,-240.5,8.25,-17.25,116.5
16,EVE,9,69.5,0.56,8.33,1.56,2.33,13.56,1.67,0.0,2.56,9.89,21.44,5.11,0.0,0.0,0.0,13.0,2.11,2.11,12.44,1.0,0.0,68.58,-10.97,0.0,14.0,13.83,621.25,652.25,-223.0,4.25,-35.0,124.25
14,Chelsea Player Stats,7,66.68,1.0,6.43,1.71,4.0,5.43,1.71,0.0,1.29,6.29,10.43,3.29,0.43,0.14,0.0,5.86,3.86,2.14,15.0,2.0,0.57,51.89,-11.79,0.0,13.0,14.82,445.5,349.0,-89.5,21.25,14.25,7.0
27,Manchester Utd Player Stats,8,65.25,0.88,9.75,1.12,3.5,5.62,2.12,0.0,2.62,6.38,17.12,2.75,0.0,0.0,0.0,9.38,2.5,2.0,13.75,1.62,0.0,52.16,-9.03,0.0,13.0,11.25,531.25,436.25,-103.0,-9.25,-19.0,30.75
12,CHE,9,60.44,0.67,5.0,1.11,2.33,8.67,2.78,0.0,1.33,3.56,11.89,2.67,0.0,0.67,0.0,7.44,3.33,1.11,16.56,1.56,0.0,47.81,-9.81,0.0,13.0,16.28,534.75,455.75,-152.0,9.25,-25.5,63.75
2,Arsenal Player Stats,7,60.25,0.86,5.43,0.86,2.14,6.43,1.43,0.43,1.86,3.71,6.14,2.14,0.0,0.0,0.0,3.29,4.71,1.71,15.14,0.0,0.43,43.93,-11.11,0.0,13.0,17.0,400.25,285.25,-77.0,21.5,22.25,-0.75
9,Brentford Player Stats,5,58.25,0.6,4.8,0.0,1.6,10.6,3.4,0.0,0.6,12.2,22.0,1.6,0.0,0.0,0.0,6.6,4.2,0.6,21.0,1.2,0.0,57.25,-12.4,0.0,14.0,13.4,294.5,291.0,-69.5,-3.25,-4.75,7.5
18,FUL,13,54.83,0.62,3.77,0.23,2.0,10.62,2.23,0.23,1.54,10.23,22.69,3.46,0.0,0.0,0.0,16.31,3.0,0.62,17.69,1.62,0.0,60.81,-14.29,0.0,17.0,7.6,595.0,702.5,-353.5,117.75,88.0,167.75
17,Everton Player Stats,6,53.08,1.5,5.67,0.0,4.33,8.33,1.0,0.0,0.0,5.33,10.33,0.0,0.0,0.0,0.0,15.5,0.67,1.5,13.5,1.0,0.0,53.12,-11.21,0.0,14.0,5.71,342.5,318.0,-60.5,-24.0,0.75,-6.75
29,NOT,12,48.94,0.5,4.08,0.25,2.75,6.83,1.33,0.25,0.25,7.25,21.08,5.08,0.0,0.0,0.0,12.08,2.75,0.75,13.0,0.75,0.0,50.52,-10.83,0.0,17.0,6.5,584.75,613.25,-205.5,2.5,-7.0,75.5
21,LUT,12,44.83,1.0,4.25,0.25,2.0,10.25,0.75,0.0,1.0,6.0,19.83,4.75,0.0,0.0,0.17,20.42,0.0,1.25,12.75,1.75,0.25,55.94,-13.85,0.0,17.0,9.52,507.75,634.75,-259.0,30.25,36.5,92.75
19,Fulham Player Stats,4,42.44,0.75,8.0,0.0,4.0,3.75,0.75,0.0,2.25,3.25,4.75,1.5,0.0,0.0,0.0,12.0,3.75,0.75,7.5,0.75,0.0,42.0,-9.31,0.0,11.0,14.44,176.5,167.0,-29.5,-6.75,1.0,-7.75
22,Liverpool Player Stats,8,42.38,0.38,7.5,0.75,2.0,7.12,1.5,0.0,2.38,3.5,12.75,0.75,0.0,0.38,0.0,7.88,0.25,0.75,11.38,0.38,0.0,43.34,-9.72,0.0,16.0,16.25,338.25,349.25,-81.0,0.75,-2.5,3.25
28,NEW,6,42.29,1.5,3.0,0.33,2.0,6.17,2.33,0.0,0.5,3.5,15.17,2.83,0.0,0.33,0.0,13.5,1.0,1.5,16.67,1.0,0.0,41.21,-10.92,0.0,14.0,9.88,230.75,238.75,-124.0,23.0,8.5,58.5
8,Bournemouth Player Stats,4,42.06,1.5,4.5,0.75,4.5,3.0,1.5,0.0,1.5,6.25,22.75,5.75,0.0,0.0,0.0,23.0,0.0,2.25,11.0,1.0,0.0,50.62,-14.31,0.0,13.0,7.69,168.0,209.0,-113.0,0.25,-6.5,55.75
31,Nott'ham Forest Player Stats,8,40.12,0.0,4.38,0.75,0.62,11.38,3.25,0.0,0.75,7.25,14.0,2.38,0.0,0.0,0.0,13.75,2.62,0.38,20.12,2.25,0.0,50.09,-13.72,0.0,17.0,13.34,293.0,388.0,-179.0,28.0,12.75,69.25
10,Brighton Player Stats,10,39.65,0.9,5.2,1.3,2.8,2.6,1.8,0.0,1.0,4.7,5.3,0.7,0.0,0.0,0.0,7.8,0.3,2.1,10.7,2.0,0.0,31.65,-8.6,0.0,13.0,12.72,420.0,337.0,-76.0,-23.5,-20.5,-10.0
23,Luton Town Player Stats,6,36.54,0.0,6.5,0.5,1.33,6.0,2.17,0.0,5.0,7.33,8.67,2.5,0.0,0.0,0.0,15.0,0.0,0.5,14.33,0.83,0.0,47.42,-9.71,0.0,14.0,14.92,193.25,282.75,-107.5,26.0,1.75,49.25
7,BUR,10,35.25,0.8,5.5,0.6,2.9,4.9,2.2,0.6,0.0,5.1,25.2,4.4,0.0,0.0,0.0,14.0,0.9,1.4,19.2,1.8,0.0,50.6,-20.15,0.0,14.0,6.9,346.0,522.0,-289.0,6.5,-16.0,87.5
4,BHA,11,34.07,0.82,3.55,0.82,1.45,7.18,1.55,0.0,0.27,5.0,11.27,3.36,0.0,0.0,0.0,13.09,0.27,1.64,9.0,0.91,0.0,35.84,-6.41,0.0,13.0,8.48,315.0,375.5,-210.5,59.75,18.75,140.0
11,Burnley Player Stats,6,34.0,0.0,2.67,0.83,0.33,4.67,1.83,0.0,0.33,6.33,19.0,4.67,0.0,0.0,0.0,10.5,0.0,0.83,13.67,0.5,0.0,39.83,-9.0,0.0,14.0,7.5,169.0,203.0,-66.0,35.0,36.0,12.0
33,Sheffield Utd Player Stats,8,33.38,0.75,3.5,0.0,2.25,7.12,1.12,0.0,1.5,5.75,8.5,1.0,0.0,0.0,0.0,12.12,0.75,0.75,8.75,0.62,0.0,36.38,-9.0,0.0,14.0,8.03,295.75,297.25,-61.5,-28.75,-6.25,-10.5
25,MUN,13,32.12,0.46,4.92,0.23,2.08,4.46,0.69,0.0,0.31,3.0,10.0,2.38,0.0,0.0,0.23,5.54,1.54,0.69,5.77,1.23,0.0,32.6,-7.71,0.0,12.0,12.33,451.5,455.0,-115.5,-34.0,-31.25,15.25
32,SHU,10,28.3,0.0,4.2,0.6,1.2,9.5,2.2,0.3,1.2,6.3,23.4,6.0,0.0,0.0,0.0,20.5,0.3,0.3,17.0,2.4,0.0,54.15,-15.45,0.0,14.0,5.25,219.75,537.75,-378.0,63.25,3.75,223.5
5,BOU,12,27.98,0.25,4.75,0.58,1.25,7.92,0.83,0.0,2.25,5.33,15.08,3.5,0.0,0.0,0.25,21.17,0.0,0.83,11.0,1.08,0.0,46.88,-12.23,0.0,13.0,8.83,304.0,546.5,-315.5,31.75,16.0,168.75
39,Wolves Player Stats,4,18.94,0.0,3.5,0.0,0.0,3.75,1.75,0.0,0.75,1.25,4.0,2.25,0.0,0.0,0.0,3.5,1.25,0.0,7.75,0.25,0.0,22.25,-6.06,0.0,10.0,12.56,57.0,94.5,-56.5,18.75,-5.5,32.25
