,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
113,MUN,DM,5,54.5,0.8,5.2,0.8,3.2,10.8,0.0,0.0,1.2,5.6,8.8,4.8,0.0,0.0,0.0,9.6,2.4,1.6,10.4,1.6,0.0,48.6,-9.3,0.0,12.0,18.1,281.0,220.0,-11.0,-8.5,23.0,-35.5
3,ARS,LB,2,53.25,0.0,6.0,0.0,2.0,7.0,0.0,2.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,16.0,0.0,0.0,36.0,-18.75,0.0,8.0,7.88,115.0,79.0,-36.0,-8.5,-7.0,-1.5
133,NOT,LM,1,52.75,0.0,0.0,0.0,4.0,18.0,3.0,0.0,0.0,8.0,21.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,23.0,0.0,0.0,61.5,-12.75,0.0,11.0,0.0,35.5,40.5,-9.0,17.25,21.0,-3.75
6,ARS,RB,1,52.0,0.0,4.0,0.0,4.0,12.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,49.0,-1.0,0.0,4.0,0.0,48.0,46.0,-2.0,4.0,3.0,1.0
130,NOT,CM,3,51.33,0.0,2.67,0.0,1.33,13.0,5.0,0.0,0.0,17.33,16.67,5.33,0.0,0.0,0.0,21.67,4.0,0.0,37.0,1.33,0.0,69.83,-22.5,0.0,19.0,4.42,119.0,158.0,-51.0,35.0,51.5,-16.5
160,WOL,CM,4,51.0,0.0,4.0,1.0,1.5,20.0,7.5,0.0,1.0,11.5,14.0,0.0,0.0,0.0,0.0,11.0,2.5,0.0,39.5,0.5,0.0,63.38,-21.88,0.0,18.0,9.0,176.0,222.0,-80.0,28.0,31.5,-7.5
152,WHU,CB,4,50.25,1.0,1.0,0.0,1.0,6.0,1.5,0.0,0.0,9.0,68.0,12.5,0.0,0.0,0.5,23.0,0.0,1.0,13.0,0.0,0.0,77.38,-12.12,0.0,20.0,7.0,152.0,318.0,-206.0,49.0,-8.5,157.5
38,BRF,LB,2,50.12,0.0,0.0,0.0,2.0,8.0,10.0,0.0,0.0,7.5,11.5,3.0,0.0,0.0,0.0,8.0,5.5,0.0,46.0,4.0,0.0,41.5,-20.38,0.0,19.0,-0.38,48.75,62.75,-80.0,51.5,20.25,39.25
166,WOL,RM,1,50.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,53.0,-3.0,0.0,4.0,16.0,61.0,69.0,-8.0,-11.0,-16.0,5.0
122,NEW,LB,2,49.75,2.0,4.0,0.0,5.5,6.0,5.5,0.0,4.0,9.0,27.5,3.5,0.0,0.0,0.0,21.0,2.0,2.0,32.5,2.0,0.0,63.88,-21.12,0.0,19.0,0.0,88.25,135.75,-111.5,11.25,-8.0,69.25
100,LUT,RB,1,49.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,4.0,8.0,40.0,12.0,0.0,0.0,0.0,20.0,0.0,0.0,8.0,0.0,0.0,78.0,-13.0,0.0,12.0,20.25,54.0,98.0,-44.0,-5.0,-20.0,31.0
123,NEW,LM,1,48.75,0.0,17.0,0.0,3.0,8.0,4.0,0.0,0.0,14.0,3.0,7.0,0.0,0.0,0.0,14.0,0.0,0.0,31.0,0.0,0.0,67.75,-19.0,0.0,11.0,0.0,73.5,84.5,-11.0,-24.75,-16.75,-8.0
155,WHU,LB,2,48.5,3.0,4.0,0.0,3.0,10.0,4.0,0.0,3.0,9.0,26.0,1.0,0.0,0.0,0.0,19.0,0.0,3.0,23.0,0.0,0.0,54.5,-13.0,0.0,12.0,0.0,74.0,109.0,-95.0,23.0,0.0,69.0
