,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
43,MUN,CB,5,6.12,0.05,0.54,0.16,0.11,0.7,0.16,0.0,0.05,0.54,3.19,0.57,0.0,0.0,0.05,1.32,0.22,0.22,1.22,0.14,0.0,5.38,-1.09,0.51,1.0,9.81,401.0,431.0,-250.0,52.25,-33.25,169.5
12,CHE,DM,4,6.11,0.0,0.79,0.05,0.39,0.92,0.08,0.0,0.0,1.0,0.92,0.47,0.0,0.05,0.0,0.97,0.32,0.0,1.97,0.05,0.0,6.83,-1.3,0.68,1.0,16.85,240.5,243.0,-22.5,-8.5,16.5,-27.0
39,MCI,RM,2,6.0,0.0,1.33,0.0,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.5,-1.17,0.0,1.0,2.25,84.0,64.0,-12.0,-12.0,-10.0,-2.0
47,MUN,LB,5,5.92,0.0,1.07,0.1,0.0,0.59,0.34,0.0,0.1,1.32,3.44,0.51,0.0,0.0,0.0,1.41,0.24,0.1,2.59,0.27,0.0,6.48,-1.38,0.56,1.0,5.73,203.25,263.25,-148.0,39.5,2.25,91.25
3,ARS,LB,4,5.86,0.0,0.62,0.0,0.22,1.3,0.11,0.11,0.0,0.57,0.76,0.11,0.0,0.0,0.0,0.59,0.51,0.0,1.59,0.11,0.0,4.62,-1.41,0.62,1.0,13.26,199.5,174.0,-88.5,17.5,-3.0,36.5
44,MUN,CM,2,5.62,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,6.62,-2.0,1.0,1.0,0.0,52.0,48.0,-4.0,-7.0,5.0,-12.0
22,LIV,CM,3,5.56,0.0,0.76,0.08,0.24,1.41,0.27,0.08,0.16,1.2,0.76,0.33,0.0,0.0,0.0,0.94,0.22,0.08,2.8,0.0,0.0,6.95,-2.19,0.39,1.0,13.74,259.0,301.0,-77.0,13.5,39.75,-30.25
32,MCI,CM,4,5.48,0.12,0.69,0.06,0.38,0.81,0.12,0.0,0.0,0.06,0.19,0.31,0.0,0.0,0.0,0.44,0.56,0.19,1.25,0.0,0.0,4.34,-0.98,0.38,1.0,13.61,172.0,126.0,-20.0,3.5,13.0,-11.5
51,MUN,RM,2,4.0,0.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.0,0.5,0.0,0.0,4.75,-0.75,1.0,1.0,2.88,48.0,52.0,-4.0,-16.0,-14.0,-2.0
25,LIV,LM,5,3.15,0.0,0.42,0.0,0.21,0.97,0.12,0.0,0.0,0.48,0.73,0.0,0.0,0.0,0.0,0.61,0.3,0.0,1.36,0.24,0.0,4.23,-1.38,0.58,1.0,7.56,119.0,141.5,-32.5,-15.0,-2.0,-13.0
46,MUN,FW,3,2.94,0.0,1.07,0.0,0.8,0.07,0.0,0.0,0.04,0.0,0.56,0.0,0.0,0.0,0.0,1.29,0.22,0.0,0.47,0.6,0.0,4.37,-1.43,0.6,1.0,7.01,217.0,255.0,-38.0,-84.75,-58.25,-26.5
48,MUN,LM,2,2.38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.0,1.5,0.0,0.0,2.88,-1.0,1.0,1.0,14.5,20.0,20.0,-4.0,-1.0,3.0,-4.0
