,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
22,NOT,LM,4,6.87,0.15,0.15,0.0,0.31,2.15,0.38,0.0,0.15,0.92,1.77,0.15,0.0,0.0,0.0,1.08,0.31,0.15,2.08,0.0,0.0,7.0,-1.52,0.46,1.0,7.71,69.0,74.0,-27.0,20.25,17.0,7.25
14,FUL,AM,1,6.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.25,-1.5,0.0,1.0,12.75,9.0,10.5,-1.5,-2.25,-2.25,0.0
23,NOT,RM,4,6.65,0.0,0.54,0.31,0.15,1.23,0.46,0.0,0.31,0.46,1.46,0.31,0.0,0.0,0.0,1.15,0.31,0.31,1.62,0.0,0.0,5.94,-1.44,0.46,1.0,11.52,78.0,75.0,-29.0,8.5,2.25,10.25
11,EVE,DM,1,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.75,-0.75,1.0,1.0,10.5,10.0,12.0,-2.0,2.0,1.5,0.5
6,CRY,CM,3,5.95,0.0,0.6,0.0,0.2,1.8,0.0,0.0,0.0,2.0,1.0,0.2,0.0,0.0,0.0,1.2,0.6,0.0,1.2,0.0,0.0,6.9,-1.55,0.6,1.0,14.25,61.0,63.0,-8.0,-1.5,6.0,-7.5
17,FUL,LM,3,5.44,0.12,1.38,0.12,0.38,0.12,0.12,0.0,0.12,0.12,0.5,0.0,0.0,0.0,0.0,1.25,0.38,0.25,1.25,0.0,0.0,4.28,-1.22,0.5,1.0,11.03,96.0,78.0,-18.0,-9.0,-9.5,-1.5
21,NOT,DM,2,5.12,0.0,0.5,0.0,0.0,2.0,0.5,0.0,0.0,1.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.5,0.0,6.88,-1.75,1.0,1.0,4.75,21.0,25.0,-4.0,-0.5,2.5,-3.0
1,BOU,DM,5,4.76,0.03,0.71,0.0,0.26,0.97,0.09,0.06,0.15,1.44,0.65,0.32,0.0,0.0,0.0,1.82,0.12,0.03,1.79,0.06,0.0,6.12,-1.74,0.59,1.0,11.51,190.0,210.0,-33.0,-28.25,-2.0,-26.25
8,CRY,LM,3,4.25,0.0,1.0,0.0,0.75,1.0,0.25,0.0,0.0,0.5,1.25,0.0,0.0,0.0,0.0,1.5,0.5,0.0,1.25,0.0,0.0,5.31,-1.31,0.5,1.0,17.75,35.0,44.0,-11.0,-1.0,-1.5,0.5
25,WOL,CM,3,4.07,0.03,0.3,0.0,0.17,1.8,0.47,0.07,0.13,1.2,1.2,0.2,0.0,0.0,0.0,1.53,0.13,0.03,3.57,0.0,0.0,5.95,-2.32,0.47,1.0,9.48,117.0,161.5,-57.5,5.0,17.0,-12.0
20,NOT,CM,4,4.05,0.0,0.39,0.0,0.07,0.96,0.36,0.0,0.0,1.57,1.07,0.32,0.0,0.0,0.0,1.57,0.21,0.0,2.71,0.07,0.0,5.34,-1.5,0.29,1.0,7.65,102.0,126.0,-30.0,11.5,23.5,-12.0
18,FUL,RM,4,3.22,0.0,1.25,0.0,0.0,0.75,0.38,0.0,0.25,0.38,0.5,0.38,0.0,0.0,0.0,1.38,0.38,0.0,2.0,0.0,0.0,4.25,-1.41,0.5,1.0,7.97,57.0,72.0,-21.0,-5.5,-4.0,-1.5
24,WOL,AM,1,1.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.25,-1.5,1.0,1.0,0.0,9.0,9.0,0.0,-5.5,-2.5,-3.0
