"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*051kz*","George Baldock","SHU","D","266","W (Thu)","BOU 3<br/>@SHU 1 F","17.25","17.25","5%","352.19","2%","0%","1","90","0","3","1","0","3","0","1","0","2","3","5","0","1","2","0","0","0","3","0"
"*05gcr*","Bruno Fernandes","MUN","M","5","4b. DcbB","MUN 3<br/>@EVE 0 F","17","17","100%","3.53","100%","0%","1","90","0","3","1","0","1","0","0","0","0","2","1","0","0","2","0","0","0","0","1"
"*05ylx*","Dejan Kulusevski","TOT","M","26","Vroom","AVL 2<br/>@TOT 1 F","17","17","100%","44.11","100%","0%","1","90","0","3","0","1","2","2","0","0","1","1","0","6","0","0","0","0","0","2","0"
"*05n07*","Pedro Porro","TOT","D","32","dsb_ff","AVL 2<br/>@TOT 1 F","17","17","100%","52.16","100%","0%","1","90","0","4","1","1","1","0","0","0","0","1","0","0","0","2","0","0","0","2","0"
"*0477b*","Oliver McBurnie","SHU","F","134","W (Thu)","BOU 3<br/>@SHU 1 F","17","17","19%","213.42","19%","+0.7%","1","45","1","1","0","1","1","1","0","0","0","0","3","0","0","7","0","0","0","1","0"
"*02oq3*","Jay Rodriguez","BUR","F","255","W (Thu)","WHU 2<br/>@BUR 1 F","17","17","2%","383.19","1%","+0.3%","1","90","1","1","0","1","2","1","0","0","0","0","0","1","0","3","0","0","0","2","0"
"*06crm*","Pau Torres","AVL","D","141","W (Thu)","AVL 2<br/>@TOT 1 F","16.5","16.5","93%","107.35","66%","-4.9%","1","90","1","0","0","1","1","0","0","0","0","1","2","2","1","1","0","0","0","1","0"
"*061vq*","Erling Haaland","MCI","F","1","dsb_ff","LIV 1<br/>@MCI 1 F","16","16","100%","1.12","100%","0%","1","90","1","0","0","2","1","0","0","0","0","0","2","0","0","4","0","0","0","1","0"
"*04spp*","Douglas Luiz","AVL","M","20","Maddihat","AVL 2<br/>@TOT 1 F","16","16","97%","92.32","99%","0%","1","90","0","2","1","0","2","1","0","0","1","2","0","1","0","1","0","0","0","1","0"
"*04fk8*","Victor Lindelof","MUN","D","145","W (Thu)","MUN 3<br/>@EVE 0 F","16","16","1%","1111.92","24%","+9.3%","1","90","0","0","0","0","1","0","0","0","0","1","8","0","3","3","0","0","0","0","1"
"*03aqp*","Mohamed Salah","LIV","F","2","Vroom","LIV 1<br/>@MCI 1 F","15.5","15.5","100%","2.86","100%","0%","1","90","0","3","1","0","1","3","0","0","1","0","0","3","0","0","0","0","0","1","0"
"*03srg*","Trent Alexander-Arnold","LIV","D","58","deceptiv","LIV 1<br/>@MCI 1 F","15.5","15.5","100%","7.78","100%","-0.1%","1","90","1","0","0","1","1","0","0","0","0","2","2","2","0","0","0","0","0","1","0"
"*068y0*","Antoine Semenyo","BOU","F","115","W (Thu)","BOU 3<br/>@SHU 1 F","15.5","15.5","0%","1069.42","25%","+11.7%","1","65","0","1","1","1","1","1","0","0","0","0","1","3","0","4","0","0","0","0","1"
"*044ej*","Johann Gudmundsson","BUR","M","153","avitek","WHU 2<br/>@BUR 1 F","15.5","15.5","9%","321.43","12%","+3.2%","1","84","0","4","0","1","0","2","0","0","2","2","1","0","0","3","0","0","0","0","1"
"*043c1*","Oleksandr Zinchenko","ARS","D","75","Kish123","ARS 1<br/>@BRF 0 F","15.25","15.25","99%","76.57","98%","+1.7%","1","90","0","2","0","0","0","0","0","0","1","1","1","0","1","2","0","0","0","0","1"
"*03gu4*","Harry Maguire","MUN","D","135","avitek","MUN 3<br/>@EVE 0 F","15","15","27%","140.91","56%","+7.7%","1","90","0","0","0","0","0","0","0","0","0","1","8","0","1","5","0","0","0","0","1"
"*05nzu*","Gabriel Magalhaes","ARS","D","129","W (Thu)","ARS 1<br/>@BRF 0 F","14.75","14.75","99%","79.43","91%","0%","1","90","0","0","0","0","0","0","0","0","0","0","3","1","1","6","0","0","0","0","1"
"*05gcp*","Tomas Soucek","WHU","M","44","dsb_ff","WHU 2<br/>@BUR 1 F","14.5","14.5","59%","136.66","89%","+4.5%","1","90","1","0","0","2","0","0","0","0","0","0","1","0","0","3","0","0","0","1","0"
"*02lkp*","Raheem Sterling","CHE","F","16","4b. DcbB","CHE 1<br/>@NEW 4 F","14","14","100%","57.77","100%","+0.2%","1","86","1","0","0","2","1","4","1","0","0","2","1","2","0","0","0","0","0","4","0"
"*04yo6*","Miguel Almiron","NEW","M","119","Pancake","CHE 1<br/>@NEW 4 F","14","14","100%","69.8","92%","-3.5%","1","86","0","3","1","0","1","2","0","0","0","0","0","2","0","0","0","0","0","1","0"
"*05w91*","Hwang Hee-Chan","WOL","F","33","dsb_ff","WOL 2<br/>@FUL 3 F","14","14","4%","383.52","82%","0%","1","90","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","3","0"
"*06fxv*","Jean-Ricner Bellegarde","WOL","M","304","W (Thu)","WOL 2<br/>@FUL 3 F","14","14","0%","-","17%","+2.9%","1","61","0","2","1","0","1","2","0","0","1","1","0","2","0","0","0","0","0","2","0"
"*02y6o*","Nathan Ake","MCI","D","133","W (Thu)","LIV 1<br/>@MCI 1 F","13.25","13.25","84%","114.86","82%","-0.1%","1","90","0","1","1","0","1","0","0","0","0","1","5","1","0","2","0","0","0","1","0"
"*0647t*","Lucas Paqueta","WHU","M","46","deceptiv","WHU 2<br/>@BUR 1 F","13","13","100%","51.96","100%","+0.4%","1","90","0","2","0","0","3","1","0","0","1","1","1","3","0","3","0","0","0","1","0"
"*060wh*","Alejandro Garnacho","MUN","M","180","Kish123","MUN 3<br/>@EVE 0 F","13","13","85%","112.16","66%","+0.2%","1","71","1","0","0","1","0","1","0","0","0","0","2","1","0","1","0","0","0","0","1"
"*05ogb*","Anthony Elanga","NOT","F","59","Kish123","BHA 3<br/>@NOT 2 F","13","13","42%","145.1","65%","+10.4%","1","90","1","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","3","0"
"*06cm4*","Chiedozie Ogbene","LUT","F","100","W (Thu)","CRY 1<br/>@LUT 2 F","13","13","1%","1108.47","16%","+3.1%","1","90","0","1","1","0","0","1","0","0","1","1","2","3","0","1","0","0","0","1","0"
"*06f80*","Jacob Brown","LUT","F","183","W (Thu)","CRY 1<br/>@LUT 2 F","13","13","0%","1115.6","1%","-0.1%","1","10","1","0","0","1","0","0","0","0","0","1","1","0","0","2","0","0","0","0","0"
"*0558w*","William Saliba","ARS","D","82","W (Thu)","ARS 1<br/>@BRF 0 F","12.75","12.75","99%","65.12","99%","+0.8%","1","90","0","0","0","0","2","1","0","0","0","0","1","0","0","5","0","0","0","0","1"
"*03rzp*","Antonee Robinson","FUL","D","131","deceptiv","WOL 2<br/>@FUL 3 F","12.75","12.75","83%","116.11","67%","+6%","1","90","0","1","1","0","1","0","0","0","1","2","3","1","0","2","0","0","0","2","0"
"*0554i*","Joelinton","NEW","M","109","4b. DcbB","CHE 1<br/>@NEW 4 F","12.5","12.5","100%","65.59","90%","-1.6%","1","90","1","0","0","1","4","4","1","0","0","1","0","0","0","1","0","0","0","1","0"
"*05w9r*","Takehiro Tomiyasu","ARS","D","217","dsb_ff","ARS 1<br/>@BRF 0 F","12.5","12.5","3%","376.99","29%","-1.5%","1","90","0","0","0","0","1","1","0","0","0","2","4","0","0","3","0","0","0","0","1"
"*0329y*","Joel Ward","CRY","D","168","W (Thu)","CRY 1<br/>@LUT 2 F","12.5","12.5","2%","1108.32","26%","+11.5%","1","90","0","1","1","0","2","0","0","0","0","0","2","0","1","4","0","0","0","2","0"
"*0328q*","Tom Cairney","FUL","M","300","W (Thu)","WOL 2<br/>@FUL 3 F","12.5","12.5","0%","1180.6","1%","+0.9%","1","88","0","0","1","1","2","1","0","0","0","1","0","0","0","0","0","1","0","2","0"
"*05ocl*","Ollie Watkins","AVL","F","4","4b. DcbB","AVL 2<br/>@TOT 1 F","12","12","100%","19.8","100%","0%","1","88","1","1","0","1","0","4","1","0","0","1","1","0","0","4","0","0","0","1","0"
"*05vyj*","Evan Ferguson","BHA","F","80","XXX","BHA 3<br/>@NOT 2 F","12","12","97%","79.61","97%","+0.2%","1","76","1","0","0","1","2","0","1","0","0","0","1","0","1","0","0","0","0","2","0"
"*067yz*","Matheus Cunha","WOL","F","43","Maddihat","WOL 2<br/>@FUL 3 F","12","12","34%","147.15","83%","+3.1%","1","82","1","1","0","1","0","2","0","0","0","0","1","0","0","0","0","0","0","2","0"
"*05o6h*","Kai Havertz","ARS","F","154","W (Thu)","ARS 1<br/>@BRF 0 F","11.5","11.5","100%","44.9","74%","-6.9%","1","10","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"*03pig*","Jamaal Lascelles","NEW","D","159","Adam","CHE 1<br/>@NEW 4 F","11.25","11.25","0%","1141.2","40%","-8.3%","1","85","1","1","0","1","0","2","1","0","0","1","1","0","0","1","0","0","0","1","0"
"*063e7*","Marcos Senesi","BOU","D","287","W (Thu)","BOU 3<br/>@SHU 1 F","11.25","11.25","3%","398.41","2%","+0.5%","1","90","0","1","0","0","1","4","0","0","1","1","5","1","0","8","0","0","0","1","0"
"*04mi4*","Callum Hudson-Odoi","NOT","F","223","W (Thu)","BHA 3<br/>@NOT 2 F","11","11","4%","375.49","10%","-0.5%","1","27","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"*043qy*","Lewis Cook","BOU","M","162","W (Thu)","BOU 3<br/>@SHU 1 F","11","11","0%","-","4%","+2.3%","1","90","0","2","0","0","2","2","0","0","0","2","1","1","1","4","0","0","0","1","0"
"*06c5y*","Amari'i Bell","LUT","D","303","W (Thu)","CRY 1<br/>@LUT 2 F","11","11","15%","251.73","4%","0%","1","90","0","2","0","1","2","1","0","0","1","1","6","0","1","1","0","0","0","1","0"
"*02oq6*","Luke Shaw","MUN","D","248","avitek","MUN 3<br/>@EVE 0 F","10.75","10.75","100%","39.21","93%","+10.7%","1","75","0","0","0","0","1","0","0","0","0","0","3","1","0","2","0","0","0","0","1"
"*0646f*","Alexander Isak","NEW","F","56","avitek","CHE 1<br/>@NEW 4 F","10.5","10.5","100%","19.92","100%","+0.4%","1","80","1","0","0","1","0","2","0","0","0","0","0","0","0","1","0","0","0","1","0"
"*06dqv*","Luca Koleosho","BUR","F","114","W (Thu)","WHU 2<br/>@BUR 1 F","10.5","10.5","0%","1155.7","11%","+0.1%","1","80","0","0","1","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1"
"*02lp5*","Adam Smith","BOU","D","369","W (Thu)","BOU 3<br/>@SHU 1 F","10.5","10.5","0%","1188.65","0%","+0.2%","1","90","0","2","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","1","0"
"*04fk6*","Bernardo Silva","MCI","M","45","Vroom","LIV 1<br/>@MCI 1 F","10","10","100%","58.45","100%","+0.1%","1","90","0","2","0","0","3","0","1","0","1","0","1","3","1","0","0","0","0","1","0"
"*03dx7*","Ben Mee","BRF","D","327","W (Thu)","ARS 1<br/>@BRF 0 F","10","10","99%","81.6","49%","+1.3%","1","90","0","1","0","0","1","0","0","0","0","2","8","1","0","4","0","0","0","1","0"
"*04yo7*","Youri Tielemans","AVL","M","261","W (Thu)","AVL 2<br/>@TOT 1 F","10","10","98%","86.04","37%","-1%","1","45","0","2","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0"
"*03rxs*","Harry Wilson","FUL","M","202","W (Thu)","WOL 2<br/>@FUL 3 F","10","10","90%","100.7","36%","-0.5%","1","13","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0"
"*04spw*","James Garner","EVE","M","70","Vroom","MUN 3<br/>@EVE 0 F","9.5","9.5","5%","381.9","59%","-3.7%","1","90","0","4","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","3","0"
"*05o4c*","Timothy Castagne","FUL","D","221","W (Thu)","WOL 2<br/>@FUL 3 F","9.5","9.5","0%","-","21%","+0.2%","1","90","0","3","0","0","0","1","0","0","0","4","4","0","0","3","0","0","0","2","0"
"*05r8o*","Jean-Philippe Mateta","CRY","F","211","W (Thu)","CRY 1<br/>@LUT 2 F","9.5","9.5","1%","1145.96","3%","-0.3%","1","9","0","3","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0"
"*05tr1*","Ethan Pinnock","BRF","D","27","4b. DcbB","ARS 1<br/>@BRF 0 F","9","9","99%","71.38","98%","0%","1","90","0","0","0","0","0","0","0","0","0","2","12","0","2","4","0","0","0","1","0"
"*04tm0*","Lucas Digne","AVL","D","42","Kish123","AVL 2<br/>@TOT 1 F","9","9","45%","140.33","90%","-0.3%","1","90","0","2","0","1","2","1","0","0","1","1","2","1","0","0","0","0","0","1","0"
"*051k0*","John McGinn","AVL","M","34","Kish123","AVL 2<br/>@TOT 1 F","8.5","8.5","64%","130.58","90%","+1.1%","1","88","0","3","0","0","0","1","1","0","1","2","0","2","0","0","0","0","0","1","0"
"*0414p*","Carlton Morris","LUT","F","64","dsb_ff","CRY 1<br/>@LUT 2 F","8.5","8.5","85%","112.31","85%","+0.5%","1","73","0","1","1","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","1"
"*06ab3*","Lewis Miley","NEW","M","340","W (Thu)","CHE 1<br/>@NEW 4 F","8.5","8.5","0%","1154.7","4%","-1.1%","1","88","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"*062cn*","Julian Alvarez","MCI","F","9","dsb_ff","LIV 1<br/>@MCI 1 F","8","8","100%","58.11","100%","0%","1","90","0","3","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","1","0"
"*03v9d*","Son Heung-Min","TOT","F","10","deceptiv","AVL 2<br/>@TOT 1 F","8","8","100%","11.7","100%","0%","1","90","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"*06c5x*","Tom Lockyer","LUT","D","157","W (Thu)","CRY 1<br/>@LUT 2 F","8","8","38%","147.4","20%","+3.2%","1","90","0","0","0","0","2","1","1","0","0","4","6","0","2","3","0","0","0","1","0"
"*05tre*","Vitaly Janelt","BRF","M","124","W (Thu)","ARS 1<br/>@BRF 0 F","8","8","2%","1120.19","15%","+0.5%","1","90","0","1","0","0","1","0","0","0","1","2","1","1","0","2","0","0","0","1","0"
"*05uh9*","Bryan Gil","TOT","F","371","W (Thu)","AVL 2<br/>@TOT 1 F","8","8","0%","-","6%","+5.9%","1","70","0","1","0","1","0","0","0","0","1","0","0","3","0","0","0","0","0","2","0"
"*051k5*","Lloyd Kelly","BOU","D","273","W (Thu)","BOU 3<br/>@SHU 1 F","8","8","0%","1232.2","2%","+1.2%","1","45","0","2","0","0","0","1","0","0","1","1","2","1","0","1","0","0","0","0","0"
"*04abb*","Phil Foden","MCI","M","13","XXX","LIV 1<br/>@MCI 1 F","7.5","7.5","100%","16.45","100%","0%","1","90","0","0","0","3","1","1","0","0","0","1","2","0","0","0","0","0","0","1","0"
"*05nt6*","Eberechi Eze","CRY","M","23","XXX","CRY 1<br/>@LUT 2 F","7.5","7.5","100%","27.73","100%","+0.2%","1","48","0","1","0","2","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0"
"*02lp9*","Kyle Walker","MCI","D","98","Kish123","LIV 1<br/>@MCI 1 F","7.5","7.5","73%","119.32","94%","-0.7%","1","90","0","1","0","0","0","0","0","0","0","3","2","0","0","4","0","0","0","1","0"
"*02oq8*","James Ward-Prowse","WHU","M","12","Pancake","WHU 2<br/>@BUR 1 F","7.5","7.5","2%","292.09","85%","0%","1","90","0","2","0","0","1","1","0","0","2","0","0","0","0","2","0","0","0","1","0"
"*06c6a*","Alfie Doughty","LUT","M","54","Vroom","CRY 1<br/>@LUT 2 F","7.5","7.5","48%","142.28","67%","-0.8%","1","78","0","1","0","0","1","1","0","0","1","1","0","3","0","0","0","0","0","1","0"
"*06fwz*","Murillo","NOT","M","216","W (Thu)","BHA 3<br/>@NOT 2 F","7.5","7.5","0%","-","17%","-4.2%","1","90","0","1","0","0","1","3","0","0","0","4","1","0","0","4","0","0","0","3","0"
"*0666p*","Kobbie Mainoo","MUN","M","373","W (Thu)","MUN 3<br/>@EVE 0 F","7.5","7.5","1%","1141.51","8%","+5.4%","1","71","0","0","0","0","1","1","0","0","0","2","2","2","1","2","0","0","0","0","1"
"*05trb*","Bryan Mbeumo","BRF","F","8","deceptiv","ARS 1<br/>@BRF 0 F","7","7","100%","40.27","100%","0%","1","90","0","2","0","1","0","0","0","0","0","0","2","1","0","0","0","0","0","1","0"
"*049tq*","Dominic Calvert-Lewin","EVE","F","107","XXX","MUN 3<br/>@EVE 0 F","7","7","82%","115.08","86%","-1.5%","1","81","0","0","0","3","0","1","0","0","0","0","2","0","0","3","0","0","0","3","0"
"*061ya*","Brennan Johnson","TOT","F","204","deceptiv","AVL 2<br/>@TOT 1 F","7","7","92%","98.84","85%","+3.5%","1","90","0","1","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0"
"*02m5b*","Chris Wood","NOT","F","155","W (Thu)","BHA 3<br/>@NOT 2 F","7","7","1%","1128.33","21%","+16.4%","1","62","0","1","0","1","0","0","0","0","0","0","1","0","2","2","0","0","0","3","0"
"*05gcs*","Sander Berge","BUR","M","166","W (Thu)","WHU 2<br/>@BUR 1 F","7","7","19%","216.48","6%","+0.8%","1","90","0","1","0","0","1","1","0","0","1","0","4","1","2","1","0","0","0","2","0"
"*05ue7*","Frank Onyeka","BRF","M","186","W (Thu)","ARS 1<br/>@BRF 0 F","7","7","0%","-","2%","+0.5%","1","88","0","0","0","0","1","2","0","0","0","4","0","0","2","2","0","0","0","1","0"
"*05os8*","Joachim Andersen","CRY","D","17","deceptiv","CRY 1<br/>@LUT 2 F","6.75","6.75","47%","142.46","94%","0%","1","90","0","0","0","1","1","0","0","0","1","0","3","0","0","6","0","0","0","2","0"
"*05s08*","Valentino Livramento","NEW","D","347","XXX","CHE 1<br/>@NEW 4 F","6.5","6.5","12%","267.33","39%","+3.8%","1","90","0","1","0","0","1","1","0","0","0","3","0","2","0","1","0","0","0","1","0"
"*03dyl*","Jeffrey Schlupp","CRY","M","118","Pancake","CRY 1<br/>@LUT 2 F","6.5","6.5","6%","358.17","30%","+2.7%","1","79","0","1","0","1","0","1","0","0","0","1","3","2","0","0","0","0","0","1","0"
"*06fy7*","Nicolas Dominguez","NOT","M","199","Kish123","BHA 3<br/>@NOT 2 F","6.5","6.5","0%","-","13%","-2.4%","1","68","0","1","0","0","1","0","0","0","1","2","0","0","0","1","0","0","0","3","0"
"*03rxa*","Idrissa Gueye","EVE","M","184","W (Thu)","MUN 3<br/>@EVE 0 F","6.5","6.5","4%","385.53","6%","+1.4%","1","90","0","1","0","1","1","2","1","0","0","4","0","0","0","1","0","0","0","3","0"
"*05opk*","Vladimir Coufal","WHU","D","72","W (Thu)","WHU 2<br/>@BUR 1 F","6.25","6.25","15%","266.63","83%","+0.8%","1","90","0","1","0","0","2","0","1","0","1","3","1","0","0","2","0","0","0","1","0"
"*02oo1*","Ben Davies","TOT","D","268","W (Thu)","AVL 2<br/>@TOT 1 F","6.25","6.25","11%","295.52","15%","0%","1","90","0","0","0","0","2","1","0","0","1","2","3","0","1","4","0","0","0","2","0"
"*05tr8*","Christian Norgaard","BRF","M","73","deceptiv","ARS 1<br/>@BRF 0 F","6","6","19%","219.27","71%","+1.8%","1","90","0","0","0","0","5","1","0","0","0","0","3","1","0","1","0","0","0","1","0"
"*05uns*","Leon Bailey","AVL","F","81","W (Thu)","AVL 2<br/>@TOT 1 F","6","6","43%","143.89","65%","+2.3%","1","45","0","1","0","1","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0"
"*04spq*","Jack Harrison","EVE","M","152","4b. DcbB","MUN 3<br/>@EVE 0 F","6","6","0%","1101.6","63%","+3.6%","1","90","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","3","0"
"*04tzt*","Jefferson Lerma","CRY","M","108","Adam","CRY 1<br/>@LUT 2 F","6","6","13%","287.95","52%","+13.3%","1","90","0","1","0","1","0","0","1","0","1","1","2","0","1","2","0","0","0","2","0"
"*062ot*","Cheick Doucoure","CRY","M","122","W (Thu)","CRY 1<br/>@LUT 2 F","6","6","23%","179.56","40%","+0.5%","1","53","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"*02lnn*","Oliver Norwood","SHU","M","103","W (Thu)","BOU 3<br/>@SHU 1 F","6","6","13%","279.8","32%","+6.3%","1","90","0","2","0","0","1","0","1","0","2","0","2","0","0","2","0","0","0","3","0"
"*04agz*","Declan Rice","ARS","M","61","dsb_ff","ARS 1<br/>@BRF 0 F","5.5","5.5","99%","49.39","100%","0%","1","90","0","1","0","0","0","0","0","0","0","1","2","0","1","1","0","0","0","0","1"
"*068ym*","Enzo Fernandez","CHE","M","111","avitek","CHE 1<br/>@NEW 4 F","5.5","5.5","99%","73.22","89%","0%","1","90","0","0","0","1","0","0","0","0","0","3","1","0","0","1","0","0","0","4","0"
"*04p0d*","Dwight McNeil","EVE","M","105","deceptiv","MUN 3<br/>@EVE 0 F","5.5","5.5","96%","76.4","86%","-0.9%","1","72","0","1","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","2","0"
"*05l8q*","Cole Palmer","CHE","M","48","Kish123","CHE 1<br/>@NEW 4 F","5.5","5.5","16%","248.12","85%","+1.6%","1","74","0","1","0","0","1","1","0","0","0","1","0","1","1","0","0","0","0","3","0"
"*06dn2*","Zeki Amdouni","BUR","F","137","W (Thu)","WHU 2<br/>@BUR 1 F","5.5","5.5","8%","324.93","13%","+0.2%","1","72","0","1","0","1","1","2","0","0","0","0","1","0","1","1","0","0","0","0","1"
"*068yi*","Illia Zabarnyi","BOU","D","232","W (Thu)","BOU 3<br/>@SHU 1 F","5.5","5.5","0%","1209.18","8%","+3%","1","90","0","0","0","0","2","0","0","0","0","1","2","0","2","2","0","0","0","1","0"
"*04gpx*","Dara O'Shea","BUR","D","241","W (Thu)","WHU 2<br/>@BUR 1 F","5.5","5.5","1%","1148.64","5%","+0.6%","1","90","0","1","0","1","1","0","0","0","0","0","6","0","1","7","0","0","1","2","0"
"*04tig*","Fabian Schar","NEW","D","89","Maddihat","CHE 1<br/>@NEW 4 F","5.25","5.25","99%","69.33","97%","-1.5%","1","90","0","1","0","1","0","0","0","0","0","1","1","2","0","0","0","0","0","1","0"
"*05mxa*","Joel Veltman","BHA","D","258","W (Thu)","BHA 3<br/>@NOT 2 F","5.25","5.25","33%","151.69","17%","-1.9%","1","90","0","0","0","0","0","0","0","0","0","3","5","0","1","4","0","0","0","2","0"
"*05r9b*","Martin Odegaard","ARS","M","52","avitek","ARS 1<br/>@BRF 0 F","5","5","100%","8.52","100%","+0.1%","1","88","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1"
"*03dx3*","Kieran Trippier","NEW","D","7","XXX","CHE 1<br/>@NEW 4 F","5","5","100%","11.57","100%","0%","1","90","0","2","0","0","1","0","1","0","2","1","0","1","0","0","0","0","0","1","0"
"*05ylj*","Bruno Guimaraes","NEW","M","76","avitek","CHE 1<br/>@NEW 4 F","5","5","100%","39.32","98%","+0.8%","1","90","0","0","0","0","2","2","0","0","0","0","0","4","0","0","0","0","0","1","0"
"*05a6e*","Neco Williams","NOT","D","314","W (Thu)","BHA 3<br/>@NOT 2 F","5","5","18%","229.08","6%","-0.2%","1","1","0","1","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0"
