"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros %","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*062p5*","Levi Colwill","CHE","D","51","Maddihat","CHE 0<br/>@BOU 0 F","12.25","12.25","82%","119.31","89%","+0.3%","1","1","79","0","0.0","0","0","2","2","2","0","0","0","2","1","0","1"
"*051kg*","Max Aarons","BOU","D","296","FA","CHE 0<br/>@BOU 0 F","12.25","12.25","0%","1148.2","7%","-1.8%","1","1","90","0","0.0","0","0","0","0","1","3","0","0","1","0","0","1"
"*04y92*","Bukayo Saka","ARS","M","1","Adam","ARS 1<br/>@EVE 0 F","12","12","100%","4.26","100%","0%","1","1","90","0","0.0","1","1","0","0","3","4","0","0","3","0","0","1"
"*04qr9*","Morgan Gibbs-White","NOT","M","48","XXX","BUR 1<br/>@NOT 1 F","12","12","100%","43.34","99%","-0.1%","1","1","90","0","0.0","0","0","4","1","1","1","0","0","1","0","0","0"
"*04rzl*","Taiwo Awoniyi","NOT","F","32","avitek","BUR 1<br/>@NOT 1 F","12","12","51%","137.94","95%","+0.5%","1","1","87","0","0.0","1","1","1","0","2","0","0","0","2","1","0","0"
"*067yv*","Cody Gakpo","LIV","F","106","Pancake","LIV 3<br/>@WOL 1 F","11.5","11.5","100%","26.84","95%","-0.5%","1","1","55","1","1.0","0","1","3","1","0","1","0","0","0","0","0","0"
"*05nzu*","Gabriel Magalhaes","ARS","D","151","W (Fri)","ARS 1<br/>@EVE 0 F","11.5","11.5","99%","79.42","87%","+2.2%","1","1","90","0","0.0","0","0","0","0","1","0","1","0","4","0","0","1"
"*068yd*","Joao Gomes","WOL","M","155","FA","LIV 3<br/>@WOL 1 F","11.5","11.5","2%","1117.53","10%","-4.4%","1","1","90","0","0.0","0","0","1","0","1","0","0","0","1","0","0","0"
"*05uor*","Yoane Wissa","BRF","F","38","Adam","BRF 0<br/>@NEW 1 F","11","11","76%","120.86","93%","-1.7%","1","1","90","0","0.0","0","0","5","1","3","2","1","0","6","1","0","0"
"*062ot*","Cheick Doucoure","CRY","M","104","FA","CRY 1<br/>@AVL 3 F","11","11","23%","179.77","33%","-4.5%","1","1","88","0","0.0","0","0","0","0","1","0","0","0","1","0","0","0"
"*05w91*","Hwang Hee-Chan","WOL","F","77","FA","LIV 3<br/>@WOL 1 F","11","11","4%","383.22","29%","-16.9%","1","1","59","1","1.0","0","1","1","1","0","1","0","0","0","0","0","0"
"*06f80*","Jacob Brown","LUT","F","160","FA","LUT 0<br/>@FUL 1 F","11","11","0%","1115.6","12%","+7.5%","1","1","73","0","0.0","0","0","1","0","0","1","0","0","0","1","0","0"
"*05t6y*","Hannibal Mejbri","MUN","M","236","FA","BHA 3<br/>@MUN 1 F","11","11","0%","1149.7","11%","-2.8%","1","0","25","1","1.0","0","1","1","1","2","2","1","0","5","0","0","0"
"*02m6x*","Tim Ream","FUL","D","164","FA","LUT 0<br/>@FUL 1 F","10.75","10.75","10%","306.94","29%","+0.3%","1","1","90","0","0.0","0","0","0","0","0","1","0","0","0","0","0","1"
"*05r9b*","Martin Odegaard","ARS","M","18","avitek","ARS 1<br/>@EVE 0 F","10.5","10.5","100%","8.53","100%","0%","1","1","90","0","0.0","0","0","2","2","0","0","0","0","0","0","0","1"
"*06dq8*","Moussa Diaby","AVL","F","20","Vroom","CRY 1<br/>@AVL 3 F","10.5","10.5","98%","49.18","97%","-0.1%","1","1","90","0","0.0","1","1","2","0","0","0","0","0","0","1","0","0"
"*04mdn*","Anthony Gordon","NEW","M","16","4b. DcbB","BRF 0<br/>@NEW 1 F","10.5","10.5","71%","128.43","96%","+3.4%","1","1","90","0","0.0","0","0","0","0","1","2","1","0","4","0","0","1"
"*06clz*","Malo Gusto","CHE","D","128","Maddihat","CHE 0<br/>@BOU 0 F","10.5","10.5","10%","306.5","54%","-29.5%","1","1","90","0","0.0","0","0","1","0","3","2","0","0","3","0","0","1"
